episode,tot_reward,tot_intrusions,tot_drift
0,-43.29250947810265,860.0,0.01924404461201615
0,-189.34590254107502,3786.0,0.00301990401809139
0,-77.21290277849758,1522.0,0.07321728805905123
10,-127.7645209353392,2508.7272727272725,0.1559340709755628
20,-137.39514384504022,2712.9523809523807,0.11916286048027336
30,-134.04505938531034,2646.516129032258,0.1164743061003332
40,-136.5887133700318,2700.3414634146343,0.106126576923414
50,-137.8738967379804,2726.901960784314,0.10316428518235969
60,-138.98447339694107,2750.0,0.10037550147056022
70,-135.653019810491,2684.0,0.0984117920856059
80,-137.3513511795345,2717.456790123457,0.09987173415177966
90,-139.57778570755116,2762.6153846153848,0.09768976329850508
100,-143.22381799089806,2836.14,0.09561134787385621
110,-143.7108095536665,2847.84,0.08906765365075968
120,-146.389845222402,2900.54,0.09142246489120874
130,-149.70871702514467,2967.42,0.08974802670561978
140,-151.6675357024179,3005.86,0.09235750536798727
150,-158.00572103010535,3133.52,0.08933001191303351
160,-161.13756138059648,3196.06,0.08932708114122541
170,-165.5921066910768,3285.08,0.0892999969913441
180,-171.65266331871084,3407.92,0.08390438345706039
190,-171.83982629621252,3410.74,0.08678132430456748
200,-173.92623957951275,3451.02,0.09142153345538212
210,-183.11352802524198,3636.32,0.0861227171451219
220,-189.72533481600996,3770.34,0.08023132755253476
230,-192.0272111635795,3816.84,0.07856874419919051
240,-193.91634013603328,3854.52,0.07864333296787196
250,-189.06137200559348,3756.06,0.08309155780273678
260,-190.8073119344208,3790.48,0.08471748884961226
270,-188.40123752194967,3740.7,0.09016772379055331
280,-190.01600270638687,3772.58,0.09171280157448505
290,-189.91640987831116,3771.2,0.09036069440684516
300,-188.8034962595544,3749.92,0.08736748062923981
310,-186.68573191936414,3706.3,0.09196191589215731
320,-180.01760432726655,3570.6,0.09996847334371273
330,-181.79430566170453,3604.94,0.10420043627272184
340,-175.770725175898,3483.64,0.10748695321285874
350,-174.10901184282451,3450.34,0.10839324404445318
360,-170.4802789081319,3377.94,0.10817457393659623
370,-169.14887728012195,3352.22,0.10584122598373366
380,-159.44384789286764,3155.32,0.11498607424236258
390,-158.7334667624741,3140.48,0.11678660539321976
400,-150.45458208634807,2973.8,0.12090007884950438
410,-144.84819590687704,2859.5,0.12770937285709782
420,-144.1159881869097,2842.44,0.1358730680328514
430,-137.79176626831307,2715.8,0.1367006222609778
440,-137.90826620447407,2716.2,0.14321535868228039
450,-137.88175537159404,2713.74,0.14942556459743728
460,-131.74733209654553,2589.54,0.15485480868459991
470,-134.66722414666884,2645.26,0.16296447723793922
480,-132.0927720626191,2595.9,0.15695214038448926
490,-126.06735632360036,2474.14,0.16189221950526214
500,-127.3862528649125,2499.12,0.1665964128003491
510,-125.20895810166128,2456.88,0.16252951816931943
520,-121.49907925504567,2385.48,0.15327188081426485
530,-119.52437830312257,2347.26,0.14902752020493915
540,-119.96302282285212,2357.92,0.14293678443093646
550,-118.37952573323251,2326.86,0.14095892037508104
560,-123.37190867419902,2425.46,0.14432384478431934
570,-118.155625464574,2323.62,0.13703442078961156
580,-120.31781205716787,2364.46,0.14426404366350684
590,-120.61923772307922,2370.4,0.14419129110318055
600,-119.73918595175084,2353.58,0.14117971172590646
610,-116.84220603830862,2294.04,0.14636227495078324
620,-115.45405953369776,2264.76,0.15133862745798315
630,-113.41213637391064,2221.82,0.15827961848168473
640,-111.287997063445,2179.34,0.1582446594717754
650,-111.93885322674754,2192.44,0.15757416804716154
660,-106.14678555819734,2077.22,0.1562476447774769
670,-105.57144296583512,2066.1,0.1551157027564871
680,-104.23065061607662,2041.22,0.1486615674068588
690,-104.70820217692179,2050.52,0.1490225990100897
