timesteps,episodes,total_reward,faf_reach,average_drift,total_intrusions,average_vinput,average_hdginput,TimeLimit.truncated
1000,1,-167.5939429583704,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.6559394295837035,2,0.017149357912130653,0.9555292593408375,True
2000,2,-143.80272787988892,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],1.4480272787988897,0,-0.019155727532343007,0.22031185170344542,True
3000,3,-163.9261032749539,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.639261032749539,0,0.013055406412070928,0.24152046591974796,True
4000,4,-176.34574514357655,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7534574514357655,1,0.01034586162524647,0.060268966882140375,True
5000,5,-166.02637981870018,[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],1.670263798187001,0,-0.022906163282517808,-0.2553008214409347,True
6000,6,-161.99447695397072,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.5999447695397067,3,-0.009731427521570973,-0.03725739662142587,True
7000,7,-163.0752080191409,[0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],1.6307520801914088,1,-0.016107508762049423,-0.16319006113880147,True
8000,8,-171.28069335085013,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.6828069335085012,3,-0.019988187350427324,-0.13526106280693057,True
9000,9,-160.62361624825175,[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.],1.6062361624825179,1,-0.010066935170745838,-0.08069689190626378,True
10000,10,-169.41726203298097,[0. 0. 0. 1. 0. 0. 0. 0. 0. 0.],1.6941726203298102,1,-0.02386249844057602,-0.19328689935160218,True
11000,11,-168.2676874087276,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.6726768740872757,1,-0.01865077312128216,-0.15948754458103478,True
12000,12,-171.13250937886517,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.711325093788651,0,-0.023431494775019625,-0.24938088182483625,True
13000,13,-168.9998966889031,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.6699989668890316,2,-0.036925312729324034,-0.38827341696415363,True
14000,14,-165.83699938468465,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],1.6583699938468464,1,-0.045798446478043583,-0.42406271058523476,True
15000,15,-157.5235422586454,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],1.585235422586454,0,-0.05008746828523969,-0.44319102168557584,True
16000,16,-158.9156595697533,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.],1.5991565956975327,0,-0.0537727860256291,-0.4703592698326338,True
17000,17,-160.02754943368222,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.],1.610275494336822,0,-0.05240137037291253,-0.4983586860224964,True
18000,18,-158.94486445830205,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.5894486445830196,0,-0.05149851164254263,-0.5077765031514718,True
19000,19,-178.42710882401215,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7842710882401216,0,-0.040840757572571565,-0.4537726272044682,True
20000,20,-177.35026289876876,[0. 0. 0. 1. 0. 0. 0. 0. 0. 0.],1.783502628987687,0,-0.033999205505977445,-0.3769664922696611,True
21000,21,-167.02848319688113,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.6702848319688104,0,-0.035175008821901256,-0.3715727776197725,True
22000,22,-176.0322264519645,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7603222645196452,0,-0.02963918426008604,-0.29507752629861483,True
23000,23,-180.89335601672042,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.808933560167204,0,-0.03167338675630162,-0.34618988866686856,True
24000,24,-167.46895365727084,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.6746895365727084,0,-0.03914030338592056,-0.38581407591964306,True
25000,25,-167.01567459713212,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.6401567459713209,4,-0.03491253232532763,-0.36821716018807493,True
26000,26,-156.09617283833398,[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.],1.5509617283833395,2,-0.03733712774419893,-0.3729620255745193,True
27000,27,-173.3963057633846,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7339630576338454,0,-0.04042296687628819,-0.37286895142863313,True
28000,28,-174.52881015639926,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7252881015639927,2,-0.041132745713927894,-0.36816784511367584,True
29000,29,-169.49072635030612,[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.],1.704907263503061,0,-0.03940974394066745,-0.3523239022022633,True
30000,30,-156.34745292074115,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.],1.5634745292074115,1,-0.04339369147364535,-0.36050544477517543,True
31000,31,-155.25774259290088,[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.],1.5625774259290086,0,-0.045139137647690196,-0.324108138647106,True
32000,32,-160.21699043393195,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],1.5921699043393192,2,-0.047776879538364486,-0.3441302046133887,True
33000,33,-166.05223687402327,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.6605223687402326,0,-0.04439317814974471,-0.3052602195599651,True
34000,34,-164.04228299976333,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.6404228299976333,0,-0.04445039143639031,-0.2864280078417976,True
35000,35,-160.8278635584058,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.5982786355840581,1,-0.05041526175610073,-0.3309348288130506,True
36000,36,-162.909578294777,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],1.60909578294777,3,-0.04861473088968018,-0.33130360090897737,True
37000,37,-148.6095617383776,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.4760956173837758,1,-0.04546571908015647,-0.3310245427145659,True
38000,38,-174.05329531801445,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.6905329531801445,5,-0.04882578844002733,-0.3581807485966611,True
39000,39,-162.4917673205609,[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.],1.6249176732056079,1,-0.053688313184676914,-0.39755491367927437,True
40000,40,-177.89516729513053,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7789516729513055,0,-0.056316079740226996,-0.4366584771798043,True
41000,41,-160.0938496999937,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.6009384969999367,0,-0.05238056363639061,-0.3939873736176076,True
42000,42,-162.51554520325521,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.],1.6351554520325515,0,-0.051805115309644385,-0.3798741900231627,True
43000,43,-171.04128081845596,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7104128081845595,0,-0.05202078531646822,-0.38835756683855815,True
44000,44,-174.24078724838913,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.742407872483891,0,-0.05305983857867184,-0.4041948922506146,True
45000,45,-175.68084889099654,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.756808488909966,0,-0.05275824070081904,-0.40168391388453895,True
46000,46,-166.25195749429062,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.6525195749429051,1,-0.0527151000824328,-0.37673503061018454,True
47000,47,-178.8623897547575,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.748623897547575,4,-0.05044769192621312,-0.36921854991917535,True
48000,48,-160.12517650902646,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.],1.6012517650902642,1,-0.04920281626586378,-0.3598352923589209,True
49000,49,-153.8899535825179,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.5288995358251787,1,-0.04859859408356062,-0.36397493106793855,True
50000,50,-162.9731954445099,[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],1.6397319544450988,0,-0.05101760398318583,-0.37763480240065544,True
51000,51,-169.70384937101454,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.6970384937101455,0,-0.04866746788791109,-0.39058369833237305,True
52000,52,-163.7862352162073,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.6278623521620728,1,-0.04477366424480491,-0.35868508128047183,True
53000,53,-172.34825676839043,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.723482567683905,0,-0.04535747621842399,-0.37313517481994424,True
54000,54,-170.74980172553668,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.6674980172553666,4,-0.047366349029247495,-0.39205235846134506,True
55000,55,-170.22315877593084,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7022315877593084,0,-0.04479188049213421,-0.36810072008453426,True
56000,56,-158.7119368319504,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.5871193683195046,0,-0.04457740271614966,-0.36274126431489745,True
57000,57,-164.22511137275143,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.6322511137275146,1,-0.04484097075688687,-0.3651027678948977,True
58000,58,-172.00819239656946,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7100819239656944,1,-0.047409706810674454,-0.3935764090475854,True
59000,59,-159.19266910309153,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],1.6019266910309147,0,-0.0476015713390173,-0.39638839474428095,True
60000,60,-154.3438370363119,[0. 0. 0. 0. 1. 0. 0. 1. 0. 0.],1.563438370363119,0,-0.046824207751150725,-0.4071742083505451,True
61000,61,-151.1968450971459,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],1.5219684509714586,0,-0.04560545465564708,-0.39886707776415753,True
62000,62,-172.8656990365894,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7286569903658933,0,-0.04913856519372325,-0.4296331486592868,True
63000,63,-160.4188356051657,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.6041883560516574,0,-0.0492866011431911,-0.4347939664521878,True
64000,64,-163.02429115258812,[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],1.6402429115258814,0,-0.04733563047743928,-0.4291574695717168,True
65000,65,-153.22119359096,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],1.5322119359096007,1,-0.04624337162626594,-0.4256725870111415,True
66000,66,-156.7712095169497,[1. 0. 0. 1. 0. 0. 0. 0. 0. 1.],1.5977120951694967,0,-0.04399749794930165,-0.4142831307726407,True
67000,67,-159.27793104584435,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.5927793104584433,0,-0.04121324355169521,-0.401008326828594,True
68000,68,-162.07639001620473,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.6107639001620473,1,-0.040433955058870194,-0.40372234791591516,True
69000,69,-160.0812782416715,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.6008127824167153,0,-0.03978814355119012,-0.3920785320110419,True
70000,70,-171.7755875452897,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7077558754528976,1,-0.04164188610836572,-0.40322991577804246,True
71000,71,-157.91849086752032,[0. 0. 1. 0. 0. 0. 0. 0. 1. 0.],1.5991849086752041,0,-0.04350990443698067,-0.4220580980358674,True
72000,72,-176.38803528869178,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7638803528869174,0,-0.04358561812871105,-0.42772901704242033,True
73000,73,-157.99466319881222,[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.],1.5899466319881217,0,-0.04125598536979938,-0.4035271656463917,True
74000,74,-175.98139685993607,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7598139685993603,0,-0.04249732586602575,-0.41450350305737066,True
75000,75,-167.6265990233755,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.6662659902337549,1,-0.04324588433147292,-0.4231270925978024,True
76000,76,-163.5023296353261,[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.],1.6350232963532612,1,-0.04272099048827697,-0.41424857474733134,True
77000,77,-164.3367803502652,[0. 0. 1. 0. 1. 0. 0. 0. 0. 0.],1.6533678035026529,1,-0.0399246834920339,-0.3885230452023494,True
78000,78,-163.57481487630676,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.6457481487630676,0,-0.04136162218240945,-0.4079353770778275,True
79000,79,-158.34815142675905,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.],1.563481514267591,3,-0.041956416907621905,-0.41164507233907427,True
80000,80,-168.9623026306363,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.6696230263063623,2,-0.04325045971846157,-0.42180129988545195,True
81000,81,-162.6626892411335,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.],1.6266268924113343,1,-0.044817301021074306,-0.42676654953482085,True
82000,82,-178.10477501124709,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7710477501124702,1,-0.045386230426490176,-0.4285602766672478,True
83000,83,-158.71284579685585,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.5671284579685585,2,-0.0462664056325865,-0.4305376472657512,True
84000,84,-170.2775032429039,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7027750324290383,0,-0.048197766817010275,-0.44244101940694236,True
85000,85,-175.07190187112766,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.750719018711276,0,-0.04851418403492425,-0.4476678634639949,True
86000,86,-167.96909354006598,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.6796909354006593,0,-0.047986912405509896,-0.4398168692163982,True
87000,87,-174.83584688773652,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7383584688773652,1,-0.0481613091204664,-0.44087433621446415,True
88000,88,-166.94949643846357,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.6494949643846355,2,-0.049218263028386985,-0.44282825088502664,True
89000,89,-162.47406079057163,[0. 0. 1. 0. 0. 1. 0. 0. 0. 0.],1.6347406079057156,1,-0.04864015450620183,-0.4347827631234452,True
90000,90,-172.9160315131789,[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],1.7191603151317887,2,-0.048642690058152464,-0.43382251811631434,True
91000,91,-164.95049909198445,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],1.659504990919845,0,-0.04675158315745168,-0.4117127425280757,True
92000,92,-156.8120363839351,[0. 0. 0. 0. 0. 0. 0. 0. 1. 1.],1.5781203638393513,1,-0.0464219615264032,-0.41597057533924786,True
93000,93,-169.01208193448997,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.6901208193448993,0,-0.04664919139304285,-0.42253774072913425,True
94000,94,-178.46546913865922,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],1.7846546913865928,1,-0.04667000815304686,-0.4196738180399614,True
95000,95,-176.1944061641677,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7619440616416775,0,-0.04738635475122474,-0.4220013691781833,True
96000,96,-164.73145941492967,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.6373145941492964,1,-0.04792690350875546,-0.4280756359723682,True
97000,97,-148.2225887606212,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.],1.4922258876062122,0,-0.04789922209149473,-0.4208584215847962,True
98000,98,-173.5038292030415,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7250382920304148,1,-0.04641751021840663,-0.4096690807782089,True
99000,99,-153.2918598975485,[1. 0. 0. 0. 0. 0. 0. 0. 1. 0.],1.542918598975485,1,-0.04617133277581418,-0.4072323240262366,True
100000,100,-167.30859084587254,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.663085908458725,1,-0.04682923623076785,-0.41268486025135354,True
101000,101,-157.1874361189222,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.571874361189221,0,-0.04603414547745061,-0.39973071501141794,True
102000,102,-166.52695102730345,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.6652695102730335,0,-0.047348796714180866,-0.41495298276777354,True
103000,103,-164.66901189571308,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.6366901189571303,1,-0.04560709344159989,-0.40203977634853233,True
104000,104,-152.77163631772825,[1. 0. 0. 0. 1. 0. 0. 0. 0. 0.],1.547716363177283,0,-0.0458349344787166,-0.40590402178263574,True
105000,105,-154.13684065914322,[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.],1.5413684065914321,1,-0.04454180300814637,-0.39718835551576503,True
106000,106,-155.44627873632172,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.5544627873632166,0,-0.04492540560111558,-0.3989357851663665,True
107000,107,-165.56697067288235,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.6456697067288226,1,-0.045992654753767584,-0.4109166356259791,True
108000,108,-162.1007552184281,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.621007552184281,0,-0.047022285446875214,-0.41607703553841324,True
109000,109,-151.71198890013923,[0. 1. 0. 0. 0. 0. 0. 0. 1. 0.],1.5371198890013924,0,-0.04795418458672613,-0.42531548168310346,True
110000,110,-171.39998043413902,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],1.6939998043413902,3,-0.04773173391550319,-0.4265091005701834,True
111000,111,-158.83336076130345,[0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],1.5983336076130348,0,-0.046572915593075394,-0.40745869898947185,True
112000,112,-177.97999375727156,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7797999375727154,0,-0.04645552750068938,-0.4052100296613506,True
113000,113,-171.0381779882555,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.6703817798825553,4,-0.04652689963265088,-0.4081122758858247,True
114000,114,-167.67404746818545,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.6667404746818548,1,-0.04583118594990019,-0.40452467777057455,True
115000,115,-172.60834096448363,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7160834096448363,1,-0.04398685015052805,-0.376029500634388,True
116000,116,-168.65025285765105,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.6865025285765112,0,-0.043160582710538464,-0.36660007459787797,True
117000,117,-161.46253948939295,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.6146253948939295,0,-0.041495497676567024,-0.34491499504816603,True
118000,118,-179.72652978941585,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],1.807265297894158,0,-0.04152875175394865,-0.3359081021833055,True
119000,119,-167.75395796478728,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.6675395796478727,1,-0.04160426930652686,-0.33607951659644525,True
120000,120,-169.05252352288375,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.6905252352288371,0,-0.040582725193328464,-0.3303453866768432,True
121000,121,-167.64402167124936,[0. 0. 0. 1. 0. 0. 0. 0. 0. 0.],1.6864402167124946,0,-0.040417430665328845,-0.3303819095960677,True
122000,122,-170.35659981826015,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7035659981826026,0,-0.040672917582728514,-0.33050167975707156,True
123000,123,-152.11653959231182,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],1.5311653959231177,0,-0.03966745682622565,-0.31913638015618767,True
124000,124,-157.30248301615268,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.543024830161526,3,-0.04102059417860155,-0.32522509038865527,True
125000,125,-157.52973842642854,[0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],1.5852973842642848,0,-0.04081467378658825,-0.3208314983000269,True
126000,126,-163.50430076663702,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.6350430076663702,0,-0.0419875381245901,-0.3299396854227754,True
127000,127,-173.29495236491925,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7229495236491916,1,-0.04416766943400529,-0.3434564633563005,True
128000,128,-173.56168355185426,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7356168355185426,0,-0.04669296004272496,-0.3609384789646026,True
129000,129,-160.41426369720912,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.6041426369720913,0,-0.04579360943224101,-0.34932350625663383,True
130000,130,-164.47038971413696,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.64470389714137,0,-0.04621434551099195,-0.3531059932268187,True
131000,131,-164.89569548856494,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.6289569548856488,2,-0.04678942733712318,-0.3592346549018156,True
132000,132,-153.28391779270657,[0. 1. 0. 0. 0. 1. 0. 0. 0. 0.],1.5528391779270654,0,-0.046262977435673584,-0.35707980241293463,True
133000,133,-158.20826290175248,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.],1.5720826290175247,2,-0.04642136359643003,-0.35807809366913196,True
134000,134,-160.43673322437039,[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],1.6143673322437035,0,-0.04723886465743803,-0.3627941932478681,True
135000,135,-152.9895385885418,[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.],1.5398953858854176,0,-0.047625332320795646,-0.3661705099169922,True
136000,136,-166.4353010735396,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.6543530107353959,1,-0.04778740363475984,-0.37012064183728666,True
137000,137,-178.83911160459604,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7783911160459598,1,-0.04853188707431745,-0.37819077757930186,True
138000,138,-160.76461330361835,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.],1.5976461330361837,2,-0.04905196568108374,-0.3827764041440937,True
139000,139,-167.09760668491452,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.6609760668491456,1,-0.04925453216430129,-0.3867921449760804,True
140000,140,-170.93353145908884,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.70933531459089,0,-0.0498264342015079,-0.3931459858912474,True
141000,141,-149.2732904336483,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.472732904336483,2,-0.050155940664266874,-0.39517080568775664,True
142000,142,-180.69846579196158,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7869846579196156,2,-0.051553585208370556,-0.4118890808722196,True
