timesteps,episodes,total_reward,faf_reach,average_drift,total_intrusions,average_vinput,average_hdginput,TimeLimit.truncated
350,1,-115.3354001368759,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0.],1.6762200019553701,1,-0.0017806330645856049,-0.7942920748477004,True
700,2,-122.20093396578935,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7171561995112763,3,-0.009932011968880293,-1.1688999772703808,True
1050,3,-142.642623126409,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.8663231875201283,12,0.0029714416314770157,-0.503613913188123,True
1400,4,-120.35694376483158,[0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1.],1.7336706252118799,1,0.002540942355262814,-0.9010470885814617,True
1750,5,-122.74538036367206,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0.],1.7249340051953153,4,0.0029914499190137056,-0.7856447212346497,True
2100,6,-122.2268306595,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0.],1.7175261522785714,3,0.00748267890715007,-0.2887078668901397,True
2450,7,-125.11008052699567,[0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0.],1.8015725789570813,2,0.004174857361453624,-0.4093960130654931,True
2800,8,-119.43788357592683,[0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7062554796560976,2,0.0016590850815139545,-0.5184919912861785,True
3150,9,-119.08699192641873,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],1.6869570275202674,3,0.0013168171833598218,-0.506894280285009,True
3500,10,-120.79881284806359,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0.],1.7114116121151937,2,0.0016184759780382071,-0.4717472071908248,True
3850,11,-130.63341084175133,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0.],1.8947630120250194,0,0.002438879041522802,-0.431799793334953,True
4200,12,-119.02650721423507,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0.],1.7289501030605006,0,0.0021200562666317205,-0.17382188166312906,True
4550,13,-116.0285992819996,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],1.6289799897428512,4,0.00046745484360864075,-0.07695507537269745,True
4900,14,-124.44444670362738,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7634920957661053,1,0.0003960140547066231,-0.19788214425518943,True
5250,15,-114.98851323196885,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.614121617599555,2,8.215463481818526e-05,0.03577545670135546,True
5600,16,-126.6319592201494,[0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.8090279888592768,2,0.0013506284320250676,0.07771212290294248,True
5950,17,-120.08845288564076,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0.],1.7298350412234396,2,0.0020755175992100794,-0.012489313894942473,True
6300,18,-129.05626262450613,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.800803751778659,4,0.0005457841389111958,0.05954547141196339,True
6650,19,-115.42599354580649,[0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.6489427649400925,1,0.00039420424125459713,0.05075348500937882,True
7000,20,-104.17986769071379,[0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 1. 0.],1.4882838241530536,5,0.0005515048883550792,0.04887850476586859,True
7350,21,-122.41295909140378,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 1. 0. 0.],1.7630422727343398,2,0.0005675306137120406,-0.027465407537267904,True
7700,22,-129.08113037113156,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],1.829730433873308,2,0.00019451949119448053,-0.012629401959424427,True
8050,23,-120.25124549805173,[0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],1.7464463642578822,1,0.0003530395696635079,0.002019308165210351,True
8400,24,-128.45793428303745,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.8208276326148207,2,-0.00032234383153861146,0.0040593949456316685,True
8750,25,-108.84801000112661,[1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0.],1.554971571444666,4,0.0002635099912590314,0.024216359771522027,True
9100,26,-130.8370000288405,[0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.869100000412007,2,9.800004730585407e-05,0.04614252128694616,True
9450,27,-114.68034650258465,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],1.652576378608352,1,0.00014879855224097372,-0.07567248104688977,True
9800,28,-119.05408579865521,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.6579155114093602,4,0.00040122143079222915,-0.02231806700093534,True
10150,29,-122.29658140436078,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0.],1.7185225914908682,3,0.000615089609544094,-0.02305987688159086,True
10500,30,-121.14799701505741,[0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0.],1.7163999573579627,3,0.00012094739074105054,-0.043674914817383975,True
10850,31,-125.75528078582113,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7679325826545875,3,4.047989082037984e-05,-0.03778868578747237,True
11200,32,-126.45770752588865,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7636815360841236,3,-0.00010180469703527706,0.03686969371434056,True
11550,33,-120.84074044700968,[0. 0. 0. 1. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0.],1.769153434957281,1,0.0005464446420990585,0.10378248354158509,True
11900,34,-122.45359743429319,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],1.7207656776327598,3,0.0012306033215963524,0.112579610883361,True
12250,35,-125.21928027491599,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7602754324988,2,0.0010212683132413075,0.12598187361047983,True
12600,36,-121.33134362119777,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7190191945885394,1,0.0005684845630275959,0.09927046164375497,True
12950,37,-116.5690888933698,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 1. 0.],1.6652726984767117,4,6.617906863778033e-05,0.022437803604227445,True
13300,38,-116.31520677508999,[0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],1.6045029539298565,7,-0.0002636972879141344,-0.001365981443239817,True
13650,39,-108.67305799298029,[1. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0.],1.4953293998997186,8,-0.0006661820958223814,0.015244555302478558,True
14000,40,-125.25365916961363,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0.],1.746480845280195,5,-0.0004215741667542586,-0.016965538075871468,True
14350,41,-118.1188312186461,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0.],1.687411874552087,1,-0.000691344565025136,-0.01123850634546694,True
14700,42,-125.22706171019438,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7889580244313483,1,-0.0008221782971086708,-0.0025786442914383714,True
15050,43,-124.5166202747629,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],1.7359517182108986,4,-0.001441453754197931,-0.014630632716686654,True
15400,44,-125.57145515373021,[1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.8081636450532883,1,-0.0010896172914804732,-0.02593171113511236,True
15750,45,-120.36735296779588,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],1.7195336138256558,1,-0.0014937369514463215,0.006892947001865,True
16100,46,-107.4441340308917,[0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.5063447718698817,3,-0.0011580999713052215,-0.0008555383368605684,True
16450,47,-130.51285426343856,[0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.8644693466205504,1,-0.0006819198270866454,0.03000815567882671,True
16800,48,-110.3616220876574,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 0.],1.6051660298236772,1,-0.0008699830675901207,0.03162571220826586,True
17150,49,-126.06821793523483,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],1.8009745419319254,1,-0.0009278881728079196,0.06618563319308142,True
17500,50,-126.76617204745106,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0.],1.7252310292493012,7,-0.0005017854416333389,0.07368752361459026,True
