timesteps,episodes,total_reward,faf_reach,average_drift,total_intrusions,average_vinput,average_hdginput,TimeLimit.truncated
350,1,-63.00483895668242,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.8001382559052115,0,-0.02704931209795177,-1.7508678954094647,True
700,2,-52.98229238582974,[0. 0. 1. 1. 0. 1. 0. 0. 0. 0.],1.599494068166564,0,-0.02061786175589077,-0.677895153420312,True
1050,3,-61.109810024292436,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7459945721226413,0,-0.002176774426562978,-0.40713528040131286,True
1400,4,-59.90495881661008,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7115702519031453,0,-0.0075930120143207856,-0.04783401847983312,True
1750,5,-61.04506883382333,[0. 0. 0. 0. 0. 1. 0. 1. 0. 0.],1.7155733952520948,3,-0.00498114231328613,-0.41974018913294586,True
2100,6,-62.97442495153615,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7992692843296039,0,0.0021508423605423777,-0.7866062945719542,True
2450,7,-54.79788697942223,[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.],1.5942253422692068,0,0.0024957144700884057,-0.712071052081384,True
2800,8,-59.07295397233172,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.687798684923763,0,0.004081239182019739,-0.9064344389529392,True
3150,9,-57.82331101567176,[0. 1. 0. 0. 0. 0. 0. 0. 1. 0.],1.7092374575906215,0,0.004004212811234451,-0.9285697275930683,True
3500,10,-65.23299005431328,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.8637997158375217,1,0.00298269702593929,-0.8375895066654941,True
3850,11,-59.70760448075713,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7059315565930606,0,0.003098752420915702,-0.6807324370347393,True
4200,12,-61.896423494054375,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7684692426872684,0,0.0031617995693592267,-0.8271789691595975,True
4550,13,-60.33448338353017,[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.],1.723842382386576,1,0.002012520406528243,-1.0248186175063494,True
4900,14,-65.14828199970285,[0. 0. 0. 1. 0. 0. 0. 0. 0. 0.],1.8899509142772246,0,0.002306621658226133,-1.1193064737624883,True
5250,15,-62.28823082520389,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7225208807201107,3,0.0015008296735052552,-0.8947238924821639,True
5600,16,-59.223082660396244,[0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],1.7206595045827497,0,0.0037930482824906774,-0.968619039643454,True
5950,17,-56.86117446261607,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],1.6531764132176021,0,0.005094920760979328,-1.049697755781509,True
6300,18,-62.27014754565215,[0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],1.8077185013043473,0,0.0037497478342681592,-1.0512759034950119,True
6650,19,-61.900844706985026,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7400241344852858,1,0.0024456171517582485,-1.1701700957750647,True
7000,20,-64.00496141806443,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7715703262304126,2,0.003955010437955414,-1.220474931183562,True
7350,21,-63.12006323294295,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.8034303780840841,0,0.002517503584674908,-1.2170882268330054,True
7700,22,-54.5540911480574,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.],1.5872597470873546,0,0.0022090923993140703,-1.2226226990621811,True
8050,23,-56.739366017956144,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.6496961719416043,0,0.003518215958853339,-1.2002434570645633,True
8400,24,-64.79384223810551,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.8512526353744432,0,0.003912773230293255,-1.1217981020062455,True
8750,25,-55.0330261716107,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],1.6009436049031625,0,0.002993572436978242,-1.1021426931126377,True
9100,26,-64.77106515031313,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7934590042946605,2,0.0020431302721320476,-1.1228705860391979,True
9450,27,-53.15321225802916,[0. 0. 0. 1. 0. 0. 0. 0. 0. 0.],1.5472346359436906,0,0.0017494578561351374,-1.1130231662268106,True
9800,28,-59.571358148915884,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.],1.6734673756833107,2,0.0011377577997425724,-1.0871787837608207,True
10150,29,-62.5544590206409,[0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],1.8158416863040252,0,0.0015284731416742826,-0.9478263806261803,True
10500,30,-60.397401217504175,[0. 0. 1. 0. 0. 0. 0. 0. 1. 0.],1.754211463357262,1,0.002797276590562736,-0.9711286124173785,True
10850,31,-55.8074418185285,[0. 1. 0. 0. 0. 0. 0. 1. 0. 0.],1.5944983376722426,2,0.0037136083194011745,-0.9512528076303601,True
11200,32,-62.57228765090512,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7877796471687173,0,0.003720756090094385,-0.94280556829838,True
11550,33,-57.59900315028968,[0. 1. 0. 1. 0. 1. 0. 0. 0. 0.],1.6742572328654197,2,0.0037461180265920308,-0.9589341503591428,True
11900,34,-63.163855347367274,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7475387242104934,2,0.0024053151977733718,-0.9441120915057406,True
12250,35,-62.233604165056555,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7209601190016162,2,0.0019055837920952435,-0.8957850685139063,True
12600,36,-56.335224666057016,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.6095778476016291,1,0.0016500702252406406,-0.9377845155734187,True
12950,37,-60.92287406042872,[0. 1. 0. 0. 1. 0. 0. 0. 0. 0.],1.6263678302979634,6,0.001871204378023118,-0.8851891140441157,True
13300,38,-67.73816619520969,[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.],1.9639476055774192,0,0.001557014525130118,-0.8577343714141848,True
13650,39,-64.33754277982015,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.8096440794234332,1,0.0014267800074631873,-0.8387525080032212,True
14000,40,-65.19654903872053,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.8341871153920153,1,0.0009157081355848017,-0.8401255196779676,True
14350,41,-58.86166757473677,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],1.7103333592781937,0,0.0014187355873861288,-0.7799501134258109,True
14700,42,-57.060605834514355,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.6303030238432672,0,0.002677505425843537,-0.797936556049164,True
15050,43,-63.283644098005944,[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.],1.836675545657312,0,0.0027011414321233824,-0.7567800519626898,True
15400,44,-57.95807280794425,[0. 0. 0. 0. 0. 1. 0. 0. 1. 0.],1.6845163659412645,1,0.002524769641689551,-0.6932767259097067,True
15750,45,-52.66481140697222,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.533280325913492,0,0.0017548042612837715,-0.6483410129012607,True
16100,46,-54.99313204736656,[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.],1.571232344210473,1,0.0018658069869024701,-0.5961418585478139,True
16450,47,-52.04418789487948,[1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],1.5441196541394138,0,0.0021590644671011286,-0.5898003264247704,True
16800,48,-56.29037298600478,[0. 0. 0. 0. 1. 0. 0. 0. 0. 1.],1.6082963710287084,2,0.0026155010438032194,-0.5826897613102898,True
17150,49,-58.449838234196996,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.6699953781199137,0,0.002730012343868575,-0.5813875713226292,True
17500,50,-60.24688021108493,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.6927680060309978,1,0.0021805736992940574,-0.6040770576400183,True
17850,51,-53.97811612616118,[0. 1. 0. 0. 0. 0. 0. 0. 1. 0.],1.5993747464617483,0,0.0017898334447700134,-0.5826965480834977,True
18200,52,-61.6642238674985,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.],1.790406396214243,0,0.0016974996486493223,-0.5770328896843149,True
18550,53,-58.355335698061,[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],1.6958667342303142,0,0.0020804733770549287,-0.5813179996357434,True
