timesteps,episodes,total_reward,faf_reach,average_drift,total_intrusions,average_vinput,average_hdginput,TimeLimit.truncated
1000,1,-179.93787864016767,[0. 0. 0. 1. 0. 1. 0. 0. 0. 0.],1.7993787864016761,2,0.09695716600577665,1.0819644059138696,True
2000,2,-179.74019036486334,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.797401903648633,0,0.023064340258442527,0.5281731864013871,True
3000,3,-170.10165162997654,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7010165162997652,1,0.051793900466497185,0.7928450083201859,True
4000,4,-184.41251115350465,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.],1.8341251115350465,2,0.12900382148961384,1.386855653112064,True
5000,5,-164.62932325067376,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.6562932325067377,0,0.14577483089955773,1.4899573609510501,True
6000,6,-179.54011987813684,[0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],1.795401198781368,1,0.15876172832475874,1.528532510075258,True
7000,7,-162.7388785555842,[0. 0. 0. 0. 1. 0. 0. 1. 1. 0.],1.6473887855558416,1,0.2021320188626798,1.856313444438395,True
8000,8,-174.84817742666533,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7584817742666532,0,0.23231548202653807,2.094691415260201,True
9000,9,-176.07077874484605,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7507077874484602,1,0.2508864083013718,2.159531831922324,True
10000,10,-165.88502641566498,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],1.65885026415665,1,0.2828387252797292,2.441086116387419,True
11000,11,-174.1307780804121,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7413077808041217,0,0.29080889873519145,2.47778047676698,True
12000,12,-179.26312157073986,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.],1.8026312157073994,0,0.2979150023898819,2.534318671883785,True
13000,13,-154.54916480154066,[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.],1.5454916480154066,1,0.31244623826937845,2.653122537169679,True
14000,14,-175.14913807405873,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7414913807405867,1,0.3207224530698009,2.7223964687642397,True
15000,15,-172.815625522311,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7281562552231102,0,0.3351501247756751,2.841983084429616,True
16000,16,-163.12359440914358,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.6312359440914366,0,0.35245321218604886,3.0086726661858285,True
17000,17,-169.50993845248578,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.6850993845248576,1,0.36894630068129225,3.15962324379938,True
18000,18,-154.21514391126365,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.5421514391126372,0,0.3748007039620704,3.206434034050599,True
19000,19,-159.20372479987375,[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],1.6020372479987375,0,0.39607117805614844,3.406414659563895,True
20000,20,-167.9732258855594,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],1.6897322588555936,0,0.40383845417745945,3.500311061553146,True
21000,21,-169.17943145393255,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.6917943145393244,0,0.4291998776135751,3.7099379153260976,True
22000,22,-160.56314069611372,[0. 0. 0. 1. 1. 0. 0. 0. 0. 0.],1.6256314069611368,0,0.4454596293970313,3.7949914957239645,True
