timesteps,episodes,total_reward,faf_reach,average_drift,total_intrusions,average_vinput,average_hdginput,TimeLimit.truncated
350,1,-131.5948691620203,[0. 0. 1. 0. 1. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.6227838451717187,104,0.04095352713457579,4.18973005893858,True
700,2,-170.71379183240794,[0. 1. 1. 0. 1. 1. 1. 1. 1. 1. 1. 0. 1. 1. 1. 1. 0. 1. 0. 1.],0.7387684547486848,134,0.027918456515629263,1.4891830430011113,True
1050,3,-99.47117422153079,[1. 0. 1. 1. 1. 1. 0. 1. 1. 0. 1. 0. 1. 0. 0. 1. 0. 0. 0. 1.],1.0495882031647255,37,0.013810857917270413,0.6928030566474853,True
1400,4,-57.741135585337524,[1. 1. 1. 0. 1. 1. 0. 1. 1. 1. 1. 0. 1. 0. 0. 0. 1. 1. 1. 1.],0.5963019369333931,30,0.004438359811668892,1.2951752331928208,True
1750,5,-96.01417150811328,[1. 1. 0. 1. 1. 1. 1. 1. 1. 1. 1. 0. 1. 1. 1. 0. 0. 1. 1. 0.],0.7287738786873325,60,0.0037237233347389917,0.5014056601925185,True
2100,6,-92.03754089219214,[1. 1. 0. 1. 1. 1. 1. 0. 1. 0. 1. 1. 1. 0. 0. 1. 0. 1. 0. 0.],0.8005362984598875,48,0.006524155728718316,-0.290357885667913,True
2450,7,-197.3307146884106,[1. 0. 1. 1. 1. 1. 1. 0. 1. 1. 1. 0. 1. 1. 1. 0. 1. 0. 1. 1.],0.7332959241201513,161,-0.0031596114989562024,0.014911875266854937,True
2800,8,-130.8390228716586,[1. 0. 1. 1. 0. 1. 1. 0. 1. 0. 1. 1. 1. 1. 1. 0. 1. 0. 1. 0.],0.783414612452266,89,-0.0015167141015077564,0.2753685628341107,True
3150,9,-133.25314750389632,[1. 0. 1. 1. 0. 1. 1. 0. 1. 0. 1. 1. 1. 1. 1. 0. 1. 1. 1. 0.],0.6321878214842329,103,-0.0015563408203631422,0.46813760282835976,True
3500,10,-50.352382418835596,[1. 0. 0. 1. 1. 1. 1. 0. 0. 1. 1. 1. 1. 1. 1. 0. 0. 1. 1. 0.],0.8193197488405083,6,-0.0015583068005608893,0.5570063482553081,True
3850,11,-72.993931184851,[1. 0. 0. 1. 1. 1. 1. 1. 0. 1. 0. 1. 0. 1. 1. 0. 0. 1. 0. 0.],0.8141990169264426,27,0.0006637399962122354,0.5809742040940206,True
4200,12,-104.63076133246751,[1. 1. 1. 1. 0. 1. 1. 1. 0. 1. 0. 0. 1. 1. 0. 1. 1. 1. 0. 1.],0.7947251618923933,63,0.0010050941186933809,0.6254894662921889,True
4550,13,-54.989325376299576,[0. 1. 0. 1. 0. 1. 1. 1. 1. 1. 1. 0. 1. 1. 0. 0. 1. 1. 0. 0.],0.9427046482328508,1,0.0010120551631283452,0.29988415703900373,True
4900,14,-91.40716424569804,[1. 1. 1. 0. 0. 1. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0.],0.7629594892242579,53,0.0009757245529004949,0.5621643591070279,True
5250,15,-196.08992060350613,[1. 1. 1. 1. 0. 1. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0.],0.501284580050087,177,0.00291410926120081,0.5582227143012553,True
5600,16,-78.59716333235187,[1. 0. 1. 0. 1. 1. 1. 1. 0. 0. 1. 1. 1. 1. 0. 0. 1. 1. 1. 0.],0.751388047605027,39,0.002787719057548511,0.5546103634278354,True
5950,17,-122.89781945672443,[1. 0. 1. 0. 1. 1. 1. 1. 0. 0. 1. 1. 1. 1. 1. 0. 1. 0. 1. 0.],0.7271117065246349,85,0.004411735441950426,0.6815070893902423,True
6300,18,-100.35813660577213,[1. 0. 1. 0. 0. 1. 0. 1. 1. 1. 1. 0. 1. 1. 1. 1. 0. 0. 1. 0.],0.9051162372253162,49,0.003685548019262757,0.5959986591450454,True
6650,19,-44.78224440896326,[1. 0. 1. 0. 1. 1. 0. 1. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 1. 0.],0.5254606344137609,23,0.0023935449459008135,0.739289896767631,True
7000,20,-104.80699340782814,[1. 0. 1. 0. 1. 1. 0. 1. 1. 1. 1. 0. 1. 1. 1. 1. 1. 0. 1. 0.],0.5543856201118305,80,0.0036818988301457987,0.5915819951736658,True
7350,21,-123.13546383805094,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 1. 0. 1. 0. 1. 0. 0. 1.],0.5305066262578706,101,0.0028600728896566283,0.4207663972619184,True
7700,22,-48.56296383143754,[1. 1. 0. 1. 0. 1. 1. 1. 1. 0. 1. 0. 1. 0. 1. 0. 1. 1. 1. 1.],0.8366137690205364,4,0.003440761571925365,0.41630393331063914,True
8050,23,-121.9008905817755,[1. 1. 1. 0. 0. 1. 1. 1. 1. 0. 1. 1. 1. 0. 1. 0. 1. 1. 1. 1.],0.6128698654539355,94,0.004979844365390366,0.4000050645672523,True
8400,24,-93.62128258859589,[1. 0. 0. 0. 1. 1. 1. 1. 1. 1. 1. 0. 1. 1. 1. 0. 1. 0. 1. 0.],0.6660183226942268,60,0.004735683165451768,0.2647535618797431,True
8750,25,-65.61485236519873,[1. 0. 1. 0. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 1. 0. 1. 0.],0.4230693195028389,51,0.006370046661544007,0.26407215733648604,True
9100,26,-115.3491960619489,[1. 0. 1. 0. 1. 0. 1. 1. 1. 0. 1. 0. 1. 1. 1. 0. 1. 0. 0. 0.],0.8621313723135555,66,0.004625337495545265,0.3202253924829413,True
9450,27,-86.3296722049369,[1. 0. 1. 1. 1. 1. 1. 0. 0. 0. 1. 0. 1. 1. 1. 1. 1. 1. 1. 0.],0.8332810314990988,42,0.004849985514649157,0.3224776289650804,True
9800,28,-142.1369628342612,[1. 1. 1. 0. 1. 1. 1. 0. 1. 1. 0. 1. 0. 0. 0. 1. 1. 0. 1. 0.],0.701956611918017,105,0.005288636877491302,0.31378219829029486,True
10150,29,-30.68836677780456,[1. 1. 1. 1. 1. 1. 1. 0. 1. 0. 1. 1. 0. 1. 1. 1. 1. 1. 0. 0.],0.6384052396829224,1,0.004961816429178842,0.32952953279415875,True
10500,30,-141.39512513112203,[1. 1. 1. 0. 1. 1. 0. 1. 1. 1. 1. 0. 1. 1. 1. 0. 1. 0. 1. 0.],0.6485017875874574,110,0.005153156965939906,0.35923087825762007,True
