timesteps,episodes,total_reward,faf_reach,average_drift,total_intrusions,average_vinput,average_hdginput,TimeLimit.truncated
550,1,-8.294304430480107,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.005350989645092843,18,-0.20612440016683706,-1.4055062126083957,False
1100,2,-20.27702557288009,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.005036828597819681,30,-0.22643283992779276,-1.9811560305709264,False
1570,3,-17.408437179378403,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.008690152752732012,27,-0.1434730603231064,-1.1543348429708016,False
2020,4,-38.36340638735659,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.00807569749681306,48,-0.10172403276138388,-0.7262296331415714,False
2590,5,9.626284218025743,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.006556417227618523,0,-0.1038798002077853,-0.8227754494179662,False
3140,6,2.695591519922007,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.005534699637781707,7,-0.06851067695758532,-0.6516002506786497,False
3670,7,-33.48407611605146,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.009133511623612502,43,-0.05956863084440666,-0.5173230454618037,False
4220,8,-23.323070868884276,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.00587401579789584,33,-0.07375047636905276,-0.5701791267690238,False
4790,9,-5.341668392638252,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.0059941823269868836,15,-0.07376957694347075,-0.6027900231288985,False
5370,10,-35.41180688799418,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.007100118758520272,45,-0.061611074824775,-0.47811576030385494,False
5920,11,-9.327012974659548,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.005945690448355438,19,-0.042970526323711185,-0.28531911123493775,False
6460,12,9.584149160807751,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.007700941466523132,0,-0.020936825617347006,-0.09008227408716683,False
6990,13,8.693423420237645,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.005784463769101054,1,-0.020469257900286846,-0.1206248524537767,False
7520,14,-21.23541950591816,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.0044418774701540055,31,-0.015704804567407773,-0.1626353451312392,False
8040,15,-7.221496595344685,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.0042595499104747196,17,-0.009863151442783716,-0.16002083262141473,False
8590,16,8.457234767637091,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.009868458770234706,1,-0.026176246459174657,-0.27712386881271356,False
9130,17,4.778928674593425,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.004093913433455104,5,-0.013722020599550931,-0.14313875711662838,False
9680,18,9.601696103178488,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.007241889033118399,0,-0.020962341151073725,-0.19319197904995983,False
10230,19,9.655283618703052,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.006267570569035421,0,-0.014907260511267595,-0.18336095971941213,False
10810,20,9.571671268923309,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.007384978122011918,0,-0.014179284800092586,-0.201715351750353,False
11340,21,-15.231500440388828,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.0043679328375250525,25,-0.027376265524021344,-0.3124504058084062,False
11880,22,9.635606182754023,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.006748033652703272,0,-0.027729050210320006,-0.34034539709011985,False
12450,23,9.678986039764668,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.005631823863777722,0,-0.03160823720745391,-0.3525677205810113,False
13010,24,9.671923962382028,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.00585850067174951,0,-0.029121826404512725,-0.3204917927875514,False
13580,25,6.739325122218161,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.004573243469856834,3,-0.035655525987112316,-0.36576117551050297,False
14100,26,-31.275811742092323,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.00530407196331397,41,-0.030261043988467125,-0.31251457849314085,False
14630,27,-34.23787940295493,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.004488290621791278,44,-0.028634809039907772,-0.2926759456253921,False
15180,28,9.563432698913312,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.007937587292485232,0,-0.02806105097157762,-0.29281158452782446,False
15730,29,-52.264021942311636,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.004800398951120762,62,-0.024312054100942265,-0.2711621300098406,False
16190,30,-59.318023049253966,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.006913544548999311,69,-0.025491945335856938,-0.2905780304135407,False
16760,31,-9.312701037920093,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.005485983121405132,19,-0.02810822292649591,-0.2969438368034041,False
17310,32,-3.43065842883558,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.007830153251555977,13,-0.023779510974671247,-0.26488658358860034,False
17870,33,-63.35033663377877,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.0062560113174778735,73,-0.024505806144210447,-0.2573268393699395,False
18440,34,-3.1971706247245,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.003459133767096477,13,-0.03193043959909498,-0.3056992855482212,False
19000,35,-1.329067656049868,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.005876208143747648,11,-0.03244317953981288,-0.3034964771491921,False
19480,36,-1.3965847806690177,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.008262182930604526,11,-0.03238913371411867,-0.33141475787413116,False
