timesteps,episodes,total_reward,faf_reach,average_drift,total_intrusions,average_vinput,average_hdginput,TimeLimit.truncated
350,1,-102.94464192882813,[1. 0. 1. 0. 1. 0. 1. 0. 0. 0. 1. 1. 0. 0. 0. 0. 1. 1. 0. 0.],1.29920917041183,20,0.03297772783659074,0.052548754063658894,True
700,2,-127.16988666169887,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0.],1.7452840951671262,7,0.0045431921385265615,0.4443520051334508,True
1050,3,-80.91719882038164,[0. 0. 1. 1. 0. 1. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0. 1. 1.],1.241674268862595,3,0.01357217902718802,0.04158094378368679,True
1400,4,-73.25634618132125,[0. 0. 0. 1. 0. 1. 1. 1. 0. 1. 0. 1. 1. 1. 1. 1. 1. 0. 0. 0.],1.0750906597331606,9,0.009627287646970299,0.013004982433570669,True
1750,5,-89.76010076789412,[0. 0. 1. 0. 0. 1. 0. 0. 1. 1. 1. 0. 0. 1. 1. 0. 0. 0. 1. 0.],1.239430010969916,11,0.008865291904936295,-1.4758520940675086,True
2100,6,-94.05106262992496,[0. 1. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 1. 1. 0.],1.3864437518560708,5,0.011324879472774933,-1.0421615935759911,True
2450,7,-85.02960286626802,[0. 0. 0. 0. 1. 1. 1. 1. 0. 1. 1. 0. 1. 0. 0. 0. 1. 1. 0. 0.],1.2861371838038287,4,0.009849880960189407,-0.683818925421824,True
2800,8,-90.26235924576503,[0. 0. 1. 0. 0. 0. 1. 1. 0. 1. 0. 1. 0. 0. 0. 1. 0. 1. 1. 0.],1.3894622749395005,1,0.01127521187250728,-0.3632900791698288,True
3150,9,-108.20993707594683,[0. 0. 0. 0. 1. 0. 1. 0. 0. 1. 1. 0. 1. 0. 1. 0. 0. 1. 0. 0.],1.4601419582278115,13,0.0061168195914899255,-0.2347713960710043,True
3500,10,-130.55875844418262,[0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.6508394063454659,18,0.0069492278454353715,-0.34408330697485534,True
3850,11,-99.0137198272131,[1. 0. 0. 0. 0. 1. 0. 0. 1. 1. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0.],1.4859102832459015,1,0.0063790977633818935,-0.2541707602552019,True
4200,12,-92.69417805336643,[1. 1. 0. 0. 0. 1. 1. 1. 0. 0. 0. 0. 0. 1. 0. 0. 1. 1. 0. 1.],1.3527739721909489,7,0.006311145426067475,-0.11480633546752718,True
4550,13,-102.34424592127137,[1. 1. 0. 1. 0. 1. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1.],1.376346370303877,14,0.0058196870715577975,-0.5069106555363646,True
4900,14,-98.11965751434039,[0. 1. 1. 0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0.],1.444566535919148,3,0.0056297043158849095,-0.38277733010771436,True
5250,15,-109.43372848704189,[0. 1. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1.],1.5919104069577408,3,0.006536608231479707,-0.3503828652800843,True
5600,16,-115.94761439647962,[0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0.],1.6563944913782802,4,0.008368523494327637,-0.048523916845769656,True
5950,17,-88.68531077645873,[0. 0. 0. 1. 1. 1. 0. 1. 1. 0. 1. 0. 1. 1. 1. 0. 0. 0. 0. 0.],1.338361582520839,4,0.0113758746925151,0.040831722422907425,True
6300,18,-89.82065004076634,[0. 0. 0. 1. 1. 0. 0. 1. 1. 0. 1. 1. 0. 1. 1. 0. 0. 0. 1. 1.],1.1260092862966615,21,0.011595482599984023,-0.05746756348241029,True
6650,19,-83.78194430238769,[1. 0. 1. 1. 0. 0. 1. 0. 1. 1. 0. 0. 1. 1. 1. 0. 0. 0. 0. 1.],1.2825992043198242,4,0.01197329633295351,-0.13014359896245836,True
7000,20,-121.81285010371877,[0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1.],1.7401835729102684,4,0.011943638538346065,-0.054569910857422785,True
