timesteps,episodes,total_reward,faf_reach,average_drift,total_intrusions,TimeLimit.truncated
50,1,-11.114896434074824,0,2.2229792868149647,0,True
69,2,0.7058093126965699,2,0.15483720384391064,0,False
94,3,-2.914179340755851,2,0.3656717363023408,3,False
144,4,-8.471906524928533,1,1.8943813049857068,0,True
194,5,-7.702807293659769,0,1.5405614587319547,0,True
244,6,-12.88733016118179,0,1.5774660322363574,5,True
294,7,-7.698497569220817,0,1.5396995138441634,0,True
344,8,-12.71538737663645,0,1.54307747532729,5,True
394,9,-7.708637771420485,0,1.5417275542840971,0,True
444,10,-7.705368768457862,0,1.5410737536915726,0,True
494,11,-10.782449631022644,0,1.5564899262045284,3,True
544,12,-7.888551893115027,0,1.5777103786230051,0,True
594,13,-7.725870481003708,0,1.5451740962007423,0,True
644,14,-8.77469236948171,0,1.5549384738963425,1,True
694,15,-8.702441352743902,0,1.54048827054878,1,True
744,16,-7.829814202052516,0,1.5659628404105026,0,True
794,17,-7.743707428306553,0,1.5487414856613109,0,True
844,18,-10.70697469665025,0,1.5413949393300503,3,True
894,19,-9.729147005427967,0,1.5458294010855937,2,True
944,20,-9.712785109239165,0,1.5425570218478333,2,True
994,21,-7.734651582349166,0,1.5469303164698331,0,True
1044,22,-9.885980304926957,0,1.5771960609853914,2,True
1094,23,-14.729910520596027,0,1.545982104119205,7,True
1144,24,-7.695294140930184,0,1.5390588281860367,0,True
1194,25,-8.829518179248907,0,1.5659036358497809,1,True
1244,26,-7.869457817956311,0,1.5738915635912627,0,True
1294,27,-7.741912036335078,0,1.5483824072670154,0,True
1344,28,-10.828370977043368,0,1.5656741954086733,3,True
1394,29,-9.870453629841617,0,1.5740907259683241,2,True
1444,30,-8.734121943681114,0,1.5468243887362223,1,True
1494,31,-13.766461686354637,0,1.5532923372709266,6,True
1544,32,-7.876222071617344,0,1.575244414323469,0,True
1594,33,-7.737714952486978,0,1.5475429904973956,0,True
1644,34,-7.72506629108101,0,1.5450132582162022,0,True
1694,35,-7.7960955231955875,0,1.5592191046391175,0,True
1744,36,-7.885530601393264,0,1.5771061202786527,0,True
1794,37,-7.7723669491051,0,1.5544733898210197,0,True
1844,38,-8.745786257342063,0,1.5491572514684133,1,True
1894,39,-8.70116308198794,0,1.5402326163975875,1,True
1944,40,-7.798584233026458,0,1.5597168466052915,0,True
1994,41,-7.756253650518488,0,1.5512507301036975,0,True
2044,42,-7.784881135037659,0,1.5569762270075314,0,True
2094,43,-8.72564229940688,0,1.545128459881376,1,True
2144,44,-10.731334358472456,0,1.546266871694491,3,True
2194,45,-7.7210848648414885,0,1.5442169729682975,0,True
2244,46,-9.745777070843918,0,1.549155414168784,2,True
2294,47,-7.7734953423508655,0,1.5546990684701734,0,True
2344,48,-8.721891583123043,0,1.544378316624608,1,True
2394,49,-7.7881835044261685,0,1.5576367008852336,0,True
2444,50,-7.828609362421752,0,1.5657218724843502,0,True
2494,51,-8.72685966936997,0,1.5453719338739942,1,True
2544,52,-7.721266092796408,0,1.5442532185592812,0,True
2594,53,-14.884200493596246,0,1.5768400987192503,7,True
2644,54,-13.863370590145733,0,1.5726741180291457,6,True
2694,55,-7.70718359303798,0,1.5414367186075963,0,True
2744,56,-7.779071096099358,0,1.5558142192198716,0,True
2794,57,-7.697567188110266,0,1.5395134376220534,0,True
2844,58,-11.831500659131738,0,1.5663001318263474,4,True
2894,59,-7.842220187874042,0,1.5684440375748085,0,True
2944,60,-7.722635711664448,0,1.54452714233289,0,True
2994,61,-11.88471034312559,0,1.5769420686251183,4,True
3044,62,-7.865926920721185,0,1.5731853841442367,0,True
3094,63,-7.720358020523641,0,1.5440716041047282,0,True
3144,64,-9.847071234475822,0,1.5694142468951648,2,True
3194,65,-7.765985783716153,0,1.5531971567432301,0,True
3244,66,-12.722347419893769,0,1.5444694839787534,5,True
3294,67,-7.711536352090475,0,1.5423072704180953,0,True
3344,68,-11.734953990999026,0,1.546990798199805,4,True
3394,69,-7.701044819442465,0,1.5402089638884933,0,True
3444,70,-7.722257535897509,0,1.5444515071795022,0,True
3494,71,-7.784365803440238,0,1.556873160688047,0,True
3544,72,-10.739476737604146,0,1.5478953475208292,3,True
