timesteps,episodes,total_reward,waypoints_completed,TimeLimit.truncated
300,1,2,2,True
600,2,1,1,True
900,3,1,1,True
1200,4,0,0,True
1500,5,2,2,True
1800,6,1,1,True
2100,7,3,3,True
2400,8,1,1,True
2700,9,1,1,True
3000,10,2,2,True
3300,11,0,0,True
3600,12,3,3,True
3900,13,1,1,True
4200,14,2,2,True
4500,15,1,1,True
4800,16,1,1,True
5100,17,1,1,True
5400,18,2,2,True
5700,19,4,4,True
6000,20,2,2,True
6300,21,1,1,True
6600,22,3,3,True
6900,23,0,0,True
7200,24,1,1,True
7500,25,2,2,True
7800,26,4,4,True
8100,27,4,4,True
8400,28,3,3,True
8700,29,4,4,True
9000,30,2,2,True
9300,31,1,1,True
9600,32,3,3,True
9900,33,3,3,True
10200,34,2,2,True
10500,35,3,3,True
10800,36,3,3,True
11100,37,2,2,True
11400,38,4,4,True
11700,39,2,2,True
12000,40,4,4,True
12300,41,3,3,True
12600,42,3,3,True
12900,43,2,2,True
13200,44,3,3,True
13500,45,1,1,True
13800,46,1,1,True
14100,47,3,3,True
14400,48,2,2,True
14700,49,2,2,True
15000,50,2,2,True
15300,51,4,4,True
15600,52,3,3,True
15900,53,4,4,True
16200,54,2,2,True
16500,55,2,2,True
16800,56,3,3,True
17100,57,3,3,True
17400,58,2,2,True
17700,59,3,3,True
18000,60,1,1,True
18300,61,4,4,True
18600,62,1,1,True
18900,63,3,3,True
19200,64,3,3,True
19500,65,4,4,True
19800,66,2,2,True
20100,67,2,2,True
20400,68,3,3,True
20700,69,3,3,True
21000,70,4,4,True
21300,71,3,3,True
21600,72,1,1,True
21900,73,2,2,True
22200,74,2,2,True
22500,75,3,3,True
22800,76,4,4,True
23100,77,0,0,True
23400,78,3,3,True
23700,79,1,1,True
23946,80,5,5,False
24246,81,4,4,True
24546,82,2,2,True
24846,83,3,3,True
25146,84,4,4,True
25446,85,4,4,True
25746,86,3,3,True
26046,87,2,2,True
26346,88,3,3,True
26646,89,3,3,True
26946,90,3,3,True
27246,91,4,4,True
27546,92,4,4,True
27846,93,3,3,True
28146,94,4,4,True
28446,95,3,3,True
28746,96,3,3,True
29046,97,3,3,True
29346,98,4,4,True
29646,99,3,3,True
29841,100,5,5,False
30141,101,3,3,True
30441,102,3,3,True
30741,103,2,2,True
31041,104,4,4,True
31341,105,3,3,True
31506,106,5,5,False
31806,107,1,1,True
32017,108,5,5,False
32317,109,2,2,True
32617,110,2,2,True
32917,111,3,3,True
33217,112,3,3,True
33517,113,3,3,True
