timesteps,episodes,total_reward,waypoints_completed,TimeLimit.truncated
300,1,1,1,True
600,2,2,2,True
900,3,0,0,True
1200,4,1,1,True
1500,5,0,0,True
1800,6,1,1,True
2100,7,1,1,True
2400,8,2,2,True
2700,9,4,4,True
3000,10,4,4,True
3300,11,2,2,True
3600,12,3,3,True
3900,13,3,3,True
4200,14,2,2,True
4500,15,1,1,True
4800,16,2,2,True
5100,17,1,1,True
5400,18,1,1,True
5700,19,3,3,True
6000,20,3,3,True
6300,21,2,2,True
6600,22,2,2,True
6900,23,2,2,True
7200,24,2,2,True
7500,25,3,3,True
7800,26,2,2,True
8100,27,2,2,True
8400,28,1,1,True
8700,29,1,1,True
9000,30,3,3,True
9300,31,3,3,True
9600,32,2,2,True
9900,33,0,0,True
10200,34,1,1,True
10500,35,2,2,True
10800,36,1,1,True
11033,37,5,5,False
11105,38,5,5,False
11405,39,1,1,True
11705,40,2,2,True
12005,41,0,0,True
12305,42,2,2,True
12605,43,2,2,True
12905,44,0,0,True
13205,45,2,2,True
13505,46,1,1,True
13805,47,2,2,True
14105,48,0,0,True
14405,49,2,2,True
14705,50,2,2,True
15005,51,4,4,True
15305,52,3,3,True
15605,53,1,1,True
15905,54,2,2,True
16205,55,0,0,True
16505,56,1,1,True
16762,57,5,5,False
17062,58,0,0,True
17357,59,5,5,False
17657,60,2,2,True
17957,61,0,0,True
18257,62,1,1,True
18557,63,1,1,True
18857,64,3,3,True
19157,65,3,3,True
19457,66,1,1,True
19529,67,5,5,False
19829,68,0,0,True
20129,69,0,0,True
20429,70,1,1,True
20729,71,1,1,True
21029,72,3,3,True
21318,73,5,5,False
21609,74,5,5,False
21909,75,2,2,True
22209,76,1,1,True
22509,77,2,2,True
22809,78,3,3,True
23024,79,5,5,False
23324,80,1,1,True
23624,81,0,0,True
23924,82,0,0,True
24224,83,4,4,True
24524,84,4,4,True
24824,85,0,0,True
25124,86,1,1,True
25424,87,0,0,True
25724,88,2,2,True
26024,89,1,1,True
26324,90,0,0,True
26624,91,3,3,True
26924,92,4,4,True
27224,93,2,2,True
27489,94,5,5,False
27789,95,1,1,True
27923,96,5,5,False
28132,97,5,5,False
28432,98,3,3,True
28585,99,5,5,False
28745,100,5,5,False
29045,101,0,0,True
29345,102,4,4,True
29645,103,0,0,True
29945,104,2,2,True
30245,105,4,4,True
30545,106,1,1,True
30845,107,2,2,True
31145,108,3,3,True
31445,109,3,3,True
31527,110,5,5,False
31827,111,1,1,True
32127,112,4,4,True
32427,113,2,2,True
32727,114,2,2,True
33027,115,0,0,True
33327,116,0,0,True
33627,117,3,3,True
33927,118,1,1,True
