timesteps,episodes,total_reward,total_intrusions,average_drift,TimeLimit.truncated
151,1,-52.47911504132547,37,1.025106956379172,True
209,2,-9.056504386406536,7,0.3545697217942305,True
242,3,-49.16435240690236,47,0.6558643657279905,True
358,4,-60.58946105470389,53,0.6542638840261964,True
508,5,-72.33253692965637,51,1.4221691286437586,True
544,6,-2.2432151508681453,0,0.6231153196855961,True
561,7,-14.252484331589708,13,0.7367554891704158,True
682,8,-21.577689721901095,0,1.7832801423058766,True
754,9,-15.463817921721246,12,0.4810858224612847,True
853,10,-17.362542990127707,0,1.7537922212250199,True
954,11,-41.18091494430377,30,1.1070212816142346,True
1044,12,-58.295291993774676,44,1.5883657770860746,True
1074,13,-11.647202688813909,8,1.2157342296046363,True
1121,14,-5.785261140658317,0,1.2309066256719825,True
1284,15,-110.39494877492909,92,1.1285244647195762,True
1405,16,-35.90285126424167,16,1.6448637408464182,True
1472,17,-12.02563537987523,4,1.1978560268470488,True
1605,18,-24.28259252144847,9,1.1490671068758245,True
1736,19,-59.2405667832618,49,0.7817226552108256,True
1847,20,-59.69634267336324,46,1.2339047453480405,True
1900,21,-23.634630661154798,17,1.2518171058782648,True
1943,22,-4.408749845458898,0,1.0252906617346274,True
2050,23,-21.229210642570816,0,1.9840383778103563,True
2152,24,-77.51126791960822,53,2.403065482314525,True
2182,25,-3.0295957170178074,0,1.0098652390059357,True
2206,26,-6.109622579819504,5,0.4623427415914594,True
2236,27,-2.379390099621708,0,0.7931300332072359,True
2351,28,-65.86315716478322,53,1.1185354056333232,True
2393,29,-10.193668312265997,0,2.4270638838728567,True
2467,30,-4.07214703059474,0,0.5502901392695595,True
2568,31,-27.476316257307936,14,1.3342887383473219,True
2650,32,-37.61394994496051,32,0.6846280420683536,True
2675,33,-1.1428201185013236,0,0.45712804740052937,True
2771,34,-11.781618770453273,3,0.9147519552555492,True
2841,35,-5.84209772567572,0,0.8345853893822459,True
2927,36,-5.494292643508667,0,0.638871237617287,True
2962,37,-0.8729506248273827,0,0.2494144642363951,True
2967,38,-0.5117634715374081,0,1.0235269430748162,True
3040,39,-55.45504355879753,46,1.2952114464106168,True
3240,40,-45.32795705600795,14,1.5663978528003966,True
3251,41,-11.27195613960955,11,0.24723285419050042,True
3301,42,-18.729720036695273,15,0.7459440073390532,True
3355,43,-3.8313577444628266,0,0.7095106934190419,True
3429,44,-48.92464302315326,44,0.665492300426116,True
3468,45,-23.105834735770085,19,1.0527781373769465,True
3538,46,-36.95396777045157,24,1.8505668243502222,True
3548,47,-0.7869021234059208,0,0.7869021234059208,True
3588,48,-3.9884807919676084,0,0.9971201979919023,True
3686,49,-58.77284943614707,52,0.6911070853211285,True
3709,50,-3.475407588916283,0,1.511046777789688,True
3740,51,-21.29233808236659,17,1.384625187860192,True
3803,52,-56.40716772875382,44,1.9693917029767958,True
3849,53,-12.044339187248575,0,2.6183346059236023,True
3944,54,-21.476444865541502,16,0.5764678805833158,True
3973,55,-0.5536644041923396,0,0.19091876006632405,True
4046,56,-13.248493328805173,2,1.5408894970965996,True
4127,57,-46.022359524014185,28,2.224982657285703,True
4134,58,-0.5627863169471272,0,0.8039804527816103,True
4186,59,-7.930479819482263,4,0.7558615037465889,True
4315,60,-14.821703123030845,10,0.37377543589386386,True
4380,61,-21.982733230311904,17,0.7665743431249095,True
4462,62,-30.18392839523229,25,0.6321863896624745,True
4490,63,-0.9535554704503973,0,0.3405555251608562,True
4503,64,-1.433801477115836,0,1.1029242131660275,True
4531,65,-6.279676915208775,0,2.242741755431705,True
4539,66,-0.17906838886147555,0,0.22383548607684442,True
4695,67,-34.8998826825072,26,0.5705053001607163,True
4759,68,-3.6059872805158286,0,0.5634355125805983,True
4787,69,-1.3379824067738368,0,0.4778508595620847,True
4987,70,-28.169724775854494,0,1.408486238792725,True
5014,71,-1.8830537727933714,0,0.6974273232568043,True
5085,72,-7.530070559489333,2,0.7788831773928636,True
5116,73,-2.2816425366690622,0,0.7360137215061491,True
5178,74,-7.129552057330336,1,0.9886374286016674,True
5234,75,-14.885481843374437,12,0.5152646148882928,True
5327,76,-27.263010356666605,19,0.8884957372759786,True
5355,77,-1.326893659581233,0,0.47389059270758327,True
5424,78,-4.32958491743134,0,0.6274760749900492,True
5474,79,-1.0791837959864574,0,0.21583675919729145,True
5674,80,-110.43685517657288,82,1.4218427588286437,True
5870,81,-109.71359239197682,78,1.6180404281620848,True
5877,82,-3.8057545032314,3,1.1510778617591428,True
5919,83,-8.483308012621688,6,0.591263812528973,True
5948,84,-9.787181939362885,9,0.2714420480561666,True
5978,85,-0.7522062720417669,0,0.2507354240139222,True
6003,86,-5.060271601754781,0,2.024108640701913,True
6029,87,-1.010305794491704,0,0.38857915172757845,True
6093,88,-3.8964605587709724,0,0.6088219623079647,True
6177,89,-3.9256047510631094,0,0.4673338989360844,True
6200,90,-0.7248459430454488,0,0.31515041001976035,True
6235,91,-10.186293768276032,8,0.6246553623645802,True
6327,92,-44.342677386851236,38,0.6894214550925247,True
6354,93,-15.604682031566874,13,0.9646970487284711,True
6553,94,-32.94423784983013,15,0.9017204949663382,True
6584,95,-2.1750180476479573,0,0.701618725047728,True
6678,96,-38.898849229789846,34,0.5211541733818987,True
6711,97,-20.70369893198908,19,0.5162724036330533,True
6763,98,-13.691246530121965,11,0.5175474096388399,True
6787,99,-13.013986401696528,12,0.42249433404021947,True
6816,100,-1.7031861569073776,0,0.5873055713473715,True
6867,101,-3.8877937361952397,0,0.7623124972931843,True
6921,102,-2.626852158028925,0,0.48645410333869016,True
6952,103,-25.49985104764946,23,0.806403563757891,True
7076,104,-45.931586479418975,35,0.881579554791852,True
7177,105,-14.680235390112513,0,1.4534886524863864,True
7193,106,-0.9850510857749621,0,0.6156569286093513,True
7223,107,-0.7362751192800315,0,0.2454250397600105,True
7232,108,-0.7018166700612835,0,0.7797963000680926,True
7275,109,-31.19919335816365,30,0.27888217631712847,True
7282,110,-0.6280871926695824,0,0.8972674180994032,True
7370,111,-18.891018887346274,15,0.4421612371984406,True
7388,112,-1.1267406319927582,0,0.6259670177737544,True
7434,113,-2.6824086602602812,0,0.5831323174478872,True
7472,114,-23.32765315511887,16,1.9283297776628596,True
7512,115,-7.969052356485429,4,0.9922630891213572,True
7593,116,-23.587298722714188,15,1.060160336137553,True
7662,117,-19.12094429022292,17,0.3073832304670898,True
7679,118,-5.628501933175374,4,0.9579423136325722,True
7706,119,-5.69470589282694,5,0.2572984788247928,True
7781,120,-38.46215616289809,29,1.2616208217197467,True
7890,121,-5.814098336236567,0,0.5334035170859237,True
7903,122,-12.481010376914979,12,0.3700079822422913,True
7957,123,-32.069909093843926,31,0.19813131367480108,True
7986,124,-1.3882189764928365,0,0.4786961987906334,True
8103,125,-45.40455795373039,39,0.5473981157034518,True
8143,126,-25.56195734525703,24,0.3904893363142601,True
8199,127,-0.9976139722589595,0,0.17814535218909988,True
8232,128,-16.885351452188065,14,0.8743489249054741,True
8244,129,-5.557550120388567,5,0.4646251003238054,True
8303,130,-3.6080221082941875,0,0.6115291708973195,True
8395,131,-45.34404317277004,33,1.3417438231271768,True
8424,132,-1.2753538693342383,0,0.4397771963221513,True
8572,133,-17.184326189583864,9,0.5529950128097214,True
8586,134,-0.6033344264149814,0,0.4309531617249867,True
8603,135,-1.1160231655970674,0,0.6564842150570983,True
8665,136,-20.05269412434716,16,0.6536603426366389,True
8751,137,-19.484903385861525,16,0.4052213239373854,True
8799,138,-5.305708572262026,0,1.1053559525545886,True
8854,139,-13.904190736441016,12,0.34621649753473005,True
