timesteps,episodes,total_reward,waypoint_reached,crashed,average_drift,TimeLimit.truncated
33,1,-5,0,1,nan,False
44,2,-5,0,1,nan,False
45,3,-5,0,1,nan,False
145,4,0,0,0,nan,True
245,5,0,0,0,nan,True
345,6,0,0,0,nan,True
445,7,0,0,0,nan,True
545,8,0,0,1,nan,True
645,9,0,0,0,nan,True
663,10,-5,0,1,nan,False
763,11,0,0,0,nan,True
863,12,0,0,0,nan,True
963,13,0,0,0,nan,True
1021,14,-5,0,1,nan,False
1051,15,-5,0,1,nan,False
1151,16,0,0,0,nan,True
1251,17,0,0,0,nan,True
1252,18,-5,0,1,nan,False
1263,19,-5,0,1,nan,False
1348,20,-5,0,1,nan,False
1448,21,0,0,0,nan,True
1548,22,0,0,0,nan,True
1563,23,-5,0,1,nan,False
1663,24,0,0,0,nan,True
1763,25,0,0,0,nan,True
1863,26,0,0,0,nan,True
1963,27,0,0,0,nan,True
2054,28,-5,0,1,nan,False
2154,29,0,0,0,nan,True
2155,30,-5,0,1,nan,False
2219,31,-5,0,1,nan,False
2319,32,0,0,0,nan,True
2419,33,0,0,0,nan,True
2519,34,0,0,0,nan,True
2619,35,0,0,0,nan,True
2719,36,0,0,0,nan,True
2782,37,-5,0,1,nan,False
2802,38,-5,0,1,nan,False
2812,39,-5,0,1,nan,False
2912,40,0,0,0,nan,True
2916,41,-5,0,1,nan,False
2972,42,-5,0,1,nan,False
3072,43,0,0,0,nan,True
3152,44,-5,0,1,nan,False
3157,45,-5,0,1,nan,False
3257,46,0,0,0,nan,True
3260,47,-5,0,1,nan,False
3283,48,-5,0,1,nan,False
3296,49,-5,0,1,nan,False
3319,50,-5,0,1,nan,False
3361,51,-5,0,1,nan,False
3461,52,0,0,0,nan,True
3521,53,-5,0,1,nan,False
3621,54,0,0,0,nan,True
3710,55,-5,0,1,nan,False
3810,56,0,0,0,nan,True
3833,57,-5,0,1,nan,False
3872,58,-5,0,1,nan,False
3972,59,0,0,0,nan,True
3973,60,-5,0,1,nan,False
4073,61,0,0,0,nan,True
4173,62,0,0,0,nan,True
4273,63,0,0,0,nan,True
4373,64,0,0,0,nan,True
4473,65,0,0,0,nan,True
4503,66,-5,0,1,nan,False
4538,67,-5,0,1,nan,False
4619,68,-5,0,1,nan,False
4719,69,0,0,0,nan,True
4806,70,-5,0,1,nan,False
4807,71,-5,0,1,nan,False
4808,72,-5,0,1,nan,False
4809,73,-5,0,1,nan,False
4909,74,0,0,0,nan,True
4918,75,-5,0,1,nan,False
5018,76,0,0,0,nan,True
5118,77,0,0,0,nan,True
5124,78,-5,0,1,nan,False
5194,79,-5,0,1,nan,False
5217,80,-5,0,1,nan,False
5226,81,-5,0,1,nan,False
5239,82,-5,0,1,nan,False
5339,83,0,0,0,nan,True
5368,84,-5,0,1,nan,False
5468,85,0,0,0,nan,True
5529,86,-5,0,1,nan,False
5629,87,0,0,0,nan,True
5729,88,0,0,0,nan,True
5829,89,0,0,0,nan,True
5929,90,0,0,0,nan,True
6029,91,0,0,0,nan,True
6129,92,0,0,0,nan,True
6195,93,-5,0,1,nan,False
6196,94,-5,0,1,nan,False
6296,95,0,0,0,nan,True
6396,96,0,0,1,nan,True
6496,97,0,0,0,nan,True
6542,98,-5,0,1,nan,False
6617,99,-5,0,1,nan,False
