timesteps,episodes,total_reward,waypoint_reached,crashed,average_drift,TimeLimit.truncated
5,1,-5.038391520374371,0,1,0.6027436589225061,False
42,2,-5.088886987423567,0,1,0.2325872541786168,False
141,3,-6.98276080314417,0,1,1.9799158504138878,False
241,4,-1.5803965332737107,0,0,1.5707142506821925,True
341,5,-1.5585771152660894,0,0,1.5351853038084846,True
441,6,-1.5890871462618716,0,0,1.5660039813889894,True
541,7,-1.6334281457019066,0,0,1.6164049190438388,True
641,8,-1.4846051054537408,0,0,1.482554159799528,True
741,9,-1.559747245505831,0,0,1.5361631387375652,True
841,10,-1.634892888684152,0,0,1.6120136593345846,True
941,11,-1.5887343024509968,0,0,1.569267668410381,True
942,12,-5.0030961611817,0,1,0.028146919833640552,False
959,13,-5.312122029448101,0,1,1.7780949134657789,False
1059,14,-1.6559749883513646,0,0,1.6485166507696352,True
1159,15,-1.679850061708324,0,0,1.6615845054614635,True
1259,16,-1.5966004517988504,0,0,1.5814903942605754,True
1359,17,-1.629526846803194,0,0,1.6215784019949573,True
1364,18,-5.048897861082834,0,1,0.673995787915222,False
1464,19,-1.5745112658272409,0,0,1.5498363003554618,True
1564,20,-1.6296924887602096,0,0,1.6276682764003176,True
1574,21,-5.1669704642518335,0,1,1.3849670761697421,False
1612,22,-5.6382292363663655,0,1,1.6568358021532703,False
1622,23,-5.0770836634325365,0,1,0.70992825399461,False
1722,24,-1.6154333111457124,0,0,1.6059506702479307,True
1764,25,-5.703681954951358,0,1,1.6616268107403127,False
1783,26,-5.340308559613739,0,1,1.754595370507708,False
1813,27,-5.443743666701949,0,1,1.4011811651820174,False
1913,28,-1.6162756808618086,0,0,1.5888468777409823,True
2013,29,-1.6472169432516712,0,0,1.630152273077833,True
2016,30,-5.0190104718964585,0,1,0.34230967010285374,False
2116,31,-1.6759891246994658,0,0,1.6634835352289845,True
2216,32,-2.67143125733479,0,0,2.642952219537979,True
2316,33,-1.5662810118615214,0,0,1.5525389420729796,True
2416,34,-1.5483718538565487,0,0,1.5369068470028904,True
2425,35,-5.119566680663981,0,1,1.1197224759431852,False
2525,36,-2.77247545021545,0,0,2.7460651189876293,True
2625,37,-1.5834872337151307,0,0,1.5618700923138753,True
2634,38,-5.1228876647529775,0,1,1.1391223488134445,False
2734,39,-2.2157390049963945,0,0,2.209946850262406,True
2769,40,-5.681260000059607,0,1,1.9032644473597269,False
2795,41,-5.3951968553929355,0,1,1.4541689938970883,False
2895,42,-2.6767339236185834,0,0,2.6485636566870885,True
2995,43,-2.8075637043359203,0,0,2.7803461573386157,True
3007,44,-5.201934732673495,0,1,1.5269853997767058,False
3057,45,-6.187464003527596,0,1,2.332759803279283,False
3157,46,-2.552238992705608,0,0,2.5307015824063224,True
3219,47,-6.674248263935598,0,1,2.6618738723383286,False
3247,48,-5.640244794809194,0,1,2.197403063125324,False
3296,49,-5.250978932960754,0,1,0.4983575570951974,False
3396,50,-2.431932643573283,0,1,2.4074257710690974,True
3496,51,-1.608073881749776,0,0,1.5871999950275055,True
3596,52,-1.8030258497115708,0,0,1.786828830540972,True
3643,53,-5.260133357148964,0,1,0.5415080730734196,False
3743,54,-1.5487603730730013,0,0,1.540290303143287,True
3843,55,-1.9797269266803283,0,0,1.9618499051693168,True
3943,56,-1.129608664330086,0,0,1.1235117116798723,True
4043,57,-0.6594914039574936,0,0,0.6476744429609795,True
4065,58,-5.404086265687623,0,1,1.736795249379593,False
4165,59,-1.612755243621591,0,0,1.6010720247875883,True
4170,60,-5.025149219433849,0,1,0.38519657125383416,False
4204,61,-5.719222493706558,0,1,2.041280004697992,False
4212,62,-5.093131268892041,0,1,1.0090557606778494,False
4249,63,-5.236061529083557,0,1,0.6098065840576364,False
4349,64,-1.5730405607036075,0,0,1.5629971819317932,True
4350,65,-5.002914761220991,0,1,0.026497829281734366,False
4399,66,-5.630104325996445,0,1,1.2688449478545867,False
4464,67,-5.444310556641289,0,1,0.6698840858173669,False
4483,68,-5.238078172558898,0,1,1.1756987323765005,False
4484,69,-5.0029128757975245,0,1,0.026480689068403798,False
4584,70,-2.419791028073602,0,0,2.4017766306417383,True
4585,71,-5.00150113417349,0,1,0.013646674304454438,False
4685,72,-1.611692393896743,0,0,1.6013056981601321,True
4785,73,-0.7454272192415358,0,0,0.7315703563039339,True
4885,74,-0.9293844588153987,0,0,0.9203840977357511,True
4958,75,-6.1049454158760925,0,1,1.5018827746096768,False
4977,76,-5.061709850195495,0,1,0.28995932504293576,False
5033,77,-6.364357499232805,0,1,2.392111378654845,False
5056,78,-5.218953666507794,0,1,0.9157062571393606,False
5065,79,-5.088603302384531,0,1,0.8860446378694385,False
5165,80,-2.7088467642702723,0,0,2.6879642587612094,True
5265,81,-1.992186246217413,0,0,1.9803784530601132,True
5365,82,-2.4451146388922362,0,0,2.4261162413780886,True
5465,83,-1.575608273074861,0,0,1.5498159680717927,True
5565,84,-2.1073434413206535,0,0,2.0856853085689164,True
5665,85,-1.8228676182574137,0,0,1.8082117400541264,True
5726,86,-6.221423388318401,0,1,1.974179747146976,False
5757,87,-5.729771668297755,0,1,2.2830373447500647,False
5758,88,-5.003093475875826,0,1,0.028122507962054524,False
5789,89,-5.729362834361341,0,1,2.2768734917021876,False
5889,90,-0.6315870845413506,0,0,0.6289695956953941,True
5989,91,-2.617394501300025,0,0,2.5901604227533337,True
6089,92,-2.76429186598838,0,0,2.7374512259101835,True
6175,93,-6.642843262719368,0,1,1.884663159677299,False
6187,94,-5.095836971784728,0,1,0.724822098456584,False
6263,95,-6.05517753075226,0,1,1.3652133103396045,False
6363,96,-1.1219466939313996,0,0,1.11317002360802,True
6463,97,-0.35908563040194796,0,0,0.3552141132709442,True
6472,98,-5.138340369281,0,1,1.294567275272504,False
6494,99,-5.250015614897791,0,1,1.0704671098800245,False
6594,100,-1.7388584268251557,0,0,1.7307297155575216,True
6623,101,-5.649909731303395,0,1,2.1674947534593847,False
6650,102,-5.460488361124009,0,1,1.6093899791494772,False
6656,103,-5.0684461349871865,0,1,0.8426982879284214,False
