timesteps,episodes,total_reward,waypoint_reached,crashed,average_drift,TimeLimit.truncated
46,1,-5.221991363964348,0,1,0.4700971824984776,False
91,2,-5.231031416973623,0,1,0.5002923868540599,False
96,3,-5.009429511236949,0,1,0.13095429523178043,False
177,4,-6.5535796416010745,0,1,1.883194627518816,False
404,5,-9.164094840361631,0,1,1.8299354258575462,False
503,6,-5.645697223451862,0,1,0.6459590390170205,False
514,7,-5.077166300809232,0,1,0.6334353785407849,False
609,8,-6.904115363183523,0,1,1.9846852221326983,False
673,9,-5.514529032046898,0,1,0.7671944652165572,False
677,10,-5.008869463908427,0,1,0.1579010005157995,False
697,11,-5.119091955573891,0,1,0.5593179757659935,False
997,12,-5.4232837435064205,0,0,1.8004724830876941,True
998,13,-5.002846040825399,0,1,0.025873098412720785,False
1005,14,-5.033076344581074,0,1,0.4510873190778529,False
1006,15,-5.001842667603746,0,1,0.0167515236704238,False
1040,16,-5.252497626437367,0,1,0.7296323225329077,False
1115,17,-5.756699583911443,0,1,0.9967381342319848,False
1152,18,-5.169936212120565,0,1,0.4358806403831468,False
1211,19,-5.955311437342469,0,1,1.5773077697183446,False
1229,20,-5.1766280536797655,0,1,0.901721851858912,False
1285,21,-6.123094908251548,0,1,1.9714550036925933,False
1293,22,-5.045904072011332,0,1,0.41012286151249344,False
1593,23,-4.781862435393166,0,0,1.592789892508261,True
1596,24,-5.004611748056588,0,1,0.10721812743610246,False
1896,25,-5.673023424204592,0,0,1.888491119769075,True
1958,26,-5.505684517155796,0,1,0.7870243086089453,False
2258,27,-4.824694056913127,0,0,1.6033727951250722,True
2262,28,-5.011729520968738,0,1,0.16132808323992218,False
2562,29,-5.350920947241051,0,0,1.7746065917049214,True
2563,30,-5.002913464392497,0,1,0.02648603993179428,False
2573,31,-5.0833893111616835,0,1,0.709961792109327,False
2713,32,-6.694741806469764,0,1,1.1976912095775218,False
2718,33,-5.020979857305996,0,1,0.2589804410578911,False
2729,34,-5.026359724005393,0,1,0.2282917855161681,False
2742,35,-5.038215860851484,0,1,0.26829518179086415,False
3042,36,-4.381975309528873,0,0,1.457256261236541,True
3043,37,-5.002920831966823,0,1,0.026553017880207388,False
3044,38,-5.003052209914121,0,1,0.027747362855641954,False
3058,39,-5.117300270044599,0,1,0.7505836537969824,False
3092,40,-5.393232834769492,0,1,1.117034323059162,False
3181,41,-6.625670912664569,0,1,1.7994092215827713,False
3378,42,-8.650351875161803,0,1,1.8440398367728965,False
3399,43,-5.175814458669805,0,1,0.749839410658593,False
3406,44,-5.037827034590306,0,1,0.45533807244168845,False
3425,45,-5.083104577955092,0,1,0.40557673538745737,False
3460,46,-5.4650615713868795,0,1,1.2834756067819664,False
3477,47,-5.193929277328022,0,1,1.0497373565325558,False
3496,48,-5.281943876570228,0,1,1.3442247948748172,False
3796,49,-7.310759759274477,0,0,2.429565544131826,True
4096,50,-5.615907785236019,0,0,1.8662833477502394,True
4396,51,-5.745967118870249,0,0,1.907550156638885,True
4412,52,-5.112586374545879,0,1,0.6841975472573784,False
4434,53,-5.189942540811707,0,1,0.799201461638532,False
4734,54,-6.151137118252999,0,0,2.041821283928185,True
4770,55,-5.461717855430802,0,1,1.2473595670825037,False
5070,56,-5.471789907004788,0,0,1.8176090028843666,True
5077,57,-5.016206932661956,0,1,0.17960671368003478,False
5377,58,-5.4811055001488755,0,0,1.8189514888804978,True
5677,59,-5.621035701875029,0,0,1.8648057374253417,True
5702,60,-5.359830381269657,0,1,1.3553871216207898,False
6002,61,-4.918673961408904,0,0,1.6395370594244096,True
6038,62,-5.197334868962499,0,1,0.5110198964578815,False
6338,63,-3.9806399926204166,0,0,1.3187719137139355,True
6358,64,-5.046233670195213,0,1,0.2039464931627527,False
6373,65,-5.077845668491863,0,1,0.4969039925249798,False
6436,66,-5.687220938773906,0,1,1.0704273129811355,False
6736,67,-5.215635248862654,0,0,1.7312884276910645,True
6737,68,-5.0029183290527675,0,1,0.02653026411606606,False
7037,69,-6.229346976498212,0,0,2.0691535800604934,True
7121,70,-6.353250500619275,0,1,1.5804445290770277,False
7132,71,-5.033894812695642,0,1,0.2555627565558414,False
7432,72,-6.007149535118922,0,0,1.9971482818737891,True
7447,73,-5.0735937790115635,0,1,0.42744093895331653,False
7497,74,-5.371251292687849,0,1,0.7331275900563972,False
7521,75,-5.164030344696971,0,1,0.6543625150116458,False
7630,76,-6.105964275341574,0,1,1.0043101099444367,False
7689,77,-6.198023847434282,0,1,1.9823779532127694,False
7989,78,-4.522487205745685,0,0,1.499146244832442,True
