timesteps,episodes,total_reward,waypoint_reached,crashed,average_drift,TimeLimit.truncated
6,1,-5,0,1,nan,False
41,2,-5,0,1,nan,False
141,3,0,0,0,nan,True
241,4,0,0,0,nan,True
319,5,-5,0,1,nan,False
339,6,-5,0,1,nan,False
439,7,0,0,0,nan,True
539,8,0,0,0,nan,True
639,9,0,0,0,nan,True
648,10,-5,0,1,nan,False
676,11,-5,0,1,nan,False
708,12,-5,0,1,nan,False
768,13,-5,0,1,nan,False
818,14,-5,0,1,nan,False
837,15,-5,0,1,nan,False
856,16,-5,0,1,nan,False
879,17,-5,0,1,nan,False
979,18,0,0,0,nan,True
1079,19,0,0,0,nan,True
1109,20,-5,0,1,nan,False
1165,21,-5,0,1,nan,False
1212,22,-5,0,1,nan,False
1282,23,-5,0,1,nan,False
1382,24,0,0,0,nan,True
1409,25,-5,0,1,nan,False
1411,26,-5,0,1,nan,False
1502,27,-5,0,1,nan,False
1602,28,0,0,0,nan,True
1702,29,0,0,0,nan,True
1714,30,-5,0,1,nan,False
1754,31,-5,0,1,nan,False
1795,32,-5,0,1,nan,False
1811,33,-5,0,1,nan,False
1871,34,-5,0,1,nan,False
1971,35,0,0,0,nan,True
2024,36,-5,0,1,nan,False
2036,37,-5,0,1,nan,False
2049,38,-5,0,1,nan,False
2062,39,-5,0,1,nan,False
2162,40,0,0,0,nan,True
2262,41,0,0,1,nan,True
2362,42,0,0,0,nan,True
2396,43,-5,0,1,nan,False
2496,44,0,0,0,nan,True
2530,45,-5,0,1,nan,False
2630,46,0,0,0,nan,True
2666,47,-5,0,1,nan,False
2763,48,-5,0,1,nan,False
2784,49,-5,0,1,nan,False
2884,50,0,0,0,nan,True
2984,51,0,0,0,nan,True
3057,52,-5,0,1,nan,False
3071,53,-5,0,1,nan,False
3171,54,0,0,0,nan,True
3271,55,0,0,0,nan,True
3371,56,0,0,0,nan,True
3390,57,-5,0,1,nan,False
3402,58,-5,0,1,nan,False
3502,59,0,0,0,nan,True
3523,60,-5,0,1,nan,False
3547,61,-5,0,1,nan,False
3584,62,-5,0,1,nan,False
3596,63,-5,0,1,nan,False
3696,64,0,0,0,nan,True
3712,65,-5,0,1,nan,False
3812,66,0,0,0,nan,True
3823,67,-5,0,1,nan,False
3825,68,-5,0,1,nan,False
3833,69,-5,0,1,nan,False
3933,70,0,0,0,nan,True
3934,71,-5,0,1,nan,False
4034,72,0,0,0,nan,True
4134,73,0,0,0,nan,True
4204,74,-5,0,1,nan,False
4220,75,-5,0,1,nan,False
4221,76,-5,0,1,nan,False
4267,77,-5,0,1,nan,False
4283,78,-5,0,1,nan,False
4348,79,-5,0,1,nan,False
4448,80,0,0,0,nan,True
4548,81,0,0,1,nan,True
4591,82,-5,0,1,nan,False
4592,83,-5,0,1,nan,False
4633,84,-5,0,1,nan,False
4733,85,0,0,0,nan,True
4739,86,-5,0,1,nan,False
4839,87,0,0,0,nan,True
4939,88,0,0,0,nan,True
4940,89,-5,0,1,nan,False
5040,90,0,0,1,nan,True
5051,91,-5,0,1,nan,False
5077,92,-5,0,1,nan,False
5078,93,-5,0,1,nan,False
5178,94,0,0,0,nan,True
5278,95,0,0,0,nan,True
5281,96,-5,0,1,nan,False
5381,97,0,0,1,nan,True
5447,98,-5,0,1,nan,False
5533,99,-5,0,1,nan,False
5540,100,-5,0,1,nan,False
5560,101,-5,0,1,nan,False
5581,102,-5,0,1,nan,False
5681,103,0,0,0,nan,True
5752,104,-5,0,1,nan,False
5852,105,0,0,0,nan,True
5860,106,-5,0,1,nan,False
5922,107,-5,0,1,nan,False
6001,108,-5,0,1,nan,False
6011,109,-5,0,1,nan,False
6057,110,-5,0,1,nan,False
6079,111,-5,0,1,nan,False
6137,112,-5,0,1,nan,False
6162,113,-5,0,1,nan,False
6223,114,-5,0,1,nan,False
6255,115,-5,0,1,nan,False
6262,116,-5,0,1,nan,False
6299,117,-5,0,1,nan,False
6346,118,-5,0,1,nan,False
6399,119,-5,0,1,nan,False
6416,120,-5,0,1,nan,False
6462,121,-5,0,1,nan,False
6562,122,0,0,0,nan,True
6630,123,-5,0,1,nan,False
6730,124,0,0,0,nan,True
6733,125,-5,0,1,nan,False
6734,126,-5,0,1,nan,False
6761,127,-5,0,1,nan,False
6785,128,-5,0,1,nan,False
6816,129,-5,0,1,nan,False
6822,130,-5,0,1,nan,False
6860,131,-5,0,1,nan,False
6905,132,-5,0,1,nan,False
7005,133,0,0,0,nan,True
7105,134,0,0,0,nan,True
7129,135,-5,0,1,nan,False
7147,136,-5,0,1,nan,False
7181,137,-5,0,1,nan,False
7216,138,-5,0,1,nan,False
7217,139,-5,0,1,nan,False
7317,140,0,0,0,nan,True
7362,141,-5,0,1,nan,False
7375,142,-5,0,1,nan,False
7376,143,-5,0,1,nan,False
7449,144,-5,0,1,nan,False
7458,145,-5,0,1,nan,False
7512,146,-5,0,1,nan,False
7612,147,0,0,0,nan,True
7712,148,0,0,0,nan,True
7724,149,-5,0,1,nan,False
7740,150,-5,0,1,nan,False
7749,151,-5,0,1,nan,False
7849,152,0,0,0,nan,True
7872,153,-5,0,1,nan,False
7910,154,-5,0,1,nan,False
8010,155,0,0,0,nan,True
8035,156,-5,0,1,nan,False
8135,157,0,0,0,nan,True
8150,158,-5,0,1,nan,False
8186,159,-5,0,1,nan,False
8203,160,-5,0,1,nan,False
8224,161,-5,0,1,nan,False
8324,162,0,0,0,nan,True
8331,163,-5,0,1,nan,False
8360,164,-5,0,1,nan,False
8398,165,-5,0,1,nan,False
8408,166,-5,0,1,nan,False
8417,167,-5,0,1,nan,False
8449,168,-5,0,1,nan,False
8549,169,0,0,0,nan,True
8558,170,-5,0,1,nan,False
8576,171,-5,0,1,nan,False
8602,172,-5,0,1,nan,False
8702,173,0,0,1,nan,True
8735,174,-5,0,1,nan,False
8775,175,-5,0,1,nan,False
8776,176,-5,0,1,nan,False
8782,177,-5,0,1,nan,False
8803,178,-5,0,1,nan,False
8903,179,0,0,0,nan,True
9003,180,0,0,0,nan,True
9103,181,0,0,0,nan,True
9203,182,0,0,0,nan,True
9206,183,-5,0,1,nan,False
9306,184,0,0,0,nan,True
9323,185,-5,0,1,nan,False
9375,186,-5,0,1,nan,False
9392,187,-5,0,1,nan,False
9400,188,-5,0,1,nan,False
9500,189,0,0,0,nan,True
9501,190,-5,0,1,nan,False
9601,191,0,0,0,nan,True
9701,192,0,0,0,nan,True
9736,193,-5,0,1,nan,False
9836,194,0,0,1,nan,True
9864,195,-5,0,1,nan,False
9964,196,0,0,0,nan,True
10064,197,0,0,0,nan,True
10164,198,0,0,0,nan,True
10264,199,0,0,0,nan,True
10339,200,-5,0,1,nan,False
10439,201,0,0,0,nan,True
10485,202,-5,0,1,nan,False
10569,203,-5,0,1,nan,False
10602,204,-5,0,1,nan,False
10642,205,-5,0,1,nan,False
10703,206,-5,0,1,nan,False
10803,207,0,0,0,nan,True
10903,208,0,0,0,nan,True
10922,209,-5,0,1,nan,False
11022,210,0,0,0,nan,True
11122,211,0,0,0,nan,True
11176,212,-5,0,1,nan,False
11210,213,-5,0,1,nan,False
11227,214,-5,0,1,nan,False
11235,215,-5,0,1,nan,False
11294,216,-5,0,1,nan,False
11301,217,-5,0,1,nan,False
11401,218,0,0,0,nan,True
11468,219,-5,0,1,nan,False
11568,220,0,0,0,nan,True
11616,221,-5,0,1,nan,False
11632,222,-5,0,1,nan,False
11645,223,-5,0,1,nan,False
11673,224,-5,0,1,nan,False
11698,225,-5,0,1,nan,False
11798,226,0,0,0,nan,True
11844,227,-5,0,1,nan,False
11845,228,-5,0,1,nan,False
11945,229,0,0,0,nan,True
11958,230,-5,0,1,nan,False
12058,231,0,0,0,nan,True
12099,232,-5,0,1,nan,False
12143,233,-5,0,1,nan,False
12148,234,-5,0,1,nan,False
12248,235,0,0,0,nan,True
12273,236,-5,0,1,nan,False
12373,237,0,0,0,nan,True
12412,238,-5,0,1,nan,False
12425,239,-5,0,1,nan,False
12478,240,-5,0,1,nan,False
12492,241,-5,0,1,nan,False
12496,242,-5,0,1,nan,False
12532,243,-5,0,1,nan,False
12556,244,-5,0,1,nan,False
12566,245,-5,0,1,nan,False
12629,246,-5,0,1,nan,False
12645,247,-5,0,1,nan,False
12649,248,-5,0,1,nan,False
12726,249,-5,0,1,nan,False
12826,250,0,0,0,nan,True
