timesteps,episodes,total_reward,waypoint_reached,crashed,average_drift,TimeLimit.truncated
8,1,-5.024757090052721,0,1,0.2552002627506434,False
24,2,-5.0961725798672,0,1,0.5528689030107006,False
76,3,-5.367220220733101,0,1,0.6954748113045174,False
116,4,-5.652309802687568,0,1,1.5699156984072686,False
216,5,-0.9763092466291234,0,0,0.9565934342702855,True
316,6,-1.5674832786107789,0,0,1.5526001751245992,True
362,7,-5.541731455993272,0,1,1.1400095913046986,False
363,8,-5.003057584770693,0,1,0.0277962251881218,False
375,9,-5.031824818978141,0,1,0.21088473378240882,False
376,10,-5.000752086067452,0,1,0.006837146067748107,False
377,11,-5.003088576474709,0,1,0.028077967951895436,False
378,12,-5.002925917766776,0,1,0.026599252425232364,False
379,13,-10.002335672489359,0,1,0.021233386266902923,False
426,14,-5.413984630180098,0,1,0.8457100319313386,False
526,15,-2.235352297741457,0,0,2.220383895144618,True
528,16,-5.003075812449245,0,1,0.1468072019449649,False
565,17,-5.24904617488102,0,1,0.6354526702870018,False
618,18,-5.51420434009903,0,1,0.9528041048367654,False
638,19,-5.108882868481915,0,1,0.4969143426412449,False
639,20,-5.0012352736975885,0,1,0.011229760887168731,False
678,21,-5.158314649717025,0,1,0.392570320125387,False
778,22,-2.46740574774453,0,0,2.4414303720548625,True
816,23,-5.552162420363054,0,1,1.394067631776052,False
876,24,-5.307220979446793,0,1,0.5054106168115471,False
976,25,-1.6305139118489826,0,0,1.6035878080159007,True
1023,26,-5.284117137235484,0,1,0.5762471966561109,False
1072,27,-6.077411331997393,0,1,2.1662174201688305,False
1172,28,-2.2482148194893905,0,0,2.2242998564735585,True
1262,29,-5.798856484906263,0,1,0.8724549517241565,False
1362,30,-0.9933548125435518,0,0,0.9834614138222103,True
1462,31,-1.1228897322092133,0,0,1.097860704575816,True
1562,32,-0.9933038799900593,0,0,0.9709678991381235,True
1630,33,-5.885354963551034,0,1,1.2708294432168254,False
1674,34,-5.180873415986946,0,1,0.3843332191521216,False
1683,35,-5.030364055921968,0,1,0.29712418107434496,False
1748,36,-5.341806338872936,0,1,0.5211316471866908,False
1763,37,-5.074089415535522,0,1,0.41322617439759957,False
1828,38,-5.340627056584713,0,1,0.5058312743556537,False
1928,39,-1.4193995661069245,0,0,1.4004871724761507,True
1929,40,-5.002915781341818,0,1,0.026507103107436966,False
1945,41,-5.053980353497779,0,1,0.2710536595606873,False
2020,42,-6.271065301204921,0,1,1.666547030278501,False
2120,43,-1.6054137736521794,0,0,1.5802836020279658,True
2141,44,-5.158942311702188,0,1,0.699093210606871,False
2241,45,-1.610791382589742,0,0,1.584771664994775,True
2247,46,-5.038229426227961,0,1,0.45901623163540095,False
2274,47,-5.146090930207449,0,1,0.4958296202261451,False
2291,48,-5.106964713958184,0,1,0.5644584795446456,False
2334,49,-5.23627041781992,0,1,0.5056878595335831,False
2434,50,-0.9009950020347461,0,0,0.8765581872091831,True
2435,51,-5.001538865115424,0,1,0.013989682867492364,False
2454,52,-5.08536812724098,0,1,0.4011889596658697,False
2554,53,-1.0121560327901347,0,0,1.0075140705102952,True
2573,54,-5.065419886305489,0,1,0.3428434450946084,False
2648,55,-5.697853004816055,0,1,0.9147485907003227,False
2748,56,-1.24126011811977,0,0,1.218386067632887,True
2761,57,-5.070172344847211,0,1,0.5198916106611501,False
2861,58,-0.4258785212669147,0,0,0.4125926242460043,True
2961,59,-1.919343125231675,0,0,1.8919187152806096,True
3061,60,-1.8291868698123024,0,0,1.8122565872804248,True
3069,61,-5.019193919501669,0,1,0.1944423333442619,False
3169,62,-0.8404438726792879,0,0,0.8151057823348531,True
3269,63,-0.7596911345114896,0,0,0.7404299438692871,True
3271,64,-5.002904620309573,0,1,0.04793333594037472,False
3296,65,-5.281638041882398,0,1,1.0566817573007843,False
