timesteps,episodes,total_reward,waypoint_reached,crashed,average_drift,TimeLimit.truncated
78,1,-6.805398351704734,0,1,2.27922750068337,False
152,2,-5.715180743982566,0,1,0.9450611712604624,False
252,3,-1.6587798055806766,0,0,1.6309769461115673,True
328,4,-6.199136702652062,0,1,1.5554779145555548,False
342,5,-5.04322342757846,0,1,0.2546728138411193,False
345,6,-5.012018070132167,0,1,0.3062199790022398,False
365,7,-5.190071913185201,0,1,0.922081938124242,False
366,8,-5.001300161966283,0,1,0.011819654238929634,False
382,9,-5.103778948244486,0,1,0.5850981954190323,False
482,10,-0.5492038694148451,0,0,0.5434447697802759,True
566,11,-6.697540565086683,0,1,2.005800749294791,False
578,12,-5.028252605918486,0,1,0.20877835449459092,False
579,13,-5.00307206794226,0,1,0.02792789038418748,False
679,14,-1.4734801138696798,0,0,1.4582420250940697,True
688,15,-5.087937345420487,0,1,0.8324993017813284,False
699,16,-5.07372723744716,0,1,0.5536957005726242,False
720,17,-5.082681432909848,0,1,0.35409434165422016,False
820,18,-1.4498130536253826,0,0,1.4284840438453459,True
821,19,-5.003045452275196,0,1,0.02768592977451007,False
846,20,-5.152413929539494,0,1,0.5786992359746502,False
931,21,-6.529696531592051,0,1,1.787477278978108,False
1031,22,-1.5797985165227442,0,0,1.5667411945934724,True
1089,23,-6.082547274233155,0,1,1.8208727099942588,False
1189,24,-1.032947202540974,0,0,1.0269556897335335,True
1249,25,-5.215881433400689,0,1,0.35835575926260793,False
1349,26,-2.05376647409429,0,0,2.0263262818077874,True
1367,27,-5.301162476981456,0,1,1.5572253050438372,False
1467,28,-2.176390318812797,0,0,2.157783159650877,True
1473,29,-5.013255880528305,0,1,0.14275556466005285,False
1476,30,-5.011819516933818,0,1,0.30065866726546703,False
1504,31,-5.50486823009275,0,1,1.7225956520730943,False
1532,32,-5.167910216791175,0,1,0.5691244999123032,False
1632,33,-1.461073183579006,0,0,1.4326531112283525,True
1639,34,-5.012050594080444,0,1,0.13206141893741222,False
1687,35,-5.310982321609806,0,1,0.6339073494831621,False
1714,36,-5.550476710675155,0,1,1.9458711653925838,False
1715,37,-5.003001193721065,0,1,0.027283579282411426,False
1783,38,-6.020073103054666,0,1,1.479992876120474,False
1883,39,-1.3699981027134052,0,0,1.343286962730552,True
1954,40,-5.482494181214704,0,1,0.6723019162920435,False
1969,41,-5.2243127823818085,0,1,1.3595881654213755,False
1970,42,-5.003081795714278,0,1,0.02801632467525622,False
2070,43,-0.8840216702563312,0,0,0.8774432869782155,True
2094,44,-5.188319883546936,0,1,0.7480874781143576,False
2173,45,-6.614087984055403,0,1,2.019941628570097,False
2267,46,-7.203730519973515,0,1,2.3188794051683037,False
2367,47,-1.2347398276330808,0,0,1.2250110037493673,True
2440,48,-5.986007843283016,0,1,1.3126431137578447,False
2459,49,-5.059283420011746,0,1,0.3053341201660231,False
2486,50,-5.053147013019533,0,1,0.1800693148823177,False
2586,51,-2.0622281557273596,0,0,2.0360784460858024,True
2686,52,-1.682265750473913,0,0,1.6593021444840403,True
2687,53,-5.002966676770194,0,1,0.02696978881994898,False
2787,54,-0.6130205271746545,0,0,0.5960841193769464,True
2868,55,-5.505848629142752,0,1,0.5982757201891122,False
2870,56,-5.00868020777625,0,1,0.17226645974806185,False
2970,57,-1.4239418459867905,0,0,1.3960781584874096,True
3070,58,-0.8032536193430181,0,0,0.7988560284246982,True
3120,59,-5.5631093924607775,0,1,1.0910282419659296,False
3128,60,-5.031853023471038,0,1,0.3260948235108385,False
3178,61,-5.218855966772293,0,1,0.42127602937280056,False
3278,62,-2.2985748709501395,0,0,2.2839103023107583,True
3320,63,-5.52611749154912,0,1,1.1854612774247775,False
3348,64,-5.091638201090624,0,1,0.3261571495424937,False
3374,65,-5.376142228441991,0,1,1.3611123341922462,False
3474,66,-2.567970836672538,0,0,2.54289977560014,True
3558,67,0.45142537557218765,1,0,0.6514987931935307,False
3643,68,-5.6984240635153,0,1,0.7942097349233905,False
3743,69,-1.5602304703847976,0,0,1.5465750459776006,True
3843,70,-0.5096518605447793,0,0,0.49146009578736,True
3935,71,-6.8165233178716065,0,1,1.9526283632836543,False
3956,72,-5.0587110272161935,0,1,0.2718542647006484,False
4008,73,-5.273222429228436,0,1,0.5053297351080077,False
4108,74,-0.9965098576687424,0,0,0.9786845632703228,True
4122,75,-5.03600271565247,0,1,0.22971289956831284,False
4196,76,-6.361248465389662,0,1,1.8019747430950972,False
4213,77,-5.148112110158453,0,1,0.7860455970466428,False
4313,78,-0.9807793376396249,0,0,0.9662605738172442,True
4335,79,-5.036085278819805,0,1,0.16044020371609133,False
4386,80,-5.559554840988157,0,1,1.0930651596275702,False
4414,81,-5.063128377363383,0,1,0.2117510005705946,False
4455,82,-5.505141813118544,0,1,1.1705273686718536,False
4459,83,-5.018082571522158,0,1,0.3126955174898444,False
4460,84,-5.003090933955266,0,1,0.028099399593329653,False
4560,85,-0.4990420663285153,0,0,0.4943914575292801,True
4610,86,-5.129162663141543,0,1,0.2504191313762233,False
4612,87,-5.004937431341968,0,1,0.1610475361351159,False
4683,88,-5.217696222239295,0,1,0.30550800381961274,False
4714,89,-5.413032122310593,0,1,1.269235294754091,False
4738,90,-5.075803660816019,0,1,0.2974058595135469,False
4784,91,-5.177159439267604,0,1,0.3691620447466376,False
4884,92,-1.2011283996054085,0,0,1.1928615763205954,True
4899,93,-5.18135772597163,0,1,1.1301963056114215,False
4999,94,-1.370892795172246,0,0,1.3696002222178045,True
5099,95,-1.4888720949477308,0,0,1.4829803654029177,True
5199,96,-1.8296016555605084,0,0,1.8210235255717664,True
5200,97,-5.003033643770343,0,1,0.02757857973039292,False
5300,98,-1.032003162350064,0,1,1.0216657463793863,True
5326,99,-5.4541483578906735,0,1,1.6792689173941477,False
5426,100,-1.454219178685436,0,0,1.4381208783761918,True
5478,101,-5.32053426599121,0,1,0.6019299064496157,False
5578,102,-1.9366490091665358,0,0,1.9179681895565077,True
5636,103,-6.053339557969477,0,1,1.7679545832612835,False
5639,104,-5.019074562070429,0,1,0.34288576921543357,False
5664,105,-5.144217450573327,0,1,0.5388276875778392,False
5674,106,-5.080136920427241,0,1,0.7606279760694042,False
5752,107,-6.0308024435092715,0,1,1.2893099472493295,False
5761,108,-5.043802700714825,0,1,0.4555902610551933,False
5766,109,-5.012481169399497,0,1,0.19276899266551142,False
5866,110,-1.1187346566114027,0,0,1.095638069990323,True
5906,111,-5.5284238029065556,0,1,1.2912775033467172,False
5907,112,-5.003011508942709,0,1,0.02737735402462942,False
5987,113,-6.147467229362322,0,1,1.42035482903528,False
6012,114,-5.467497799254337,0,1,1.7663628903978543,False
6112,115,-1.9395471946011762,0,0,1.932651054075088,True
6159,116,-6.177636224004967,0,1,2.448227407998576,False
