timesteps,episodes,total_reward,waypoint_reached,crashed,average_drift,TimeLimit.truncated
7,1,-5.017622238869257,0,1,0.1806192458536533,False
139,2,-6.723352948535259,0,1,1.29968037592748,False
153,3,-5.063470450396853,0,1,0.4171606359613609,False
453,4,-4.583444907260312,0,0,1.5247829816613765,True
463,5,-5.159148472546385,0,1,1.3289200832993195,False
763,6,-4.67957013732055,0,0,1.5561695238281952,True
1063,7,-4.70188314688666,0,0,1.564666926730972,True
1073,8,-5.159006217355365,0,1,1.3292241293969447,False
1373,9,-4.944578747365131,0,0,1.647665759148108,True
1414,10,-5.594624284690604,0,1,1.4030798146788515,False
1714,11,-4.678937428505842,0,0,1.555988495823686,True
2014,12,-4.615451425291159,0,0,1.535428777358987,True
2314,13,-4.880483930738754,0,0,1.6252495154974178,True
2339,14,-5.133246827313705,0,1,0.48708032430223,False
2639,15,-4.691300832503667,0,0,1.559759961472802,True
2939,16,-6.610735050602933,0,0,2.1988913205164304,True
3022,17,-6.964042222570162,0,1,2.3401810069822275,False
3059,18,-5.412252147531601,0,1,1.084686171714265,False
3068,19,-5.039426273540322,0,1,0.4095894414930112,False
3172,20,-7.018635780368232,0,1,1.917779371756509,False
3472,21,-4.935736686584201,0,0,1.6363121582445828,True
3772,22,-4.0636587988539254,0,0,1.3477201530030898,True
3773,23,-5.003092998573638,0,1,0.028118168851254885,False
3787,24,-5.172480590435822,0,1,1.1388338115955503,False
4087,25,-6.213786711073949,0,0,2.061996273120729,True
4142,26,-6.527559202306241,0,1,2.7319565314172154,False
4156,27,-5.130106820349541,0,1,0.8725448031213118,False
4157,28,-5.002922291244746,0,1,0.02656628404314605,False
4158,29,-5.003089334945894,0,1,0.028084863144489536,False
4167,30,-5.138685662355287,0,1,1.297552902686042,False
4467,31,-6.601104601051519,0,0,2.1910770538347766,True
4702,32,-9.925488786597398,0,1,2.087467668174616,False
5002,33,-6.413764288319728,0,0,2.1328939772331,True
5003,34,-5.0029149424290695,0,1,0.02649947662790795,False
5004,35,-5.00309094175359,0,1,0.028099470487183583,False
5005,36,-5.002917401953711,0,1,0.026521835942832608,False
5009,37,-5.006510204862895,0,1,0.1599846093692154,False
5037,38,-5.234662193135986,0,1,0.7987569410306239,False
5102,39,-5.831884319646813,0,1,1.2611771910586558,False
5158,40,-5.659348695797798,0,1,1.147324393960205,False
5232,41,-5.36731511794696,0,1,0.4784440127542123,False
5376,42,-8.424521230595325,0,1,2.3690255469182273,False
5676,43,-5.700775809674632,0,0,1.8930292591576918,True
5753,44,-6.729661400347767,0,1,2.2224220092858316,False
5765,45,-5.018364729647117,0,1,0.14788772536149677,False
6065,46,-3.9413849221205983,0,0,1.3106081190041377,True
6079,47,-5.193818715717754,0,1,1.2615603266874513,False
6157,48,-5.620316657561314,0,1,0.7766537035942934,False
6184,49,-5.458656833346539,0,1,1.614220081514545,False
6484,50,-4.072569141997712,0,0,1.354779505211433,True
6784,51,-6.322989028571955,0,0,2.0996801982488034,True
6798,52,-5.046533739795214,0,1,0.33169444598476727,False
7098,53,-6.033828910260262,0,0,2.0024533935569733,True
7180,54,-5.792979133609464,0,1,0.9578607358313522,False
7480,55,-6.743002480572709,0,0,2.240624876089882,True
7508,56,-5.054086142495801,0,1,0.1895915610788354,False
7808,57,-7.1303666933589085,0,0,2.368565758466994,True
7828,58,-5.168930570671677,0,1,0.8170226522977088,False
7857,59,-5.217805156757538,0,1,0.657832850335059,False
7962,60,-7.6566228163997785,0,1,2.5061848250457817,False
8262,61,-5.917246833437316,0,0,1.970806344342873,True
8282,62,-5.328656847194216,0,1,1.5878259556497798,False
8582,63,-6.222603517042003,0,0,2.0650025425219862,True
8614,64,-5.755602245175275,0,1,2.274454469825079,False
8624,65,-5.01656538943981,0,1,0.16191302568129512,False
8692,66,0.7881667651522472,1,0,0.30465061053191383,False
8844,67,-8.502550976001986,0,1,2.292671312483496,False
8886,68,-5.768921874510979,0,1,1.7823928045928505,False
9045,69,-7.845305321236449,0,1,1.7801358245972687,False
9058,70,-5.128528134964983,0,1,0.9444214200506342,False
9318,71,-9.839440527281887,0,1,1.860214440758361,False
9326,72,-5.055202864277416,0,1,0.614612392934475,False
9355,73,-5.459935039281568,0,1,1.4935274539939,False
