timesteps,episodes,total_reward,total_intrusions,final_altitude,TimeLimit.truncated
39,1,-126.762205475,0,4812.686282,False
80,2,-129.28062706166668,1,1386.069711,False
119,3,-386.71491291500007,6,3470.79055,False
153,4,-413.15185368999994,0,10130.445772,False
184,5,-441.6349596,0,11060.0,False
215,6,-457.53772719000006,0,11060.0,False
246,7,-457.70416789666683,0,11060.0,False
277,8,-467.3695292,0,11060.0,False
310,9,-389.95790770666673,0,7477.445324,False
344,10,-411.28706165333347,0,7746.141072,False
378,11,-418.65363255333347,0,7732.144182,False
412,12,-388.95571803333337,0,6605.174984,False
446,13,-374.07652107333337,0,6230.820838,False
480,14,-324.8175006866667,0,5855.200548,False
490,15,-122.25877384,0,-100,False
524,16,-326.3921055399999,0,5855.140642,False
558,17,-404.64327496666664,0,7357.51462,False
592,18,-334.54662558666666,0,5855.136286,False
626,19,-369.13424060666665,0,6230.140642,False
660,20,-348.378290475,0,5957.916389,False
668,21,-119.15502383666667,0,-100,False
703,22,-285.06725681999984,0,4598.771734,False
711,23,-118.61093069,0,-100,False
720,24,-125.65066245666667,0,-100,False
731,25,-130.6584513,0,-100,False
742,26,-126.23549235,0,-100,False
752,27,-118.88312904,0,-100,False
761,28,-123.41183013333334,0,-100,False
798,29,-150.59430767500004,0,610.252316,False
806,30,-115.674493625,0,-100,False
841,31,-338.0937334966667,2,-100,False
876,32,-215.97316600666664,0,-100,False
914,33,-148.00239813000005,1,1149.739913,False
952,34,-288.8137007716666,2,-100,False
991,35,-162.682183055,0,3168.613961,False
1031,36,-314.06347093500005,4,304.926726,False
1070,37,-133.45080896166667,0,2970.677,False
1110,38,-88.48159674499999,0,1174.192336,False
1149,39,-146.15287670333333,1,3040.093926,False
1190,40,-209.6755014716667,3,358.964048,False
1231,41,-58.05230343,0,697.184575,False
1269,42,-157.91701554000002,0,2776.285934,False
1308,43,-228.76875993333334,0,-100,False
1347,44,-75.30931780833333,0,2217.63086,False
1387,45,-98.19220803833335,0,1556.693269,False
1428,46,-61.53458060333333,0,1727.588756,False
1469,47,-257.98801017499994,4,1874.611998,False
1508,48,-86.92760508,0,2855.407609,False
1548,49,-216.84646337666663,3,2160.409217,False
1588,50,-77.063980005,0,1654.660828,False
1628,51,-268.5124564783333,4,2285.367582,False
1668,52,-144.62360690166668,1,2988.775325,False
1708,53,-168.51371913666668,2,2731.06298,False
1749,54,-198.71698845999998,3,1462.752214,False
1790,55,-215.6619282583333,3,1750.041955,False
1831,56,-234.33585479666667,4,1110.264953,False
1871,57,-165.3858174833333,2,1842.048866,False
1910,58,-122.89416846,1,2662.808105,False
1951,59,-263.6400947883334,4,1809.191396,False
1992,60,-312.2282676766666,5,1949.596371,False
2033,61,-248.32447957833332,4,775.648161,False
2073,62,-420.6729749533333,7,2503.640687,False
2113,63,-491.7590083383332,8,1856.448765,False
2153,64,-146.38971200333333,1,1532.649647,False
2195,65,-177.547457205,3,355.468141,False
2235,66,-91.703234675,0,921.677429,False
2274,67,-95.98551617500001,0,2989.101371,False
2315,68,-197.40546566666666,3,1405.162133,False
2355,69,-83.46465456833334,0,1591.068513,False
2396,70,-173.51303698833328,2,570.323326,False
2436,71,-83.370006255,0,1488.648295,False
2477,72,-123.87007892833334,1,356.609734,False
2521,73,-167.044669025,2,123.998649,False
2562,74,-144.64821845666665,2,1004.021415,False
2602,75,-93.16969837666667,0,2670.963403,False
2642,76,-181.9020312283333,2,1237.620344,False
2683,77,-68.35511212833335,0,814.676528,False
2723,78,-237.06372267500004,3,1902.99559,False
2764,79,-389.18491916833335,6,636.320483,False
2806,80,-157.95664925166665,1,495.039974,False
2847,81,-144.53855362833335,2,856.944674,False
2888,82,-234.785982495,3,419.797177,False
2929,83,-183.3597982283333,2,803.045612,False
2970,84,-132.77539360333333,1,565.494541,False
3010,85,-76.225536675,0,1225.901005,False
3050,86,-189.563708835,2,273.776539,False
3090,87,-203.1885268366667,1,-100,False
3131,88,-145.3559482883333,1,1588.091611,False
3171,89,-257.25355933833333,4,1475.818591,False
3211,90,-115.67375849833331,1,1085.700956,False
3252,91,-148.14758097333333,2,95.825085,False
3294,92,-220.56450837833336,2,711.230787,False
3334,93,-170.05620840166665,2,861.462566,False
3374,94,-168.644467165,1,697.000355,False
3414,95,-177.84938468,2,1966.357451,False
3449,96,-149.09061158833333,0,-100,False
3489,97,-226.93755604333333,3,1551.521554,False
3529,98,-71.45261610833334,0,1135.029524,False
3570,99,-61.22331430500001,0,335.898361,False
3611,100,-403.58708165499996,7,536.635449,False
3651,101,-226.72711731499996,3,1108.105669,False
3691,102,-256.84917127,4,1073.768454,False
