timesteps,episodes,total_reward,faf_reach,average_drift,total_intrusions,average_vinput,average_hdginput,TimeLimit.truncated
350,1,-129.38180940067002,[0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0.],1.776882991438143,3,-0.015936576342210174,-0.3016479727978419,True
700,2,-122.20003168513148,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.745714738359021,0,-0.009150601616628201,-0.22637843905706956,True
1050,3,-124.75921008032607,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7251315725760865,2,-0.009695548851353427,0.0163792342504686,True
1400,4,-122.34901629626654,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0.],1.7621288042323788,0,-0.005169074729450845,0.05807433426775138,True
1750,5,-125.5269214657631,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7432417352251868,2,-0.00336751694026004,-0.37101777226447924,True
2100,6,-114.69561130128079,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.6385087328754395,0,-0.0032405854377984293,-0.20350981428262976,True
2450,7,-122.95927927806878,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.727989703972411,1,-0.0046946012458231835,-0.38005450186129586,True
2800,8,-125.55082150212779,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7078688786018257,3,-0.0025803926128043844,-0.3997905896105554,True
3150,9,-127.433811109303,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.741911587275757,3,-4.813013375193501e-05,-0.3948662003992857,True
3500,10,-117.67268907884738,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],1.6310384154121054,2,0.0005014922056538386,-0.43708483112585134,True
3850,11,-131.01505924441628,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.8145008463488033,2,-0.0007455463814980036,-0.6155882900098472,True
4200,12,-123.21973324660827,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.738853332094404,1,-0.0013744148074329133,-0.5015216500402727,True
4550,13,-125.40155335754818,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7057364765364025,3,-0.0008866692971531558,-0.5411614856254156,True
4900,14,-126.89873718522097,[0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7056962455031563,4,-0.0013541962043293135,-0.5987455868724096,True
5250,15,-137.11097337768425,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.8730139053954893,3,-0.0011980955078671244,-0.6913649967452511,True
5600,16,-135.22281830336868,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7674688329052668,6,-0.002057938675074443,-0.613402462382302,True
5950,17,-119.04200551728697,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.6720286502469568,1,-0.0029872539582463695,-0.6336086539492919,True
6300,18,-122.23051009801353,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7532930014001933,0,-0.00339652044832797,-0.6447517924892184,True
6650,19,-130.7101352077722,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0.],1.845859074396746,1,-0.003655549213406192,-0.6899427122923132,True
7000,20,-126.9310482311733,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7847292604453329,1,-0.004322086354129299,-0.6431613883941567,True
7350,21,-125.47513315246559,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7710733307495086,1,-0.004348230918445292,-0.7557239204822156,True
7700,22,-131.77058957915764,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.8824369939879664,0,-0.004112624098637894,-0.7423214044540972,True
