timesteps,episodes,total_reward,faf_reach,average_drift,total_intrusions,average_vinput,average_hdginput,TimeLimit.truncated
350,1,-122.40550394154477,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.6629357705934973,3,-0.0005368015132252754,-0.3268139978049005,True
700,2,-122.93534071602224,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.670504867371746,3,0.00032387652756677733,0.29057653362847063,True
1050,3,-132.5066165498308,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0.],1.8715230935690117,1,0.00632209018708538,0.7261892888348036,True
1400,4,-131.49420014855335,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.8213457164079052,2,0.0054493577255616205,0.08132552210566318,True
1750,5,-132.70087120053682,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.8742981600076685,1,0.00432011354896758,0.06417237659697132,True
2100,6,-134.78279627469686,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],1.8183256610670973,4,0.001309592362591835,0.09367253924980852,True
2450,7,-134.65840308088914,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0.],1.845120044012702,3,0.0020608554755479087,-0.05362520489275985,True
2800,8,-126.54928289021697,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7792754698602422,1,0.0055220638699238316,0.09062647975877525,True
3150,9,-129.63308169429425,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0.],1.8019011670613463,2,0.004984408338339034,-0.05847948182289032,True
3500,10,-127.32144016897641,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.8260205738425206,0,0.003131296694657163,-0.3020590211501925,True
3850,11,-120.11874864560124,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],1.694553552080018,1,0.002802464412748387,-0.4636357033260258,True
4200,12,-135.37411128662944,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.9053444469518488,1,0.0005418951457770442,-0.5745694857842684,True
4550,13,-132.49926801629624,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.8642752573756607,1,0.0014774788214901309,-0.6392387691310306,True
4900,14,-128.93560492687237,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.8133657846696054,1,0.0024414205827545444,-0.5398143884363068,True
5250,15,-119.99880797548897,[0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7214115425069854,0,0.0025942458967052463,-0.5621273230830683,True
5600,16,-127.79922360964514,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.797131765852073,1,0.002294571022074376,-0.5976587269087851,True
5950,17,-133.6674820553957,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.852392600791367,2,0.0018262447757102103,-0.6265057862711426,True
6300,18,-139.97995474916507,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.8854279249880725,4,0.0017883303077658246,-0.6719035352416334,True
6650,19,-138.39671423554555,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.919953060507794,2,0.0023950613869063156,-0.7081526960784217,True
7000,20,-135.83857590869783,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0.],1.8905510844099687,2,0.0024611240414399963,-0.6385051489008216,True
7350,21,-130.8076888639869,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7829669837712412,3,0.0018027386517121065,-0.5609538108236021,True
7700,22,-139.54190392343912,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],1.9434557703348445,2,0.0019807300573217593,-0.5709871822676776,True
8050,23,-134.38682694522808,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.862668956360401,2,0.002017003312778935,-0.5278527434312684,True
8400,24,-122.41731099370286,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.6631044427671835,3,0.0021815101395917962,-0.5032014233835306,True
8750,25,-117.30769194318286,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.6472527420454686,1,0.0024603456175138093,-0.4494806355513758,True
9100,26,-126.67244183660037,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7810348833800052,1,0.0021182908168351413,-0.3766573406447992,True
9450,27,-130.34294529594274,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.8048992185134678,2,0.0015890138838166434,-0.3722492020379218,True
9800,28,-130.03571714567255,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.800510244938179,2,0.0014394543807860686,-0.37494029887202274,True
10150,29,-141.14644636606246,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.9878063766580356,1,0.0015188098160634628,-0.4160301902408595,True
10500,30,-134.32401818745086,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.890343116963583,1,0.0016850108505556834,-0.4127676292490319,True
10850,31,-140.58781982349856,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.9226831403356937,3,0.0015822387196074016,-0.4159109826409252,True
11200,32,-129.9642374962758,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.8566319642325113,0,0.001414324086543824,-0.368970371511625,True
11550,33,-129.36532154422665,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.8480760220603802,0,0.0010635172586535087,-0.3703467950885364,True
11900,34,-129.7616270150545,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7965946716436356,2,0.00039162891137611166,-0.34301535998847665,True
12250,35,-123.55249422707092,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],1.772178488958156,0,0.0011745338039603642,-0.32492533959441633,True
12600,36,-129.1758278998497,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.731083255712139,4,0.0014140133820934068,-0.3068085660610347,True
12950,37,-127.03240854773938,[0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0.],1.8004629792534197,1,0.0019242150282870038,-0.25354178646378867,True
13300,38,-127.42471689485065,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.763210241355009,2,0.001961015797970987,-0.2307563141505912,True
13650,39,-130.258838187107,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],1.8108405455301,2,0.002681867607007631,-0.2286001668266705,True
14000,40,-119.26515189565067,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1.],1.689502169937867,1,0.0027666837967813968,-0.23570455380443472,True
14350,41,-133.10275447570268,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.872896492510038,1,0.0030029526966466407,-0.26327049333064284,True
14700,42,-129.70973469889228,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.8244247814127468,1,0.0028724575195678333,-0.26875713443897503,True
15050,43,-121.41285878598356,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0.],1.6844694112283365,2,0.003067654865414686,-0.2310161438259521,True
15400,44,-134.14255653873806,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0.],1.8377508076962576,3,0.0031782919091923765,-0.1606722572176825,True
15750,45,-131.36444183859942,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7623491691228483,4,0.003067496877898195,-0.13281910195823216,True
16100,46,-127.00378618105508,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7571969454436442,2,0.003083036185688937,-0.14009506186546272,True
16450,47,-115.88939932428994,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.655562847489856,0,0.0032670950890392606,-0.11798048616016789,True
16800,48,-128.62000496848557,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.751714356692651,3,0.003530688749793819,-0.12945138796649064,True
17150,49,-118.68622058670371,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.6669460083814813,1,0.0034038583722205704,-0.118525060008805,True
17500,50,-139.63611558621338,[0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.8876587940887626,4,0.003329809973996784,-0.13583060845834433,True
17850,51,-124.86218246237276,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.6980311780338968,3,0.0037262021627820926,-0.11632590276870648,True
18200,52,-127.34795380134014,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.826399340019145,0,0.0033659485245216758,-0.09765901173061303,True
18550,53,-122.49815080280983,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7499735828972838,0,0.0036258825202586595,-0.09011271477564557,True
18900,54,-150.65859499782016,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.8951227856831456,9,0.0038328726148864657,-0.11278486810521701,True
19250,55,-136.65091531616034,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.8950130759451473,2,0.0038833466846361487,-0.10577561594154532,True
19600,56,-134.82025657159252,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.868860808165608,2,0.0035162750419372884,-0.07496487335297745,True
19950,57,-115.84949734648387,[0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.6049928192354839,2,0.003526498782223097,-0.04353564216244705,True
