timesteps,episodes,total_reward,faf_reach,average_drift,total_intrusions,average_vinput,average_hdginput,TimeLimit.truncated
350,1,-118.13758318616681,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 1. 0. 0. 0. 0.],1.601965474088097,10,-0.008131400246738734,0.8687410997904165,True
700,2,-130.75212007112432,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1.],1.882173143873205,0,-0.00024248941989423275,0.392700787122035,True
1050,3,-120.15856922783017,[0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],1.7308367032547163,2,0.004945810115751983,-0.373372993569063,True
1400,4,-136.3736296378643,[0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],1.948194709112347,2,0.003894189110283504,0.03850437020580598,True
1750,5,-129.76886519541424,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1.],1.839555217077346,2,0.006012399506136481,0.1529220103448282,True
2100,6,-140.3627779173817,[0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.8623253988197384,11,0.005257627562037645,0.1515082560193391,True
2450,7,-131.01264279991335,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.8287520399987618,3,0.003714538382931725,0.1174347665295669,True
2800,8,-124.09986626023436,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.772855232289062,1,0.0017061868222122496,-0.013821361208782029,True
3150,9,-135.32696133225787,[0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.8618137333179692,6,0.0026674411190370493,0.02107472126903002,True
3500,10,-127.2761470941266,[0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1.],1.8182306727732374,2,0.0029693236110432462,0.1620705987767063,True
