timesteps,episodes,total_reward,faf_reach,average_drift,total_intrusions,average_vinput,average_hdginput,TimeLimit.truncated
350,1,-131.66166526560173,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],1.8808809323657385,1,-0.015946657911241544,-8.573049769470994e-05,True
700,2,-130.35824340101735,[0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.8479749057288188,3,-0.011495562152288034,-0.4718655496135068,True
1050,3,-113.60513256348307,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],1.6372161794783293,1,-0.005540551045920332,0.1167612397002513,True
1400,4,-122.86923652055692,[1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7267033788650992,4,-0.006765111024433071,-0.08125421710002269,True
1750,5,-127.69450252812956,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7670643218304218,4,-0.004965950616402383,0.037017903185668534,True
2100,6,-121.33028020274138,[0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0.],1.7332897171820192,3,-0.001701490417527383,-0.12100918475154367,True
2450,7,-139.9285562417947,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.9989793748827804,0,0.000539296190610884,-0.1003170255903605,True
2800,8,-122.31632950525521,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0.],1.7330904215036458,3,-9.772202569520161e-06,-0.18709649734576184,True
3150,9,-114.45455997744791,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0.],1.6350651425349707,1,-0.0015050818946485077,-0.21055256973518577,True
3500,10,-126.37409041308027,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],1.8339155773297178,0,-0.002599968799339922,-0.17186459637841436,True
3850,11,-125.60529275217336,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0.],1.7657898964596195,4,-0.00422146848640276,-0.13533982377822004,True
4200,12,-128.26752731512758,[0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],1.860964675930394,1,-0.006301796368747281,0.013670207500781842,True
4550,13,-127.76667375992068,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0.],1.8109524822845815,3,-0.004793401848343086,0.01950168125999938,True
4900,14,-134.06321222518986,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7866173175027122,9,-0.005115161528870195,0.14891348406152866,True
5250,15,-121.77312251630661,[0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7110446073758085,4,-0.004296634219819624,0.21819875354792775,True
5600,16,-132.51542391630124,[0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.878791770232875,2,-0.00437347750567169,0.22995896385527975,True
5950,17,-126.4613193845856,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7780188483512227,2,-0.0027734690377617375,0.3091568158536682,True
6300,18,-131.8301948366507,[0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.8690027833807241,2,-0.002809893730039189,0.37233927274339573,True
6650,19,-131.17877195258575,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],1.845411027894082,4,-0.003530326597576329,0.38450446145268163,True
7000,20,-125.13914623627049,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.787702089089579,1,-0.0028843959867039144,0.5106314296451878,True
7350,21,-119.48324869962372,[0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.6783321242803388,4,-0.001843573872647747,0.4872450587970289,True
7700,22,-109.23131112313024,[0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1.],1.5747330160447175,1,-0.0016411102378465364,0.4188483840523048,True
8050,23,-118.80190204997702,[1. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],1.6400271721425286,8,-0.0007370763868223282,0.5100351233906096,True
8400,24,-130.15394188315025,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0.],1.8450563126164325,2,-0.0007111096505554867,0.5024969016570623,True
8750,25,-119.66078216738264,[0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0.],1.752296888105466,0,-0.0008347643681202815,0.4948980228956961,True
9100,26,-126.02574776763727,[0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.8003678252519608,1,-0.0013464210402785613,0.49215242114907337,True
9450,27,-116.9368740349945,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0.],1.670526771928493,2,-0.0016029592275572386,0.5112366394127666,True
9800,28,-121.32810501129927,[0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7475443573042748,1,-0.00180950775431889,0.5657396191439024,True
10150,29,-126.82058539306587,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.8117226484723696,0,-0.0020008259379761142,0.6092426453806664,True
10500,30,-116.94595505198595,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],1.6849422150283708,1,-0.0020908471274333506,0.6567147072912559,True
10850,31,-120.40649974855405,[0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0.],1.734378567836486,2,-0.0011154548596635553,0.6609125743858432,True
11200,32,-122.94004199918464,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 0. 1. 0. 0.],1.7991434571312097,1,-0.0011642595579541843,0.7334760293408316,True
11550,33,-132.45925944024165,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.892275134860595,1,-0.0016131751361308827,0.7214867812643982,True
11900,34,-107.35326969367682,[0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.5621895670525257,0,-0.0013280820257486061,0.6560799945844464,True
12250,35,-134.15323759134904,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],1.773617679876415,11,-0.0014106769974827908,0.6311545379469484,True
12600,36,-126.17402162069462,[0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7310574517242086,6,-0.0013626567037297284,0.6809609552736455,True
12950,37,-121.12275456313384,[1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7303250651876256,2,-0.0016349228433626174,0.6523056171383308,True
13300,38,-120.25907869425522,[0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0.],1.746558267060789,0,-0.001585521278924749,0.6569098847738013,True
13650,39,-121.64389054700716,[0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.6949127221001026,5,-0.002042560707253209,0.6215648025091876,True
14000,40,-117.31450930145625,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0.],1.6902072757350892,1,-0.0021498106802755293,0.6402148511615091,True
14350,41,-133.86723502921637,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.8838176432745188,2,-0.002713531892221784,0.6362129256319204,True
14700,42,-117.45704539901398,[0. 0. 0. 0. 0. 1. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7065292199859143,1,-0.0021655916275185507,0.606622143072834,True
15050,43,-122.90628767474824,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 1. 0.],1.7558041096392607,3,-0.0022168793719442694,0.5985464794624796,True
15400,44,-123.58849341333327,[0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7798356201904755,1,-0.0023254886230449122,0.6181854922888451,True
15750,45,-113.39101592786957,[0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.6341573703981365,1,-0.002090931072080903,0.6221515768040659,True
16100,46,-126.65343442213724,[0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0.],1.7521919203162462,8,-0.0016098645680781955,0.6243878013629456,True
16450,47,-120.32516743747033,[0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0.],1.7189309633924332,2,-0.0013032818492395644,0.6266020457553387,True
16800,48,-124.92691550714349,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],1.7418130786734787,5,-0.0015156875993852562,0.6253815752438947,True
17150,49,-119.90362451274372,[0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7129089216106241,2,-0.0015336829588616656,0.5898674131250341,True
17500,50,-125.9944838647905,[0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7713497694970073,3,-0.0015349659544714959,0.5901024249224078,True
17850,51,-129.14182624015592,[0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.8591689462879417,0,-0.0012905499288656897,0.5920722064712229,True
18200,52,-133.3810351247641,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.8911576446394873,1,-0.0012648394032142088,0.6147807071360352,True
18550,53,-127.34067649376911,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0.],1.8191525213395587,2,-0.0017028099908637645,0.6078615507534021,True
18900,54,-120.99222298443894,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0.],1.7284603283491278,2,-0.0014661805694041836,0.6462698333424955,True
19250,55,-125.43271036601271,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7918958623716101,1,-0.0012225753238890168,0.6587854313488838,True
19600,56,-127.42589111056694,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1.],1.8489413015795277,0,-0.0011053021487510111,0.6703686834851176,True
19950,57,-125.84146590869663,[0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.812020941552809,1,-0.0012096995846945927,0.6988916288516361,True
20300,58,-130.16325275530335,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.8594750393614763,1,-0.0009196749006270568,0.6968089510678741,True
20650,59,-134.9513225081012,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.8421617501157312,7,-0.0007021037927241156,0.7544716107161883,True
21000,60,-118.9663234170851,[1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.6995189059583584,3,-0.0005859395435573173,0.8043831497737989,True
21350,61,-125.08960063349986,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0.],1.8012800090499976,1,-0.0007102392023822824,0.8284268286686671,True
21700,62,-120.07637869857204,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0.],1.729662552836743,1,-0.000915835610977661,0.8379908668028673,True
22050,63,-128.578381257413,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],1.8225483036773287,2,-0.0008117767100411287,0.8589272204192124,True
22400,64,-127.71055916577109,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.8244365595110152,0,-0.000915937041835202,0.8852374647699373,True
22750,65,-128.30554276026686,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],1.832936325146669,1,-0.0008498247127984983,0.9149145887076799,True
