episode,tot_reward,tot_intrusions,tot_drift
0,-29.62647913180788,22,0.025253242158304354
1,-8.243877251900113,4,0.014052573681788354
2,-5.996171723926499,2,0.013232356701743326
3,-5.694004962459559,0,0.018854321067746885
4,-3.5595042652181577,0,0.013690401020069855
5,-11.579741911060664,6,0.018475966592916112
6,-20.443628932081122,14,0.0213365196426525
7,-15.039054281890612,10,0.01668561020493588
8,-5.663479879545525,2,0.012130728077965294
9,-8.572060955886998,4,0.017859613108933615
10,-3.380179310648534,0,0.013967683101853432
11,-4.103543152921506,0,0.013587891234839415
12,-4.323381460841645,0,0.014315832651793536
13,-3.831219644162837,0,0.012686157762128548
14,-8.45644743384428,4,0.014756448456438068
15,-20.55575377435775,10,0.03495282706740975
16,-28.336324083824717,14,0.05232235067089288
17,-21.869505954230526,6,0.0666785964463469
18,-8.304384518227142,4,0.0146407636674393
19,-24.976277901644707,4,0.0694578738465056
20,-6.67474364072063,2,0.015479283578545144
21,-8.29242819303291,4,0.014213338387526137
22,-6.972355890031535,0,0.023087271159044808
23,-48.36033529778417,12,0.12039846125094109
24,-4.487918358063064,0,0.01591460410660663
25,-21.79926145488848,16,0.0192028524996308
26,-6.8414543395584335,2,0.016031305760127262
27,-8.721851016087689,4,0.01563526826519097
28,-10.294602374139565,6,0.014220537662713839
29,-13.233133034351063,6,0.023950771636924054
30,-27.240930048612775,6,0.0703342054589827
31,-29.474178667755552,14,0.051239002211111155
32,-21.30695012385615,8,0.044062748754490406
33,-12.218608042956154,8,0.013968900804490633
34,-25.192977050001534,6,0.06355290413907799
35,-9.642555479345535,4,0.018683958540879307
36,-27.450692021933897,8,0.06440626497329095
37,-21.37409815471534,12,0.031040060114951598
38,-5.781395712460902,2,0.012521177855830859
39,-6.308734242113393,2,0.014755939185319901
40,-6.450165221775024,2,0.01901780009305568
41,-4.685761357514487,0,0.015515766084485046
42,-25.36489618863604,18,0.024387073472305044
43,-12.8219139881472,8,0.01596660260975897
44,-10.016086456841565,6,0.013298299525965491
45,-5.095913679797861,0,0.017943358027457258
46,-2.901851206090468,0,0.013190232754956668
47,-9.549977606554076,4,0.019821348594835923
48,-3.5759088182617798,0,0.012416350063408957
49,-7.40841002432212,4,0.011286125908351471
50,-10.270373781984953,6,0.014140310536374089
51,-26.257545762053446,20,0.02072035020547546
52,-3.5754630648821517,0,0.015681855547728735
53,-7.773115800807653,2,0.019116277486118056
54,-6.232735857592733,0,0.02063819820394946
55,-27.068900702074608,0,0.08963212153004824
56,-5.864556415176408,2,0.013144749711484395
57,-6.873673405772611,2,0.01624557801924211
58,-12.035406836499025,2,0.03322982396191725
59,-3.4071129611364426,0,0.012255802018476404
60,-10.505280742113081,6,0.014918148152692278
61,-9.99893472990577,6,0.013241505728164786
62,-4.851016701924099,0,0.01684380799279204
63,-7.8946643798937854,4,0.012896239668522427
64,-9.728080869608831,6,0.012344638641088888
65,-22.113634451245858,0,0.0732239551365756
66,-23.384944063936977,16,0.02600332416879209
67,-5.672367268324498,2,0.012160156517630723
68,-7.996413323985111,4,0.013233156701937424
69,-31.269827854104918,4,0.09029744322551289
70,-14.140770388440943,0,0.04682374300808268
71,-21.57196588610469,6,0.051562800947366726
72,-12.601934059682383,6,0.021860708806895442
73,-20.697602145949837,12,0.028800007105794192
74,-5.663237111084093,2,0.012129924208887722
75,-6.369502903619754,2,0.014468552660992586
76,-4.896099247823469,0,0.016212249164978366
77,-9.879544375861556,4,0.019468689986296594
78,-10.757613928127622,6,0.015753688503733754
79,-19.164683150991102,14,0.01871262011228626
80,-14.668731524170498,8,0.022229105080568332
81,-31.448573641708023,2,0.09751183325068886
82,-6.071824960986148,2,0.015193376720097655
83,-12.344286188981725,6,0.021007570162191132
84,-10.372572620609136,6,0.014478717286785209
85,-37.43914747575384,2,0.11734817044951588
86,-5.544328007487,0,0.018358702011546307
87,-7.0220894560077225,2,0.01662943528479382
88,-25.734103083203596,8,0.0587221956397471
89,-9.931223387486376,4,0.019639812541345666
90,-11.624642295084342,6,0.02163323959647825
91,-5.5445520737039145,2,0.011736927396370592
92,-7.115259622360379,2,0.01693794576940523
93,-12.77034853699497,8,0.01579585608276474
94,-3.8946457824816614,0,0.012896178087687617
95,-21.852139220422444,8,0.04711611979735499
96,-25.125871525583833,20,0.018306684019942024
97,-10.263857535169581,4,0.020741250116455636
98,-10.986306131904106,6,0.016510947456636026
99,-11.407215100855682,6,0.017904685764422792
100,-12.67387147396344,0,0.05370284522865874
101,-5.993261092860177,2,0.013222718850530415
102,-26.817318326839516,10,0.05568648452595871
103,-6.448306869490131,2,0.014729492945331499
104,-3.4062555681070723,0,0.01127899194737441
105,-4.394079149218544,0,0.01454993095767735
106,-3.6984944696759436,0,0.012246670429390545
107,-13.309351790029774,8,0.017580635066323732
108,-8.009341294578762,4,0.013275964551585312
109,-18.082643317951398,12,0.020141203039574167
110,-17.49117911428384,12,0.01818271229895309
111,-56.813336098465086,8,0.16163356323995026
112,-8.117834189768637,4,0.013635212548902714
113,-9.019574753052817,2,0.023243625010108678
114,-6.030840484664064,2,0.0133471539227287
115,-5.827882433657262,2,0.014499554672944075
116,-10.191487566939673,6,0.01387909790377386
117,-7.310673822998786,0,0.024207529215227768
118,-5.153186159908918,2,0.01995687442980332
119,-34.802307232819274,10,0.08212684514178575
120,-6.17307399063076,2,0.013818125796790558
121,-40.275746316365755,0,0.13336339839856234
122,-12.743453129415059,8,0.015706798441771704
123,-13.112687973816874,4,0.03017446348945995
124,-16.95060971404893,10,0.023015263953804314
125,-5.520965030524913,2,0.011658824604387137
126,-7.9824995534816745,2,0.019809601170469104
127,-4.52266067506314,0,0.014975697599546818
128,-5.265003893080272,2,0.011578027989646378
129,-4.397533356156317,0,0.014561368728994453
130,-12.08758960559533,8,0.013535064919189765
131,-5.204034767890886,2,0.015257308418528027
132,-8.012244264499987,4,0.013285577034768115
133,-20.78769563105087,2,0.0622109126855989
134,-17.44373617886468,10,0.024648133042598268
135,-3.971119935944604,0,0.01314940376140597
136,-3.4169704578541875,0,0.011314471714748957
137,-10.005969133281535,6,0.013264798454574503
138,-15.26155108074417,10,0.025295918657423973
139,-10.624267010352755,6,0.015312142418386576
140,-5.458007356213257,2,0.012438875382062146
141,-5.64092969491226,2,0.01411213060043513
142,-8.001410829279088,4,0.013249704732712237
143,-18.874487923643926,14,0.01614068848888742
144,-10.827172838611247,6,0.015984016021891416
145,-5.482490665004636,0,0.018153942599353105
146,-27.257840446093542,0,0.09025774982150184
147,-6.030738202694251,2,0.013346815240709489
148,-10.307589902329335,6,0.014263542722944816
149,-5.32807591828179,2,0.011020118934707926
150,-8.829843770492893,4,0.015992860167194953
151,-3.6543629782805414,0,0.012100539663180618
152,-6.33406113811274,2,0.014945038407285368
153,-24.847753274584008,2,0.0756548121674967
154,-16.382381752965323,12,0.014511197857501068
155,-6.7307320184793005,2,0.015874939659326525
156,-13.204246570295025,8,0.017232604537400675
157,-22.462354783870772,4,0.06113362511215488
158,-11.4488785152613,6,0.018042644090269226
159,-7.4605063822944215,0,0.024703663517531213
160,-10.957700364214375,4,0.026760386016209125
161,-18.33024358268592,2,0.054073654247304315
162,-11.688639097401623,6,0.01883655330265448
163,-8.283278386168112,4,0.014373417403248646
164,-25.198714540473844,6,0.06357190245190009
165,-6.182469227393836,2,0.013849235852297474
166,-25.57080819522354,6,0.06480400064643546
167,-6.771212175170902,4,0.011742424471063178
168,-8.793591333837469,2,0.02249533554250811
169,-6.388524489272501,4,0.013123760930068555
