episode,tot_reward,tot_intrusions,tot_drift
0,-7.22921699150626,2,0.01731528805134522
1,-14.459481015664364,8,0.024102541103225284
2,-34.99259411092852,2,0.10924700036731286
3,-12.821559425049147,6,0.02258794511605661
4,-21.563401136814,14,0.02504437462521174
5,-7.622787154966612,2,0.01861850051313446
6,-20.351067125098055,12,0.027652540149331262
7,-6.518268701369286,0,0.02172756233789762
8,-8.176041528323216,2,0.02045046863683186
9,-8.456536014299338,0,0.02800177488178588
10,-14.151224832803278,8,0.02036829414835513
11,-9.13591382560647,4,0.019307946712806355
12,-15.008241308286417,6,0.029828613603597495
13,-5.103379854328027,0,0.01689860878916564
14,-19.291717928359606,12,0.028707550899053667
15,-11.09540241742259,4,0.023494709991465475
16,-9.566645601303977,4,0.01843260132882112
17,-14.634871534808063,2,0.049354966932844
18,-12.060896495532816,6,0.0200691936938173
19,-12.94299723617042,6,0.022990057073412073
20,-11.14353198034972,6,0.017031562848840297
21,-12.15892567611741,6,0.025241498672612394
22,-10.203211389509825,2,0.027162951620893404
23,-10.168110716152158,4,0.020424207669378067
24,-16.568856736279947,8,0.02837369780225121
25,-5.015007803398345,0,0.01660598610396803
26,-8.236511346710769,2,0.02065069982354561
27,-23.90199594645586,8,0.05846322039138186
28,-9.933267242163229,4,0.019646580272063525
29,-9.58394420835899,4,0.01848988148463235
30,-39.82527370186533,12,0.0921366678869709
31,-9.988571527307132,2,0.02645222360035481
32,-63.36283322665046,14,0.1634530901544714
33,-7.055987852298875,2,0.02072126168974946
34,-9.79135215600447,2,0.028856859837053623
35,-22.420755452775957,12,0.03450581275753632
36,-8.27371140076074,2,0.020773878810465985
37,-24.362611827330166,18,0.02466128615244271
38,-15.464687614078718,8,0.024717508655889772
39,-10.482090390177287,2,0.028086392020454643
40,-4.629905553189544,0,0.015330813090031594
41,-7.995933027944423,2,0.019854082873988217
42,-6.721929097478248,2,0.015635526812841832
43,-11.055368136045734,4,0.02336214614584683
44,-15.96893100296768,12,0.02229736518521163
45,-17.137848629563095,10,0.02683401740437258
46,-38.587181003396424,30,0.02843437418343263
47,-7.44052203006113,2,0.01801497360947397
48,-49.122029248691845,14,0.1162981100950065
49,-8.13223227004097,2,0.020305404867685332
50,-11.812790978449009,4,0.025870168802811396
51,-8.113076851308051,2,0.020241976328834586
52,-19.7844004580676,12,0.03190328056585081
53,-8.433756718857905,2,0.021303830194893736
54,-7.063168564116181,0,0.023387975377868162
55,-7.653335697732357,2,0.018719654628252865
56,-5.132217310982169,0,0.016994097056232314
57,-21.577878103630542,8,0.04495986127029984
58,-80.27459614132717,24,0.18633972232227564
59,-25.991629436589214,18,0.02755734288479041
60,-9.550994060643829,2,0.025003291591535883
61,-6.487352910788717,0,0.021481301029101733
62,-5.891826847353447,0,0.01950936042170018
63,-23.152101059820936,6,0.05679503662192358
64,-19.474153126048318,6,0.044616401079630365
65,-10.653795240590695,4,0.02203243457149241
66,-8.792513070866569,4,0.01586924857902837
67,-37.66791004521171,8,0.09823811273248935
68,-8.552604961567951,2,0.021697367422410435
69,-14.882566264410425,8,0.024757432605792863
70,-10.786672098113844,2,0.02909494072223136
71,-25.864525265548025,18,0.028289659228590003
72,-10.127749583684931,4,0.020290561535380416
73,-29.503655468370553,20,0.0314690578422864
74,-10.735585704435868,4,0.022303263921972898
75,-31.348297611530363,22,0.030954627852749453
76,-8.933271879373194,2,0.02295785390520922
77,-18.23913799431614,2,0.053771980113629596
78,-12.37953294579393,6,0.021124281277463408
79,-11.606621714473096,6,0.0185649725644803
80,-40.2342676186099,14,0.08686843582321174
81,-10.999037943308823,6,0.01655310577254584
82,-25.95254780021547,2,0.07931307218614403
83,-21.632923244891327,14,0.025613836392252894
84,-4.011173701211519,0,0.016174087504885137
85,-15.092238761486815,6,0.030106750865850358
86,-11.68832067333806,2,0.032080532030920796
87,-18.252746845789176,4,0.05358175505935793
88,-43.33016210998967,16,0.09049722552976723
89,-6.540324777293867,2,0.018607888431532316
90,-5.790506609394498,0,0.01917386294501488
91,-10.036205768469332,4,0.019987436319434834
92,-6.2869876510083325,0,0.020817839904001028
93,-8.417916005619933,2,0.02125137750205278
94,-12.978698840911317,8,0.018170433725953658
95,-15.220754662711439,6,0.030532300207653667
96,-11.410890544175125,6,0.017916856106540053
97,-9.669311271970352,2,0.02573594386567232
98,-7.2487163640991765,2,0.017379855510262204
99,-9.77522090949133,4,0.019123248044673292
100,-15.017548334137295,8,0.02323691501369959
101,-10.557917448911573,6,0.026194927867307892
102,-7.349368803655834,2,0.018969392920765382
103,-21.94217975100348,10,0.03954364155961391
104,-16.183092798843003,8,0.027096333771003078
105,-9.260634563676867,4,0.0174193197472744
106,-10.30848890246712,4,0.02088903610088447
107,-74.46209348740868,32,0.1406029585675774
108,-11.031733483353644,4,0.02328388570646897
109,-5.701130381889283,0,0.018877915171818846
110,-12.899779094851725,6,0.02284695064520431
111,-13.03913757981956,6,0.02330840258218398
112,-11.679005583566257,6,0.023861367998177573
113,-15.346150669083821,4,0.037570035328092034
114,-8.570595032319291,2,0.02175693719311024
115,-12.97865874672084,6,0.023108141545433173
116,-8.487009328109902,0,0.02810267989440368
117,-8.527589188260345,2,0.021614533735961387
118,-4.36659236575213,0,0.01850251002437341
119,-18.10167472753615,4,0.04669428717727212
120,-9.101507029836608,2,0.02448795527529863
121,-12.167375707318548,6,0.02042177386529316
122,-11.32087950680971,4,0.024241322870230852
123,-13.972518669360301,6,0.026399068441590342
124,-9.324153954820849,2,0.024252165413314042
125,-7.078565093613167,0,0.02343895726361978
126,-24.623781838600173,12,0.041800602114569985
127,-9.691650178147144,4,0.018846523768699077
128,-14.736544667198755,4,0.03555147240794294
129,-5.42599787782224,0,0.017966880390139873
130,-4.659684340166476,0,0.015429418344922067
131,-20.789904782615036,14,0.022483128419254768
132,-8.008465752213663,2,0.023843118064339832
133,-4.499356078749397,0,0.01814256483366697
134,-11.95000896189022,6,0.01970201643010009
135,-10.468181675420908,4,0.02141782011728789
136,-15.789535804245576,8,0.025793164914720453
137,-61.84675286292114,10,0.171677989612322
138,-14.448609560471034,6,0.02797552834593058
139,-49.44945340831564,18,0.10413726294144231
140,-11.535431170994386,4,0.02495175884435228
141,-15.029040400698499,8,0.024238070347236306
142,-25.654376098809564,16,0.031968132777515666
143,-6.886713569293652,2,0.016181170759250522
144,-20.536313968836634,14,0.021643423737869694
145,-5.5071820779409535,0,0.018235702244837584
146,-12.293700362070334,6,0.023138604272317516
147,-5.215629688892421,0,0.01727029698308754
148,-10.779602718154436,2,0.02907153217931931
149,-13.060449868619324,6,0.023852871177767822
150,-9.76385756074785,4,0.01908562106207912
151,-17.5274224326204,6,0.03817027295569663
152,-6.819762811542594,0,0.022581996064710633
153,-11.505903295988055,6,0.01823146786750999
154,-42.95040846126045,8,0.11572982934192176
155,-10.687073542803804,4,0.02214262762517815
156,-9.559559940889931,4,0.018910067826156167
157,-10.612400696596888,6,0.015272849988731406
158,-13.566049512079326,6,0.02505314407973302
159,-10.059785944808217,4,0.02006551637353709
160,-12.131763202883022,6,0.022216533343778898
161,-10.291387719863431,4,0.02083240966842197
162,-7.107869517672526,0,0.023535991780372585
163,-5.590958758983349,0,0.019016866527154272
164,-16.148323019304893,8,0.026981202050678443
165,-20.239931407293586,12,0.027284541083753687
166,-57.755011280560815,20,0.125016593644241
167,-18.877673471378092,12,0.022773753216483523
168,-23.32887234756796,12,0.037512822342940455
169,-23.50236230392997,14,0.031464775840827484
170,-15.601367616500283,8,0.02517009144536526
171,-4.000035502296669,0,0.016129175412486572
172,-9.610037560972875,4,0.018576283314479688
173,-9.302307088617948,4,0.017557308240456787
174,-24.76049621107516,4,0.06874336493733503
175,-6.457856263410882,0,0.021670658602049902
176,-7.160289706573758,2,0.024340989181951694
177,-5.183547162023799,0,0.017164063450409932
178,-23.464317788346445,16,0.024716284067372415
179,-10.50777748767634,4,0.021548932078398447
180,-29.112493806252544,8,0.11111838845396063
181,-5.945454881547261,0,0.019686936693865096
182,-10.683805533937544,4,0.022131806403766826
183,-11.606154698131895,4,0.025185942709045936
184,-13.547713430956358,8,0.01836991202303439
185,-21.64451987845802,14,0.0335285959581491
186,-9.804449978290506,0,0.03312314181854898
187,-12.655015321569191,6,0.02203647457473247
188,-5.210286332133423,0,0.0172526037487862
189,-7.870769178260895,2,0.01943963304059898
190,-6.978356528578269,0,0.023107140823106796
191,-17.593249522702926,10,0.02514321034007576
192,-5.051467812222204,0,0.01672671461000731
193,-15.151709370363577,8,0.023681156855508513
194,-10.943899695891051,6,0.016370528794341355
195,-10.26361858568855,4,0.020740458893008375
196,-9.282852417003108,4,0.01749288879802356
197,-9.990861519462854,4,0.01983728979954586
198,-17.218413943180586,10,0.023902032924438908
199,-7.007395064062478,0,0.023203294914114183
200,-7.361003245722092,2,0.022337513523842074
201,-20.208824925466367,12,0.027181539488299312
202,-19.66855372499889,0,0.06512766134105585
203,-10.710856192503938,4,0.025613954933221137
204,-14.091386102720259,8,0.02017015265801414
205,-15.36858192431589,0,0.05088934412025127
206,-8.118006104262095,4,0.019064843075287358
207,-6.601092762133723,0,0.021857923053422865
208,-20.493722194256694,6,0.04799245759687651
209,-24.848645700710282,2,0.07565776722089512
210,-7.855134702662784,4,0.01705811815337507
211,-13.959172574277536,8,0.020691571438463764
212,-7.253058542334809,2,0.01739423358389013
213,-16.235666311924273,8,0.0272704182514048
214,-34.72252288923166,2,0.1083527247987805
215,-19.868581097645038,6,0.05547432439058009
216,-20.50305292367919,12,0.03196636437473382
217,-14.11216374958662,8,0.02064920185671173
218,-7.020476060130586,2,0.016624092914339736
219,-11.897856962440155,4,0.026151844246490617
220,-30.462495984788532,10,0.06775660922115422
221,-12.141751906046615,6,0.02033692684121396
222,-11.447184735695934,6,0.018037035548662064
223,-4.9367912195419095,0,0.01726150776063601
224,-21.031230766405912,2,0.06301732041856287
225,-10.69115619790234,4,0.024967000738441655
226,-8.9579562312252,2,0.023039590169619855
227,-21.69949796091091,10,0.038740059473214954
228,-6.778811643245024,2,0.015823879613394095
229,-18.879212654767557,12,0.024568616624169752
230,-15.285485540480607,10,0.01750160774993592
231,-12.394307406012079,4,0.027795719887457163
232,-5.775830528467675,0,0.01912526665055519
233,-11.080882308169805,6,0.01939268056553356
234,-13.303214556101507,4,0.030805346212256727
235,-20.000147468599984,2,0.059603137313245014
236,-7.882653278676222,2,0.01947898436647755
237,-6.231453776078911,0,0.020633952900923538
238,-16.244667609863168,6,0.03484580819681349
239,-8.829132489132949,4,0.015990504930903857
240,-5.833976959923446,0,0.019317804503057735
241,-24.780711011524904,2,0.07543281791895659
242,-18.775274347858435,10,0.030898853337529727
243,-18.512003088627353,12,0.02156292413452745
244,-7.669618198777628,2,0.02084418455432953
245,-5.655675499626023,0,0.01872740231664246
246,-4.772344233523831,0,0.015802464349416682
247,-28.65309824985438,8,0.0683877425491865
248,-20.198193396265108,6,0.04701388541809632
249,-7.2138852601067285,2,0.01726452072883026
250,-10.379186837301338,4,0.02380293596007981
251,-15.592920107157791,8,0.02514211956012517
252,-7.816238450810885,2,0.019259067717916852
253,-15.937678774541615,8,0.026283704551462284
254,-4.345353903324554,0,0.01658532024169678
255,-9.661915340344173,4,0.018748064040874715
256,-14.222122128994059,8,0.020603053407264947
257,-12.984241607226586,6,0.024250838913981193
258,-17.93127445544006,6,0.03950753130940408
259,-11.159450653024987,6,0.017084273685513306
260,-6.283533399072168,0,0.020806401983682686
261,-8.661558094135383,4,0.02026764388754514
262,-22.50804781516834,0,0.07452995965287512
263,-34.206321254481864,20,0.04704079885590036
264,-14.285487695390769,8,0.0208128731635455
265,-14.675502304939975,6,0.028726828824304614
266,-7.258730247605191,2,0.017413014064917843
267,-6.742343558701155,2,0.01570312436656009
268,-17.453852491896352,8,0.03130414732416021
269,-16.326810810733473,8,0.027572221227594302
270,-9.72291835324833,4,0.018950060772345498
271,-6.903523809577725,0,0.02285935036284015
272,-23.661234974120358,16,0.025368327728875345
273,-16.339789185933515,8,0.02836662988412762
274,-12.453215390596622,2,0.03680709644576281
275,-5.571807355992963,0,0.018449693231764742
276,-7.847062134140499,2,0.019361132894505063
277,-41.72512575715211,8,0.11167260184487483
278,-14.161849457811817,8,0.02040347502586692
279,-8.927306070881942,4,0.020702966684377853
280,-16.522047663555128,8,0.02821870087269908
281,-23.48501486071115,16,0.024784817419573286
282,-12.254157287965063,6,0.02282539156191624
283,-7.837711665225323,0,0.02595268763319641
284,-4.243933353585825,0,0.01768305563994094
285,-47.774611794893936,6,0.13832652912216553
286,-16.934147035278706,8,0.02958326832873749
287,-27.281224514714538,10,0.057222597730842956
288,-11.35844540193393,6,0.01970016691887483
289,-5.451879102990983,0,0.021983383479802405
290,-30.70522593200414,6,0.08403138072110261
291,-8.114948555084766,2,0.020248174023459457
292,-7.655397982489319,2,0.01872648338572619
293,-7.324380578260389,2,0.017630399265762858
294,-8.913694671214097,4,0.01627051215633814
295,-11.07612772017216,0,0.03667591960321909
296,-29.650048167843984,6,0.07831141777431767
297,-29.176490915570184,22,0.023763214952219086
298,-21.354849055232947,6,0.05084387104381778
299,-7.962180482377511,2,0.019742319478071212
300,-9.402639332361394,4,0.017889534213117276
301,-13.15733014135909,6,0.023699768679996906
302,-9.931305254008551,4,0.019640083622544883
303,-13.990147623378814,8,0.019834925905227816
304,-11.657239767202313,4,0.02535509856689509
305,-18.67166324343418,12,0.022091600143821846
306,-55.69174310730976,4,0.1711647122758601
307,-11.173169854502984,6,0.017129701504976766
308,-26.72457065374275,16,0.03551182335676407
309,-5.975834063202579,0,0.019787530010604563
310,-11.135148708796121,4,0.024105232124311295
311,-16.51318569779757,8,0.02818935661522389
312,-13.200247861770473,8,0.01721936378069679
313,-33.98975837425984,14,0.06619125289489995
314,-18.760405209018653,10,0.02900796426827369
315,-34.34507867876207,12,0.07399032675086784
316,-24.19824081851813,14,0.03616397453375232
317,-8.750978490165025,4,0.0187046397250591
318,-9.340336588496776,4,0.018288823933208125
319,-12.59866634517734,6,0.027725488845282743
320,-17.371731119784595,8,0.031032222250942303
321,-6.082860896602546,0,0.02014192349868395
322,-7.116943848575295,0,0.02356603923369306
323,-16.787543806234314,10,0.02247531061666979
324,-10.109872170989423,4,0.020231364804600666
325,-18.9048428830892,10,0.03157745703223112
326,-8.983084423750444,0,0.029745312661425338
327,-11.384359928167711,2,0.03107403949724406
328,-17.15196563103408,8,0.03340133441983256
329,-7.1336614827449205,2,0.016998879081936848
330,-5.355483508024327,0,0.01773338909941832
331,-5.696381736857728,0,0.018862191181648124
332,-25.60093105101453,16,0.031791162420577584
333,-3.905784845178481,0,0.01775356747808398
334,-5.886780724900809,0,0.019492651406956326
335,-7.228349227357613,2,0.01731241466012448
336,-20.573902059259545,14,0.027164884542394623
337,-15.817735989230258,8,0.026234013386678717
338,-5.2508430103446475,0,0.01738689738524719
339,-16.066336270021225,10,0.021210965979095196
340,-10.75622456574435,6,0.015749087966040937
341,-5.246779884221529,0,0.020336356140393464
342,-12.788172176865539,6,0.022477391314124302
343,-14.268112136278562,8,0.023044529912788932
344,-22.175466487321124,12,0.03369359764013624
345,-16.928075181198267,8,0.02956316285164988
346,-18.345344936759425,6,0.041990969172651285
347,-24.58421082377524,2,0.07478215504561336
348,-24.63898206735346,18,0.02634516693394255
349,-3.267395551305991,0,0.014717997978855837
350,-14.26453246770742,6,0.027366001548700048
351,-9.784962198283935,4,0.01915550396782761
352,-21.990307646677635,2,0.0661930716777405
353,-7.490232969626228,2,0.01817957936962324
354,-10.989319592613258,4,0.02314344235964669
355,-19.202730807210326,12,0.033345975959307265
356,-33.957419851532144,12,0.0727066882501064
357,-18.25904648872926,10,0.027347836055395165
358,-12.680567300467892,2,0.035366116888966535
359,-36.34757362132982,12,0.08062110470639058
360,-7.167734982307463,2,0.017111705239428687
361,-5.01806556975432,0,0.019912958610136207
362,-4.679877560471386,0,0.015496283312819171
363,-22.78492798094316,16,0.022466648943520465
364,-29.141019285336032,2,0.09423965029630564
365,-5.8696374795256085,0,0.01943588569379339
366,-16.1221950358787,10,0.02027216899297577
367,-54.553842146325266,8,0.15415179518650782
368,-13.966880575227798,8,0.01975788269942979
369,-7.8231554263697705,2,0.020219289674895072
370,-26.26007665577136,0,0.0869538962111635
371,-10.593228965759264,2,0.0284544005488717
372,-8.095915748994187,2,0.020185151486735723
373,-8.24766029274069,2,0.020687616863379808
374,-7.879340080583885,2,0.01946801351186723
375,-12.404794195793283,6,0.021207927800640007
376,-9.85067271935314,4,0.019373088474679268
377,-6.46371698871201,0,0.02140303638646361
378,-25.6683984947326,2,0.07837218044613448
379,-24.825029520443152,14,0.03632560241759425
380,-10.827248173654725,6,0.016761278380745582
381,-19.40455764140953,4,0.051008469011289866
382,-5.682276518520637,0,0.018815485160664346
383,-7.890403174634785,0,0.026127162829916485
384,-14.411801266604783,6,0.02785364657816147
385,-22.087738510626444,0,0.0731382069888292
386,-21.970541462664407,14,0.026392521399551075
387,-8.80000826785769,4,0.015894067112111568
388,-8.70155097755925,4,0.015568049594567078
389,-5.273170151811674,0,0.01746082831725722
390,-15.562364426081992,8,0.02504094180821847
391,-34.9669942145496,14,0.0694271331607601
392,-6.978782965566847,2,0.018859026384722862
393,-47.6605812371069,20,0.09159132859969162
394,-6.791035208822912,0,0.023417362789044528
395,-10.7071956566681,4,0.022209257141285133
396,-6.779620107644242,2,0.016829648266352994
397,-19.180427013767606,2,0.06270228837141475
398,-7.63509706955592,0,0.02528177837601297
399,-20.556447540459054,14,0.02754809890949203
400,-6.8479127423956525,2,0.020369381270569982
401,-11.850339275954632,6,0.01937198435746568
402,-8.76231698055327,0,0.029014294637593575
403,-9.234074224970689,2,0.023953888162154584
404,-30.601988128662512,6,0.08146353684987573
405,-5.309024389747422,0,0.01757955095942857
406,-15.012513401329272,8,0.023220243050758968
407,-12.693304903504043,4,0.028785777826172382
408,-13.83210209045405,6,0.025934112882298185
409,-42.993446240071044,10,0.10924982198698971
410,-22.592384491894244,10,0.041696637390378266
411,-35.879787004238395,6,0.0989396920670146
412,-13.583790926821488,6,0.025111890486163885
413,-15.582176501359841,8,0.02510654470648958
414,-33.04808551885951,14,0.06307313085715038
415,-22.44550813252367,2,0.06770035805471422
416,-15.159180312152126,10,0.017790276938455588
417,-17.33631454679459,8,0.03154160319863048
418,-29.377688573402008,10,0.06416453170000634
419,-7.58863501196552,2,0.0185054139469057
420,-46.680219890008765,12,0.11483516519870442
421,-9.82797124670206,4,0.019297918035437355
422,-17.022957736443175,8,0.02987734349815617
423,-18.206518237138344,12,0.022008929918930324
424,-8.320671484771065,4,0.01600248698063356
425,-6.071265446208806,0,0.020103527967578833
426,-13.285863293418076,6,0.02412537514376852
427,-9.865726700676982,2,0.02604545265124838
428,-22.098561776339558,14,0.026816429722978513
429,-9.752988778639404,4,0.019049631717348896
430,-12.85846618245835,6,0.022710152922047453
431,-9.56714232705261,4,0.02263065986606756
432,-14.207573318046991,6,0.027177395092870836
433,-14.856288458870498,6,0.029325458473080986
434,-13.93810658001352,8,0.02604432710532254
435,-11.891761941142526,6,0.020316420486698437
436,-5.4930856533536145,0,0.018189025342230523
437,-14.218347989081343,8,0.020590556255236203
438,-9.20838924735948,2,0.023868838567415552
439,-7.3804644784524545,2,0.01781610754454449
440,-6.879105502964187,0,0.02277849504292779
441,-7.120256018200912,2,0.018963911178521833
442,-5.430672980009954,0,0.01798236086096009
443,-5.062701337906004,0,0.016763911714920553
444,-11.927801017776126,6,0.01962848019131165
445,-41.210472585057055,10,0.1033459357121095
446,-7.635949510726288,2,0.018662084472603584
447,-13.609086651532516,0,0.04506320083288912
448,-7.209296328262896,2,0.01958382078294323
449,-15.643236248594066,10,0.021056851673858668
450,-9.025079619972075,0,0.029884369602556523
451,-13.068264543705181,6,0.024373326012776426
452,-6.530167501392524,0,0.021623071196664005
453,-9.696397348495871,4,0.018862242875814044
454,-5.6305625955751175,0,0.018644247005215674
455,-10.78049425295625,2,0.029074484281312093
456,-7.421514069803181,2,0.017952033343719146
457,-13.084518434809448,6,0.024945487446512135
458,-19.950057961192854,10,0.03294721179202929
459,-4.461122760878494,0,0.016898192276054918
460,-7.251072452991926,0,0.024010173685403695
461,-30.27499323271369,16,0.04956594872470043
462,-28.444909326597205,4,0.08094340836621573
463,-11.438736401135843,6,0.018009060930913354
464,-10.585562751581604,2,0.03276932347931905
465,-13.960110568828767,6,0.035536207896556926
466,-14.416827417329984,8,0.02124777290506613
467,-9.313306835692336,4,0.017593731244014376
468,-8.23448959308233,2,0.02064400527510706
469,-14.51054749934525,4,0.03480313741505047
470,-10.113085707803087,0,0.033487038767559874
471,-10.8653785640652,4,0.02273304160286489
472,-7.197975230238245,2,0.021840232059824504
473,-20.82539162934884,2,0.06233573387201615
474,-5.786745522721084,0,0.01916140901563275
475,-32.26278444373766,4,0.09358537895277354
476,-11.962530897646342,6,0.019743479793531055
477,-32.239329987434175,24,0.027282549627265597
478,-43.441114082176696,14,0.09748713272243906
479,-24.827498783122657,14,0.03585264497722697
480,-9.978875277423628,4,0.024108368054127454
481,-15.88476189456087,10,0.019485966538280875
482,-10.967057014336293,6,0.017127782808056168
483,-41.93956840677425,16,0.0858926106184578
484,-16.474833245189078,8,0.028062361739036663
485,-37.63517641506272,6,0.10475223978497583
486,-20.755738820158754,12,0.03149546338186585
487,-6.055022059799976,0,0.020049741919867504
488,-26.47202654843816,20,0.030528427115274287
489,-5.240221103353997,0,0.017945962682719155
490,-10.265844577331436,4,0.020747829726262892
491,-4.5220579621716235,0,0.014973701861495428
492,-12.0566044696786,4,0.026677498243968888
493,-5.832892561853554,0,0.01931421378097201
494,-4.969579692119054,0,0.016455561894433934
495,-24.908461106436906,16,0.029498215584228417
496,-7.1101083420925155,2,0.016920888549975158
497,-8.704269390576085,4,0.0155770509621725
498,-21.67156536491071,2,0.06513763365864479
499,-16.68113363336986,2,0.054374569012480896
500,-4.806659465104162,0,0.018776013535563164
501,-24.028435826950453,0,0.0795643570428822
502,-16.07648435068739,8,0.03959060956219307
503,-12.827839252951737,6,0.022608739248184594
504,-16.56099982656094,2,0.04821523121377798
505,-10.09218295900979,4,0.020172791254999347
506,-6.748540647433534,2,0.01572364452792569
507,-26.187941060270393,18,0.02711238761678945
508,-7.543613777510914,2,0.01835633701162555
509,-8.881019839446177,4,0.01616231734915947
510,-5.224476228620667,0,0.017299590160995585
511,-38.2801076944476,10,0.09364274071009135
512,-5.014981626960678,0,0.016605899427022088
513,-17.129464037106413,10,0.02360749681161079
514,-10.863218915399298,4,0.02272589044834195
515,-19.712469759231126,4,0.05202804556036809
516,-11.399774949936942,6,0.021092870898191292
517,-13.483916343642953,6,0.03253876671149097
518,-14.086971221732592,6,0.026778050403088033
519,-19.295013039481585,12,0.024155672316164098
520,-22.91879068267696,8,0.049399969147937026
521,-7.796296836661936,2,0.019193035882986573
522,-9.428767294297892,0,0.03229029895307497
523,-9.362992007369405,2,0.02438076823632259
524,-22.2316016784289,12,0.033879475756387105
525,-17.037652673670948,0,0.056416068455864124
526,-9.62461831436629,2,0.025247080511146776
527,-6.31793006375886,0,0.020920298224367112
528,-9.680501459378995,0,0.03205464059397023
529,-11.257049281411096,4,0.024029964507983767
530,-29.839998268997597,22,0.025960259168866125
531,-14.861036823817232,8,0.02271866497952713
532,-9.091348158929367,4,0.016858768738176735
533,-26.30136454311624,20,0.02143321273168779
534,-37.02677916691671,14,0.10562742737117758
535,-6.67250261315036,0,0.023168411851216538
536,-8.582112875560375,2,0.021795075746888614
537,-19.511899751382288,12,0.02487384023636509
538,-9.660435783318146,2,0.02536568140171572
539,-65.89061171176238,10,0.18506825070119995
540,-11.992530614985544,4,0.026465333162203758
541,-29.859465566310693,4,0.08562736942486977
542,-10.49062869725454,4,0.021492148004154055
543,-10.097580198766863,4,0.020190662909824002
544,-5.482875985313139,0,0.018155218494414326
545,-10.445873786409495,2,0.027966469491422077
546,-20.81840836165533,12,0.029200027687600646
547,-20.590934479067307,14,0.021824286354527288
548,-69.00069250467926,12,0.18874401491615647
549,-8.890491941131799,0,0.030446890209355516
550,-10.148233283404107,2,0.026980904911934087
551,-9.227794251641095,2,0.02527200787287108
552,-13.990505075160561,6,0.02736474340808397
553,-12.499014612466784,6,0.021519915935320502
554,-6.963287720019352,2,0.016434727549732967
555,-16.445874571920157,6,0.03458898864874229
556,-5.493057129611928,0,0.018188930892754702
557,-33.43564033859438,8,0.08422397463110723
558,-8.526567494456776,2,0.024535968024273654
559,-16.290790852016695,10,0.02139724779597532
560,-11.965787618475396,4,0.02637678019362737
561,-20.654512197756862,14,0.022034808601844532
562,-20.157240930881326,0,0.06674583089695792
563,-11.709697730248381,4,0.025528800431285883
564,-8.623678343524087,2,0.021932709746768538
565,-13.41062754384719,6,0.024538501800818683
566,-18.04551284588763,10,0.026640771012872728
567,-7.862377608095022,0,0.026034362940712014
568,-13.035289228525794,6,0.02329565969710523
569,-18.73682150109668,10,0.028929872520187604
570,-4.794266067976297,0,0.0158750532052195
571,-14.107548989982858,8,0.02022367215226111
572,-7.795147957686332,2,0.019317159858954415
573,-12.192754023093125,6,0.02078105376876891
574,-39.01923328786945,22,0.05635507711215039
575,-7.820257635881318,2,0.01927237627775269
576,-15.839681378273417,8,0.02595920986183246
577,-6.164509945621379,0,0.020412284588150236
578,-4.671942599754587,0,0.015470008608458841
579,-33.09366586659408,22,0.036733992935741894
580,-19.63989913715014,12,0.025297679262086314
581,-13.124110707036287,6,0.02358977055310027
582,-31.60943709734544,4,0.09142197714352798
583,-5.675943918064042,0,0.018794516284980228
584,-27.839700198149362,2,0.08556192118592501
585,-8.540041164888871,2,0.02574819356255462
