episode,tot_reward,tot_intrusions,tot_drift
0,-14.996040770384647,10,0.02745077346365206
1,-2.2222805368554086,0,0.0156498629356015
2,-10.54872347485747,6,0.022081181916783717
3,-3.8462087520584993,2,0.009820259319460106
4,-30.862683591719186,22,0.05609293412480494
5,-4.612350341947611,2,0.01920845839667364
6,-42.41771185342809,32,0.06764747956771518
7,-9.963976382740583,6,0.02417058769963767
8,-44.1333952680986,36,0.04899635703673834
9,-19.830061813313755,4,0.07610606641016236
10,-44.41200047182646,30,0.08096629478554164
11,-39.00677603252805,14,0.14371710363521922
12,-3.227372357463765,0,0.017732815150899826
13,-2.8745762854005865,2,0.00624697346714708
14,-7.4147061813080715,6,0.009824348481305978
15,-6.4193488509398895,4,0.017281063220999253
16,-18.404419789648767,14,0.024200108734333963
17,-2.6349878509459046,0,0.01780397196585076
18,-17.679191407698926,6,0.0634738663461898
19,-10.02932933798339,8,0.011798426383624386
20,-9.282409050375515,6,0.02077474082516126
21,-8.639937527405431,4,0.024945900684975392
22,-12.219390863642472,8,0.027759150418700456
23,-28.449316254689563,22,0.033943769761524106
24,-10.140617638180439,6,0.022261385151507603
25,-15.31828753182894,10,0.03323929707393072
26,-15.35494997022867,12,0.018037365431337108
27,-8.779022533739948,6,0.0248127011941065
28,-4.511614280893223,2,0.014270535686893413
29,-73.02700722829928,12,0.3814187951768709
30,-46.068142906701894,28,0.1038399017626541
31,-65.61816381662926,48,0.10243118498040231
32,-33.65048782299911,10,0.10653372893242877
33,-61.51025538322702,6,0.2891159134543082
34,-38.63709705350402,28,0.10637097053503995
35,-12.86583839052175,8,0.03041148994076091
36,-13.235910038288742,10,0.029417363984443126
37,-6.729033826989314,4,0.015684102453961637
38,-7.771481479680117,4,0.027329575939710936
39,-8.691845867558508,4,0.023459229337792563
40,-32.325339029113195,24,0.06937782524261044
41,-13.22604937586301,10,0.02016280859914389
42,-10.500779897938015,8,0.015248657914256157
43,-2.4169889534884184,0,0.01678464551033625
44,-15.658083167873166,10,0.05893836633201193
45,-67.89005735191603,28,0.21679378995606502
46,-49.3551939679084,24,0.14571950556269161
47,-31.070601529954303,26,0.03426082114834018
48,-37.37979169029262,30,0.04730635698905557
49,-24.870143533063324,14,0.06394202078272528
50,-10.362454429206249,4,0.044806017107086274
51,-21.141687441946463,16,0.03955144186112627
52,-18.706142657962296,14,0.02585792669210048
53,-7.529869792752363,4,0.02322282758389707
54,-43.047457850244236,16,0.12879741833449673
55,-28.96081069296076,2,0.13216083673019963
56,-9.020408495717776,6,0.016780047198432006
57,-5.285882762666166,2,0.01805430089377015
58,-16.036496054980407,12,0.032552387540164374
59,-19.349252390084214,14,0.028153959947811162
60,-5.772257910762429,2,0.025837382950427524
61,-3.474126114933361,2,0.007370630574666819
62,-39.156004514876344,34,0.02630614548406356
63,-7.511139439745084,4,0.027866186029722857
64,-11.098750705497308,4,0.04999120215138955
65,-14.27104968627979,10,0.03882772442072534
66,-25.11699873972606,2,0.11008094637964799
67,-25.44203159531461,18,0.06528097890626901
68,-6.0283747187081,4,0.013892977525397915
69,-64.21807936395182,6,0.31987955694479026
70,-11.852820917846838,8,0.02568547278564542
71,-37.648186794397915,24,0.08748837688716618
72,-10.981386110732032,8,0.028667174141654088
73,-23.778175932287454,8,0.07889087966143722
74,-4.897745183222996,2,0.018340159387487353
75,-26.69356218395059,0,0.13481597062601322
76,-7.7359738164396825,4,0.021976316567292306
77,-22.183972182514132,14,0.05845694416081541
78,-15.046951633322209,10,0.03504827523140429
79,-16.427729648762213,12,0.024598498048679075
80,-32.4449583646348,18,0.07080861943448433
81,-5.431733151780666,2,0.02228398150506918
82,-50.68748609698363,10,0.22112764183143263
83,-1.3209270282117402,0,0.007591534644895045
84,-16.493473455682743,12,0.03209623896916266
85,-12.489259118437923,8,0.029151033236609877
86,-11.633593796266245,8,0.02978355570710029
87,-39.42776124068266,34,0.02982286395979475
88,-13.57133856179246,8,0.03129965484153069
89,-9.033165889482367,6,0.016133861114267966
90,-19.911824380893723,14,0.031114865162599016
91,-26.57023194916431,12,0.07433791810798097
92,-15.777639430279958,4,0.0998105036464402
93,-23.044591920256686,10,0.07858187903769082
94,-33.70627481438064,24,0.04622035625895534
95,-3.5940669449495704,2,0.01771185494388415
96,-8.378679895508498,4,0.03267671563812306
97,-1.40470213377396,0,0.009364680891826422
98,-26.50062753036023,20,0.04062892206475105
99,-6.52976023729804,4,0.018331595922449612
100,-11.183142320175559,6,0.027279696421976668
101,-15.26965176761563,12,0.022092241673078473
102,-22.522310498313807,16,0.031661701448124885
103,-5.982577284200391,4,0.013395792460813535
104,-10.53235411241244,6,0.028327213202577833
105,-8.124646890741602,6,0.012955163967936573
106,-15.916920494686428,12,0.02019031182828077
107,-20.25186419511037,10,0.05759474266915951
108,-21.19433741792366,8,0.08680485143370835
109,-9.746408678837875,6,0.024647425518670118
110,-16.31903148957101,14,0.014140435912018216
111,-7.30017195512658,6,0.008784945642747153
112,-53.977830803490264,42,0.11299840380651092
113,-8.21734562621396,4,0.030123897330099823
114,-11.154273751734069,2,0.057938441466671306
115,-26.35462452412858,10,0.12580480403175837
116,-80.75698195614599,26,0.2684165782164021
117,-14.155460700539676,10,0.025338175003290612
118,-5.012874830865392,2,0.024695695334962117
119,-13.193196465757698,8,0.03606386434553938
120,-2.5566671789616584,0,0.013178696798771407
121,-25.40840428198803,8,0.10614880659748807
122,-93.66492365094614,70,0.17927972462837946
123,-3.248821161932299,0,0.020562159252736047
124,-22.350860644255388,16,0.048112580638298506
125,-1.3039884791278025,0,0.009588150581822075
126,-42.805595806316454,36,0.0453706387087752
127,-4.008083726091129,0,0.026026517701890454
128,-30.933642987922262,14,0.10854899351232195
129,-9.385038831354482,6,0.02350721410662823
130,-31.015196297439537,6,0.13595215379043235
131,-14.851839326520052,8,0.051133129302388516
132,-11.260274273912337,6,0.029552102662428987
133,-18.593299462450865,12,0.049203727331723054
134,-21.62136962718763,16,0.026515894467866705
135,-6.354794728666142,2,0.03299086915656167
