episode,tot_reward,tot_intrusions,tot_drift
0,-20.538840950546966,10,0.034896824339559304
1,-42.84401403557577,2,0.13524507958799942
2,-20.751578689815982,10,0.03560125393978772
3,-19.485583830183025,10,0.03140921798073841
4,-25.25736433217352,6,0.06376610706017699
5,-10.509526776482192,2,0.028177240981729107
6,-25.937061076711565,4,0.07411169282672815
7,-59.40129598713607,24,0.11800431995712006
8,-12.944851511936323,4,0.035215950834394966
9,-12.308814285723638,4,0.027512630085177556
10,-27.473858544680102,18,0.04048657497726536
11,-9.925236804035897,0,0.032865022529920164
12,-18.553187632418265,8,0.05173131192361917
13,-13.654013236278153,4,0.031966931245954115
14,-28.241060430925465,8,0.0670233789103494
15,-33.28035954022672,10,0.07708728324578366
16,-13.759317779797257,4,0.03231562178740813
17,-15.442692872966088,6,0.031267194943596366
18,-14.740992757710599,4,0.037555918733253854
19,-24.481324597903136,14,0.04226340563670622
20,-44.90264061024973,8,0.12219417420612536
21,-35.5246148177332,6,0.09776362522428197
22,-11.640310419767324,4,0.025299041125057473
23,-23.731906832233477,4,0.06947854518392073
24,-12.60240413955478,4,0.028484781919055496
25,-29.823995056445046,8,0.07323488273974856
26,-9.160985902648045,0,0.03033439040611928
27,-17.123039947148715,6,0.04001093506168601
28,-21.847444718812277,10,0.03922994940004078
29,-21.47093835156288,12,0.03136072301842008
30,-8.093469313601423,0,0.026799567263580914
31,-20.622078377252915,8,0.04179496151408233
32,-18.52582313055443,8,0.03485371897534562
33,-7.795777622281892,0,0.031183110489127593
34,-14.982447271618222,4,0.03979147562180515
35,-7.594270609579028,0,0.02514659142244709
36,-11.849759698489251,2,0.03543079028233548
37,-16.579270535597434,4,0.04165321369403116
38,-19.274516519334462,4,0.050577869269319384
39,-8.165166212898205,0,0.027585020989520946
40,-13.684775076175564,6,0.04222403888008557
41,-18.54061692232926,10,0.03028587561109659
42,-12.170687672796367,0,0.040300290307272765
43,-15.4639460219034,6,0.03133756960895172
44,-42.03358695052186,24,0.05971386407457595
45,-18.476704012454363,8,0.03469107288892166
46,-62.57674692195021,14,0.16085015537069622
47,-28.07300666361497,6,0.0730894260384602
48,-19.741921752175585,12,0.029104968993141148
49,-12.823822417823008,4,0.043254031459916686
50,-13.86540142134871,4,0.032666892123671264
51,-21.1142018610064,2,0.06329205914240525
52,-15.562761826745206,0,0.05153232392961986
53,-18.70635111068787,6,0.04706055966921441
54,-8.32202629228643,0,0.027556378451279572
55,-13.652035260216762,4,0.03217345086738941
56,-8.63130997156365,2,0.02908469285773521
57,-7.222262053116851,0,0.023914775010320622
58,-14.387377951336681,8,0.025549511805346516
59,-13.157087365327577,4,0.030321481342144237
60,-28.050154925468345,16,0.03990117524989557
61,-8.106939706684814,0,0.02684417121418811
62,-12.46907227981078,2,0.03466580225102897
63,-10.351627151716528,0,0.03427691109839911
64,-26.679907701004723,18,0.040942960853795944
65,-8.456595424264103,0,0.0280019716035235
66,-12.479692689635666,4,0.028078452614687555
67,-22.20020993951991,6,0.05364307926993373
68,-25.143819748578803,12,0.04352258194893627
69,-8.001824962260132,0,0.026496109146556732
70,-8.353227026006438,0,0.027659692139094125
71,-53.09504298649524,8,0.149321334392368
72,-12.998371130636999,4,0.029795930896148997
