episode,tot_reward,tot_intrusions,tot_drift,hdg_in,spd_in
0,-21.917348597072312,12,0.03283890263931251,-0.0005764877639899018,-2.955210960385951
1,-32.257457062810296,24,0.02734257305566318,-0.00015458004496720257,-2.7811303187085357
2,-7.890887383359864,2,0.019506249613774444,-0.0010608543420599047,-2.572212751301018
3,-39.56299437802337,4,0.1177582595298786,-0.9125604294316029,-2.9671767714507387
4,-10.590505428340688,2,0.028445382213048646,-0.0016386910417234364,-2.703916747714177
5,-14.280545261319453,8,0.028290744420357887,-0.002589262104467363,-2.8957625456431226
6,-13.734148074497863,6,0.02560976183608544,-0.00235781116019441,-3.0234287061784744
7,-5.319571847631298,0,0.020303709342104192,-0.003908606022169799,-2.9642835165752555
8,-19.637536124443393,14,0.028762939410425535,0.0006149531285069427,-2.8265335288906126
9,-5.525067979346682,0,0.018294927083929394,-0.004101119703607054,-2.9542096422413913
10,-22.29578622944137,16,0.02084697426967351,-0.00279413294748693,-2.958260429507069
11,-19.67564156488542,0,0.06515113100955434,-0.5271462038451565,-2.8219127422449604
12,-10.804737728657614,6,0.02018797364982189,-0.0009603374899842408,-2.9747300674367945
13,-50.52562085675193,30,0.06796563197599989,-0.4874406881951141,-2.8603902377299226
14,-41.49579122466041,2,0.13078076564457078,-1.3523214941404702,-3.0994724298232166
15,-16.847701637498016,10,0.022674508733437206,2.5998624288384487e-05,-2.7648545977040055
16,-13.223003905350499,4,0.030539748030962002,-0.0023096154404022356,-2.7241802511733666
17,-15.295097353887698,8,0.02415595150293937,-0.004164848941924136,-2.8825801580803567
18,-14.743303227694222,8,0.022328818634749083,-0.00021898010876708176,-2.7173848336238327
19,-10.846881014475143,4,0.022671791438659505,-0.0019887534347177785,-2.904949462106328
20,-22.361209142394493,14,0.029440877261952474,-0.0030204555162386053,-2.8571154184649292
21,-23.847708128854904,16,0.025985788506141926,-0.002607033506193081,-2.722449564820602
22,-30.355131593638294,22,0.03005443019294341,-0.00014610844496771585,-2.912147138285218
23,-10.807052541244058,4,0.022539909076967138,-0.000930090230775516,-2.696463426284836
24,-8.474830627931262,2,0.02143983651632868,-0.0021744681370370585,-2.6915369814203203
25,-22.1134457390316,14,0.02759675421439332,-0.0015226921792851672,-2.7445481782255428
26,-9.63203433761189,4,0.01864912032321823,-0.0026312589365526393,-2.7659501360263867
27,-22.058178017029547,14,0.026682708665660762,-0.0026808007097562517,-3.031617521889514
28,-5.553195241010682,0,0.021034830458373836,0.00011550502950382052,-2.5251627541754824
29,-10.18907314641389,0,0.03373865280269499,-0.0021123031063301377,-2.919547844960567
30,-10.606907934818805,6,0.016221506812742228,-0.00321967312131523,-2.643829962697608
31,-62.27163749609353,22,0.1333497930334222,-0.300167676731204,-2.890662106469548
32,-18.86859702332715,6,0.04261124842161301,-0.21164739596598092,-3.00203268034507
