episode,tot_reward,tot_intrusions,tot_drift,hdg_in,spd_in
0,-54.97797274897476,48,0.02492133124633823,nan,0.32051564815811745
1,-196.90796830756045,188,0.02949658379986944,nan,0.9545285384528438
2,-101.11501217376238,92,0.03018215951576851,nan,0.6150694685239524
3,-82.63736865602834,74,0.028600558463669663,nan,0.04986746732998136
4,-145.92286006616618,136,0.0328571525369742,nan,0.044824696455435326
5,-41.3608739243234,32,0.030996271272593853,nan,0.721185399230033
6,-53.385628010373445,42,0.03770075500123726,nan,0.9640233250940835
7,-31.792974195026375,6,0.08540719932127962,nan,0.5367842202946014
8,-74.02876036155,46,0.09281046477334409,nan,0.013859697793369853
9,-78.20945293340725,56,0.07354123487883152,nan,2.3590410308199257
10,-12.272086510993175,4,0.027391014937063547,nan,-0.00457907991935977
11,-45.07975214842568,36,0.030065404464985904,nan,0.13892353632082988
12,-92.97723246250024,84,0.029725935306292053,nan,0.29217967888863067
13,-142.7081159370742,134,0.028834820983689103,nan,0.9240433295861439
14,-122.77627577736658,112,0.03568303237538589,nan,0.9520884768420596
15,-81.937482177541,70,0.03952808668059904,nan,1.6169300489673863
16,-87.16065754171265,78,0.03033330311825358,nan,-0.07822801500696855
17,-76.10192501785168,66,0.03345008284056914,nan,0.6792071724107754
18,-90.92840143130263,68,0.0759218590440495,nan,0.33584455647235983
19,-37.15939719984194,28,0.030329129800801095,nan,0.24258985471538197
20,-54.08324478511238,46,0.026765711208981104,nan,2.1897072535480215
21,-59.43545571526674,50,0.031243230845254294,nan,0.24745750223361232
22,-29.078005005643966,20,0.030059619223986422,nan,2.886441969371282
23,-8.105024989521144,0,0.02683783109112964,nan,1.9315777404708534
24,-61.150790865785886,52,0.030300632005912737,nan,0.21636892559548604
25,-67.03364071445924,58,0.029912717597546757,nan,0.04232570585102423
26,-74.70879745106325,66,0.02883707765252783,nan,0.2641341633542706
27,-80.81554178557917,70,0.03581305227012956,nan,1.5640422790215678
28,-132.51498053482933,98,0.11428801501599195,nan,0.9111147978401662
29,-101.1832633268315,92,0.030408156711362364,nan,0.8883664738321916
30,-66.19033536830158,58,0.027120315789078142,nan,1.6297301607789312
31,-102.00954166862283,78,0.07950179360471168,nan,-0.39916868108129655
32,-104.72315491569223,96,0.028884618926133133,nan,0.3697022081110688
33,-61.086693072563094,52,0.03008838765749376,nan,0.4837994417949697
34,-93.23674363508374,82,0.0372077603810724,nan,2.5714682104648667
35,-54.959083083145266,46,0.029665838023659963,nan,1.0487754169096384
36,-220.11881927329773,210,0.03350602408376676,nan,2.124707815246768
37,-62.4575200458203,54,0.028005033264306072,nan,0.5337741048078053
38,-49.518183514083184,40,0.03151716395391767,nan,0.14411275871772633
39,-104.61342967681665,68,0.12123652210866447,nan,0.048740319614853735
40,-21.059454089963015,12,0.02999819235087071,nan,0.23564086418927704
41,-40.42415064810843,32,0.027894538569895197,nan,0.4180879990440147
