episode,los_id,los_dist,los_qdr
0,"((3, 6), (4, 9), (7, 12))","(np.float64(0.12954451862832475), np.float64(0.123101969302944), np.float64(0.11318612943246452))","(np.float64(216.7215509109611), np.float64(79.30016820733461), np.float64(355.5535731977084))"
2,"((6, 12), (6, 18), (14, 15), (15, 16), (11, 17))","(np.float64(0.07829142191334007), np.float64(0.12854202982154006), np.float64(0.1343924263400544), np.float64(0.14505783000331415), np.float64(0.14147944261643064))","(np.float64(90.27239306801934), np.float64(275.9681856283526), np.float64(249.20230673173725), np.float64(265.0551809063985), np.float64(49.26575342549385))"
3,"((3, 7), (11, 17), (0, 13), (16, 19), (4, 16), (9, 16))","(np.float64(0.09632482429049166), np.float64(0.10439474462523472), np.float64(0.14937337602524225), np.float64(0.13411647639235647), np.float64(0.14884638387638396), np.float64(0.12697090649157514))","(np.float64(326.3160731164525), np.float64(187.53001958019613), np.float64(284.1233879979237), np.float64(54.796251010417706), np.float64(250.57473568916907), np.float64(290.84460713323284))"
5,"((9, 16), (5, 14))","(np.float64(0.12795290932577316), np.float64(0.1421245436008385))","(np.float64(262.58234340507255), np.float64(2.101880190907873))"
6,"((12, 15),)","(np.float64(0.13788828527641878),)","(np.float64(25.77047181469571),)"
7,"((2, 3), (7, 15))","(np.float64(0.10830339397763865), np.float64(0.07137586394020928))","(np.float64(335.94761074181207), np.float64(175.537227358449))"
8,"((8, 15), (10, 17))","(np.float64(0.09108414156102775), np.float64(0.14261245444185514))","(np.float64(90.48799521930228), np.float64(65.14205090530902))"
9,"((0, 8), (5, 19), (12, 19))","(np.float64(0.08984412543638377), np.float64(0.08610604195540776), np.float64(0.11031636963550509))","(np.float64(187.19650199698137), np.float64(164.93596314795596), np.float64(86.36323534043328))"
10,"((1, 5), (4, 10), (7, 14), (8, 11))","(np.float64(0.14920562389971626), np.float64(0.042420648004604385), np.float64(0.13563544599188276), np.float64(0.1447355594997411))","(np.float64(63.3138962950579), np.float64(339.7255055739668), np.float64(26.045009428128473), np.float64(70.54277745095729))"
11,"((1, 19), (8, 11), (14, 16), (5, 11), (8, 19))","(np.float64(0.1284102233566715), np.float64(0.04435489379697299), np.float64(0.05655853835359165), np.float64(0.1356954898888099), np.float64(0.12828229921581666))","(np.float64(145.00045643932998), np.float64(84.18352928873423), np.float64(51.63913776190439), np.float64(318.15606901730473), np.float64(308.6048469759393))"
12,"((7, 9), (10, 18))","(np.float64(0.14794867978764445), np.float64(0.14431971322063475))","(np.float64(321.03741673086716), np.float64(7.281087068656554))"
13,"((1, 8), (5, 13))","(np.float64(0.09983556380682711), np.float64(0.11541910546710232))","(np.float64(48.167966224889014), np.float64(247.92668296158695))"
14,"((0, 12), (1, 14))","(np.float64(0.14428748872831115), np.float64(0.08650007313218272))","(np.float64(69.53227448695982), np.float64(222.01279003374484))"
15,"((10, 19), (0, 10))","(np.float64(0.1032073563771022), np.float64(0.1272647397296218))","(np.float64(208.02932406294926), np.float64(240.49846204706844))"
16,"((7, 18), (16, 19), (13, 18), (0, 6))","(np.float64(0.09679839062920384), np.float64(0.08142214033477883), np.float64(0.1415258444588098), np.float64(0.13437896846320413))","(np.float64(253.22860124129747), np.float64(126.21519878628644), np.float64(63.63783548847101), np.float64(235.33670893155545))"
17,"((5, 7), (5, 9), (11, 16), (14, 17), (11, 14))","(np.float64(0.10103275459880037), np.float64(0.08218569143207038), np.float64(0.09644343172968463), np.float64(0.1450705005272935), np.float64(0.14818830002669628))","(np.float64(34.2972997954932), np.float64(277.01635345275076), np.float64(116.53463471171672), np.float64(270.1338739569628), np.float64(210.54350444904733))"
18,"((2, 16), (2, 18))","(np.float64(0.05500988053009997), np.float64(0.1373145876959613))","(np.float64(293.18590209412537), np.float64(240.80952843905726))"
19,"((1, 10), (4, 8), (8, 15), (12, 19), (2, 19), (6, 19), (3, 15))","(np.float64(0.09908651127975593), np.float64(0.13990851418188374), np.float64(0.09154092221764891), np.float64(0.14181626982067466), np.float64(0.09039233069526256), np.float64(0.13548910145978793), np.float64(0.13942214144070456))","(np.float64(231.32380149250537), np.float64(326.2495859109511), np.float64(349.62309009504037), np.float64(90.32260556158433), np.float64(289.02676806528655), np.float64(78.30002982954768), np.float64(54.73694429534945))"
20,"((3, 5), (12, 18))","(np.float64(0.12602688187496755), np.float64(0.1474784742913553))","(np.float64(148.80994716476175), np.float64(323.6959974598016))"
21,"((1, 14), (1, 16), (14, 16), (6, 13))","(np.float64(0.11490477585061298), np.float64(0.07764455644330635), np.float64(0.13432893024599535), np.float64(0.13200891055537373))","(np.float64(140.84292856239887), np.float64(47.844903347174714), np.float64(336.820159514787), np.float64(345.7237519383097))"
22,"((10, 17),)","(np.float64(0.14370916192808966),)","(np.float64(61.45178517451479),)"
23,"((0, 1), (8, 14), (0, 11))","(np.float64(0.14963832849382616), np.float64(0.12611928859632923), np.float64(0.05505075414379199))","(np.float64(358.5863361320397), np.float64(321.3681944878763), np.float64(128.78618199227492))"
24,"((2, 18), (5, 17), (10, 19))","(np.float64(0.13587754985750955), np.float64(0.12600425170285337), np.float64(0.14740120135996007))","(np.float64(1.8987956991269834), np.float64(280.1665636223536), np.float64(64.68327152836984))"
25,"((0, 17), (2, 18), (7, 16), (9, 11), (2, 11))","(np.float64(0.1394828922698495), np.float64(0.04766026113718497), np.float64(0.1156888264970056), np.float64(0.11308301229404313), np.float64(0.14471198338340907))","(np.float64(67.45883650898595), np.float64(164.81750908238197), np.float64(98.23704124228638), np.float64(138.84496823326148), np.float64(336.9705897265148))"
26,"((3, 12), (3, 13), (7, 13), (12, 13), (4, 16), (4, 13), (12, 16), (0, 13), (4, 12))","(np.float64(0.06605036369148913), np.float64(0.10716259392465087), np.float64(0.11756912058376778), np.float64(0.04592337680793253), np.float64(0.13424912501300065), np.float64(0.13744221986076896), np.float64(0.1350946356530636), np.float64(0.10755778331466341), np.float64(0.12368049175002993))","(np.float64(14.9142318002367), np.float64(28.885122397576794), np.float64(228.47166337127484), np.float64(49.203390461652724), np.float64(167.41963991601654), np.float64(204.04559638036687), np.float64(27.80172121081533), np.float64(148.79582714258774), np.float64(219.0991044986684))"
27,"((2, 3), (3, 17), (9, 18), (10, 15), (3, 9), (3, 11))","(np.float64(0.14410601195820166), np.float64(0.14237799384317792), np.float64(0.09762717126824079), np.float64(0.11227458541509805), np.float64(0.1422280899670349), np.float64(0.1477129343490354))","(np.float64(28.86069162648144), np.float64(49.12880620530856), np.float64(133.73115892151057), np.float64(315.2670714066226), np.float64(278.0698512432191), np.float64(301.7075899567123))"
28,"((3, 11),)","(np.float64(0.14106529738291973),)","(np.float64(235.1338445878184),)"
30,"((9, 17), (11, 15))","(np.float64(0.09850875352043363), np.float64(0.1433572714119223))","(np.float64(69.4972301274367), np.float64(348.3238745395278))"
31,"((0, 6), (2, 18), (11, 15), (8, 19), (13, 15))","(np.float64(0.11603426330544839), np.float64(0.13899809216584286), np.float64(0.12161903109356446), np.float64(0.11176670162453879), np.float64(0.1470693001204854))","(np.float64(109.55666527138675), np.float64(86.66517777940565), np.float64(114.20133248212751), np.float64(65.65323866770215), np.float64(79.03228665677838))"
32,"((2, 6), (3, 4), (3, 8), (2, 16), (6, 17))","(np.float64(0.10591270157751301), np.float64(0.08894017467202556), np.float64(0.1431428904413823), np.float64(0.12886000025070493), np.float64(0.13255343856201957))","(np.float64(175.93186980048716), np.float64(189.89234034245618), np.float64(112.35891033912571), np.float64(221.7285563584706), np.float64(54.505519946904684))"
33,"((0, 16), (2, 9), (3, 14))","(np.float64(0.13573178745832928), np.float64(0.10530322102045925), np.float64(0.045692868200366527))","(np.float64(224.50890086736388), np.float64(318.1186362072548), np.float64(52.33226264546855))"
34,"((3, 12),)","(np.float64(0.11144817740577695),)","(np.float64(45.26952579381943),)"
35,"((7, 9), (7, 19), (9, 19), (9, 13))","(np.float64(0.1058882415025133), np.float64(0.12857548935008525), np.float64(0.10706117971407092), np.float64(0.11526172004874324))","(np.float64(274.27803757004733), np.float64(327.55483988374857), np.float64(19.99679275450958), np.float64(102.9134061534785))"
37,"((1, 4),)","(np.float64(0.08916496738259148),)","(np.float64(3.586198454835603),)"
38,"((16, 19), (10, 19), (11, 16))","(np.float64(0.14707879577947477), np.float64(0.14291439820834206), np.float64(0.14345328905419277))","(np.float64(96.48883116399003), np.float64(207.87481321810841), np.float64(138.3323798833487))"
39,"((4, 15), (3, 9))","(np.float64(0.1271195010294649), np.float64(0.028449816232028517))","(np.float64(104.221771294937), np.float64(324.42238583878446))"
40,"((6, 13), (10, 11), (8, 17), (7, 19), (7, 10))","(np.float64(0.019433379676285112), np.float64(0.09721644923596541), np.float64(0.1374983090463033), np.float64(0.12899991692771146), np.float64(0.13764519353015672))","(np.float64(177.7383416275989), np.float64(21.636227028139107), np.float64(119.48241935851141), np.float64(68.2031257635482), np.float64(323.9394158277166))"
41,"((10, 18), (10, 15), (10, 17), (6, 8), (12, 16), (0, 9))","(np.float64(0.09996045866506549), np.float64(0.11804113416989359), np.float64(0.14704857890397507), np.float64(0.141581144821636), np.float64(0.1298677399726469), np.float64(0.13992421450533898))","(np.float64(136.5991429645796), np.float64(351.2240474106627), np.float64(88.46095391276921), np.float64(269.29776303881613), np.float64(54.81913108546825), np.float64(170.62550009870128))"
42,"((0, 1), (4, 9), (1, 12), (2, 11))","(np.float64(0.11273122581305307), np.float64(0.1439848780605229), np.float64(0.11319494331341409), np.float64(0.1437592714152931))","(np.float64(117.97272248611404), np.float64(329.3119218215891), np.float64(216.19955043238375), np.float64(337.252978866179))"
43,"((8, 14),)","(np.float64(0.0670270565684507),)","(np.float64(134.6677528032691),)"
44,"((2, 11), (6, 7))","(np.float64(0.13393990070361572), np.float64(0.14616118439512077))","(np.float64(287.0435844588496), np.float64(210.85282002662206))"
45,"((6, 9), (5, 18), (3, 6))","(np.float64(0.1240739752619506), np.float64(0.12314058659907429), np.float64(0.13807956559893378))","(np.float64(287.771720025679), np.float64(15.203432614116489), np.float64(332.2041020174038))"
46,"((4, 16),)","(np.float64(0.13931667273226037),)","(np.float64(38.83096971746212),)"
47,"((4, 12),)","(np.float64(0.13812052161746954),)","(np.float64(322.63275584001815),)"
49,"((1, 13), (9, 19))","(np.float64(0.12879629262085718), np.float64(0.14511651632001035))","(np.float64(230.90621205997917), np.float64(314.90861060506694))"
