episode,los_id,los_dist,los_qdr
0,"((2, 3), (2, 11), (1, 9), (6, 17))","(np.float64(0.1073408093523231), np.float64(0.14080488347322995), np.float64(0.11998898711099897), np.float64(0.13750076257254848))","(np.float64(215.62646116585321), np.float64(181.32457054126613), np.float64(219.77009903161772), np.float64(32.122481671187025))"
1,"((14, 17),)","(np.float64(0.14796631021412618),)","(np.float64(7.145388364778271),)"
2,"((3, 19), (9, 14), (14, 16), (5, 16), (3, 9))","(np.float64(0.1277311895154221), np.float64(0.10127773362580592), np.float64(0.14559035859127076), np.float64(0.1341990309314218), np.float64(0.14550428233282015))","(np.float64(298.4340856025492), np.float64(221.67890507012038), np.float64(352.9960558043073), np.float64(29.309073268594613), np.float64(0.3604890192066046))"
3,"((3, 14), (7, 19))","(np.float64(0.1398679277470164), np.float64(0.041059914499881583))","(np.float64(64.41525330333872), np.float64(129.34688346393693))"
4,"((4, 7),)","(np.float64(0.10207526621371257),)","(np.float64(8.713961639312023),)"
5,"((5, 15), (2, 13))","(np.float64(0.0740929240318336), np.float64(0.148253777035817))","(np.float64(272.6782911640095), np.float64(231.30002475788))"
6,"((4, 10),)","(np.float64(0.14623054580892858),)","(np.float64(223.7680577476069),)"
7,"((0, 14), (10, 16), (0, 15))","(np.float64(0.11986076107282052), np.float64(0.09631708976275744), np.float64(0.1141295267274473))","(np.float64(342.3979551386688), np.float64(345.69600718817753), np.float64(294.8180979973481))"
8,"((2, 7), (6, 15), (1, 11), (9, 11))","(np.float64(0.10888980413033723), np.float64(0.1197346525946317), np.float64(0.14204573598071496), np.float64(0.14444548900567328))","(np.float64(181.23122788718462), np.float64(125.81814846776206), np.float64(345.8252927827127), np.float64(336.82370448201476))"
9,"((4, 8), (10, 16), (11, 13))","(np.float64(0.12048753979662893), np.float64(0.08531840406169658), np.float64(0.14331438617561848))","(np.float64(74.9897301028903), np.float64(146.51317625797537), np.float64(74.93126316857055))"
11,"((0, 5), (1, 13), (9, 13))","(np.float64(0.09559907821866885), np.float64(0.14801856198546212), np.float64(0.14734483537269058))","(np.float64(276.7865802425465), np.float64(186.5828272710358), np.float64(197.32274807622304))"
12,"((2, 17), (3, 10), (7, 14))","(np.float64(0.02178776721072119), np.float64(0.12124499370717692), np.float64(0.09044187803979943))","(np.float64(309.57355123212784), np.float64(104.13727271841567), np.float64(54.30100149176521))"
13,"((1, 6), (6, 16))","(np.float64(0.14788444647097568), np.float64(0.09172801223029661))","(np.float64(317.13946749712113), np.float64(358.3056876137578))"
14,"((4, 18),)","(np.float64(0.1460331280987675),)","(np.float64(338.1942562819885),)"
15,"((0, 16), (8, 11), (8, 15), (2, 12))","(np.float64(0.0974616161739889), np.float64(0.07070515667644127), np.float64(0.1421113943713751), np.float64(0.12626756430509753))","(np.float64(301.97808280174957), np.float64(54.581295201192766), np.float64(0.7560776714418633), np.float64(241.7936840080697))"
16,"((4, 13), (10, 17), (1, 12))","(np.float64(0.12746541109606238), np.float64(0.13906593460409516), np.float64(0.142568342872927))","(np.float64(275.0454262160391), np.float64(69.74438493574318), np.float64(284.4415154241742))"
17,"((8, 16),)","(np.float64(0.14895532666071057),)","(np.float64(63.282652512388054),)"
18,"((3, 10), (0, 10))","(np.float64(0.10295954628397372), np.float64(0.14467420626317282))","(np.float64(206.1006930091355), np.float64(218.14840934496914))"
20,"((0, 4), (4, 11), (1, 15), (11, 15))","(np.float64(0.09353352975042936), np.float64(0.14974498711726544), np.float64(0.14923494181894514), np.float64(0.07547097618891649))","(np.float64(285.5599551214173), np.float64(5.6513945030617325), np.float64(219.8112487117368), np.float64(75.77494883024445))"
21,"((4, 17), (5, 9), (6, 11))","(np.float64(0.09700779890545996), np.float64(0.13821869441803414), np.float64(0.13326240642933848))","(np.float64(354.3238130428588), np.float64(249.66394120384365), np.float64(304.73512290867336))"
22,"((0, 3), (4, 14), (10, 15))","(np.float64(0.0958860763782216), np.float64(0.12632908961772057), np.float64(0.13604895292935673))","(np.float64(330.4114765355364), np.float64(143.58478052911607), np.float64(210.7221405678158))"
23,"((3, 5), (6, 9), (8, 10), (8, 19), (10, 18))","(np.float64(0.07286647039224528), np.float64(0.13900913902689468), np.float64(0.08299608974941881), np.float64(0.13544268424767206), np.float64(0.13088970019857973))","(np.float64(1.5216656695315574), np.float64(249.74542349308496), np.float64(163.52011006136792), np.float64(111.21324159104323), np.float64(117.93033660691871))"
24,"((0, 1), (5, 7))","(np.float64(0.12324165801768065), np.float64(0.03889428060386012))","(np.float64(133.39729962582447), np.float64(47.296638621151835))"
25,"((2, 3),)","(np.float64(0.14302556864713742),)","(np.float64(321.65549263242974),)"
26,"((0, 15), (7, 11), (1, 7))","(np.float64(0.13015323662536846), np.float64(0.13965297586690442), np.float64(0.13960477840665))","(np.float64(341.9109097533709), np.float64(278.9991449679654), np.float64(185.66184912228292))"
