episode,los_id,los_dist,los_qdr
0,"((0, 12), (8, 10), (13, 19))","(np.float64(0.137629392070721), np.float64(0.09342627164385592), np.float64(0.14093158076511367))","(np.float64(45.42297378770822), np.float64(293.21086259889483), np.float64(285.0156766243212))"
1,"((2, 10), (17, 19))","(np.float64(0.015045572129091488), np.float64(0.08083676711724087))","(np.float64(325.3684072063659), np.float64(130.72002363343728))"
2,"((7, 16),)","(np.float64(0.04527909068020412),)","(np.float64(130.42078222401832),)"
3,"((1, 19),)","(np.float64(0.14255514546308398),)","(np.float64(39.000456506613325),)"
4,"((5, 11), (10, 14), (14, 16), (11, 16))","(np.float64(0.10972774278099694), np.float64(0.05427912939927656), np.float64(0.12100084556733984), np.float64(0.10872454695847913))","(np.float64(110.1698610521227), np.float64(41.873256021557516), np.float64(351.62246191767804), np.float64(180.30589345841926))"
5,"((1, 14), (12, 17), (15, 18), (1, 16))","(np.float64(0.07945511591363798), np.float64(0.08570874922812452), np.float64(0.13897453027700404), np.float64(0.10082382071281294))","(np.float64(103.06056632559091), np.float64(239.29620564667087), np.float64(332.78564056313974), np.float64(310.2587516528684))"
6,"((8, 11), (16, 19), (12, 18), (7, 16), (1, 18))","(np.float64(0.05002759688549397), np.float64(0.007324087137677716), np.float64(0.13444290472234743), np.float64(0.13740776646606614), np.float64(0.14941267115868503))","(np.float64(137.26566289626476), np.float64(237.6724182786429), np.float64(151.29818553678737), np.float64(126.32421226867888), np.float64(120.48780065151425))"
7,"((1, 2), (11, 15), (6, 17))","(np.float64(0.09606429476979894), np.float64(0.14304022103278655), np.float64(0.0831333010856222))","(np.float64(57.704877300674866), np.float64(32.827291443182176), np.float64(36.280116082777354))"
8,"((1, 12),)","(np.float64(0.031499827467204054),)","(np.float64(181.45361905647053),)"
9,"((0, 14),)","(np.float64(0.11564606253631304),)","(np.float64(279.0891991609019),)"
11,"((11, 12),)","(np.float64(0.14639713983896208),)","(np.float64(1.678732403818082),)"
12,"((0, 18), (1, 14), (1, 16), (5, 7))","(np.float64(0.08566378830189708), np.float64(0.03051822023182816), np.float64(0.11393081044473763), np.float64(0.14583254700460224))","(np.float64(11.358358804655397), np.float64(225.52691458423757), np.float64(30.664102225409827), np.float64(8.828670567763075))"
13,"((0, 13), (1, 13), (5, 13), (6, 10), (16, 17), (0, 5))","(np.float64(0.01932591536534182), np.float64(0.14901854068606915), np.float64(0.05654552652887784), np.float64(0.07578348439248564), np.float64(0.11239214046557426), np.float64(0.11495300971907361))","(np.float64(133.28509080277465), np.float64(305.7848850818062), np.float64(63.678062822882374), np.float64(105.52276155509442), np.float64(16.655261291841796), np.float64(240.44746785826976))"
14,"((9, 14), (12, 13), (5, 18), (6, 18))","(np.float64(0.1032903836270311), np.float64(0.10117655954105925), np.float64(0.14390987961616794), np.float64(0.10783583742582249))","(np.float64(241.9925360572675), np.float64(19.229273137288406), np.float64(235.9111804769531), np.float64(326.37600540059805))"
16,"((0, 4), (1, 6), (3, 15), (6, 17), (4, 7), (7, 9), (0, 7))","(np.float64(0.09395865277059667), np.float64(0.07980880490120862), np.float64(0.06622069293000539), np.float64(0.07611570099544246), np.float64(0.12767785420146305), np.float64(0.053803223014216514), np.float64(0.13883630405124175))","(np.float64(179.32091644992514), np.float64(153.84383214116284), np.float64(94.62101237826421), np.float64(158.54143664654617), np.float64(235.71958308831745), np.float64(238.47276175882575), np.float64(158.43278351432625))"
17,"((5, 8), (6, 9), (8, 19), (10, 11), (5, 19))","(np.float64(0.060180335233262654), np.float64(0.14816530001949757), np.float64(0.1105856465413669), np.float64(0.09365002502374019), np.float64(0.10979747050973383))","(np.float64(150.85495189125783), np.float64(322.13069407711413), np.float64(36.87458267924713), np.float64(287.0388760684204), np.float64(112.99492215512224))"
18,"((4, 16), (7, 10))","(np.float64(0.0778703438123654), np.float64(0.11178153636809358))","(np.float64(319.99939797923196), np.float64(358.5196602115107))"
19,"((0, 8), (3, 12), (3, 16), (2, 4), (1, 8), (1, 13))","(np.float64(0.1380974096271525), np.float64(0.09857917746777917), np.float64(0.11497775214393569), np.float64(0.14799631077729247), np.float64(0.07186387981721089), np.float64(0.13321022957003884))","(np.float64(325.22011114757584), np.float64(10.306793359039737), np.float64(218.87424648230902), np.float64(273.83681947215797), np.float64(189.2852151388913), np.float64(346.3139461000533))"
20,"((2, 5),)","(np.float64(0.02579439657765635),)","(np.float64(16.92985884857321),)"
21,"((1, 5), (1, 15), (5, 15), (10, 16))","(np.float64(0.12400883729890874), np.float64(0.019013627775670425), np.float64(0.13612644368019677), np.float64(0.13359397132789813))","(np.float64(348.85136030280154), np.float64(228.7403309181989), np.float64(173.77963794970256), np.float64(280.81265432652157))"
22,"((1, 2), (5, 14), (10, 19), (8, 15))","(np.float64(0.13393656837314774), np.float64(0.044288520043308036), np.float64(0.09196771051367195), np.float64(0.14678191601103605))","(np.float64(315.48829747717576), np.float64(137.2470089348517), np.float64(333.02008355078056), np.float64(249.45596812297896))"
23,"((0, 7), (6, 10), (13, 18))","(np.float64(0.14561281751820998), np.float64(0.056821339390830804), np.float64(0.14324031818910982))","(np.float64(12.134804488222498), np.float64(305.53919034153233), np.float64(98.01846488623694))"
24,"((11, 17),)","(np.float64(0.018508098675087577),)","(np.float64(169.96836445142753),)"
25,"((11, 15), (18, 19), (1, 19), (7, 12), (1, 12), (7, 19))","(np.float64(0.09402126432593627), np.float64(0.12961983321283113), np.float64(0.12891018514317512), np.float64(0.14107865895593633), np.float64(0.13180866702687433), np.float64(0.11969924520563102))","(np.float64(92.15943918259565), np.float64(172.45868251768627), np.float64(308.43310095584087), np.float64(72.1352299388148), np.float64(343.24960516980474), np.float64(327.1394036780498))"
26,"((3, 16), (5, 8), (9, 10), (11, 19), (5, 9))","(np.float64(0.036439777875773884), np.float64(0.0744404263083843), np.float64(0.10257918836798448), np.float64(0.1005667714358756), np.float64(0.14185652060811188))","(np.float64(27.05031788995668), np.float64(300.04895290175807), np.float64(211.04360621332785), np.float64(92.33913659412076), np.float64(235.76677821333692))"
27,"((3, 5), (3, 11), (5, 11), (10, 16), (5, 6), (6, 11), (1, 6))","(np.float64(0.10368133760121875), np.float64(0.09808086077284035), np.float64(0.030823211608746126), np.float64(0.08163433768268444), np.float64(0.12944640681158334), np.float64(0.10650962956805882), np.float64(0.0616179611723427))","(np.float64(203.6453254321003), np.float64(186.35876737294765), np.float64(94.65337418223557), np.float64(206.34259768524538), np.float64(191.73630906685904), np.float64(125.9989682370779), np.float64(293.0384814643121))"
28,"((3, 7), (14, 16), (8, 14), (9, 16))","(np.float64(0.14244358921659744), np.float64(0.09832324257048897), np.float64(0.13311996967290549), np.float64(0.11008595961585574))","(np.float64(185.50558407065526), np.float64(264.90056108729493), np.float64(144.64759425653875), np.float64(101.68737702708985))"
29,"((2, 17), (3, 13), (12, 18), (11, 17), (0, 13), (16, 18), (15, 16))","(np.float64(0.13648798055561004), np.float64(0.027599550294409046), np.float64(0.02970314120474436), np.float64(0.1230622347039692), np.float64(0.1183072076604412), np.float64(0.09067955653715268), np.float64(0.13871282012334973))","(np.float64(266.0996817764641), np.float64(77.69699072542078), np.float64(120.70413806785848), np.float64(88.25475292162892), np.float64(220.80287765595202), np.float64(321.43937710801816), np.float64(24.146270714462))"
30,"((1, 4), (12, 14))","(np.float64(0.12898486717776766), np.float64(0.13657250113965586))","(np.float64(146.64796391738878), np.float64(206.32265477766595))"
31,"((0, 11), (4, 6), (6, 17), (7, 8), (4, 13), (1, 5), (4, 7), (4, 8))","(np.float64(0.14304428820586368), np.float64(0.08847911217566297), np.float64(0.14777341134727673), np.float64(0.08020160606105517), np.float64(0.08504243089948389), np.float64(0.14971699719078027), np.float64(0.14864843625342652), np.float64(0.13295533584735064))","(np.float64(10.911178723825667), np.float64(162.1083834909888), np.float64(220.97963422389006), np.float64(225.37743928422356), np.float64(323.50328116598234), np.float64(294.7714865117009), np.float64(303.21228849186684), np.float64(150.83539269584563))"
32,"((2, 4), (5, 11), (12, 15))","(np.float64(0.14322654336203006), np.float64(0.1365179817470796), np.float64(0.14382586477598863))","(np.float64(37.21108489917425), np.float64(191.2263994183449), np.float64(221.94951553467826))"
33,"((0, 7), (0, 12), (7, 12), (12, 15))","(np.float64(0.0718517330658394), np.float64(0.07815963435204049), np.float64(0.1494006679802938), np.float64(0.14102957567345575))","(np.float64(322.6346628122969), np.float64(132.28307985443158), np.float64(137.24069187845106), np.float64(147.32779452446277))"
34,"((1, 7), (3, 16), (10, 18), (12, 13))","(np.float64(0.11501365088538092), np.float64(0.0718683696515628), np.float64(0.06515292975536066), np.float64(0.0808650017940223))","(np.float64(184.12518198276854), np.float64(263.8096610469961), np.float64(239.37150524592334), np.float64(112.63526548661027))"
35,"((5, 18), (2, 12), (0, 9))","(np.float64(0.02769359601303756), np.float64(0.146905368376599), np.float64(0.14944594776342912))","(np.float64(193.68698403715914), np.float64(293.1156328555333), np.float64(232.38186227768875))"
36,"((14, 19), (2, 11), (3, 15))","(np.float64(0.11947650480186188), np.float64(0.14789989450249577), np.float64(0.1441177885469526))","(np.float64(178.58265685472625), np.float64(68.38833872579227), np.float64(238.72467319757794))"
37,"((0, 15), (5, 9), (8, 10))","(np.float64(0.027301335604722147), np.float64(0.11764891941653959), np.float64(0.13429850706815633))","(np.float64(208.63277968118098), np.float64(239.46451710264284), np.float64(339.34266190273786))"
38,"((0, 16), (2, 12), (10, 19), (11, 19))","(np.float64(0.148222731420436), np.float64(0.12293436162337985), np.float64(0.14516346494132135), np.float64(0.13960980575556226))","(np.float64(239.15969629441082), np.float64(257.27184950888307), np.float64(318.33175922240036), np.float64(231.8932002211537))"
39,"((4, 18), (7, 15), (4, 15))","(np.float64(0.1311745556380744), np.float64(0.11844403762826743), np.float64(0.13350823520553423))","(np.float64(247.74251716491472), np.float64(248.75950704854728), np.float64(254.33640285273742))"
40,"((6, 17), (8, 12), (10, 12), (8, 10))","(np.float64(0.1382507705887141), np.float64(0.09159635146490634), np.float64(0.12543217440217963), np.float64(0.134831679987441))","(np.float64(120.30883850989206), np.float64(292.2669071738964), np.float64(25.186574370451158), np.float64(257.03457079851046))"
41,"((15, 18),)","(np.float64(0.14699765435213782),)","(np.float64(133.725855300528),)"
42,"((12, 19), (15, 16), (13, 15))","(np.float64(0.028063793136557078), np.float64(0.1081609534978639), np.float64(0.14932466208923834))","(np.float64(133.35290710189116), np.float64(58.25950133984899), np.float64(132.45204888673823))"
43,"((7, 14), (18, 19), (7, 17), (14, 17), (11, 17), (3, 11), (10, 15))","(np.float64(0.022758826996478045), np.float64(0.12936097440889746), np.float64(0.13450755518152505), np.float64(0.11631014136563757), np.float64(0.12484148325341203), np.float64(0.14935822339339913), np.float64(0.13555076450946496))","(np.float64(10.981394978842376), np.float64(203.82954449732824), np.float64(89.74644091594345), np.float64(100.70040668970603), np.float64(252.58451023533638), np.float64(203.5267251564517), np.float64(131.33415085597719))"
44,"((13, 17),)","(np.float64(0.11634054528129281),)","(np.float64(128.04206677717346),)"
45,"((12, 14), (10, 12), (11, 13))","(np.float64(0.12785893781992366), np.float64(0.14242404903004552), np.float64(0.14276099042518875))","(np.float64(356.5015072488332), np.float64(37.832661497204775), np.float64(55.96787264526745))"
