episode,los_id,los_dist,los_qdr
0,"((2, 10), (8, 15), (7, 18))","(np.float64(0.05722315502197567), np.float64(0.1427617628841494), np.float64(0.13039802444743018))","(np.float64(131.5446036013211), np.float64(344.10435912520256), np.float64(11.905269503488265))"
1,"((2, 17),)","(np.float64(0.1404688341424389),)","(np.float64(265.7656819043099),)"
2,"((4, 6),)","(np.float64(0.12849639708157715),)","(np.float64(298.94854565660535),)"
3,"((7, 9), (7, 13), (9, 17))","(np.float64(0.13071281107980684), np.float64(0.136838493426353), np.float64(0.14008308511684164))","(np.float64(48.64021308922679), np.float64(249.95986932111254), np.float64(279.46618625336254))"
4,"((11, 19),)","(np.float64(0.1363836647696706),)","(np.float64(82.18730319792117),)"
5,"((3, 8),)","(np.float64(0.12676856151149),)","(np.float64(83.82341844016373),)"
8,"((1, 10), (6, 9), (6, 19), (14, 17), (5, 14))","(np.float64(0.004271771208113071), np.float64(0.12863504166886136), np.float64(0.14706310619674975), np.float64(0.1370995578153223), np.float64(0.13728589790510204))","(np.float64(120.81058226320309), np.float64(3.345956416400115), np.float64(227.49531581979227), np.float64(320.1065777394342), np.float64(26.54174380706977))"
9,"((7, 15),)","(np.float64(0.10160465768444595),)","(np.float64(351.30629265700884),)"
10,"((1, 17), (2, 8), (14, 15), (8, 18), (13, 17), (8, 14), (10, 17), (10, 14))","(np.float64(0.0454089521332576), np.float64(0.13453161545107056), np.float64(0.09793483461382599), np.float64(0.13585760569297228), np.float64(0.0950385137604922), np.float64(0.07197821239337715), np.float64(0.14324348476542192), np.float64(0.13421113543791358))","(np.float64(237.0915289686285), np.float64(73.70800818218486), np.float64(247.18695395999566), np.float64(49.457751252486744), np.float64(19.71258478025383), np.float64(26.68179223429339), np.float64(237.44450335471305), np.float64(342.99285275502297))"
11,"((3, 13), (3, 18), (5, 8), (8, 9), (9, 11))","(np.float64(0.12407420595681025), np.float64(0.07562365579360351), np.float64(0.10795139444808555), np.float64(0.1368454051885835), np.float64(0.12460412383821493))","(np.float64(264.0150018841829), np.float64(17.111570503497845), np.float64(138.72997049440684), np.float64(128.63463139925827), np.float64(222.811245251153))"
12,"((0, 10), (2, 7))","(np.float64(0.14454610283595254), np.float64(0.14134164233844915))","(np.float64(304.15513526536114), np.float64(223.27979981779023))"
14,"((1, 10), (4, 14), (4, 19), (5, 13), (11, 15), (12, 13))","(np.float64(0.14548701101545897), np.float64(0.12000804941114211), np.float64(0.07791284751880583), np.float64(0.08823435829667138), np.float64(0.14670145863786574), np.float64(0.14850137754663484))","(np.float64(162.56264817515807), np.float64(273.6412069632538), np.float64(36.466667349843824), np.float64(328.2967523130445), np.float64(219.06082048531127), np.float64(211.4951229428823))"
15,"((5, 11), (7, 11), (6, 12))","(np.float64(0.042849463534115007), np.float64(0.13199270997327933), np.float64(0.14400814519018085))","(np.float64(70.18871905866195), np.float64(213.96706032767167), np.float64(211.77130528394582))"
16,"((11, 19), (9, 17))","(np.float64(0.11714765669833939), np.float64(0.14725711783574313))","(np.float64(187.159957156205), np.float64(339.6038492024039))"
17,"((11, 17),)","(np.float64(0.13067302681160098),)","(np.float64(206.57234256996176),)"
18,"((3, 18),)","(np.float64(0.11752325033837363),)","(np.float64(297.38530555732035),)"
19,"((2, 19), (3, 14))","(np.float64(0.11964458406844572), np.float64(0.14170248507896527))","(np.float64(98.43201337045869), np.float64(245.9356530815282))"
20,"((4, 16), (7, 14))","(np.float64(0.13463009952756), np.float64(0.11657096771195649))","(np.float64(277.79733229627334), np.float64(12.335828481320993))"
21,"((0, 15),)","(np.float64(0.1434838918078889),)","(np.float64(339.5374508328874),)"
22,"((2, 9),)","(np.float64(0.14053670482060956),)","(np.float64(86.44445054871844),)"
23,"((3, 19), (13, 18), (0, 10))","(np.float64(0.13626135831540787), np.float64(0.06723009137696392), np.float64(0.11485006823534293))","(np.float64(277.80288665588955), np.float64(94.99336299683843), np.float64(244.60155625285222))"
24,"((1, 19),)","(np.float64(0.04572817374121543),)","(np.float64(212.5640295232429),)"
25,"((1, 5), (2, 18), (6, 10), (14, 17), (12, 16))","(np.float64(0.08754244238879427), np.float64(0.14375656843083395), np.float64(0.11322733134890771), np.float64(0.10452339308334693), np.float64(0.14998902447378978))","(np.float64(295.57353781101), np.float64(147.60342000970195), np.float64(337.91527551208515), np.float64(160.54724740408656), np.float64(126.36841952558697))"
26,"((10, 18),)","(np.float64(0.06327458188411901),)","(np.float64(334.8165103493352),)"
27,"((8, 13), (8, 15), (2, 12), (10, 17), (13, 16))","(np.float64(0.14776387089959883), np.float64(0.1454382850045297), np.float64(0.1482569281651374), np.float64(0.11974599799865228), np.float64(0.14572662961310603))","(np.float64(184.1714249216379), np.float64(86.75643024732238), np.float64(327.0242944158746), np.float64(117.77160815620664), np.float64(98.47687062876844))"
28,"((2, 10), (10, 17))","(np.float64(0.1479332896400901), np.float64(0.1287983449083822))","(np.float64(51.33149873631947), np.float64(49.73283899991133))"
29,"((0, 4), (0, 10), (1, 15))","(np.float64(0.11263886360815839), np.float64(0.14045349713055078), np.float64(0.1353087733655063))","(np.float64(259.513859341535), np.float64(353.399655701991), np.float64(297.0168160645511))"
30,"((5, 13),)","(np.float64(0.13989438406210625),)","(np.float64(310.4341050046195),)"
31,"((0, 18), (1, 12))","(np.float64(0.13652180439290607), np.float64(0.0523841297899868))","(np.float64(164.2377455812832), np.float64(93.28826765112272))"
32,"((2, 13), (11, 14), (2, 15))","(np.float64(0.009288326279655399), np.float64(0.1441857755606463), np.float64(0.1408408849929055))","(np.float64(277.86421036583306), np.float64(224.0497946817036), np.float64(313.47753799063594))"
33,"((3, 16),)","(np.float64(0.10466743067734292),)","(np.float64(120.23396909816245),)"
34,"((6, 7),)","(np.float64(0.09617196338628145),)","(np.float64(219.52455736361654),)"
36,"((4, 13), (4, 17), (13, 17))","(np.float64(0.13555882798151644), np.float64(0.04141810732170911), np.float64(0.10476322064016388))","(np.float64(227.02677587131444), np.float64(238.33486896523527), np.float64(91.59599990429886))"
37,"((15, 16),)","(np.float64(0.07507659588053438),)","(np.float64(82.70500910760293),)"
38,"((0, 11), (5, 14), (10, 17), (2, 19))","(np.float64(0.02345819390032475), np.float64(0.14032072816303115), np.float64(0.11619881003617603), np.float64(0.1349282662558008))","(np.float64(129.9837034849954), np.float64(244.53963652532997), np.float64(41.006364114651454), np.float64(94.47971639552802))"
39,"((0, 1), (7, 19))","(np.float64(0.01788424863394413), np.float64(0.09587770416766082))","(np.float64(73.80462694685129), np.float64(189.50269946267602))"
40,"((0, 9), (0, 18), (7, 19), (13, 19))","(np.float64(0.13410461420909298), np.float64(0.12238440317907923), np.float64(0.11171239590746203), np.float64(0.03074960113631021))","(np.float64(32.80779664096142), np.float64(170.5671653574778), np.float64(280.38818193843576), np.float64(202.25169342943718))"
42,"((4, 12), (5, 9), (5, 17), (9, 17))","(np.float64(0.14120982606693197), np.float64(0.07250771137626064), np.float64(0.12155588720168246), np.float64(0.13386229983240586))","(np.float64(311.63740803003145), np.float64(309.3737996196026), np.float64(32.48695311852764), np.float64(65.01691467614621))"
44,"((3, 7), (6, 11), (8, 12))","(np.float64(0.104371801306896), np.float64(0.09729037145079984), np.float64(0.06827954279643472))","(np.float64(16.98040403535489), np.float64(202.6623015221036), np.float64(7.308104492429075))"
45,"((13, 15),)","(np.float64(0.11710843109549973),)","(np.float64(196.47793222947416),)"
47,"((0, 1), (5, 9), (14, 17), (6, 17), (1, 6))","(np.float64(0.012479612534194422), np.float64(0.1059935872205279), np.float64(0.06725870621748696), np.float64(0.12021094771472286), np.float64(0.13955535021061086))","(np.float64(220.26020776287947), np.float64(93.4746356266032), np.float64(256.67582652724303), np.float64(86.20552393155012), np.float64(234.57247497188186))"
48,"((4, 15), (5, 18), (16, 17))","(np.float64(0.1389806289618524), np.float64(0.11356038936900105), np.float64(0.1300943771984228))","(np.float64(244.25746512087608), np.float64(215.19424836370092), np.float64(262.09188399861523))"
50,"((10, 11),)","(np.float64(0.06208786006123967),)","(np.float64(104.91045948035395),)"
51,"((3, 6), (4, 16))","(np.float64(0.09869877628139029), np.float64(0.1449705541740681))","(np.float64(342.96111795551263), np.float64(49.04861422488551))"
52,"((11, 17),)","(np.float64(0.13974324388033002),)","(np.float64(176.0022152441801),)"
53,"((7, 9), (3, 8))","(np.float64(0.1013334348902822), np.float64(0.14034429409339388))","(np.float64(202.41692515857162), np.float64(186.1411814299753))"
54,"((2, 12), (6, 18), (7, 8), (13, 15), (5, 18), (7, 17))","(np.float64(0.0780140764025846), np.float64(0.11869018387615268), np.float64(0.10787721928232633), np.float64(0.14962696580321577), np.float64(0.12542119893813386), np.float64(0.13384158791626682))","(np.float64(103.97339323976537), np.float64(195.0025823773719), np.float64(53.130763089903944), np.float64(10.527866958175577), np.float64(215.04568435973624), np.float64(256.3471500466044))"
55,"((1, 15), (11, 18))","(np.float64(0.03394685542111355), np.float64(0.1280836036507232))","(np.float64(73.88794987767297), np.float64(150.18598178899956))"
57,"((7, 9), (15, 19))","(np.float64(0.05088626039949222), np.float64(0.14992382654682335))","(np.float64(227.37342759638062), np.float64(184.80814476344824))"
59,"((11, 19),)","(np.float64(0.14737374703881032),)","(np.float64(324.8135897670463),)"
61,"((10, 16),)","(np.float64(0.14950766330219947),)","(np.float64(103.85767951679901),)"
64,"((0, 18), (3, 11), (3, 13), (6, 11), (11, 13), (14, 18))","(np.float64(0.11986834465947534), np.float64(0.10067260668734189), np.float64(0.1280533320987109), np.float64(0.14407377668740465), np.float64(0.14897529978236934), np.float64(0.13354255609941285))","(np.float64(92.86088218633397), np.float64(67.31380676052396), np.float64(347.0008769892765), np.float64(251.95683007537534), np.float64(305.23286425242435), np.float64(340.8511712345909))"
65,"((0, 11), (7, 11), (5, 13), (4, 11))","(np.float64(0.05355851431737773), np.float64(0.09511780767785624), np.float64(0.12510669076523254), np.float64(0.14214311055035256))","(np.float64(59.63866007254646), np.float64(201.2189707380311), np.float64(314.7664793336218), np.float64(302.31830070850236))"
66,"((0, 17), (4, 19))","(np.float64(0.14454277289654993), np.float64(0.07668461954233229))","(np.float64(258.16495365675405), np.float64(93.88007903575335))"
67,"((2, 3), (15, 16), (15, 17), (16, 17), (3, 11))","(np.float64(0.12592848115640667), np.float64(0.08057588075880676), np.float64(0.11848990183071931), np.float64(0.10151487339722114), np.float64(0.13835009669579731))","(np.float64(300.1843488101945), np.float64(315.7005819786751), np.float64(258.08404135465116), np.float64(215.99395705117576), np.float64(278.8706475403405))"
68,"((9, 16), (1, 10), (9, 10))","(np.float64(0.1462306243239541), np.float64(0.1456027751166185), np.float64(0.12015709904392187))","(np.float64(328.5056499527187), np.float64(320.3107227311189), np.float64(259.45317814600355))"
69,"((3, 19), (7, 19))","(np.float64(0.06687488191095094), np.float64(0.14699915533919386))","(np.float64(295.4766050621442), np.float64(84.39942652041866))"
70,"((5, 16),)","(np.float64(0.09532795779960515),)","(np.float64(54.30775060515116),)"
71,"((0, 7), (0, 9), (3, 16), (7, 9))","(np.float64(0.06420856803149501), np.float64(0.11592683347289502), np.float64(0.14784538152176943), np.float64(0.07261769002337001))","(np.float64(137.0759365983395), np.float64(171.44168724710352), np.float64(299.9997505757817), np.float64(201.38337276034122))"
72,"((2, 9),)","(np.float64(0.12208398850756887),)","(np.float64(202.41513971166495),)"
73,"((2, 17), (5, 6))","(np.float64(0.12689185499526073), np.float64(0.10848478906873954))","(np.float64(37.62677660789037), np.float64(302.05922348314493))"
74,"((3, 18),)","(np.float64(0.14201977728026227),)","(np.float64(191.68203180866334),)"
75,"((1, 11), (3, 6))","(np.float64(0.13436889666814456), np.float64(0.09698639743902353))","(np.float64(6.896839984091027), np.float64(319.1378792921569))"
79,"((4, 19), (6, 19))","(np.float64(0.14640844569280517), np.float64(0.13301576051315744))","(np.float64(1.6276362780097218), np.float64(2.178128574919995))"
80,"((2, 7), (7, 13), (16, 19))","(np.float64(0.09376378176560558), np.float64(0.1267040757096953), np.float64(0.11348748884504542))","(np.float64(90.57582871954578), np.float64(4.156562745582021), np.float64(355.82121367844087))"
81,"((3, 4), (10, 17), (8, 13), (4, 13), (11, 18))","(np.float64(0.1285396518200944), np.float64(0.147472858815767), np.float64(0.14987689970994025), np.float64(0.009256495245901643), np.float64(0.13336288117740303))","(np.float64(141.94527340115974), np.float64(51.10673495926432), np.float64(356.72585127061785), np.float64(79.95914448648674), np.float64(59.544661611292106))"
82,"((3, 8), (8, 15))","(np.float64(0.11605707512458288), np.float64(0.1277367360049701))","(np.float64(317.2951603872622), np.float64(335.3723833690691))"
83,"((3, 5),)","(np.float64(0.09282085107401575),)","(np.float64(342.8508887224724),)"
84,"((2, 14), (0, 8), (2, 4))","(np.float64(0.03853439977197286), np.float64(0.1163777373301757), np.float64(0.14508644543732502))","(np.float64(275.1353596816866), np.float64(266.76427357869034), np.float64(252.377378248521))"
87,"((0, 14), (1, 7), (2, 7), (4, 5), (12, 19), (13, 17))","(np.float64(0.11214043166110477), np.float64(0.10841698729227367), np.float64(0.13042330813135652), np.float64(0.14519866785015298), np.float64(0.018943518141851474), np.float64(0.14693459386487487))","(np.float64(25.107764909024613), np.float64(327.61955432114144), np.float64(108.48435351246255), np.float64(22.5882813989531), np.float64(358.33175604535154), np.float64(131.4087659251258))"
88,"((0, 5), (4, 6), (12, 14), (12, 18))","(np.float64(0.11382354898700549), np.float64(0.08473320099920675), np.float64(0.14612041547814222), np.float64(0.13015271276568516))","(np.float64(264.8933632167092), np.float64(292.26250942414674), np.float64(55.85585278783207), np.float64(58.0386051769715))"
89,"((4, 10), (7, 10), (2, 15))","(np.float64(0.13802498676563396), np.float64(0.09388816656105312), np.float64(0.14043198921733782))","(np.float64(158.41461929469475), np.float64(230.99374176608836), np.float64(346.00207549531814))"
90,"((9, 18),)","(np.float64(0.08626661399027506),)","(np.float64(106.66008211217296),)"
91,"((0, 13), (10, 18), (13, 14))","(np.float64(0.14032694649155783), np.float64(0.1325653948703144), np.float64(0.13416835063796784))","(np.float64(145.13501304894308), np.float64(2.5805818436702608), np.float64(213.13625493640103))"
93,"((0, 13), (4, 10), (0, 3))","(np.float64(0.11793170760506623), np.float64(0.11501592954404798), np.float64(0.14622562881327064))","(np.float64(260.5469383985063), np.float64(52.537354649214265), np.float64(273.6523685861662))"
97,"((11, 19),)","(np.float64(0.11035056905437396),)","(np.float64(103.72086567815005),)"
98,"((2, 17),)","(np.float64(0.1288271588178935),)","(np.float64(108.16369431638418),)"
99,"((2, 12),)","(np.float64(0.1216248152084653),)","(np.float64(105.06529781450543),)"
100,"((0, 3), (10, 17), (10, 19), (17, 19))","(np.float64(0.03246222499302199), np.float64(0.0929984839469558), np.float64(0.10639177366300852), np.float64(0.0447994854672803))","(np.float64(13.768365172909542), np.float64(224.5679412728383), np.float64(249.38595803089362), np.float64(309.9997530596229))"
102,"((4, 18), (8, 18), (6, 15))","(np.float64(0.09977932501583388), np.float64(0.13774222775852868), np.float64(0.1409170657592484))","(np.float64(322.72454527173556), np.float64(148.26935738331036), np.float64(349.5588455710799))"
103,"((5, 14), (13, 19), (5, 19))","(np.float64(0.0756953538520006), np.float64(0.14183644543655216), np.float64(0.11958659312094144))","(np.float64(205.03476225111058), np.float64(108.8811236716891), np.float64(64.28322031930738))"
104,"((7, 11), (10, 16))","(np.float64(0.14780671361045744), np.float64(0.1454951340828488))","(np.float64(71.53279954407624), np.float64(305.4074118038245))"
