episode,los_id,los_dist,los_qdr
0,"((5, 18), (6, 12))","(np.float64(0.1492742370454931), np.float64(0.14044858627293366))","(np.float64(68.42639225800262), np.float64(324.94227744999364))"
1,"((2, 3), (3, 12))","(np.float64(0.06480195459083454), np.float64(0.14088284397795175))","(np.float64(109.2231350395477), np.float64(59.96431572124148))"
2,"((7, 16),)","(np.float64(0.1381158764753582),)","(np.float64(339.8643235435845),)"
4,"((2, 9), (6, 19))","(np.float64(0.11065432997267374), np.float64(0.016367739111295333))","(np.float64(138.83265941971985), np.float64(190.29479957639157))"
5,"((3, 16), (5, 19))","(np.float64(0.09760574079307296), np.float64(0.12907208860001546))","(np.float64(57.1607863623561), np.float64(321.93270590698523))"
6,"((0, 11), (3, 18))","(np.float64(0.12520839019811625), np.float64(0.10624914354887656))","(np.float64(21.280471738465597), np.float64(240.24188800358428))"
9,"((6, 7), (8, 9), (12, 14))","(np.float64(0.1434540931782966), np.float64(0.035937035862377543), np.float64(0.14689590866929364))","(np.float64(180.35513356690794), np.float64(265.2487246041161), np.float64(245.61535328115957))"
10,"((1, 12), (2, 11), (4, 7), (13, 19), (2, 12))","(np.float64(0.061080686404859925), np.float64(0.09079069666270057), np.float64(0.08190779687410488), np.float64(0.10769704819500893), np.float64(0.10402252610093252))","(np.float64(155.1042356197516), np.float64(356.9622868090977), np.float64(192.8833907110221), np.float64(284.5835649984032), np.float64(213.6496888880503))"
11,"((3, 16), (12, 19))","(np.float64(0.10906871337185084), np.float64(0.09892977584706245))","(np.float64(311.4622744690028), np.float64(209.3233182027224))"
12,"((6, 14),)","(np.float64(0.14987374184232835),)","(np.float64(258.1829046213549),)"
13,"((0, 15), (2, 15))","(np.float64(0.1383019514714925), np.float64(0.11930762370356565))","(np.float64(14.02690050498436), np.float64(298.3551389185057))"
15,"((7, 9), (9, 13), (11, 13), (1, 11), (1, 9))","(np.float64(0.13604550056735942), np.float64(0.0634726655066905), np.float64(0.11160079383687292), np.float64(0.13141451658674497), np.float64(0.06836317622247935))","(np.float64(60.741537453493535), np.float64(97.46920463992811), np.float64(250.83128256147018), np.float64(235.0878216462412), np.float64(233.7372037766899))"
16,"((6, 19), (10, 11), (0, 9), (12, 17), (8, 17))","(np.float64(0.12452709843473199), np.float64(0.09393929948627279), np.float64(0.09233909721149004), np.float64(0.13900687203021123), np.float64(0.13538707940980516))","(np.float64(294.7128849829853), np.float64(281.46043265546507), np.float64(275.3702260837996), np.float64(124.64711563964858), np.float64(24.566935326489055))"
17,"((3, 11), (4, 10), (4, 19), (7, 16), (8, 19), (12, 16), (10, 19), (13, 19), (11, 19), (9, 19))","(np.float64(0.13528773651819165), np.float64(0.12194597676185814), np.float64(0.1259068592899992), np.float64(0.13285993020819586), np.float64(0.1379524551725272), np.float64(0.08863467976665447), np.float64(0.028284164088796703), np.float64(0.11923402299689051), np.float64(0.0732336899919096), np.float64(0.13472766453924367))","(np.float64(256.3400040511566), np.float64(129.7851922359335), np.float64(31.74423353374982), np.float64(52.752386526458714), np.float64(170.0558636101606), np.float64(252.25246535267416), np.float64(5.922997765303439), np.float64(314.1161706506917), np.float64(56.00257348897238), np.float64(306.88135762456045))"
19,"((0, 18),)","(np.float64(0.13702913695780083),)","(np.float64(170.76125988652635),)"
21,"((1, 11),)","(np.float64(0.12992641117079443),)","(np.float64(306.62117645279403),)"
22,"((12, 13), (0, 16))","(np.float64(0.1431672034103067), np.float64(0.1333298923656719))","(np.float64(256.08110606196294), np.float64(32.42483146747024))"
23,"((10, 13), (5, 13))","(np.float64(0.14952943918157735), np.float64(0.12581825803129126))","(np.float64(231.38064513829167), np.float64(263.083832115273))"
24,"((4, 13), (7, 19), (6, 11), (4, 10))","(np.float64(0.11583062784998678), np.float64(0.09191163273706748), np.float64(0.14747074315336797), np.float64(0.13120623387376984))","(np.float64(73.09810177479727), np.float64(36.05671329884214), np.float64(115.93635890683537), np.float64(134.49005074987014))"
25,"((7, 13), (9, 10), (1, 10))","(np.float64(0.1481850994062789), np.float64(0.1332039833168612), np.float64(0.14482689854427827))","(np.float64(173.04444535786155), np.float64(130.05525693019587), np.float64(284.4609626462839))"
28,"((2, 14),)","(np.float64(0.08990233646878938),)","(np.float64(162.30027089557285),)"
31,"((8, 17),)","(np.float64(0.09060995210739126),)","(np.float64(341.9465020960131),)"
32,"((8, 10),)","(np.float64(0.03941641766066234),)","(np.float64(309.5214606170256),)"
34,"((4, 13), (3, 10), (3, 13))","(np.float64(0.09764970133556738), np.float64(0.12607163374073088), np.float64(0.12250954821031561))","(np.float64(339.05872171264605), np.float64(54.95408783453965), np.float64(310.5222994504371))"
35,"((0, 2), (2, 13))","(np.float64(0.1320762399398793), np.float64(0.1402342257347614))","(np.float64(236.89016045354128), np.float64(253.1393455287319))"
37,"((12, 14), (1, 6), (9, 17), (9, 18))","(np.float64(0.13566852488216333), np.float64(0.12150485333689), np.float64(0.14766814783392926), np.float64(0.14139535241448822))","(np.float64(60.8993108327199), np.float64(340.41211878662824), np.float64(195.17601493645586), np.float64(134.4417233102478))"
38,"((0, 6), (8, 10))","(np.float64(0.049112704927834414), np.float64(0.14565346907347546))","(np.float64(143.49798671874197), np.float64(28.18743815370578))"
42,"((0, 17), (2, 7), (6, 13), (6, 18), (13, 18))","(np.float64(0.051332396315263214), np.float64(0.13234368448470316), np.float64(0.09169390276933528), np.float64(0.13676425810608045), np.float64(0.13257452560334684))","(np.float64(112.72614754864266), np.float64(352.5369144212664), np.float64(357.14396466125345), np.float64(64.7980931370045), np.float64(104.56718877090444))"
45,"((10, 12),)","(np.float64(0.06604365051247313),)","(np.float64(12.384650847245567),)"
46,"((1, 5), (2, 7), (2, 16), (6, 11), (6, 12), (11, 15), (0, 11), (0, 6))","(np.float64(0.13496258191247068), np.float64(0.06693231215236332), np.float64(0.12455303437035656), np.float64(0.14135345883407038), np.float64(0.13699788515462383), np.float64(0.07807822483535931), np.float64(0.14931605887682486), np.float64(0.07408499507969792))","(np.float64(15.32550684407953), np.float64(36.19215843807419), np.float64(182.13243470265851), np.float64(50.583458506849865), np.float64(193.64585147043186), np.float64(125.4100455728441), np.float64(170.1538190645454), np.float64(129.82978392593097))"
47,"((0, 9), (0, 16), (4, 16), (0, 4))","(np.float64(0.12903427418143618), np.float64(0.04762530266481494), np.float64(0.12560040854059365), np.float64(0.12349202559875165))","(np.float64(147.1031495186528), np.float64(22.76523474620096), np.float64(38.37344088623776), np.float64(257.80083291467827))"
48,"((0, 4),)","(np.float64(0.13326386075327318),)","(np.float64(174.18388910393463),)"
49,"((3, 8), (6, 13), (15, 16), (3, 16), (4, 7), (4, 19), (3, 13))","(np.float64(0.11580051153430738), np.float64(0.061486077875439), np.float64(0.05135555176400785), np.float64(0.04644142266531802), np.float64(0.1479233101803838), np.float64(0.11175604184424016), np.float64(0.1442688932657599))","(np.float64(192.99870164387536), np.float64(23.98799763648172), np.float64(67.39923541788767), np.float64(229.38220166366366), np.float64(196.6441377101668), np.float64(313.4879889389218), np.float64(286.5203260423079))"
50,"((5, 7), (9, 15), (15, 18))","(np.float64(0.14232826343260047), np.float64(0.10695426539227398), np.float64(0.14339063901996976))","(np.float64(165.60222078716404), np.float64(159.64535714658584), np.float64(103.40371922892075))"
51,"((7, 8),)","(np.float64(0.1405600311155234),)","(np.float64(148.74463057675445),)"
52,"((1, 13),)","(np.float64(0.13681246760265142),)","(np.float64(216.92365368427878),)"
53,"((12, 19),)","(np.float64(0.08270364198597986),)","(np.float64(152.28394039456893),)"
54,"((0, 18), (1, 10), (2, 14), (11, 14), (11, 19))","(np.float64(0.0171600780905821), np.float64(0.07386861050870946), np.float64(0.13645866326860617), np.float64(0.11582909950660249), np.float64(0.11630480278087181))","(np.float64(220.95950321351503), np.float64(84.41364899364606), np.float64(227.50862693039434), np.float64(196.0399339309153), np.float64(158.3460109899691))"
55,"((6, 9), (12, 19), (3, 10))","(np.float64(0.11809977590684614), np.float64(0.09817880221448624), np.float64(0.14769240542084058))","(np.float64(51.84475020104586), np.float64(153.4618356013903), np.float64(234.92187518335476))"
