episode,los_id,los_dist,los_qdr
1,"((2, 11),)","(np.float64(0.1391593989841967),)","(np.float64(175.03212089479757),)"
2,"((2, 11),)","(np.float64(0.14318383819440242),)","(np.float64(190.21446997987766),)"
3,"((1, 5), (3, 11), (7, 17), (2, 12))","(np.float64(0.14167405001827096), np.float64(0.12103174800121415), np.float64(0.14508552609647746), np.float64(0.1331923901349618))","(np.float64(-39.21045424511419), np.float64(249.91035335004074), np.float64(241.77815481815298), np.float64(240.50380824266944))"
4,"((0, 17), (4, 8), (7, 17), (9, 12), (8, 18))","(np.float64(0.10852429532407121), np.float64(0.12619918907833289), np.float64(0.11384906544846755), np.float64(0.1189860882906815), np.float64(0.13788129075627545))","(np.float64(24.95210720375053), np.float64(8.107279916882135), np.float64(-181.28506741440503), np.float64(-26.146577347588163), np.float64(74.83830268214922))"
5,"((2, 8), (11, 18), (3, 6), (6, 18), (2, 11), (5, 7), (0, 14), (2, 6))","(np.float64(0.14984901862414873), np.float64(0.12816826029734485), np.float64(0.10311732847505986), np.float64(0.1482023087641753), np.float64(0.13610651925208345), np.float64(0.14669652113170203), np.float64(0.14117753540506447), np.float64(0.12820871968452344))","(np.float64(192.57264551307938), np.float64(176.78657659875796), np.float64(-158.81309209403716), np.float64(182.6492395777533), np.float64(163.8071523433028), np.float64(196.48934464466782), np.float64(139.01537398540748), np.float64(234.11991650311285))"
6,"((0, 6), (0, 14), (6, 14))","(np.float64(0.11591135315741266), np.float64(0.09156080886110023), np.float64(0.05789613726924409))","(np.float64(-117.26689021445051), np.float64(119.86885712175436), np.float64(237.13580264931522))"
7,"((10, 18), (12, 15))","(np.float64(0.11790271832880787), np.float64(0.0844233018168267))","(np.float64(161.62119577659354), np.float64(-71.15826752108467))"
8,"((6, 19),)","(np.float64(0.08030151908649175),)","(np.float64(-214.63271547492872),)"
9,"((0, 15), (4, 18), (15, 18))","(np.float64(0.1303201344956704), np.float64(0.14948785458629837), np.float64(0.1473585175200884))","(np.float64(103.10393351766714), np.float64(159.77860893896906), np.float64(-15.277264469010504))"
10,"((12, 16), (0, 8))","(np.float64(0.1335073785433916), np.float64(0.14304752506193644))","(np.float64(-76.29179509855922), np.float64(214.51703309703095))"
11,"((0, 8),)","(np.float64(0.09616801294525394),)","(np.float64(246.8144271429594),)"
12,"((0, 11), (9, 19), (14, 19))","(np.float64(0.05985524921259065), np.float64(0.13499034061600926), np.float64(0.1396934362380233))","(np.float64(-104.60789614233596), np.float64(108.77427579077545), np.float64(-195.78861745502263))"
13,"((3, 10),)","(np.float64(0.14028975261892845),)","(np.float64(216.02673879997093),)"
14,"((2, 6), (0, 16))","(np.float64(0.1411775059377522), np.float64(0.1498890485804018))","(np.float64(20.186394266505744), np.float64(129.90357795999762))"
