episode,los_id,los_dist,los_qdr
1,"((3, 10), (4, 18), (9, 10), (9, 13), (10, 13))","(np.float64(0.13717245090245175), np.float64(0.11263428443089109), np.float64(0.08881764445243405), np.float64(0.05165950325675909), np.float64(0.04995952164955621))","(np.float64(234.57858767356527), np.float64(-228.34097515325539), np.float64(-1.3547325897511087), np.float64(-114.91115451914936), np.float64(201.44357807060175))"
3,"((11, 18), (14, 17))","(np.float64(0.14295867933970158), np.float64(0.14568172527623272))","(np.float64(-128.06616187818986), np.float64(26.963461691863586))"
4,"((5, 6), (14, 16))","(np.float64(0.08771906857083447), np.float64(0.11366494860379978))","(np.float64(253.60656897629377), np.float64(-112.68369489924933))"
5,"((11, 13), (3, 14), (8, 14))","(np.float64(0.1275203291891903), np.float64(0.12736671894196966), np.float64(0.13831102617221283))","(np.float64(215.23273732524507), np.float64(158.20688306712248), np.float64(204.02503033456998))"
6,"((0, 7), (0, 16))","(np.float64(0.08643898228275616), np.float64(0.12058208885780947))","(np.float64(-67.25076113654322), np.float64(85.16799074352625))"
7,"((1, 17), (1, 18), (6, 18), (8, 14), (12, 19), (8, 17))","(np.float64(0.11814811514658258), np.float64(0.14024283492357062), np.float64(0.13297652283708736), np.float64(0.1242772078053832), np.float64(0.14700119746390639), np.float64(0.0978415743465872))","(np.float64(98.39239146645042), np.float64(12.78716613200254), np.float64(12.483764822004161), np.float64(122.37210821449605), np.float64(-99.88330463652915), np.float64(219.7939636335666))"
8,"((3, 4), (3, 14), (4, 14), (9, 17), (14, 15), (1, 5))","(np.float64(0.1252307010099561), np.float64(0.10752339637964642), np.float64(0.09250557828181778), np.float64(0.14155125221487594), np.float64(0.12147380174575517), np.float64(0.1485321893300943))","(np.float64(-26.181039920025114), np.float64(165.2839515841933), np.float64(191.44728177216274), np.float64(-195.2905984123851), np.float64(-48.62688345767316), np.float64(-126.350348199971))"
9,"((14, 15), (5, 16), (0, 9))","(np.float64(0.14485549465753986), np.float64(0.1451371643742855), np.float64(0.13310308038671845))","(np.float64(-2.8326507945640174), np.float64(188.05245844974525), np.float64(-141.13266602356234))"
10,"((1, 16), (3, 12), (3, 18), (4, 5), (12, 15), (12, 18), (4, 14), (17, 18), (4, 13))","(np.float64(0.04896236670387877), np.float64(0.1314499109100738), np.float64(0.05189637909198452), np.float64(0.1443663171253372), np.float64(0.11490079669566779), np.float64(0.09305395733393271), np.float64(0.14301172980240304), np.float64(0.1434286300155898), np.float64(0.12806458087527664))","(np.float64(141.2009175454545), np.float64(-160.31930081391448), np.float64(-289.39863465742854), np.float64(304.41611022421944), np.float64(-5.149299690107512), np.float64(-129.07933384351406), np.float64(-51.81103964978519), np.float64(-82.37024882758095), np.float64(244.8841883929083))"
11,"((2, 12), (6, 9))","(np.float64(0.11207505473229842), np.float64(0.1466267046175149))","(np.float64(221.19309461074198), np.float64(-40.063933515485814))"
