episode,los_id,los_dist,los_qdr
0,"((1, 7), (15, 17))","(np.float64(0.06655524205481998), np.float64(0.14285018119164408))","(np.float64(-47.88246148365329), np.float64(-111.14521696230125))"
1,"((0, 9), (3, 7), (5, 18), (15, 16))","(np.float64(0.08369029269521715), np.float64(0.11643932301272622), np.float64(0.12918082552084226), np.float64(0.14662843724042948))","(np.float64(138.25954099259667), np.float64(134.20960547920964), np.float64(-121.01393868613674), np.float64(-12.2313719796295))"
2,"((6, 16), (12, 13), (1, 10))","(np.float64(0.12722343229356914), np.float64(0.023333064737977718), np.float64(0.11308789328572405))","(np.float64(-140.84892696535832), np.float64(-0.44613030861412994), np.float64(175.13038908995964))"
3,"((2, 9), (7, 8))","(np.float64(0.08167657515984787), np.float64(0.149732399067918))","(np.float64(155.59187984263838), np.float64(-40.13124223472201))"
4,"((3, 17), (5, 10), (7, 17))","(np.float64(0.10632966776024662), np.float64(0.10245397412464381), np.float64(0.14733260627011058))","(np.float64(-211.92595161508842), np.float64(216.59445438999956), np.float64(-89.07806435439237))"
6,"((2, 6), (4, 8), (6, 13), (0, 17))","(np.float64(0.07433882314133398), np.float64(0.02814052943998032), np.float64(0.14825460385641465), np.float64(0.14422522021500178))","(np.float64(35.71898439435313), np.float64(133.0590323861178), np.float64(131.44320492972392), np.float64(42.50639591430985))"
7,"((2, 5), (9, 10), (11, 13), (4, 5))","(np.float64(0.11458705109640296), np.float64(0.1110749317147296), np.float64(0.06594623047408803), np.float64(0.14711584519152307))","(np.float64(54.00254343711882), np.float64(12.646394815236519), np.float64(0.5708119597262851), np.float64(92.41204104715791))"
8,"((4, 10),)","(np.float64(0.08791340516176249),)","(np.float64(-103.04358515213676),)"
9,"((1, 7), (2, 19), (4, 15))","(np.float64(0.07902862933385103), np.float64(0.07560910480288102), np.float64(0.08735051056765543))","(np.float64(-137.48710778521473), np.float64(63.68587573857553), np.float64(182.10091670370548))"
10,"((4, 16), (7, 13), (14, 19), (4, 14), (9, 17), (4, 19), (2, 13), (17, 19))","(np.float64(0.12884597056545347), np.float64(0.0870211866097984), np.float64(0.03191406223861095), np.float64(0.13781559316891356), np.float64(0.13561776641134787), np.float64(0.1199712694288891), np.float64(0.10956914284239891), np.float64(0.12165317076882645))","(np.float64(150.60784020409665), np.float64(232.3930494092313), np.float64(-113.46217442906465), np.float64(-151.2145210242754), np.float64(-123.17841803983848), np.float64(-225.7135163414539), np.float64(198.1019077521207), np.float64(-269.16032342811))"
11,"((4, 15), (8, 12), (2, 3), (2, 4))","(np.float64(0.09283019355839343), np.float64(0.07194450210849124), np.float64(0.1353477657979387), np.float64(0.14635347164108498))","(np.float64(171.59316610261914), np.float64(308.7350457530991), np.float64(-40.407660831220994), np.float64(-7.95471082468174))"
12,"((2, 6), (4, 10), (2, 14), (3, 14), (9, 13), (4, 6), (6, 17))","(np.float64(0.1447558586292157), np.float64(0.12412003485009229), np.float64(0.13999080761097893), np.float64(0.13082366817846658), np.float64(0.14939685807758138), np.float64(0.13788344518367673), np.float64(0.13957190288935017))","(np.float64(-118.50994793965538), np.float64(-152.44753654919995), np.float64(177.30360439871785), np.float64(239.5638153409312), np.float64(299.03407951144095), np.float64(-228.07701078955236), np.float64(206.92553989333834))"
13,"((3, 12), (8, 17), (9, 14))","(np.float64(0.0580448546708144), np.float64(0.13242198472653494), np.float64(0.12673127111623525))","(np.float64(182.61330465972765), np.float64(208.12914376010656), np.float64(-65.5567778522557))"
14,"((0, 10), (11, 17))","(np.float64(0.055529087757215635), np.float64(0.10372121112842349))","(np.float64(177.5130858630913), np.float64(-175.75343574716527))"
15,"((11, 14), (12, 14), (12, 17), (1, 17), (1, 12), (1, 19))","(np.float64(0.10401409059987353), np.float64(0.06835662138050824), np.float64(0.13248980322938742), np.float64(0.10168452822601769), np.float64(0.1329341213425311), np.float64(0.1452265091005319))","(np.float64(-125.61439830088933), np.float64(28.577659041176318), np.float64(-117.59161990370933), np.float64(87.29980811544982), np.float64(-180.53309920731436), np.float64(33.73222261557578))"
16,"((0, 15), (2, 9), (5, 13), (15, 19), (5, 14), (10, 14))","(np.float64(0.11763636127768916), np.float64(0.08625949597129214), np.float64(0.07083331228324433), np.float64(0.11912929927252404), np.float64(0.12397439144736193), np.float64(0.13156688677081146))","(np.float64(84.07105805725986), np.float64(-105.71740258888559), np.float64(164.72989075924335), np.float64(-164.08660769302432), np.float64(263.61179357396634), np.float64(252.9465561087964))"
17,"((4, 16),)","(np.float64(0.09889703504121987),)","(np.float64(103.98632278101732),)"
18,"((3, 13),)","(np.float64(0.11274451868062575),)","(np.float64(156.49033896514072),)"
19,"((3, 18), (12, 13))","(np.float64(0.11160427873364505), np.float64(0.10631936222885785))","(np.float64(120.98702527282393), np.float64(341.8983858957992))"
20,"((4, 9), (4, 12), (4, 14), (9, 14), (12, 14), (5, 15), (14, 16), (12, 16))","(np.float64(0.06981758594587878), np.float64(0.10810410120394337), np.float64(0.08673901620220655), np.float64(0.13803095054401848), np.float64(0.08934215159492909), np.float64(0.13191268930802885), np.float64(0.13645542225404886), np.float64(0.14943572172405115))","(np.float64(-57.68186066148945), np.float64(195.4949803725895), np.float64(163.8529630241348), np.float64(221.53482368562425), np.float64(-42.833216564886555), np.float64(120.61167997706397), np.float64(-57.82690108347458), np.float64(-155.0421286875655))"
21,"((0, 6), (3, 7), (10, 16), (1, 14), (1, 17), (2, 17))","(np.float64(0.09660723717065793), np.float64(0.12943733892904574), np.float64(0.11267703340578755), np.float64(0.1483904614735894), np.float64(0.11173653904766007), np.float64(0.12090244014228443))","(np.float64(180.81873832492033), np.float64(-20.97613768402099), np.float64(-110.35404689038161), np.float64(132.0661568235242), np.float64(-136.2828035190584), np.float64(-103.04833623140563))"
22,"((4, 17),)","(np.float64(0.11943868485917425),)","(np.float64(61.20746644143776),)"
23,"((0, 14), (4, 10), (4, 12), (10, 12))","(np.float64(0.11510780119084056), np.float64(0.10461681212390628), np.float64(0.023935237015812075), np.float64(0.1450977739967495))","(np.float64(93.7668666634845), np.float64(-33.04372544009773), np.float64(-104.79890752178731), np.float64(-33.60354517711255))"
24,"((0, 16), (6, 18))","(np.float64(0.07583422859008666), np.float64(0.12213264977290647))","(np.float64(-4.993196829856544), np.float64(88.16748861886305))"
25,"((6, 8), (6, 16), (8, 16), (7, 17), (12, 17), (7, 13))","(np.float64(0.12940924028660158), np.float64(0.030660418223180025), np.float64(0.09880718655574004), np.float64(0.11664373677231883), np.float64(0.14010825851878994), np.float64(0.14763231675228883))","(np.float64(275.4837959645004), np.float64(197.8491489146848), np.float64(-77.63464704981563), np.float64(-152.09029800780465), np.float64(121.45455850887811), np.float64(-87.58065104984053))"
26,"((7, 17), (10, 11))","(np.float64(0.14508344040057525), np.float64(0.13841553051577474))","(np.float64(-124.78527888543714), np.float64(-25.387370731033087))"
27,"((4, 8), (6, 11), (12, 18))","(np.float64(0.03757174253801512), np.float64(0.1351725046202849), np.float64(0.1123110445351781))","(np.float64(192.49740682487186), np.float64(-39.56467884159292), np.float64(-103.78295296996477))"
28,"((2, 14), (7, 9), (7, 13), (8, 17), (14, 16))","(np.float64(0.13297245106934755), np.float64(0.13636400302334517), np.float64(0.11453816808896115), np.float64(0.07626080422501702), np.float64(0.12478340509328532))","(np.float64(-80.91843773795489), np.float64(-28.6053025364358), np.float64(-37.61086669000977), np.float64(129.91703983384173), np.float64(101.42664737158402))"
29,"((1, 18), (4, 9), (11, 12))","(np.float64(0.10813331797854596), np.float64(0.14599021430801465), np.float64(0.07851945710128642))","(np.float64(41.490893700918406), np.float64(196.62218659075148), np.float64(-18.862759562683323))"
30,"((4, 10), (11, 12))","(np.float64(0.08964319966517607), np.float64(0.08289987541372576))","(np.float64(314.24829343836257), np.float64(-6.140036864666303))"
31,"((2, 14), (3, 6))","(np.float64(0.11549080994576962), np.float64(0.04103432914529225))","(np.float64(137.49051712619794), np.float64(287.2589555425615))"
32,"((2, 4), (3, 17))","(np.float64(0.14473913344170927), np.float64(0.05112901718323753))","(np.float64(-4.04813839866469), np.float64(63.74941206632144))"
33,"((0, 9), (0, 15), (8, 16), (9, 15), (1, 12), (4, 19), (2, 8), (5, 8))","(np.float64(0.027942575817014703), np.float64(0.04981723809103688), np.float64(0.03404978838799164), np.float64(0.030481769967533087), np.float64(0.1463204451547173), np.float64(0.1424875751291443), np.float64(0.14971374454668335), np.float64(0.14820042508549763))","(np.float64(-70.04731838963431), np.float64(35.07208686337029), np.float64(64.83722257986858), np.float64(105.1194052530046), np.float64(122.5427456492159), np.float64(35.76962407945558), np.float64(32.36872767435466), np.float64(21.474635981867834))"
34,"((4, 16), (5, 19), (11, 13), (13, 19), (4, 17))","(np.float64(0.09992279748252073), np.float64(0.1102134417841359), np.float64(0.11408628439129101), np.float64(0.11620262517077973), np.float64(0.1381828553799233))","(np.float64(104.80728698732469), np.float64(119.90205309713195), np.float64(105.1274664112107), np.float64(-131.64739505516093), np.float64(-122.73983819204805))"
35,"((1, 2), (4, 9), (4, 18), (9, 18), (10, 13), (0, 4))","(np.float64(0.10636567343948414), np.float64(0.05437448716909511), np.float64(0.022728388038142738), np.float64(0.04862717003908462), np.float64(0.14365269136797923), np.float64(0.14322803657472702))","(np.float64(-37.62942224416929), np.float64(243.03417310206663), np.float64(-70.19676635672238), np.float64(5.046204641637232), np.float64(-6.008177890508094), np.float64(281.97821072487636))"
36,"((11, 13), (8, 13))","(np.float64(0.12604017274487106), np.float64(0.142400685602676))","(np.float64(281.5937062163573), np.float64(285.05665554777084))"
37,"((1, 3), (6, 8), (0, 8))","(np.float64(0.13482582876699056), np.float64(0.10378216435448279), np.float64(0.14636319176179993))","(np.float64(-7.816982141379526), np.float64(-15.180100891657162), np.float64(160.50480287343132))"
38,"((13, 19),)","(np.float64(0.10180709995171833),)","(np.float64(-114.90553036893654),)"
39,"((0, 5), (5, 11), (6, 14), (10, 15), (11, 16), (1, 10))","(np.float64(0.11937826780785125), np.float64(0.13003856528964017), np.float64(0.08820605780180403), np.float64(0.07339578097838742), np.float64(0.1357322923667924), np.float64(0.1363637259936727))","(np.float64(11.287295716748247), np.float64(128.68642759920635), np.float64(44.4553941055357), np.float64(-90.70078653027353), np.float64(-27.71378374367778), np.float64(-77.92186501935623))"
41,"((2, 11),)","(np.float64(0.13875389152728218),)","(np.float64(214.53788219813805),)"
42,"((3, 10), (4, 6), (5, 15), (6, 17), (4, 7), (0, 11), (4, 14))","(np.float64(0.1434337826521426), np.float64(0.14892164974870772), np.float64(0.14212829383130177), np.float64(0.09395559597798275), np.float64(0.10281314150818463), np.float64(0.1342000969778794), np.float64(0.11854851903279831))","(np.float64(280.4293904272428), np.float64(-37.039646559777566), np.float64(-66.30370547693332), np.float64(1.7266990095695292), np.float64(256.8781666513029), np.float64(165.39182540160664), np.float64(86.21415102757956))"
43,"((3, 15), (7, 17), (8, 11), (10, 11))","(np.float64(0.09889568077684702), np.float64(0.1255639063903848), np.float64(0.12670741500173138), np.float64(0.14953666848525368))","(np.float64(151.79354544987893), np.float64(148.53959034014076), np.float64(-30.673713003323762), np.float64(-26.175411298670696))"
44,"((2, 10), (4, 13), (5, 17))","(np.float64(0.11422939916757183), np.float64(0.13503047665318876), np.float64(0.062376256899462114))","(np.float64(-58.174824876022086), np.float64(-151.07550950637335), np.float64(-211.77832122650926))"
45,"((5, 11), (7, 14), (8, 19), (12, 15))","(np.float64(0.053754600610844236), np.float64(0.1361320222452915), np.float64(0.10289524388374553), np.float64(0.14487885174442625))","(np.float64(-116.52909680921285), np.float64(-111.7783274440104), np.float64(-244.28272636113638), np.float64(18.174509639513644))"
46,"((1, 14),)","(np.float64(0.1011385995900327),)","(np.float64(126.84148812643176),)"
47,"((4, 13), (11, 18))","(np.float64(0.03920711693082022), np.float64(0.10121537346052277))","(np.float64(-100.9625580679858), np.float64(-178.91624468342656))"
48,"((4, 19), (11, 16))","(np.float64(0.1431442320228776), np.float64(0.07845292710526937))","(np.float64(-172.35902679683466), np.float64(-58.72229342245032))"
51,"((5, 9), (6, 17))","(np.float64(0.09583493593817151), np.float64(0.1495003744821876))","(np.float64(321.1085628991037), np.float64(137.34497835157995))"
