episode,los_id,los_dist,los_qdr
0,"((2, 14), (10, 14))","(np.float64(0.07663141355545033), np.float64(0.10640879563369157))","(np.float64(177.17760319283366), np.float64(39.8912702169676))"
1,"((1, 7), (2, 17), (1, 17), (2, 15))","(np.float64(0.11781118761641327), np.float64(0.02421284775427465), np.float64(0.11086697033788313), np.float64(0.1387924401004184))","(np.float64(-93.34722309739158), np.float64(7.379395604639626), np.float64(5.891852256163361), np.float64(153.75747469568927))"
2,"((1, 6),)","(np.float64(0.0465025871399772),)","(np.float64(-109.23060472972946),)"
3,"((15, 17), (10, 18), (13, 15))","(np.float64(0.12082753697113852), np.float64(0.1435141741692545), np.float64(0.14763198371296027))","(np.float64(-25.8161444773865), np.float64(-170.73889879059277), np.float64(-23.914309954612307))"
4,"((5, 11), (8, 10))","(np.float64(0.1444734048195698), np.float64(0.14151171490667042))","(np.float64(-87.11614767034608), np.float64(-44.30885740598357))"
5,"((8, 10), (8, 15), (10, 15))","(np.float64(0.1253901881201968), np.float64(0.09178978564929899), np.float64(0.129959706969583))","(np.float64(-9.790848738265453), np.float64(45.130689944592405), np.float64(150.86234049704132))"
6,"((2, 7), (2, 8), (5, 14), (7, 8))","(np.float64(0.14569691425842185), np.float64(0.08606962981970778), np.float64(0.03138082598268566), np.float64(0.0518427035102391))","(np.float64(-91.15749216447975), np.float64(-93.5838651307674), np.float64(271.59309655268925), np.float64(35.02008370671052))"
7,"((3, 14), (5, 6), (7, 13), (11, 16), (3, 8))","(np.float64(0.09473806545938261), np.float64(0.09979151791958282), np.float64(0.13393882313405944), np.float64(0.098704333237697), np.float64(0.13331642707365193))","(np.float64(-193.27279423319777), np.float64(-22.79219514220661), np.float64(-70.052154210419), np.float64(-96.80471086790874), np.float64(-118.4287589264168))"
8,"((3, 12), (3, 13), (12, 13))","(np.float64(0.08670251886853016), np.float64(0.046439717124755406), np.float64(0.12639480355072608))","(np.float64(269.4662004218907), np.float64(28.273401284680517), np.float64(-241.19279913721016))"
10,"((13, 18), (4, 7))","(np.float64(0.11617416235740019), np.float64(0.14988762846895576))","(np.float64(-57.36800261704278), np.float64(-19.19008303317016))"
12,"((9, 18), (3, 14))","(np.float64(0.10039518828654122), np.float64(0.13009976785846827))","(np.float64(186.78329184125482), np.float64(163.14017276003204))"
13,"((3, 11), (5, 8), (10, 19), (10, 15))","(np.float64(0.10422148385567323), np.float64(0.1335314520447931), np.float64(0.11054144310093882), np.float64(0.12344713353985871))","(np.float64(-90.59733929213945), np.float64(-35.399704549244404), np.float64(147.42684241757797), np.float64(-81.10114613158052))"
14,"((3, 19), (11, 14))","(np.float64(0.12053731716296182), np.float64(0.09196757151216632))","(np.float64(62.930166253528654), np.float64(323.5230153449284))"
15,"((8, 10), (4, 17))","(np.float64(0.1405260161090997), np.float64(0.12289278617333066))","(np.float64(-39.65732806454922), np.float64(151.99198163096443))"
16,"((0, 4), (6, 18), (10, 16), (13, 17), (15, 17))","(np.float64(0.11291630541358448), np.float64(0.05313272241121848), np.float64(0.12399521421074558), np.float64(0.004895850930204427), np.float64(0.12963097911558627))","(np.float64(-92.56620727389075), np.float64(81.73678868413346), np.float64(15.667742818989723), np.float64(26.48840015632902), np.float64(159.44074741692003))"
17,"((3, 8), (5, 7), (5, 19), (7, 19), (8, 16), (9, 16))","(np.float64(0.1455887439315765), np.float64(0.08290629734053688), np.float64(0.008782219024085963), np.float64(0.12387259337272191), np.float64(0.12183026671657093), np.float64(0.11033832046006106))","(np.float64(-59.849921616873246), np.float64(-59.632606047999445), np.float64(-113.91596025241896), np.float64(-54.28335420441945), np.float64(206.85602356087458), np.float64(-43.59830740936512))"
18,"((1, 18), (6, 11), (7, 15))","(np.float64(0.05181791794840124), np.float64(0.08063225254460865), np.float64(0.11139630259078959))","(np.float64(31.857679227734707), np.float64(290.2683502830174), np.float64(-151.9413358530535))"
19,"((2, 10), (2, 12), (11, 12))","(np.float64(0.11150132307397195), np.float64(0.10147522912155632), np.float64(0.02609011173204231))","(np.float64(238.8037185121119), np.float64(207.9120239302789), np.float64(-104.62498074052706))"
20,"((7, 12), (15, 17), (9, 14))","(np.float64(0.03658106924416813), np.float64(0.058610376825517604), np.float64(0.14989768329798833))","(np.float64(-23.73563572405898), np.float64(34.60707281871055), np.float64(-6.934946059141396))"
21,"((2, 10), (4, 8), (5, 11), (7, 14), (9, 16), (13, 15), (2, 6), (9, 12), (5, 9), (2, 7), (13, 18))","(np.float64(0.022509050052530434), np.float64(0.1211496458893196), np.float64(0.05369645413464347), np.float64(0.14693435320329884), np.float64(0.10535006614325602), np.float64(0.10218369765125883), np.float64(0.05550901699243017), np.float64(0.13726809644950952), np.float64(0.14481817119208468), np.float64(0.02663038086836443), np.float64(0.14639673637020004))","(np.float64(109.84977478815959), np.float64(186.79667399194346), np.float64(20.20777740248633), np.float64(-67.79611227674053), np.float64(-98.69757209342725), np.float64(-10.660448939095659), np.float64(-164.2556222614335), np.float64(-9.540754529672341), np.float64(126.16081245039537), np.float64(329.8743626533634), np.float64(-113.54943472085856))"
22,"((2, 10), (4, 11), (18, 19))","(np.float64(0.12274235264981859), np.float64(0.0992293235687652), np.float64(0.05158340467997498))","(np.float64(-24.11184000260448), np.float64(-88.41319542761993), np.float64(0.16062815812484033))"
23,"((8, 14),)","(np.float64(0.11288945973697011),)","(np.float64(-30.41622734804487),)"
24,"((0, 16), (6, 10), (13, 19), (3, 6))","(np.float64(0.14267917769063285), np.float64(0.04129121410656867), np.float64(0.1195240546930332), np.float64(0.14917506704154493))","(np.float64(65.74486642980992), np.float64(-25.934353541382123), np.float64(-121.25710430756953), np.float64(5.82229524926775))"
25,"((3, 14), (9, 17), (7, 14), (9, 19))","(np.float64(0.04508556948888415), np.float64(0.05401649618430672), np.float64(0.1421218419085875), np.float64(0.1379512804741626))","(np.float64(183.38419693555716), np.float64(143.52180578607556), np.float64(-40.53904545265147), np.float64(-161.38765680082213))"
26,"((12, 18),)","(np.float64(0.10768443296143947),)","(np.float64(-229.8335300712887),)"
27,"((1, 17), (6, 7), (8, 11))","(np.float64(0.04421133528206043), np.float64(0.13476531435811231), np.float64(0.12848108659047888))","(np.float64(42.06213531450075), np.float64(293.0232241263458), np.float64(-57.95718278547689))"
