episode,los_id,los_dist,los_qdr
0,"((1, 9),)","(np.float64(0.02768723514846083),)","(np.float64(218.73071788537231),)"
1,"((6, 14), (10, 13))","(np.float64(0.05824142071474573), np.float64(0.09545837726743549))","(np.float64(147.6100100654657), np.float64(265.1919607737927))"
2,"((3, 19), (10, 15))","(np.float64(0.14198893723756303), np.float64(0.10171814115099641))","(np.float64(100.6325606542074), np.float64(-83.22252480006597))"
3,"((5, 14),)","(np.float64(0.1277677537316188),)","(np.float64(-147.8825807029177),)"
4,"((0, 8), (0, 9), (2, 12), (5, 13), (8, 9), (10, 16), (5, 10))","(np.float64(0.10306653957560731), np.float64(0.13903176132535802), np.float64(0.08770053318257016), np.float64(0.1123252776000701), np.float64(0.06188670651771716), np.float64(0.1456206180953877), np.float64(0.14133616505301386))","(np.float64(204.93331894435835), np.float64(-121.23431698882035), np.float64(225.13993418118076), np.float64(243.51473341897025), np.float64(-326.1676359331787), np.float64(-121.31203674804414), np.float64(324.50855943420726))"
5,"((1, 13), (3, 6), (4, 17))","(np.float64(0.13046721332299524), np.float64(0.13157330440419204), np.float64(0.12928374625169706))","(np.float64(165.01273937185607), np.float64(-2.29051971945222), np.float64(105.95730456305375))"
6,"((1, 17), (8, 19), (8, 10))","(np.float64(0.11448722572519135), np.float64(0.1475494952040762), np.float64(0.1368342042296084))","(np.float64(100.16668021357918), np.float64(-107.53857156920583), np.float64(165.28163959460795))"
7,"((11, 18),)","(np.float64(0.14772490330534294),)","(np.float64(-241.72461835234208),)"
8,"((8, 12), (8, 16), (7, 17))","(np.float64(0.049546834419618546), np.float64(0.1280433244536245), np.float64(0.14438289820993777))","(np.float64(260.97249220076856), np.float64(186.9936970737441), np.float64(199.73137595508268))"
9,"((0, 3), (2, 14), (2, 17), (4, 16))","(np.float64(0.10521993336673277), np.float64(0.14002878640002608), np.float64(0.13450864820306652), np.float64(0.122731578184529))","(np.float64(74.52342844309752), np.float64(106.5951545506237), np.float64(-18.112673117386862), np.float64(-134.8001539652302))"
