episode,los_id,los_dist,los_qdr
0,"((7, 9),)","(np.float64(0.1359085166332134),)","(np.float64(-319.77351488028665),)"
1,"((6, 19),)","(np.float64(0.09274419987543053),)","(np.float64(185.9986708018725),)"
2,"((2, 9), (6, 7))","(np.float64(0.03951822786329527), np.float64(0.10631168240377967))","(np.float64(226.58046332364682), np.float64(10.925688682362193))"
3,"((5, 10),)","(np.float64(0.14746475724131106),)","(np.float64(-111.73057818381756),)"
4,"((3, 14), (3, 17))","(np.float64(0.05546277207456826), np.float64(0.12076486689241636))","(np.float64(186.09295986874452), np.float64(113.79825958221613))"
5,"((1, 5),)","(np.float64(0.13827503340139072),)","(np.float64(-56.33209502075567),)"
6,"((15, 17), (0, 17))","(np.float64(0.12241244583974357), np.float64(0.1442558077969928))","(np.float64(-12.24789736681032), np.float64(-166.72498936341685))"
7,"((0, 8), (5, 17))","(np.float64(0.09504435129758686), np.float64(0.11782287774952725))","(np.float64(150.71242844810502), np.float64(195.70995867052721))"
8,"((5, 10), (17, 19))","(np.float64(0.13735700757403868), np.float64(0.10032198255909985))","(np.float64(-135.46018627045368), np.float64(41.91292419994642))"
10,"((5, 11),)","(np.float64(0.12901777982303742),)","(np.float64(191.90615632783806),)"
12,"((2, 11), (5, 11))","(np.float64(0.1456431667527234), np.float64(0.0986631510234542))","(np.float64(138.770950929234), np.float64(117.96518778587625))"
16,"((6, 11), (13, 19), (10, 19))","(np.float64(0.09616458714326777), np.float64(0.12818827649296938), np.float64(0.13798795748721807))","(np.float64(-59.98657557943204), np.float64(65.69165386484428), np.float64(136.22880784337963))"
17,"((7, 12), (7, 18))","(np.float64(0.11099758778892602), np.float64(0.14567157430474986))","(np.float64(282.84282521514723), np.float64(107.26172001211444))"
20,"((0, 9),)","(np.float64(0.13787922836361005),)","(np.float64(185.46945153133203),)"
21,"((3, 9),)","(np.float64(0.1486281609488187),)","(np.float64(-73.68179791795922),)"
23,"((4, 5), (4, 6), (5, 6), (11, 15), (2, 13))","(np.float64(0.06213772679908923), np.float64(0.07366335851920267), np.float64(0.06361561356466118), np.float64(0.12718341414538853), np.float64(0.1226809458170132))","(np.float64(98.23692031444031), np.float64(143.32371402141632), np.float64(45.08679370697601), np.float64(11.49690775932504), np.float64(161.58415791315957))"
24,"((4, 8), (4, 13), (6, 15), (11, 14), (0, 15), (8, 18))","(np.float64(0.14071653009774954), np.float64(0.13438507593464838), np.float64(0.06500943815506117), np.float64(0.10902217156707762), np.float64(0.12044964806739915), np.float64(0.14605118361380431))","(np.float64(193.65413926081942), np.float64(174.29375328021644), np.float64(220.25650000888055), np.float64(-7.077669425112049), np.float64(89.89122709581403), np.float64(-146.37370879283367))"
25,"((1, 5), (1, 13), (12, 16))","(np.float64(0.03198219663286642), np.float64(0.11815546482338093), np.float64(0.14597579338876834))","(np.float64(-24.784996351338975), np.float64(-110.33436942806702), np.float64(-220.24295387892954))"
26,"((3, 8), (11, 17), (4, 5))","(np.float64(0.09767889081222392), np.float64(0.10310606209009539), np.float64(0.11303283676004577))","(np.float64(177.5527813967513), np.float64(-144.57199546121012), np.float64(167.13095869566098))"
27,"((9, 10), (9, 16), (10, 16), (13, 17))","(np.float64(0.07807105454028368), np.float64(0.13310574245468468), np.float64(0.11735106473112616), np.float64(0.14833720741636558))","(np.float64(44.89804143732306), np.float64(-51.902395988060846), np.float64(-96.8004374253839), np.float64(231.8544910713086))"
28,"((7, 11), (16, 19), (1, 10), (5, 16))","(np.float64(0.1160103212015405), np.float64(0.07680789996999077), np.float64(0.14619117081024066), np.float64(0.1378751987319515))","(np.float64(276.7961170854342), np.float64(-85.70151388773732), np.float64(229.30802153654292), np.float64(-40.992114359487005))"
29,"((3, 5), (0, 11), (4, 7), (4, 8))","(np.float64(0.06641118749235271), np.float64(0.09645653151938557), np.float64(0.13735796366988154), np.float64(0.12659688718130824))","(np.float64(-82.47029179497963), np.float64(182.70128842586837), np.float64(-26.810377529219352), np.float64(188.59297713076484))"
30,"((0, 12),)","(np.float64(0.1420859950576803),)","(np.float64(165.38270305251524),)"
31,"((8, 12),)","(np.float64(0.09855617811682324),)","(np.float64(-95.57467897235142),)"
32,"((1, 2), (8, 16), (2, 12), (12, 19), (1, 3))","(np.float64(0.11040464818597834), np.float64(0.08225324294399784), np.float64(0.1300779839999188), np.float64(0.10763758156566564), np.float64(0.09074594146616399))","(np.float64(29.876107596963976), np.float64(277.82019658017094), np.float64(214.71725186927102), np.float64(-113.91048677983912), np.float64(84.46842383484437))"
33,"((3, 13),)","(np.float64(0.1481467419420318),)","(np.float64(180.01051222698527),)"
34,"((6, 12), (8, 15))","(np.float64(0.023030788777644185), np.float64(0.13406079429444503))","(np.float64(-85.38999472892579), np.float64(23.12635471863564))"
35,"((0, 4), (0, 16))","(np.float64(0.046390356014038306), np.float64(0.13973226624645146))","(np.float64(6.540501788452019), np.float64(43.45527856717112))"
