episode,tot_reward,tot_intrusions,tot_drift,hdg_in,spd_in
0,-20.852677650618045,12,0.029313502154364436,-0.005123919850856757,-2.647293238772314
1,-15.623197934531719,6,0.03186489382295276,0.0010413390931994068,-3.0855585781417925
2,-31.33449056768573,16,0.05077645883339635,-0.007495891478140869,-2.2700274999904337
3,-14.63805025834168,4,0.03854366035631041,-0.0042041961506913425,-2.907179230055097
4,-19.36114101617956,6,0.04639285075062348,-0.11377052663059052,-2.4781567077855673
5,-24.384315795796088,12,0.04100766819800015,0.002823790649433207,-3.0073509383309873
6,-19.16261369725423,10,0.031814630893243906,-0.0006739545835039786,-2.5508065433739424
7,-14.067014200453174,2,0.03995700066375204,-0.0008897248695647677,-2.7776314468897065
8,-16.094176448947564,6,0.03342442532764097,-0.007408499078121998,-2.6463157177740855
9,-23.59947686782209,12,0.038408863800735764,-0.002665679397436155,-2.806514331662414
10,-18.64200317201578,8,0.03523842109939003,-0.001527681257359881,-2.7608731948001934
11,-32.81635653425385,20,0.05167885699295924,0.0011739510472492136,-2.545669216417422
12,-48.60443616650432,34,0.04835906015398827,-0.000518108089454472,-2.6305441032882335
13,-16.977819684535138,8,0.029727879750116322,-0.00586481575456306,-2.8013088552213414
14,-27.156078914735865,16,0.03694065865806573,-0.0026129588581905363,-3.2439067808921997
15,-70.46808591065039,20,0.16711286725380964,0.07171254567555245,-2.793367177801128
16,-37.665946989087814,8,0.09823161254664826,0.10980327467754829,-2.769833579395014
17,-8.877413690344369,0,0.03414389880901686,-0.00519504660453934,-2.5886848378918454
18,-10.553875403999053,4,0.02580265907086244,-0.0005234278106005995,-2.743528965135347
19,-10.649928590536977,4,0.028418498250158006,-0.005707536479726863,-2.581475948264216
20,-19.280221346849533,8,0.03735172631407136,-0.0015432650992794838,-2.814659126250641
21,-37.241520750827426,24,0.045039186227304163,-0.0023217511992128627,-2.827748378971433
22,-26.397116330002483,18,0.027805020960273125,0.0042393871859627286,-2.6545934891328216
23,-24.720598486815085,8,0.0553662201550166,-0.24311472688221822,-2.6799261498500884
24,-19.00139523795322,10,0.03383983172162872,-0.0014355694115357964,-2.5700384615631635
25,-23.44871090582048,12,0.03790963876099501,-0.006253386144248757,-2.8708401558523406
26,-5.779944750356931,0,0.02651350802916018,-0.0019083282631531427,-2.713046947662471
27,-27.86884385762457,14,0.04592332403186927,-0.0003019820239983918,-2.3259239756128296
28,-24.423217077949143,14,0.03451396383426857,-0.004319550758628606,-2.8111879569470624
29,-37.932427873420195,22,0.05275638368682112,-0.05157633749128239,-2.6736481395010014
30,-20.157131425790357,14,0.03310285712790509,-0.0015201940832118834,-2.475797824182558
31,-14.499149741885216,4,0.03620396462719027,-0.004948305692202572,-2.7097090633394165
32,-9.860773171580055,2,0.026029050237019985,-0.0021991342215163523,-2.5827511834071655
33,-47.930370164139376,16,0.10572970253026262,0.7387029701908618,-2.9533873807663555
34,-14.436495131960086,4,0.03455793090053011,0.002319662191053939,-2.417806667448114
35,-14.088848713317436,4,0.03340678381893199,0.0005781753839838584,-2.3613656415885265
36,-20.64566288924299,8,0.04187305592464558,0.08350071759512093,-2.704942931914517
37,-39.433347899680534,28,0.051969763180365836,-0.004378534540407021,-2.7951977892871946
38,-22.843276858734196,14,0.0292823737044176,-0.005570254336567658,-3.037813296246293
39,-8.967406112173101,0,0.02969339772242756,-0.004111854518325814,-3.458318612952054
40,-16.846006440424674,4,0.0583909383655667,0.0036617247336967426,-2.815897502516269
41,-21.02104478355502,8,0.04311604232965237,-0.0012328883435651166,-2.5882958480096825
42,-22.031263108584206,12,0.033216103008556895,-0.0031850480289500674,-2.1031696708775773
43,-11.163193437906346,2,0.03034170012551769,-0.001642368967773621,-2.8256047312096255
44,-11.383817082767091,2,0.0335136324384539,-0.0025943933643533717,-2.557981018520825
45,-22.57385772546346,10,0.04163529048166705,-0.0029776369586173718,-2.6534803173234933
46,-14.389707353102255,4,0.03440300448047108,-0.004619829587959099,-2.807228679956085
47,-19.837280149974838,10,0.03257377533104272,-0.005359567469467767,-3.231908017010193
48,-13.285698407618893,4,0.03074734572059248,-6.766990875664926e-05,-2.321879840894781
49,-10.583970188992708,2,0.028423742347658053,-0.003326036460506452,-2.4841240807111062
50,-31.29855481097715,12,0.06390249937409663,0.2736597638710407,-1.6907018045888633
51,-11.24799879880842,2,0.0314557782272394,-0.0038887196133344046,-2.5697712422194923
52,-10.973054735701565,0,0.03633461833013755,-0.004892419583537301,-2.6745748634470954
53,-12.668651288109643,4,0.029485208462957796,0.000686912411082612,-2.3094458827549325
54,-9.209564860797899,0,0.030495247883436702,0.00033829776517775475,-2.646457742474856
55,-35.423537723281534,6,0.09742893285854815,0.5204434376081994,-2.7725138601945676
56,-26.99712786045998,8,0.0629043968889403,-0.05813436608727627,-2.116127959867039
57,-67.80292221248754,14,0.17815537156452815,0.43569282989714614,-2.98510928127301
58,-26.417550016802405,18,0.03072098546278215,-0.0009164888270702349,-2.698367247852177
59,-10.886268331319059,2,0.02942472957390423,-0.004809424031174291,-2.6384655292807393
60,-13.973879167248262,2,0.039648606514067056,-0.0009135278966432031,-3.1462963503903776
61,-11.427234896649948,2,0.031216009591556244,-0.00607207271699109,-2.5328029014336697
62,-7.191748536371126,0,0.028092767720199686,-0.003456822922998981,-2.9942810354321407
63,-19.23717972924831,8,0.03720920440148448,0.0006555058213185198,-2.417359903543441
64,-22.269644550829756,12,0.03400544553254882,-0.0017907084679363652,-2.223248482553253
65,-20.32439286675117,8,0.04080924790314931,-0.0030049423602354153,-2.3597831936565457
66,-25.35735798890804,4,0.08278045732134894,-0.09392877675767973,-2.08893192929528
67,-29.11072122745647,10,0.0632805338657499,-0.0014615281830412268,-3.2827170077170127
68,-18.306304426518846,8,0.03412683584940007,0.00010555019779115397,-2.6764322336646726
69,-21.229817309603618,12,0.03272984861561595,-0.005789914346095306,-2.785258623268389
70,-24.819767063639937,16,0.037057844805209704,0.0003711045162063562,-1.8205726897195296
71,-27.086955429820875,6,0.06982435572788381,0.4412373218247482,-2.3229154548526814
72,-8.53173693042552,0,0.02825078453783287,-0.0008838175277885617,-3.315190637838373
73,-13.24802841112251,2,0.037245127189147444,0.001912237615216622,-2.8976099004729137
74,-12.333260781632744,4,0.02759357874712826,-0.0016965968057895634,-2.19441513281442
75,-18.436244655448014,2,0.05442465117698008,-0.10243815401328468,-2.858249562630115
76,-12.595226711399036,4,0.028461015600658928,-0.002829766054699407,-2.5840472266487375
77,-11.772260031479997,2,0.03673781966721803,-0.008171461439950574,-2.964054367459761
78,-49.73790767084566,14,0.11833744261869461,0.5703581719025538,-2.4249406731789254
79,-23.11280764790355,14,0.03142347464794314,-0.0025493701634093607,-2.4369243340070583
80,-15.640172864582262,6,0.031921102200603485,-0.0030241654433359375,-2.7197608942876026
81,-8.015621978295952,2,0.027594596230715373,-0.00452438545682459,-2.9206628340656375
82,-29.055201439362897,10,0.06309669350782418,0.2990957339684747,-2.589542419473804
83,-9.353364221817676,0,0.03097140470800544,-0.00011076664306155548,-2.352354247710785
84,-16.695304452890912,6,0.035414915406923424,-0.0035631878389390985,-2.676074735348281
85,-30.433716887692604,20,0.03726327459890207,0.0009477135011028233,-2.1601853363634977
86,-13.580689295764051,4,0.031724136740940684,-0.001409867566020308,-1.668236883330704
87,-7.751090229953069,0,0.025665861688586315,0.0006735921050622344,-2.9364562014962234
88,-7.623316478914856,0,0.025242769797731355,-0.00438396036779101,-2.1887843517398475
89,-35.96155849135152,14,0.0727203923554685,-0.005554332976099967,-3.215323697314239
90,-19.956880597325462,8,0.0395923198586936,-0.0007148532403497309,-2.8592106050112447
91,-19.710804501880425,10,0.03215498179430577,-0.004955553354553582,-2.661949960934615
92,-9.723340165496584,2,0.03272601765040929,-0.0010912535266686325,-2.4791969188914234
93,-11.290868767882973,2,0.030764466118817762,-0.0032680576975478185,-2.701084805173963
94,-10.522650050910215,2,0.028220695532815282,-0.004809343376018058,-3.025938336850554
95,-35.731201682965285,20,0.0520900717978986,-0.004365781960786869,-2.4296112966191004
96,-23.10553427212783,12,0.03677329229181427,-0.003964063188906093,-3.1570119293815218
97,-22.791337077526737,4,0.06908579807914259,-0.45013422061627567,-2.318594718198566
98,-17.87022206074881,8,0.049849606367418156,-0.005194620371001274,-2.2060790095734646
99,-6.544372613462709,0,0.024060193431848217,2.6225211331620813e-05,-2.480837418419747
100,-15.43264010593005,6,0.03123390763553004,-0.0032961814946476493,-2.362594250125027
101,-40.650020792094274,28,0.04244973420165806,-0.0017030734287562387,-2.146316730562557
102,-18.93738238984918,8,0.03621649797963318,-0.0017150993812027455,-2.8415246318705036
103,-23.19233669575343,2,0.0701733003170645,-0.4384840442117501,-2.3856641211669154
104,-31.585954121778887,18,0.044986603052247956,-0.0036327144149567512,-2.2031940318420853
105,-26.29382077417743,8,0.060575565477408666,0.3252219307191658,-2.3311771272023636
106,-7.436960000072635,0,0.027958496240874563,-0.0032065272149174734,-2.2732882653257573
107,-11.811592016211113,2,0.03248871528546718,-0.002207310485271182,-2.7728937637702322
108,-14.831095371120846,6,0.02924203765271817,-0.0028198749494634024,-2.928345614026874
109,-25.64650080532482,2,0.07829967154081052,0.20219632992717523,-3.0384803182418483
110,-11.480465662461903,2,0.03139227040550293,-0.0044992651155107465,-3.231937240187344
111,-17.824316845601388,8,0.03253085048212363,-0.003800086088059162,-2.6159496073054447
112,-19.189671232258736,10,0.0304293749412543,-0.006885957893058165,-2.8779726705538566
113,-53.1223598348387,4,0.16265682064516157,0.4115178958850331,-2.816319073434142
114,-10.980782671399794,4,0.028377165330893496,-0.007896953558443281,-2.43408075476119
115,-8.960714484946568,0,0.02967124001637936,-0.004552754364747382,-3.2131756523223163
116,-22.272500658560034,12,0.03424166886186678,-0.0030281077573696773,-2.349682706224189
117,-24.95838454068663,12,0.04290855808174379,-0.0007314125657241964,-2.193290912541592
118,-38.09021342880424,8,0.09963646830729878,0.7974977659739998,-2.8752800615225294
119,-25.491184768628763,4,0.07116286347228065,0.10998699535979636,-2.7808312862901796
120,-29.932195677922376,10,0.06600064794014031,0.21544137186407797,-2.3924374718007027
121,-12.675387017629998,6,0.03337693508814994,-0.006774320345371961,-2.5600794920884073
122,-14.656183092018358,6,0.028662857920590718,-0.002440070768892272,-2.7584239941702693
123,-7.753620364407244,0,0.03151878196913514,-0.0024876730482480147,-2.3492493148866616
124,-14.491837105148875,6,0.028118665911089226,0.00040815400656633426,-2.9138030032180127
125,-9.663563454840684,0,0.031998554486227467,-0.004075059093093956,-2.623550049924455
126,-14.60786881884537,0,0.04837042655246813,0.098403090161128,-2.4825442547270016
