episode,tot_reward,tot_intrusions,tot_drift
0,-10.17516738991847,6,0.013825057582511588
1,-27.54469575979255,22,0.018359919734412443
2,-33.60202457209889,30,0.012006748573662875
3,-127.98763847959934,100,0.09267429960132258
4,-104.9641092093268,98,0.02305996426929435
5,-276.4745281962436,226,0.16713419932530985
6,-12.122282527748752,8,0.015977839254840084
7,-20.726563732349547,14,0.022273389842217235
8,-35.87626282009548,30,0.02623331616114013
9,-102.83940336293679,96,0.024780446967163732
10,-57.021551156951084,10,0.1557005005197054
11,-53.797907223196376,16,0.12515863318939202
12,-8.28532670618664,4,0.014189823530419414
13,-73.47968713700284,60,0.04814173977501021
14,-103.56293953034971,98,0.018420329570693734
15,-78.2549483716066,70,0.04535685918465237
16,-32.12253506350964,8,0.10308775668166523
17,-31.80492660074788,16,0.05412646096146532
18,-3.9240730286901777,0,0.012993619300298628
19,-109.28317259693338,104,0.017493948996468524
20,-29.107800511637294,22,0.023535763283567098
21,-35.742888531480766,26,0.03247629510493619
22,-23.07093232644611,18,0.016791166643861287
23,-31.761862395833703,22,0.03232404766832362
24,-3.5697584449018405,0,0.011820392201661714
25,-15.895946732028719,12,0.012900485867644772
26,-40.75661157923484,34,0.02237288602395675
27,-84.6825216883801,24,0.2064031349944902
28,-113.57744171853511,106,0.0250908666176665
29,-77.74319235414293,14,0.22765425840765333
30,-41.31986033811457,36,0.019558310066597532
31,-62.608577605528566,58,0.01526019074678313
32,-51.02109912283569,44,0.023248672592170564
33,-338.71456716132644,332,0.022233666097108123
34,-10.405413472058175,6,0.014587461828007254
35,-38.760224147827415,34,0.01576233161532264
36,-75.27934726420158,58,0.06215592541079747
37,-42.54560732873602,34,0.028296713009059705
38,-38.14219092801272,34,0.013715864000042044
39,-62.99260463223456,58,0.02269365741924783
40,-24.241399590258865,18,0.02066688606046023
41,-36.35968520302064,32,0.01513779584382152
42,-127.35915805692336,120,0.024368073036169738
43,-22.40118179006118,18,0.014573449635964424
44,-32.54590869751383,28,0.017219351126946253
45,-11.515003189420982,4,0.02846592117204921
46,-25.934524309133675,4,0.07263087519580684
47,-16.137280379910283,12,0.013699603906987587
48,-26.028888800299924,20,0.019963207948012943
49,-6.215384454238719,2,0.013958226669664684
50,-13.241201667794147,8,0.021305697836561527
51,-27.38575454095547,22,0.017833624307799792
52,-33.18689272188437,26,0.03097798587019129
53,-85.95575294823207,6,0.2647541488352054
54,-5.513361263418998,0,0.01825616312390394
55,-44.700119160908216,14,0.10165602371161676
56,-44.8156471842875,38,0.022568368159892993
57,-82.10740404830018,78,0.013600675656623032
58,-51.7218488071467,20,0.10503923446075042
59,-112.15426561570123,104,0.027000879522189894
60,-17.56704044536194,0,0.058169008097224854
61,-52.15940424279676,34,0.06013047762515465
62,-11.087509407761134,6,0.01684605764159321
63,-31.230459520905967,26,0.017319402387105665
64,-47.16097603450876,26,0.0700694570679095
65,-23.94619965201645,20,0.013066886264955148
66,-133.05810930681284,114,0.0631063222079894
67,-44.478582336632385,40,0.014829742836531525
68,-88.27962163681401,46,0.1399987471417683
69,-26.086221453891863,20,0.020153051171827432
70,-7.1350749938600675,2,0.01700355958231812
71,-39.85492913840724,14,0.08561234814042122
72,-36.233092588054795,28,0.03402104375229245
73,-24.432197856772667,20,0.014676151843618349
74,-15.161195156080238,8,0.023712566741987545
75,-9.314321919506103,4,0.017597092448695693
76,-92.0693286621509,84,0.026719631331626376
77,-22.8794133775513,18,0.0243970668877563
78,-5.787726250349753,2,0.012542139901820354
79,-6.290845522605564,2,0.014594712661923708
80,-101.10129230286327,96,0.016891696367096514
81,-59.57929151346826,54,0.01897718201859931
82,-34.50231077494359,22,0.04139838004948194
83,-30.68167097049456,24,0.02651456734323255
84,-5.867619860337894,2,0.012806688279264558
85,-18.0336627272604,14,0.014303768536384482
86,-17.79837612796984,12,0.01932792042656627
87,-64.59830644184606,40,0.08145134583392795
88,-14.588038846159474,4,0.03505973127867371
89,-3.5030260871180934,0,0.012974170693029963
90,-38.23722629487786,34,0.02161850150447832
91,-34.86659361712798,12,0.07571719740770827
92,-51.64028471547734,6,0.16417368602689672
93,-53.19796376598133,30,0.08466410133569849
94,-12.762750552710319,8,0.015770697194404885
95,-67.78898790848513,14,0.17810923148504976
96,-59.369874765711394,54,0.017781042270567236
97,-161.56891470105666,78,0.28043259966797507
98,-4.618364814573675,0,0.015292598723753893
99,-28.22241979305604,8,0.0669616549438941
100,-16.05527369742511,0,0.05316315793849367
101,-40.10709743068187,36,0.013599660366496347
102,-34.02508225145844,10,0.07955325248827304
103,-13.332112761648503,8,0.017656002522015015
104,-10.174594255083848,4,0.021002021275795348
105,-57.19673584875706,50,0.023830251154824657
106,-20.47490075659066,14,0.021440068730432582
107,-21.184075769295596,14,0.02378833036190635
108,-24.829085315187488,18,0.022612865282078055
109,-12.955815312698869,8,0.01745005391795377
110,-36.789104543423385,30,0.024959943174351216
111,-29.589111698451763,22,0.025129508935270547
112,-5.547238541309511,2,0.011745822984468612
113,-37.18645135535006,24,0.04709446912625024
114,-13.288274988130242,6,0.024133360887848506
115,-6.416374616798834,0,0.021246273565559033
116,-84.39604337272799,42,0.14038424957857
117,-8.818679504869484,4,0.01595589240023006
118,-28.549109729138227,22,0.02168579380509335
119,-6.2440456125761905,2,0.014053131167470884
120,-100.72842500145185,96,0.02230389151628165
121,-40.503961753579595,20,0.07428971649847683
122,-47.8078720949786,12,0.12697826984034963
123,-20.778581304387494,16,0.015823116901945072
124,-105.350642065584,100,0.017717357833060332
125,-18.532905090933493,12,0.02163213606269396
126,-60.362383099242315,8,0.17338537450080221
127,-22.311893898508174,18,0.014277794365921127
128,-3.5630961150306986,0,0.011798331506724144
129,-14.461461353273352,10,0.01477305083865348
130,-4.761255491233521,0,0.01576574665971364
131,-45.290358492741184,28,0.05725284269119629
132,-22.55926463734984,16,0.021719419328972946
133,-4.934512151578533,0,0.01633944421052495
134,-92.47569002224121,74,0.06117778153059967
135,-160.46613618425116,156,0.014987034175339765
136,-104.42839696054853,72,0.10737879788261148
137,-15.911774672109072,12,0.015647098688436358
138,-17.18107501276865,0,0.0568909768634722
139,-8.032808951662442,4,0.013353672025372323
140,-96.23745938848464,80,0.05376642181617335
141,-25.635073895516094,18,0.025281701640781574
142,-68.97627486664767,40,0.09594793002201207
143,-34.096272881880715,26,0.026808850602254235
144,-26.457750204592795,22,0.014760762266863708
145,-7.982713968773425,2,0.01981031115487887
146,-14.65397216168246,8,0.02203302040292197
147,-50.514394093919826,20,0.10104104004609221
148,-17.399658381403555,2,0.05099224629603837
149,-51.059301103045016,22,0.09622285133458623
150,-74.20269004392891,10,0.21259168888718155
151,-36.282289729135435,26,0.03404731698389239
152,-9.246712042152813,4,0.017373218682625077
153,-52.575265955196805,36,0.054884986606612084
154,-61.93677674381405,12,0.16535356537686743
155,-56.57807324173223,32,0.08138434848255631
156,-44.92971839068419,8,0.15516688399447146
157,-4.399479632282779,0,0.016174557471627864
158,-12.242580200738514,8,0.015261079858771523
159,-59.839179160170374,50,0.03324047013571062
160,-31.015819634946332,26,0.016608674287901446
161,-37.64430942387835,28,0.03598622919357596
162,-53.554322812036716,20,0.11110702917892949
163,-63.86174555707664,60,0.015084943582330335
164,-16.627967910564905,10,0.021946913611142156
165,-17.85848963857893,14,0.01472705968923256
166,-60.77731689561655,30,0.10191164534972416
167,-50.873780552540715,46,0.019038205283361864
168,-35.53061857969668,16,0.11096942374827634
169,-54.76063724028842,46,0.029202124134294516
170,-112.41655017060101,100,0.04111440453841353
171,-71.48557937842321,66,0.018164170127227573
172,-51.62233517603565,46,0.022310853873157236
173,-19.54533774304097,14,0.018362045506758
174,-28.44308296220395,10,0.061069811133125644
175,-38.69776708298394,28,0.035423069811204744
176,-31.93211565498196,24,0.026265283625768028
177,-53.724924179247864,26,0.09180438469949587
178,-51.826474523809374,42,0.04347997576906807
179,-10.376368913121244,6,0.014491287791792212
180,-7.916311147237692,4,0.012967917706084929
181,-52.723673554858095,48,0.0156413031617818
182,-8.768012425286754,4,0.015788120613532297
183,-18.42365240730215,14,0.01464785565331832
184,-37.45971087848106,32,0.022193946660492066
185,-30.88806101641124,20,0.04002963608974684
186,-45.99247222639452,4,0.166636794549185
187,-73.09976356656878,66,0.031139313888458576
188,-58.67132371755108,52,0.022090475885930713
189,-48.78847167913568,42,0.022478383043495986
190,-76.66276452330308,70,0.022062134183124426
191,-46.54117178298732,36,0.03537305967445423
192,-67.2478718507658,18,0.16307242334690636
193,-6.538215416068727,2,0.01502720336446602
194,-46.53373055452687,38,0.02825738594214198
195,-61.51072807518918,26,0.11758519230195072
196,-31.910829034146648,12,0.07111010369338093
197,-51.503463295245844,18,0.11093862018293359
198,-91.56665914668186,54,0.12439291108172852
199,-117.50358098192821,60,0.19040920854943072
200,-11.547283958515644,6,0.019261402633734912
201,-63.65898280138593,24,0.131321135103927
202,-48.80542477063128,44,0.015912002551759615
203,-13.206831994627521,8,0.01724116554512428
204,-82.00614644383761,64,0.05962300146966033
205,-44.38026070017397,40,0.014504174503886823
