episode,tot_reward,tot_intrusions,tot_drift
0,-20.637906855251156,4,0.05737209260431433
1,-11.970605955386628,2,0.03301525150790283
2,-36.50480849436016,8,0.09438678309390756
3,-12.94148746050253,4,0.029607574372524936
4,-15.050245446697131,6,0.029967700154626225
5,-14.379186174270435,0,0.04857833166983255
6,-20.422625626869074,8,0.05263824418164854
7,-12.840495997342526,4,0.03180034531418172
8,-20.269550835367095,10,0.0374801125378362
9,-44.41485236026473,12,0.10733394821279674
10,-51.60874167208777,6,0.15102232341750904
11,-7.377587640956168,0,0.030998267398975436
12,-20.37174301652463,8,0.049094218319542186
13,-25.402901755608386,10,0.06471807460339603
14,-24.58914454846151,6,0.06884868351282068
15,-11.363590270684314,2,0.031005265796967923
16,-15.452501128769883,0,0.051167222280694945
17,-18.02724617402133,6,0.03982531845702408
18,-11.700108526919974,0,0.03874208121496688
19,-8.174051377761359,0,0.027066395290600516
20,-37.209638940779975,6,0.10334317530059609
21,-11.406539384420016,2,0.03135513128140007
22,-43.00834166545492,12,0.10267662803130775
23,-29.70070909927047,4,0.08682671992996775
24,-11.446212943815611,4,0.024656334251045103
25,-11.449207174739888,2,0.03128876547927113
26,-30.246091629493748,12,0.0675781171462731
27,-22.395225035843104,4,0.06477191914029255
28,-20.551340223467406,8,0.041560729216779446
29,-14.693186984001615,4,0.044186723074387015
30,-25.4296325127497,14,0.03809877504249936
31,-15.267340088134276,6,0.03068655658322608
32,-47.087733138520896,8,0.129429579928877
33,-13.187330106268963,2,0.03704413942473162
34,-15.91593954861997,2,0.04607927002854268
35,-12.718218944377396,4,0.03632591226823898
36,-35.13188446859024,8,0.08984067704831172
37,-52.571462452298036,6,0.15421014057052346
38,-18.33513225548607,2,0.05408984190558297
39,-25.528555492573332,8,0.0580415744787197
40,-19.95792663807491,6,0.04880393929396838
41,-16.522760967806395,8,0.03464536978783087
42,-33.61126445157133,22,0.04088473398440588
43,-18.630245234271385,2,0.055806192061313466
44,-16.3607322464083,4,0.04092957697486192
45,-17.747312831179237,6,0.0388983868582096
46,-63.60418383413186,32,0.10464961534480748
47,-16.24152492327622,6,0.033912334183033785
48,-22.140197735515848,6,0.053444363362635264
49,-25.209974302830055,10,0.05138504832037191
50,-8.457180519697967,0,0.043593714019061654
51,-9.906308472776173,0,0.033925713947863576
52,-21.284737150181027,10,0.03736667930523493
53,-18.26759827506318,10,0.03333708981880327
54,-9.080629923600172,2,0.032479953777982316
55,-13.73103543984663,4,0.03222197165512135
56,-8.766243777238724,0,0.03778553352258079
57,-7.260864318030692,0,0.027713222587903444
58,-20.691297402527173,0,0.06851422980969271
59,-8.617533588122622,0,0.02853487943086965
60,-25.297250907178654,6,0.0638981818118499
61,-16.734654325173327,6,0.035545212997262696
62,-34.08763785575034,6,0.11235055142300146
63,-8.729416413892661,2,0.031154705619873393
64,-13.159128427486166,4,0.034175852341366456
65,-16.76389397407572,4,0.042264549583032135
66,-25.717560293308033,14,0.055797906158609474
67,-12.372598476400581,6,0.026552493651669118
68,-13.907234146743452,6,0.03322367288547661
69,-25.003049154114457,12,0.046773558108325175
70,-15.506822288163807,6,0.031479544000542405
71,-42.31974147236781,4,0.12688656116678101
72,-51.33715749968437,18,0.11038793874067675
73,-17.5354727907055,2,0.05144196288313088
74,-30.41076958216511,12,0.06096281318597712
75,-13.034432273494886,4,0.029915338653956652
76,-7.2153410387204095,0,0.023891857744107358
77,-13.855263492966323,4,0.032633322824391624
78,-34.568332738768476,2,0.1078421613866506
79,-12.199750127093015,2,0.03377400704335431
80,-23.36400251238978,10,0.05345601004955887
81,-15.912743752937516,4,0.039446171367342714
82,-19.651822092841485,8,0.04283758122368188
83,-14.217789073577947,4,0.033833738654231685
84,-24.56957849266547,12,0.048344532664097765
85,-21.765863166675356,4,0.05882736147905735
86,-47.95305714853894,34,0.06581630730442897
87,-13.833494432226699,4,0.03256123984181018
88,-38.381665348471195,6,0.10722405744526921
89,-13.358037719500372,4,0.03098687986589524
90,-64.18463035522076,6,0.19266433892457185
91,-43.30519760876603,24,0.06522026219177661
92,-23.227156744665717,14,0.04156376912011588
93,-15.872244499354615,2,0.04593458443494896
94,-28.154532295778033,8,0.06949838722682071
95,-27.658407694255075,8,0.06509406521276513
96,-18.43518309413558,8,0.04969134806731244
97,-8.797840356067763,0,0.03547516272607975
98,-9.6831988362695,0,0.03206357230552808
99,-13.62035906098862,6,0.03628742409994592
100,-14.988529713728882,4,0.0504060996042611
101,-34.71198621935729,22,0.04209266960052088
102,-8.279236492507277,2,0.027784232267731333
103,-21.79349666750235,6,0.052296346581133656
104,-19.21053339822372,2,0.06568905877184622
105,-10.114743909725192,2,0.02837323045358462
106,-19.249726543435695,6,0.04387326670011832
107,-19.992177569466,6,0.04633171380617899
108,-19.30546992848853,4,0.05466239260174478
109,-18.475880415152808,4,0.04793337885812186
110,-37.867662743968765,10,0.10636512497697989
111,-6.2259287167879895,0,0.027794324628517803
112,-46.017431299651236,12,0.11264050099222257
113,-17.946216243702455,2,0.05280204054206104
114,-38.804837278878644,0,0.12849283867178365
115,-23.965927851627903,12,0.04070043486948279
116,-21.563071257269854,8,0.04491083197771471
117,-27.45042512166018,10,0.05976172986869939
118,-34.500848155242274,6,0.09437366938821959
119,-70.52534360117376,12,0.1937925284807076
120,-12.764344651555088,4,0.031986659312244925
121,-17.869100141974975,8,0.03267913954296349
122,-15.46901785694903,6,0.03287853422551747
123,-25.588980973103336,14,0.04423275180573816
124,-7.30702431230749,0,0.024195444742740033
125,-16.253595362375275,4,0.04057481908071284
126,-35.37871809197757,20,0.06007311754678757
127,-17.68360154081683,8,0.032064905764294487
128,-14.946114440041521,6,0.03823125829077568
129,-30.368943279505,14,0.05492933986411094
130,-33.67489758260165,16,0.05852615093576697
131,-27.39195701923251,2,0.08407932787825335
132,-33.11972283312002,6,0.08980040673218546
133,-20.960123078515004,6,0.049536831385811164
134,-31.36714407348964,10,0.07075213269367435
135,-31.33412065142909,8,0.077265300170295
136,-16.648881212348403,0,0.05512874573625299
137,-26.72478893986941,6,0.06862512893996484
138,-20.860030333992274,8,0.04258288190063664
139,-27.42563067720775,16,0.03783321416294
140,-9.738794455322143,2,0.0325159430895888
141,-21.803111479731093,6,0.05232818370771877
142,-6.1095774619507335,0,0.027770806645230614
143,-9.224041926902022,2,0.029129201318153424
144,-38.339723245011434,6,0.10708517630798513
145,-11.312509870692242,2,0.03554393080416879
146,-11.167525503971088,4,0.028218604346342883
147,-14.012004841103412,4,0.038213758935509316
148,-9.68139843048922,0,0.03205761069698413
149,-8.29856406960506,0,0.027478688972202195
150,-20.772841992587594,8,0.04229417878340248
151,-8.55321020632155,0,0.03341097736844352
152,-10.037247941114604,0,0.033235920334816545
153,-19.59475466382216,6,0.05110810023993294
154,-15.731439919140529,6,0.038925759676562116
155,-17.41462473700879,4,0.06327653177834312
156,-37.85291532217888,2,0.11871826265622193
157,-8.783654669602994,0,0.03028846437794136
158,-14.134477807426968,4,0.03355787353452625
159,-10.747126573509233,2,0.03975966624322377
160,-40.50119506314433,8,0.10761985120246488
161,-21.272812233434202,12,0.03070467626964929
162,-22.78961234941761,12,0.03572719320999207
163,-10.336427115697246,0,0.040376668420692444
164,-18.25620979693993,2,0.055671951359383284
165,-33.38890835867618,2,0.10393678264462294
166,-10.3053079451902,0,0.03412353624235168
167,-14.412966584352027,2,0.0419356979201082
168,-11.6367110013859,2,0.03393208099079545
