episode,total_reward,total_intrusions,average_drift
0,[-12.36946519],220,0.29137557140409487
1,[-12.36946519  -6.6510849 ],132,0.012163070807688992
2,[-12.36946519  -6.6510849   -4.82143796],94,0.019275866771013176
3,[-12.36946519  -6.6510849   -4.82143796 -11.9539614 ],238,0.012549161939967121
4,[-12.36946519  -6.6510849   -4.82143796 -11.9539614   -9.2534989 ],184,0.0124416035966048
5,"[-12.36946519  -6.6510849   -4.82143796 -11.9539614   -9.2534989
  -5.89689297]",116,0.01977407452488407
6,"[-12.36946519  -6.6510849   -4.82143796 -11.9539614   -9.2534989
  -5.89689297 -11.78441523]",234,0.015632449185028912
7,"[-12.36946519  -6.6510849   -4.82143796 -11.9539614   -9.2534989
  -5.89689297 -11.78441523 -10.95054155]",218,0.012033703230655153
8,"[-12.36946519  -6.6510849   -4.82143796 -11.9539614   -9.2534989
  -5.89689297 -11.78441523 -10.95054155  -5.27236202]",104,0.014472404880765087
9,"[-12.36946519  -6.6510849   -4.82143796 -11.9539614   -9.2534989
  -5.89689297 -11.78441523 -10.95054155  -5.27236202  -7.44357179]",148,0.011172254854513126
10,"[-12.36946519  -6.6510849   -4.82143796 -11.9539614   -9.2534989
  -5.89689297 -11.78441523 -10.95054155  -5.27236202  -7.44357179
  -6.81103924]",134,0.018203154488875294
11,"[-12.36946519  -6.6510849   -4.82143796 -11.9539614   -9.2534989
  -5.89689297 -11.78441523 -10.95054155  -5.27236202  -7.44357179
  -6.81103924  -0.87726977]",16,0.01485957078643058
12,"[-12.36946519  -6.6510849   -4.82143796 -11.9539614   -9.2534989
  -5.89689297 -11.78441523 -10.95054155  -5.27236202  -7.44357179
  -6.81103924  -0.87726977  -6.09712218]",106,0.18979099501971974
13,"[-12.36946519  -6.6510849   -4.82143796 -11.9539614   -9.2534989
  -5.89689297 -11.78441523 -10.95054155  -5.27236202  -7.44357179
  -6.81103924  -0.87726977  -6.09712218  -5.90973148]",116,0.017698625764900493
14,"[-12.36946519  -6.6510849   -4.82143796 -11.9539614   -9.2534989
  -5.89689297 -11.78441523 -10.95054155  -5.27236202  -7.44357179
  -6.81103924  -0.87726977  -6.09712218  -5.90973148  -3.18085549]",62,0.015255751998134925
15,"[-12.36946519  -6.6510849   -4.82143796 -11.9539614   -9.2534989
  -5.89689297 -11.78441523 -10.95054155  -5.27236202  -7.44357179
  -6.81103924  -0.87726977  -6.09712218  -5.90973148  -3.18085549
 -18.893097  ]",376,0.016332806314519204
16,"[-12.36946519  -6.6510849   -4.82143796 -11.9539614   -9.2534989
  -5.89689297 -11.78441523 -10.95054155  -5.27236202  -7.44357179
  -6.81103924  -0.87726977  -6.09712218  -5.90973148  -3.18085549
 -18.893097    -2.95975376]",58,0.012989946926167485
17,"[-12.36946519  -6.6510849   -4.82143796 -11.9539614   -9.2534989
  -5.89689297 -11.78441523 -10.95054155  -5.27236202  -7.44357179
  -6.81103924  -0.87726977  -6.09712218  -5.90973148  -3.18085549
 -18.893097    -2.95975376  -2.9686965 ]",58,0.01401969403744355
18,"[-12.36946519  -6.6510849   -4.82143796 -11.9539614   -9.2534989
  -5.89689297 -11.78441523 -10.95054155  -5.27236202  -7.44357179
  -6.81103924  -0.87726977  -6.09712218  -5.90973148  -3.18085549
 -18.893097    -2.95975376  -2.9686965   -7.34256206]",146,0.010913348314383306
19,"[-12.36946519  -6.6510849   -4.82143796 -11.9539614   -9.2534989
  -5.89689297 -11.78441523 -10.95054155  -5.27236202  -7.44357179
  -6.81103924  -0.87726977  -6.09712218  -5.90973148  -3.18085549
 -18.893097    -2.95975376  -2.9686965   -7.34256206  -8.48754085]",168,0.015916517746368194
20,"[-12.36946519  -6.6510849   -4.82143796 -11.9539614   -9.2534989
  -5.89689297 -11.78441523 -10.95054155  -5.27236202  -7.44357179
  -6.81103924  -0.87726977  -6.09712218  -5.90973148  -3.18085549
 -18.893097    -2.95975376  -2.9686965   -7.34256206  -8.48754085
 -18.43902857]",366,0.023970443322295025
21,"[-12.36946519  -6.6510849   -4.82143796 -11.9539614   -9.2534989
  -5.89689297 -11.78441523 -10.95054155  -5.27236202  -7.44357179
  -6.81103924  -0.87726977  -6.09712218  -5.90973148  -3.18085549
 -18.893097    -2.95975376  -2.9686965   -7.34256206  -8.48754085
 -18.43902857 -12.91274995]",140,0.597247469578014
