episode,total_reward,total_intrusions,average_drift
0,[-8.76357884],174,0.014128630359950246
1,[-8.76357884 -9.04907277],178,0.022249667685324576
2,[-8.76357884 -9.04907277 -6.63771011],126,0.043858455304826835
3,[-8.76357884 -9.04907277 -6.63771011 -7.87958938],154,0.024601285341960186
4,[-8.76357884 -9.04907277 -6.63771011 -7.87958938 -4.03279445],76,0.027713624418678695
5,[-8.76357884 -9.04907277 -6.63771011 -7.87958938 -4.03279445 -6.64715654],126,0.03542413707174202
6,"[-8.76357884 -9.04907277 -6.63771011 -7.87958938 -4.03279445 -6.64715654
 -5.4543724 ]",106,0.02174259194618678
7,"[-8.76357884 -9.04907277 -6.63771011 -7.87958938 -4.03279445 -6.64715654
 -5.4543724  -8.33347734]",164,0.02152860318067431
8,"[-8.76357884 -9.04907277 -6.63771011 -7.87958938 -4.03279445 -6.64715654
 -5.4543724  -8.33347734 -6.86665797]",136,0.01418254653713616
9,"[-8.76357884 -9.04907277 -6.63771011 -7.87958938 -4.03279445 -6.64715654
 -5.4543724  -8.33347734 -6.86665797 -4.4624852 ]",86,0.022258247016351287
10,"[-8.76357884 -9.04907277 -6.63771011 -7.87958938 -4.03279445 -6.64715654
 -5.4543724  -8.33347734 -6.86665797 -4.4624852  -4.79801219]",92,0.02506483459445665
11,"[-8.76357884 -9.04907277 -6.63771011 -7.87958938 -4.03279445 -6.64715654
 -5.4543724  -8.33347734 -6.86665797 -4.4624852  -4.79801219 -4.72391895]",92,0.019362336549227425
12,"[ -8.76357884  -9.04907277  -6.63771011  -7.87958938  -4.03279445
  -6.64715654  -5.4543724   -8.33347734  -6.86665797  -4.4624852
  -4.79801219  -4.72391895 -10.08034471]",184,0.11143603974165332
13,"[ -8.76357884  -9.04907277  -6.63771011  -7.87958938  -4.03279445
  -6.64715654  -5.4543724   -8.33347734  -6.86665797  -4.4624852
  -4.79801219  -4.72391895 -10.08034471  -5.87559642]",114,0.02438839224390712
14,"[ -8.76357884  -9.04907277  -6.63771011  -7.87958938  -4.03279445
  -6.64715654  -5.4543724   -8.33347734  -6.86665797  -4.4624852
  -4.79801219  -4.72391895 -10.08034471  -5.87559642  -5.29481154]",104,0.013353737767637252
15,"[ -8.76357884  -9.04907277  -6.63771011  -7.87958938  -4.03279445
  -6.64715654  -5.4543724   -8.33347734  -6.86665797  -4.4624852
  -4.79801219  -4.72391895 -10.08034471  -5.87559642  -5.29481154
 -38.39459377]",270,0.9878807049683768
16,"[ -8.76357884  -9.04907277  -6.63771011  -7.87958938  -4.03279445
  -6.64715654  -5.4543724   -8.33347734  -6.86665797  -4.4624852
  -4.79801219  -4.72391895 -10.08034471  -5.87559642  -5.29481154
 -38.39459377 -49.11366874]",300,1.3537170133017182
17,"[ -8.76357884  -9.04907277  -6.63771011  -7.87958938  -4.03279445
  -6.64715654  -5.4543724   -8.33347734  -6.86665797  -4.4624852
  -4.79801219  -4.72391895 -10.08034471  -5.87559642  -5.29481154
 -38.39459377 -49.11366874 -15.13488466]",148,0.9432786171789614
