timesteps,episodes,total_reward,final_altitude,TimeLimit.truncated
40,1,-64.26208017333333,1904.055992,False
70,2,-169.67158525333332,-100,False
109,3,-125.74217592666666,3981.259992,False
140,4,-446.8617999266668,11060.0,False
171,5,-434.4839218833333,11060.0,False
203,6,-475.331061,11060.0,False
234,7,-430.2020051333333,11060.0,False
265,8,-447.63534358333334,11060.0,False
296,9,-440.7847067933335,11060.0,False
327,10,-445.0394828666666,11060.0,False
358,11,-437.84674058666667,11060.0,False
400,12,-109.06939671666667,1710.761306,False
441,13,-96.64924563,2379.639902,False
482,14,-83.21429464999999,2114.221771,False
523,15,-89.81368447833333,1855.79064,False
565,16,-94.19647293666667,2042.595157,False
607,17,-142.26535384666667,1748.318604,False
649,18,-151.99379634833332,2069.822509,False
691,19,-155.33631120833334,1754.347464,False
734,20,-144.4199887033334,1443.247846,False
751,21,-134.87817681666667,-100,False
795,22,-127.25386069500003,1771.772962,False
838,23,-152.27297289999998,1681.878405,False
881,24,-140.1312946433333,1948.309617,False
923,25,-89.50559072499999,1857.01965,False
965,26,-111.12875593000001,1769.45271,False
1007,27,-74.880257365,1854.80492,False
1049,28,-111.28394202000004,1899.123722,False
1090,29,-169.155799795,1844.175428,False
1131,30,-64.00658044833334,2057.035434,False
1172,31,-154.81780005166667,2253.855299,False
1213,32,-65.83369990333333,2061.71638,False
1254,33,-69.93648847,2078.47545,False
1295,34,-119.322540855,2271.080179,False
1336,35,-97.31484840833335,2261.072095,False
1377,36,-87.36101521,2278.925286,False
1418,37,-86.75314878500001,2333.582266,False
1459,38,-119.90908590333333,2432.734119,False
1500,39,-72.2037758,2224.386517,False
1541,40,-63.34945954833334,1941.688002,False
1582,41,-94.05176716333335,2356.479623,False
1623,42,-78.89014611666667,2258.879417,False
1664,43,-94.55094083166667,2428.712712,False
1705,44,-55.004481080000005,2020.763127,False
1746,45,-94.41493024666667,2214.216219,False
1787,46,-104.47017717166668,2364.036363,False
1828,47,-136.87555922833337,2481.834173,False
1869,48,-68.71010278833333,2099.841749,False
1909,49,-87.57872392000002,2031.311519,False
1950,50,-55.57100129166666,2063.488543,False
1990,51,-83.09355612666667,2184.847121,False
2031,52,-64.75375273166668,1942.026974,False
2071,53,-75.67295459333334,2216.418587,False
2111,54,-74.58473358333333,2275.500252,False
2151,55,-88.44402504,2357.542376,False
2191,56,-64.66926961666667,1955.936933,False
2231,57,-64.42748641666667,2036.781029,False
2272,58,-70.36233910166666,2040.87008,False
2312,59,-104.80009384833335,2348.227456,False
2353,60,-67.64185171333334,1997.616629,False
2394,61,-60.890564416666656,2179.655328,False
2434,62,-70.06777376,2463.255702,False
2475,63,-59.453885875,2011.974154,False
2516,64,-64.916197855,2035.616395,False
2557,65,-57.818093193333326,2046.889866,False
2598,66,-56.212775408333336,2002.952004,False
2639,67,-63.01334874333334,2110.228127,False
2680,68,-64.80488085833333,2161.450597,False
2720,69,-80.035716715,2758.172909,False
2761,70,-66.48220701666666,2192.926867,False
2802,71,-53.37530730500001,2153.131345,False
2842,72,-62.80182605833333,2465.161588,False
2883,73,-56.43007395000001,2164.049406,False
2923,74,-89.98479761666665,3540.868682,False
2964,75,-61.07940970666667,2509.461992,False
3004,76,-58.68774638666667,2331.967772,False
3045,77,-80.87347416166668,2169.208794,False
3085,78,-70.52051544,2362.009357,False
3125,79,-74.73521395,2634.69198,False
3164,80,-80.68922076333334,3366.31005,False
3204,81,-92.19530893833331,3230.575485,False
3245,82,-69.69045868166667,1938.440229,False
3285,83,-64.03278814666668,2359.201533,False
3325,84,-94.57433714333334,3138.028185,False
3364,85,-79.148333665,3090.00794,False
3403,86,-105.22335131166668,3131.103805,False
3441,87,-101.435809095,4081.537492,False
3479,88,-100.88073615666667,3988.802181,False
3518,89,-111.991263985,3625.381955,False
3557,90,-101.98225387,2676.941917,False
3596,91,-104.07692008833332,3466.423554,False
3635,92,-113.49479779166667,3499.266968,False
3674,93,-91.71979834333334,3233.213261,False
3715,94,-77.1389926033333,2209.961536,False
3755,95,-92.17924668166665,2738.14422,False
3794,96,-113.52130846333333,2471.78041,False
3833,97,-91.89906305,3777.600139,False
3873,98,-93.59232027999998,2597.735536,False
3913,99,-71.75512688333332,2400.843497,False
3952,100,-94.35451830000001,2877.224758,False
3992,101,-80.79002330166666,2565.658879,False
4032,102,-74.84416823000001,2545.023551,False
4072,103,-59.10136942833334,1359.199765,False
4112,104,-74.45290374833334,2471.081794,False
4152,105,-65.41654384166667,2083.216592,False
4192,106,-67.85906448166666,2289.069143,False
4232,107,-63.601512601666684,2418.475366,False
4272,108,-84.56066629166668,2703.254297,False
4312,109,-72.43843629166668,2625.439767,False
4353,110,-59.19239760833334,2419.881917,False
4393,111,-83.70309126166666,2486.599831,False
4433,112,-78.78127885833334,2332.368452,False
4473,113,-76.07358656666668,2389.437486,False
4514,114,-67.107635475,2123.968243,False
4555,115,-67.62680651166667,1874.945611,False
4596,116,-92.96799012166667,2235.79523,False
4636,117,-109.69571809000001,2606.419482,False
4676,118,-87.85825457499999,2539.071312,False
4717,119,-78.040462185,1892.254665,False
4758,120,-77.01655098,2374.272734,False
4799,121,-100.70828517999999,2085.08727,False
4840,122,-71.25090249833335,2108.8127,False
4881,123,-74.9738208,2248.591922,False
4921,124,-97.87791706833332,2369.310725,False
4961,125,-73.71928324333334,2298.568823,False
5001,126,-74.07540662333334,2232.032574,False
5042,127,-76.67153678833333,2016.843697,False
5083,128,-76.308674225,2160.106342,False
5123,129,-101.330954015,2361.105821,False
5164,130,-70.43767450000001,2287.923804,False
5204,131,-90.01891318166668,2293.176154,False
5244,132,-94.88752152333333,2365.0065,False
5284,133,-70.017851355,2367.82648,False
5324,134,-99.28358682666668,2744.368316,False
5364,135,-73.02785275833332,2271.043799,False
5405,136,-58.40560695166666,2170.449119,False
5445,137,-65.81438172166666,2374.128166,False
5486,138,-71.05690346499999,1965.099853,False
5526,139,-86.62447698,2154.229408,False
5567,140,-69.29806689333333,1722.140032,False
5607,141,-103.68079577,2244.559753,False
5648,142,-97.718499595,2070.248677,False
5688,143,-93.21397876833333,2301.534005,False
5729,144,-71.38641479833333,2207.412368,False
5770,145,-67.614444625,2292.501347,False
5811,146,-60.78682409333334,1885.709401,False
5852,147,-49.918858883333336,2016.628439,False
5893,148,-72.997403175,2375.079497,False
5934,149,-49.161934161666665,2113.801309,False
5974,150,-96.62954934999999,2278.464216,False
6014,151,-74.024874985,2133.852737,False
6055,152,-58.62261145166667,2192.00519,False
6095,153,-73.96376774500001,2134.55091,False
6136,154,-67.48196144666667,2081.984959,False
6177,155,-68.38692968666666,2558.562361,False
6218,156,-70.70160916666669,2186.674739,False
6258,157,-67.54426669666665,2387.284765,False
6299,158,-83.03732930166667,2069.617593,False
6340,159,-68.78198648833333,2304.308636,False
6381,160,-75.62931523666666,2164.011676,False
6422,161,-57.78048269000001,2114.643801,False
6463,162,-55.944841110000006,1887.544836,False
6504,163,-67.20754852833333,1968.934553,False
6544,164,-71.89234372499999,2189.672405,False
6585,165,-75.05565462333334,2500.612422,False
6625,166,-77.650452575,2351.058387,False
6666,167,-63.498208396666655,2331.555751,False
6706,168,-84.58447856500001,2312.310176,False
6746,169,-92.15835531833334,2402.698979,False
6787,170,-40.814709691666664,1563.591549,False
6828,171,-72.166404915,2308.684467,False
6868,172,-66.241877325,2337.328812,False
6908,173,-64.406584255,2051.353265,False
6949,174,-56.57441120333333,1951.525855,False
6990,175,-49.996430835,2221.452817,False
7030,176,-73.93602709166666,2527.083205,False
7070,177,-59.684968988333324,2524.824859,False
7111,178,-64.77442069666667,2069.440136,False
7152,179,-44.729483845000004,1781.323419,False
7193,180,-57.52217735333333,2186.805103,False
7234,181,-53.66625199500001,1754.770898,False
7274,182,-67.48110942833334,2386.385687,False
7315,183,-43.040012938333334,1676.821272,False
7356,184,-47.44712326333334,2047.172929,False
7397,185,-57.30200310666666,2132.036413,False
7437,186,-66.83857004,2588.107952,False
7477,187,-78.482912675,2528.507236,False
7518,188,-51.24552795833334,1616.635658,False
7558,189,-69.61929205833333,2594.767908,False
7598,190,-62.06819874999999,2664.630229,False
7639,191,-47.75615463333333,1959.954143,False
7680,192,-47.32131136500001,1937.75064,False
7720,193,-69.08292216000001,2246.717256,False
7761,194,-51.988546111666665,1860.70133,False
7802,195,-65.82232005166665,1881.640907,False
7843,196,-55.33133814166666,2098.93968,False
7884,197,-45.68719939333334,1587.334306,False
7924,198,-73.4791505,2650.594284,False
7965,199,-55.35431938000001,2485.14206,False
8006,200,-43.949511775,1692.663418,False
8046,201,-58.674273725000006,2217.634437,False
8086,202,-75.66293509166667,2651.983315,False
8127,203,-54.666980298333335,2038.926231,False
8167,204,-59.38385678166667,2082.898552,False
8208,205,-49.49782357833334,1798.375506,False
8248,206,-74.82340857333332,2562.87109,False
8289,207,-63.84212991666667,2361.142724,False
8329,208,-70.73683176499999,2461.831648,False
8369,209,-64.57890363666667,2506.530745,False
8409,210,-67.79443567999999,2069.604929,False
8450,211,-59.49778915500001,1726.73028,False
8490,212,-60.058434766666664,1928.201901,False
8531,213,-56.59667765166667,2289.18267,False
8571,214,-55.598753951666666,2430.936534,False
8611,215,-70.07530450499999,2566.399003,False
8652,216,-63.59743991666666,2277.900026,False
8693,217,-32.727907073333334,1044.871515,False
8735,218,-29.397465849999996,275.630988,False
8776,219,-36.65150748666667,1544.516739,False
8816,220,-73.84805114166667,2674.53557,False
8856,221,-88.36269543833333,2494.239925,False
8897,222,-47.22785253833332,1455.182352,False
8937,223,-70.31922811333332,2535.746969,False
8978,224,-42.412854071666665,1466.806133,False
9018,225,-51.27863370166666,2361.116314,False
9059,226,-63.557962069999995,2227.652243,False
9100,227,-54.84068229666667,1981.569936,False
9140,228,-93.03182495333334,2387.852041,False
9180,229,-64.22975259833333,2499.235742,False
9221,230,-48.22512807166667,1784.196231,False
9261,231,-57.42493312166667,2272.403118,False
9301,232,-58.399147926666664,2477.865367,False
9342,233,-50.624717615,2144.759506,False
9382,234,-59.48841333166667,2472.576016,False
9423,235,-52.97326883666666,2087.070999,False
9464,236,-51.504016565,1943.101557,False
9504,237,-52.523354518333335,2318.679666,False
9544,238,-75.35934048333334,2511.037159,False
9585,239,-55.01906483666666,1968.366116,False
9626,240,-45.870920176666665,1827.161459,False
9666,241,-58.591151861666674,2231.512928,False
9708,242,-34.18464719666667,711.358172,False
9749,243,-51.96349551333333,1567.859879,False
9790,244,-55.67725044666666,2056.747939,False
9830,245,-76.128849105,2862.955876,False
9871,246,-37.320805745,1413.475141,False
9911,247,-64.07038911166667,2334.231838,False
9953,248,-34.12705090666667,997.146523,False
9993,249,-67.10932827166667,2273.745644,False
10033,250,-71.64687001666667,2554.69993,False
10074,251,-35.453927775,1377.1681,False
10115,252,-51.96251928666666,1661.525739,False
10155,253,-61.73688356666667,2450.000951,False
10195,254,-61.53947412166667,2398.672919,False
10236,255,-46.131804085,1490.674555,False
10277,256,-35.95358711000001,1242.334027,False
10317,257,-48.043280831666664,2144.861618,False
10357,258,-57.59500786666666,2421.07442,False
10397,259,-63.716862750000004,2476.858416,False
