timesteps,episodes,total_reward,final_altitude,TimeLimit.truncated
40,1,-140.82912671833333,3068.425986,False
68,2,-143.43962870333334,-100,False
108,3,-83.06489917666667,2840.523288,False
147,4,-172.62574494666669,6148.31202,False
187,5,-77.44732611666666,2742.120139,False
228,6,-106.21007844666666,1678.876912,False
268,7,-95.50705657833333,3809.161254,False
309,8,-124.65300645333333,1549.897849,False
350,9,-66.66558573166665,2299.085315,False
389,10,-92.92490926,2809.533173,False
427,11,-202.82221321499998,4556.04829,False
468,12,-73.47427105333333,1574.862416,False
506,13,-137.37193229166667,5330.656439,False
546,14,-80.61218937000001,3175.071597,False
587,15,-131.32152996166667,1425.448878,False
619,16,-173.59538785166666,-100,False
658,17,-79.97015857166667,3745.978068,False
691,18,-160.305832025,-100,False
732,19,-109.84810056166668,3176.468022,False
772,20,-65.070084105,3032.904242,False
810,21,-142.33910452166668,5020.167215,False
849,22,-111.75936205333335,2935.151652,False
891,23,-128.69688571166668,653.527756,False
931,24,-80.63191820166665,2851.429617,False
971,25,-59.68149300833333,2387.046082,False
1011,26,-107.89886740666668,4413.249245,False
1050,27,-143.64580278333335,4274.196941,False
1088,28,-132.40100406166667,4801.867153,False
1129,29,-92.92351597666666,3057.073294,False
1167,30,-162.175619685,5372.989325,False
1206,31,-93.90231613333333,3625.729719,False
1245,32,-117.221372055,5019.01234,False
1283,33,-162.48435372,5315.763231,False
1321,34,-132.50753369666666,4414.937603,False
1361,35,-93.29872635166666,3013.812465,False
1400,36,-75.621121805,3443.262908,False
1441,37,-117.18584122666668,2649.126352,False
1481,38,-119.9417962,3357.722129,False
1521,39,-119.18660128666667,2936.833861,False
1561,40,-98.22741669166669,755.162265,False
1599,41,-147.11013500833332,4804.601423,False
1623,42,-155.06173750833332,-100,False
1665,43,-106.42259041333335,468.081845,False
1702,44,-162.11239182333333,5918.104299,False
1741,45,-162.754553945,5215.544637,False
1778,46,-170.971906395,5557.992652,False
1818,47,-79.48957899333334,1973.700275,False
1860,48,-40.23455241833334,933.869541,False
1900,49,-96.15189976333335,3920.421503,False
1941,50,-71.020845995,1677.96611,False
1981,51,-108.97633938999999,2397.190571,False
2022,52,-65.75642347333334,1190.571815,False
2062,53,-125.18451037166668,3760.946164,False
2103,54,-94.79916109166666,3080.218741,False
2143,55,-77.36225911999999,3997.393671,False
2184,56,-98.84736443333333,2423.376576,False
2223,57,-104.70989844333334,4285.025779,False
2264,58,-112.649157715,2118.440044,False
2304,59,-81.89142544,3112.376851,False
2345,60,-56.55082086666667,2115.629753,False
2384,61,-142.05853753833333,5670.856955,False
2424,62,-98.63900933333333,3429.022416,False
2463,63,-158.8638268916667,3982.566405,False
2501,64,-135.83843354,4647.351439,False
2541,65,-130.7641657483333,4377.619529,False
2581,66,-168.50826890000002,4600.072841,False
2622,67,-102.94843007,951.922373,False
2664,68,-97.50700000500001,958.137627,False
2686,69,-131.68720296666666,-100,False
2727,70,-81.74097704000002,2897.805608,False
2768,71,-65.89821077333335,2134.988346,False
2806,72,-177.88604663333336,5066.399078,False
2844,73,-147.550425125,4256.559016,False
2886,74,-119.50188890499999,2396.509505,False
2926,75,-69.92079943666666,2850.412937,False
2966,76,-100.78297410666667,2942.815154,False
3007,77,-81.03294982833333,2318.289242,False
3047,78,-96.64809535333333,3800.747169,False
3088,79,-161.18294257333335,1315.916751,False
3126,80,-129.57999331333332,-100,False
3167,81,-125.46327823333334,1897.58217,False
3210,82,-81.651816425,855.203313,False
3250,83,-105.82313098,3908.169627,False
3290,84,-93.79572837333333,2642.555727,False
3327,85,-206.32356794,6584.659368,False
3366,86,-137.11180690499998,4306.590786,False
3406,87,-104.48436253666665,3998.012795,False
3445,88,-125.79532074999999,4277.877601,False
3484,89,-162.2728519866667,5298.665056,False
3524,90,-73.84739994833333,2702.25689,False
3563,91,-91.00827849166667,2139.993204,False
3604,92,-55.25126501333334,2072.76129,False
3645,93,-55.12332226,1728.154606,False
3685,94,-118.508755785,3918.295738,False
3724,95,-96.21764794500001,4432.417963,False
3763,96,-92.92053719333333,2805.996573,False
3803,97,-115.03539302833335,2831.469505,False
3845,98,-91.01388432499999,1642.796315,False
3886,99,-58.12194015166668,1448.657119,False
3927,100,-35.31835248,575.972573,False
3967,101,-124.6317182516667,4377.999316,False
4001,102,-181.23961305166668,-100,False
4041,103,-114.52923691166667,4529.284167,False
4080,104,-180.825579235,4908.139676,False
4121,105,-75.7252714,1661.813124,False
4161,106,-115.93800607166668,2720.768687,False
4204,107,-76.04572991833334,653.080496,False
4244,108,-88.4931553466667,2012.440731,False
4284,109,-60.95728768166666,2349.547995,False
4326,110,-158.43703105333336,492.610238,False
4368,111,-116.84432721666667,956.871858,False
4408,112,-73.32326409833334,2590.942714,False
4448,113,-140.73704481833332,3171.769348,False
4487,114,-100.74407740833333,3422.255887,False
4528,115,-53.244005920000006,1201.28872,False
4568,116,-82.10292366666667,1606.573114,False
4606,117,-121.56294188499999,5022.958702,False
4648,118,-46.44635399166667,1427.124797,False
4688,119,-74.17399872666667,2529.706583,False
4729,120,-84.23639299833332,2404.921715,False
4769,121,-93.55487179166667,4327.27442,False
4796,122,-158.07922974833335,-100,False
4836,123,-110.46002148333332,2731.683184,False
4877,124,-122.26526235333334,4596.650062,False
4917,125,-78.7506429,1865.37564,False
4958,126,-51.60396984166666,1939.543835,False
4999,127,-96.03079797833335,3616.763869,False
5038,128,-82.18967992500001,3101.186442,False
5078,129,-85.13243162333333,2426.075091,False
5117,130,-100.14018212500001,4210.449801,False
5155,131,-160.23767994499997,4240.360164,False
5195,132,-88.44891215166668,2583.719171,False
5235,133,-83.06828686333333,3276.517101,False
5275,134,-77.362880915,2530.732466,False
5316,135,-87.099676405,3752.159292,False
5356,136,-71.02552895,2700.453081,False
5397,137,-54.99285413833333,1992.275645,False
5438,138,-78.57860401,2652.727361,False
5478,139,-55.98339964666667,1376.157076,False
5519,140,-89.72225637166667,465.210527,False
5561,141,-42.60379958333333,837.317118,False
5589,142,-182.372466045,-100,False
5630,143,-95.73581911166667,2281.668187,False
5672,144,-124.88453323333334,1619.203766,False
