timesteps,episodes,total_reward,final_altitude,TimeLimit.truncated
32,1,-157.33642456833334,-100,False
72,2,-73.42761235,2642.168491,False
114,3,-72.943848135,913.469001,False
154,4,-101.69630977,2993.221248,False
195,5,-128.32539498166668,2571.787778,False
232,6,-192.68133733333337,5900.463213,False
271,7,-121.00551830833334,4898.107338,False
310,8,-85.29333332833335,2957.540059,False
350,9,-111.67356394333332,3192.900274,False
390,10,-85.5980833,4073.444544,False
429,11,-76.57424100833333,3746.553891,False
469,12,-122.15715276166668,2536.948651,False
508,13,-131.33855570666665,3823.2745,False
547,14,-148.82295769666666,4582.269938,False
587,15,-161.51752653999998,3566.322691,False
627,16,-110.56729415833334,3510.604176,False
667,17,-101.90491514166666,3466.776282,False
706,18,-130.5316334816667,4569.004527,False
745,19,-153.316970255,6093.457294,False
785,20,-91.61340911333332,2654.539813,False
825,21,-122.60768284666668,3855.515224,False
866,22,-85.99525588833333,3649.648173,False
906,23,-77.81798582166667,2658.011609,False
946,24,-86.05521187166667,3713.13572,False
986,25,-95.92161043499999,4060.975921,False
1027,26,-65.28031263666668,2452.10903,False
1068,27,-109.68577324666666,3193.619963,False
1109,28,-51.72490324,2126.96839,False
1150,29,-72.56977774666667,2623.225876,False
1191,30,-53.751158368333336,2154.083536,False
1232,31,-70.75323078833333,2701.648567,False
1273,32,-47.41650190666667,1932.572447,False
1313,33,-77.58410713833334,3346.971497,False
1353,34,-96.13838262666667,2988.752278,False
1394,35,-44.884552086666666,1982.602015,False
1435,36,-40.32177553166667,1631.376917,False
1476,37,-65.395346795,2383.738514,False
1516,38,-63.97636789500001,2709.657851,False
1556,39,-59.00997088166666,2754.908402,False
1595,40,-91.35893801166665,4400.16349,False
1634,41,-82.69504178499999,3860.138404,False
1675,42,-49.71247278999999,1929.970689,False
1715,43,-62.50943264833334,2003.021784,False
1755,44,-76.87594486333334,2846.800173,False
1795,45,-72.27066640999999,2523.467891,False
1835,46,-67.76326861000001,2379.172437,False
1876,47,-40.010000341666675,1679.572363,False
1916,48,-74.76789886166668,2572.43307,False
1956,49,-65.87204780833332,2512.55111,False
1997,50,-77.85230014833334,2681.851688,False
2038,51,-74.96946388333333,2165.805654,False
2078,52,-72.68950641500001,2823.215939,False
2119,53,-53.315447153333324,1557.380913,False
2160,54,-43.757193216666664,1788.967562,False
2201,55,-45.388288315,1713.350884,False
2242,56,-57.77574197333334,2089.753584,False
2282,57,-67.40586200333334,2494.195009,False
2323,58,-72.28581189833335,2221.515377,False
2363,59,-54.52278868833333,2332.41934,False
2403,60,-60.24079200166666,2254.401566,False
2443,61,-76.46479431166667,2607.631971,False
2484,62,-53.29176212666667,1654.602739,False
2524,63,-76.68521391666667,2941.160862,False
2565,64,-51.209847615,1714.872342,False
2605,65,-66.746267895,2605.630407,False
2646,66,-46.972093945,1705.146124,False
2686,67,-98.49804781000002,2695.620042,False
2727,68,-46.152010364999995,1937.513613,False
2768,69,-45.07726022666667,1562.491695,False
2808,70,-84.47643413499999,3112.611705,False
2849,71,-75.79611328,1980.005353,False
2889,72,-61.928845003333336,2218.793493,False
2929,73,-96.731043685,3087.159903,False
2970,74,-46.41789473833333,1656.0953,False
3011,75,-42.86093059833334,1599.129116,False
3051,76,-89.43255251666668,2656.882057,False
3091,77,-63.881300116666665,2168.849142,False
3132,78,-51.40714635333333,1950.765306,False
3172,79,-60.39918090166667,2023.404078,False
3213,80,-73.28074169833334,2029.02407,False
3253,81,-87.88869751333334,2057.407834,False
3294,82,-76.49020486999999,1943.586619,False
3335,83,-43.29034998833333,1612.931223,False
3376,84,-47.332743195000006,1931.380676,False
3416,85,-79.30398468666667,2245.411281,False
3457,86,-62.218073481666664,2041.15859,False
3497,87,-65.40435964166667,1557.963288,False
3538,88,-56.078173475,1829.718443,False
3578,89,-93.36779756666667,2049.911471,False
3618,90,-84.70938029666667,1792.268455,False
3658,91,-63.171127898333324,1800.013501,False
3698,92,-92.56158965833336,2274.559511,False
3739,93,-42.43567563333334,1625.374025,False
3780,94,-54.484207373333334,2145.960805,False
3820,95,-75.56867043333334,1846.089264,False
3861,96,-45.46567642833334,1667.669085,False
3901,97,-62.72630995,1702.330722,False
3943,98,-36.19912980666667,1287.946612,False
3984,99,-45.084707515000005,1770.271977,False
4024,100,-50.05248285166667,1631.329719,False
4065,101,-43.889207295000006,1664.431416,False
4106,102,-51.839758450000005,1435.33219,False
4146,103,-82.00359557666668,1963.301498,False
4188,104,-36.89189590166667,1212.035551,False
4228,105,-77.49376124500002,2183.463619,False
4268,106,-76.06041664833333,1876.302601,False
4309,107,-63.051749328333344,1637.790688,False
4349,108,-80.87041769000001,1643.144238,False
4389,109,-64.14273093833334,1706.448188,False
4430,110,-68.93926396,1673.96596,False
4470,111,-75.683475355,1835.456838,False
4511,112,-54.64537835833334,1350.297072,False
4552,113,-46.01529455666667,1578.406823,False
4593,114,-49.8288501,1460.498536,False
4635,115,-38.97115803333334,1255.213361,False
4675,116,-79.79194747666668,2127.086563,False
4715,117,-77.12288921499999,1834.179106,False
4756,118,-46.031962795,1499.687136,False
4797,119,-51.691040130000005,1741.285299,False
4838,120,-61.35253058833332,1392.352046,False
4879,121,-56.39961978166666,1553.072872,False
4920,122,-73.89453194666667,1744.32111,False
4961,123,-57.004703366666675,1597.851006,False
5001,124,-58.89886295666666,1660.036023,False
5042,125,-36.387200135,1276.915957,False
5082,126,-52.40691008666667,1788.860362,False
5122,127,-79.554221475,1892.114391,False
5162,128,-89.86480693499999,1867.139506,False
5203,129,-51.82618255666667,1469.570675,False
5244,130,-61.85144958333334,1387.899443,False
5285,131,-73.99832939000001,1905.69259,False
5325,132,-85.53559574500002,2331.650371,False
5366,133,-45.52541638833333,1060.066433,False
5406,134,-82.97929585833333,1944.071963,False
5447,135,-43.86600405833333,1216.80531,False
5487,136,-75.602706995,1984.444966,False
5529,137,-41.80339447666667,1143.736268,False
5569,138,-70.40749475666667,1721.334711,False
5609,139,-76.11584763666667,1805.953154,False
5650,140,-69.87168503833334,1947.29249,False
5691,141,-55.971589111666674,1356.894792,False
5732,142,-66.82653635333334,1551.549863,False
5772,143,-81.23527838833333,2278.09858,False
5813,144,-44.94519813833333,1282.498882,False
5855,145,-42.02716516666667,836.572634,False
5895,146,-61.72307913666668,1618.589995,False
5936,147,-69.08409819,1557.210509,False
5977,148,-50.32529295500001,1310.613978,False
6018,149,-56.99589075,1190.484373,False
6058,150,-76.23434632333334,2480.393922,False
6099,151,-53.265150296666675,1306.140312,False
6140,152,-42.33588805833333,934.356624,False
6181,153,-67.47048841833333,1637.827632,False
6222,154,-46.29629720166666,1008.584207,False
6263,155,-51.43246048666667,1185.312891,False
6304,156,-44.816000849999995,1033.125256,False
6345,157,-58.006204698333335,1272.879768,False
6386,158,-43.790998980000005,1119.369435,False
6426,159,-64.45515936833334,1937.931046,False
6468,160,-47.721397313333334,1057.003868,False
6508,161,-73.274172785,2199.377273,False
6547,162,-64.33577423333334,2179.403639,False
6588,163,-54.83516611833333,1294.716577,False
6629,164,-52.90150362833334,1525.046698,False
6669,165,-60.95652123333333,2049.327293,False
6709,166,-59.95072491500001,1881.90713,False
6749,167,-62.29248797333333,1527.337053,False
6789,168,-67.41142443666666,2039.830096,False
6830,169,-52.73408692166667,1170.985814,False
6870,170,-66.34124045499999,1713.526879,False
6910,171,-57.309485471666676,1588.997716,False
6951,172,-50.52120222833334,1103.474387,False
6992,173,-52.14560165666667,1419.63199,False
7032,174,-66.89865545666667,1674.909071,False
7073,175,-38.69579432333333,1128.656315,False
7114,176,-45.06726612166667,958.619607,False
7155,177,-37.94385295833334,1236.140685,False
7195,178,-58.52494790666667,1749.690953,False
7236,179,-56.479406284999996,1251.628939,False
7277,180,-50.28514912333333,1073.597199,False
7318,181,-50.99625700166667,1342.469961,False
7359,182,-43.507030121666666,1029.222653,False
7400,183,-42.00540789,1277.736174,False
7441,184,-42.18819825166667,963.728576,False
7482,185,-39.567863665000004,922.647341,False
7522,186,-61.776936049999996,1794.835234,False
7562,187,-60.686075276666664,2060.451228,False
7603,188,-40.039180736666665,751.864871,False
7644,189,-48.80496001333333,1354.258975,False
7685,190,-47.679333435000004,1003.505527,False
7726,191,-39.11893071666667,752.95572,False
7767,192,-47.50702552333334,1138.196085,False
7808,193,-41.809533738333336,910.266955,False
7849,194,-46.57570549333333,1045.158236,False
7888,195,-71.89229988166667,2466.889785,False
7929,196,-52.332422570000006,1219.319957,False
7969,197,-57.90638707833334,1596.588686,False
8009,198,-56.08371289666667,1774.800349,False
8050,199,-52.74562093333334,1307.258549,False
8091,200,-44.255342385000006,1103.216591,False
8132,201,-46.45657025,919.005135,False
8171,202,-56.023227139999996,2740.924238,False
8211,203,-56.41493862833333,1874.400744,False
8252,204,-39.491834080000004,1072.469009,False
8292,205,-62.861264059999996,2733.256878,False
8333,206,-44.23517854166667,1142.040936,False
8373,207,-56.09299471,1965.720235,False
8413,208,-57.694583933333334,1808.177212,False
8453,209,-58.988687485,2127.036654,False
8495,210,-38.06183499166667,830.307823,False
8536,211,-51.784705935000005,1401.838427,False
8576,212,-54.496241825,2063.436046,False
8616,213,-61.05898371000001,2124.029572,False
8657,214,-47.04472610333333,1017.706372,False
8697,215,-55.145528479999996,1864.183445,False
8737,216,-52.85437179833333,1748.410814,False
8777,217,-50.63412691666666,1866.954771,False
8817,218,-55.38141899833333,1899.651895,False
8857,219,-49.202103918333336,1719.433283,False
8897,220,-53.92610173833333,1758.327473,False
8937,221,-56.611067553333335,1674.614611,False
8977,222,-52.97257563166667,2385.305913,False
9018,223,-40.86588699666667,1597.727209,False
9059,224,-38.63185292166666,944.773244,False
9100,225,-33.16694350499999,760.639933,False
9142,226,-38.269373683333335,1105.800003,False
9183,227,-44.365131696666666,1502.507377,False
9224,228,-43.62308457666667,1126.194323,False
9265,229,-36.05824819333333,1320.412858,False
9305,230,-46.042123995,1686.403272,False
9345,231,-47.91800013166666,1739.662979,False
9385,232,-51.08480203333333,1877.965682,False
9426,233,-43.36669813666667,1311.760773,False
9466,234,-47.920327965,1908.265831,False
9507,235,-39.295300755,895.45377,False
9546,236,-64.830618525,2819.618057,False
9587,237,-47.532093790000005,1272.678733,False
9629,238,-30.826809903333334,754.830341,False
9669,239,-57.938772119999996,3112.903845,False
9710,240,-28.036475358333334,1037.894083,False
9750,241,-50.51576317666667,1961.667137,False
9790,242,-42.992799035,1779.688602,False
9830,243,-43.71326244666667,1834.550732,False
9870,244,-51.813335030000005,1981.09229,False
9909,245,-61.10925820333333,2946.855185,False
9950,246,-32.37159080166667,986.924464,False
9991,247,-30.098629865,850.985547,False
10032,248,-31.373834885,860.53401,False
10072,249,-56.434178775,2226.619291,False
10112,250,-38.947883355,1539.372967,False
10152,251,-48.47288587166666,1800.933571,False
10192,252,-45.39149482166667,2042.266041,False
10232,253,-43.94064602,1849.141462,False
10273,254,-37.91206998,1540.231825,False
10313,255,-46.68855406833333,2123.23611,False
10353,256,-41.71238621,1796.794405,False
10394,257,-37.19195961,1188.168668,False
10434,258,-50.178015941666665,1981.626917,False
10475,259,-33.60287976833333,1353.514081,False
10515,260,-44.09417200166667,2006.006099,False
10554,261,-51.06373270833333,2135.645317,False
10594,262,-43.10393965833333,1737.402498,False
10634,263,-50.377318188333334,1752.780233,False
10673,264,-65.198676095,2986.555454,False
10715,265,-31.556294938333338,964.819277,False
10754,266,-52.572835311666665,2329.051509,False
10795,267,-31.430317656666663,1135.231468,False
10835,268,-45.30412168166667,1802.27626,False
10876,269,-35.512599431666665,1575.263309,False
10916,270,-43.60074961666667,1959.836135,False
10956,271,-47.48984876833334,2390.398509,False
10997,272,-37.20115639,1318.976196,False
11037,273,-49.14020432666666,2148.937987,False
11078,274,-35.64182534166666,1551.502237,False
11119,275,-36.61394816,1040.179926,False
11159,276,-48.445846941666666,2158.149089,False
11200,277,-36.12012829,1449.350084,False
11240,278,-38.02341954166667,1187.128578,False
11281,279,-35.955132893333335,1530.553669,False
11322,280,-41.115086913333336,1411.816256,False
11363,281,-30.27897571833333,1064.264101,False
11404,282,-36.46891409,858.267626,False
11445,283,-36.07345779,1073.911912,False
11485,284,-52.77262418833333,2210.035548,False
11526,285,-30.88690915833334,1207.582519,False
11567,286,-33.59718093166667,1452.002549,False
11607,287,-40.10995344,1692.19991,False
11647,288,-43.769611465000004,1553.519806,False
11687,289,-44.83822297333333,2076.750423,False
11726,290,-70.253065765,3465.411626,False
11766,291,-44.41429228833334,1718.262633,False
11806,292,-46.403889505,2022.125812,False
11847,293,-36.797635336666666,1303.823805,False
11887,294,-57.26046426666666,2475.889635,False
11928,295,-29.8533136,1304.605485,False
11968,296,-38.80273351,1502.242686,False
12009,297,-37.65407424833333,1575.576057,False
12051,298,-23.49394621,900.10931,False
12092,299,-41.424506308333335,1432.07638,False
12133,300,-34.165378535,1441.071693,False
12174,301,-36.23316987166667,1489.088768,False
12215,302,-37.031912625000004,1389.73411,False
12256,303,-39.1466881,1613.533485,False
12296,304,-44.44092804833333,2053.32997,False
12336,305,-38.95286782833334,1434.407678,False
12376,306,-42.17062038,2203.70637,False
12416,307,-51.76778494333333,2183.402337,False
12457,308,-29.868382160000003,1238.33886,False
12497,309,-47.26431805833333,1916.149941,False
12538,310,-33.93757436833333,1485.229158,False
12577,311,-59.17681719166667,2927.977361,False
12618,312,-28.422553110000003,1217.730745,False
12659,313,-33.540193775000006,1211.747346,False
12700,314,-31.609367338333335,1138.984694,False
12740,315,-46.41618050000001,1930.828393,False
12781,316,-29.289654426666665,1202.625129,False
12821,317,-42.789513565,1672.114098,False
12862,318,-32.18912704333333,1347.314981,False
12903,319,-29.03007367333333,1258.08343,False
12943,320,-42.958416664999994,1864.732591,False
12983,321,-51.852957716666666,2243.331403,False
13024,322,-30.535108401666665,1124.441075,False
13065,323,-36.61746309666667,1216.533309,False
13106,324,-24.831172728333332,1003.957487,False
13146,325,-43.011307970000004,1785.50343,False
13187,326,-30.952722944999998,1224.186448,False
13227,327,-44.972234431666664,1833.23591,False
13266,328,-50.30120188166667,2215.791188,False
13306,329,-45.23122742666666,2232.652195,False
13347,330,-39.023593909999995,1474.136554,False
13387,331,-51.969845445000004,2123.40155,False
13428,332,-28.337827925,1107.106036,False
13468,333,-44.90452299666667,1479.60585,False
13510,334,-26.212627851666667,903.460428,False
13550,335,-41.180972370000006,1590.85642,False
13589,336,-46.421547020000006,1930.776033,False
13629,337,-38.47303038,1793.932391,False
13671,338,-25.57589203,814.986938,False
13712,339,-37.87279821166667,1498.934636,False
13752,340,-39.923218765,1380.439151,False
13792,341,-46.42972249666667,1905.457945,False
13833,342,-31.741295521666665,1360.230288,False
13874,343,-32.450317686666665,1281.025061,False
13913,344,-49.22059377000001,2222.898992,False
13953,345,-43.59499014166666,1722.717989,False
