timesteps,episodes,total_reward,final_altitude,TimeLimit.truncated
40,1,-80.07968935833334,3001.113119,False
80,2,-76.89480362666666,2067.705744,False
121,3,-97.03037695166667,3000.346561,False
152,4,-188.24585823333334,-100,False
193,5,-90.660005245,1205.37838,False
233,6,-95.67672555666667,3476.927788,False
273,7,-96.70654277999999,2778.901926,False
304,8,-434.9621770333334,11060.0,False
335,9,-445.2833833833332,11060.0,False
366,10,-440.14495761666683,11060.0,False
398,11,-472.4950348266666,11060.0,False
430,12,-448.8054684133333,11060.0,False
461,13,-411.82087584999994,11060.0,False
492,14,-427.57960015666674,11060.0,False
533,15,-64.11892836333332,3097.978192,False
545,16,-133.66368892166668,-100,False
555,17,-130.843934335,-100,False
566,18,-137.3578898,-100,False
577,19,-123.64074112666667,-100,False
590,20,-136.00216816,-100,False
626,21,-216.10887269333335,-100,False
666,22,-59.81592290666667,3048.960802,False
707,23,-64.12049955,2346.964785,False
748,24,-57.96019554,2591.374302,False
789,25,-62.92771088333333,2395.668066,False
830,26,-47.54436573666666,1869.187768,False
871,27,-58.18440466,2506.084148,False
912,28,-53.203197485000004,2133.421577,False
952,29,-68.59341082833333,3346.041833,False
992,30,-77.42569866166666,2757.487991,False
1032,31,-76.27899583666667,3066.04696,False
1073,32,-49.59643006500001,2067.818024,False
1114,33,-58.52667813666666,2394.917575,False
1154,34,-95.06398793166667,2356.980519,False
1195,35,-64.67102573333332,2313.876196,False
1236,36,-66.07412170166666,1852.168349,False
1277,37,-94.72716074166668,1637.770221,False
1318,38,-89.10413293166668,1663.464885,False
1359,39,-70.35772916666666,2004.955661,False
1400,40,-76.634584415,1635.678992,False
1441,41,-132.25564183166668,1555.463548,False
1482,42,-75.94115036833333,1629.420838,False
1523,43,-75.41854473166667,1817.990039,False
1564,44,-62.656468445,1515.047904,False
1605,45,-124.88093156333332,948.661845,False
1646,46,-81.54395695166667,1483.471664,False
1687,47,-124.72885269499999,1072.488322,False
1728,48,-113.79141015166667,1197.214676,False
1769,49,-75.96297039666668,1190.934618,False
1810,50,-72.20808479,1168.010864,False
1851,51,-69.26144289666667,1361.263212,False
1892,52,-67.08828510500001,1294.376485,False
1933,53,-85.87862115,1314.209075,False
1974,54,-91.02199209333335,1218.283736,False
2015,55,-65.42902525333334,1220.852189,False
2056,56,-89.63264247333332,1210.764527,False
2097,57,-114.09939735166665,1280.327027,False
2138,58,-64.11602898,1279.616872,False
2179,59,-71.19859983333333,1371.249999,False
2220,60,-84.37694516666666,1270.197757,False
2261,61,-76.58646844500001,1732.077524,False
2302,62,-54.64077319166667,1484.081114,False
2343,63,-74.094293875,1287.345027,False
2384,64,-112.42521771666668,1366.905544,False
2425,65,-60.25071303166668,1360.731556,False
2466,66,-98.91503779166668,2007.902202,False
2507,67,-103.45293954666667,1900.558513,False
2548,68,-105.98089404500001,1986.08065,False
2588,69,-97.15982357499999,1941.175308,False
2629,70,-79.59997151166667,1522.958754,False
2670,71,-56.09040182166667,1650.851886,False
2711,72,-81.41788200333335,1577.029682,False
2752,73,-69.5001869,1764.777984,False
2793,74,-70.93233531333334,1974.272429,False
2833,75,-86.69926442166667,2055.14787,False
2874,76,-81.20959113166666,2011.713703,False
2915,77,-81.37581443166667,1781.134106,False
2955,78,-104.75006334000003,2098.33702,False
2996,79,-72.10731363666667,1709.824585,False
3036,80,-109.75520152000001,2269.87674,False
3077,81,-82.69846141333335,1936.421743,False
3118,82,-65.90184872500001,1904.274605,False
3159,83,-63.93623112500001,1685.427075,False
3200,84,-67.86176335333334,1952.189226,False
3241,85,-56.32344248166666,1726.560908,False
3282,86,-76.9709270366667,2053.906738,False
3322,87,-108.79953567333334,2253.062999,False
3362,88,-109.02876948666666,2083.099814,False
3403,89,-75.17271502166666,1891.798372,False
3444,90,-80.97606585166668,2087.487708,False
3484,91,-102.92634168166668,2129.31122,False
