timesteps,episodes,total_reward,total_intrusions,average_drift,TimeLimit.truncated
300,1,-58.27635799337597,8,1.675878599779198,True
600,2,-47.0916217643968,1,1.5363873921465594,True
900,3,-51.22491482260698,2,1.640830494086898,True
1200,4,-47.06403553834048,2,1.5021345179446826,True
1382,5,-24.925481406965208,0,1.4244770003827036,False
1682,6,-46.61653215734239,2,1.4872177385780803,True
1982,7,-48.92939564175954,2,1.5643131880586494,True
2030,8,-3.8078648081775044,1,0.7933051683703133,False
2330,9,-46.728091343390695,2,1.4909363781130238,True
2467,10,-21.35864694652449,3,1.4130399231039772,False
2702,11,-36.64786736399784,3,1.474377334638205,False
2831,12,-19.89391896315935,3,1.3871255010201045,False
2910,13,-8.896431920043945,0,1.2527129012713858,False
2984,14,-7.019454274433635,0,1.0837100370856263,False
3076,15,-12.725518070102497,3,1.16581718153288,False
3125,16,-2.970181128240333,0,0.8102410465796597,False
3164,17,-8.145276721960698,6,0.8064812107591527,False
3226,18,-5.74772524367134,0,1.0883427812373132,False
3309,19,-8.722385980091078,0,1.1713718048302495,False
3405,20,-24.76272913172101,14,1.2252842845542726,False
3458,21,-12.285479426113241,8,0.9972602690779688,False
3616,22,-25.14678807204845,4,1.4016954475980044,False
3684,23,-17.20654744582828,11,1.0597863890923953,False
3849,24,-32.811879922056434,10,1.4431442377003887,False
4075,25,-44.61328428454651,12,1.4873134639179875,False
4210,26,-22.661066184078592,5,1.3823011988206357,False
4320,27,-13.745664452733235,0,1.3405149502484763,False
4350,28,-1.9899142082982997,1,0.6633047360994332,False
4397,29,-4.876131267862812,2,0.8247087803963432,False
4470,30,-8.060245344780508,0,1.2411294992850004,False
4505,31,-0.45630744013874824,0,0.4160878400396424,False
4572,32,-7.885081455865794,2,1.0276240978904168,False
4606,33,-7.095439382707635,6,0.6163057007963632,False
4740,34,-22.852050829943572,5,1.4068694649211635,False
4812,35,-13.06923447099077,6,1.120727009859829,False
4844,36,-10.684410849609137,10,0.526378390502855,False
4926,37,-12.463266562447512,4,1.154056897859453,False
