timesteps,episodes,total_reward,faf_reach,average_drift,total_intrusions,TimeLimit.truncated
50,1,-9.477948083428714,0,1.895589616685743,0,True
100,2,-13.035792445280897,0,2.6071584890561788,0,True
150,3,-7.843639737564173,0,1.5687279475128344,0,True
200,4,-7.778512234191864,0,1.555702446838373,0,True
250,5,-9.77943975692654,0,1.5558879513853088,2,True
300,6,-7.727630252243375,0,1.5455260504486754,0,True
350,7,-9.77409771934675,0,1.55481954386935,2,True
400,8,-8.712916774493518,0,1.5425833548987036,1,True
450,9,-7.754372256333873,0,1.550874451266774,0,True
500,10,-7.7061698994337,0,1.5412339798867398,0,True
550,11,-7.721295260198386,0,1.5442590520396775,0,True
600,12,-8.735622263458612,0,1.547124452691723,1,True
650,13,-7.727251537434257,0,1.5454503074868515,0,True
700,14,-10.730736312799065,0,1.5461472625598134,3,True
750,15,-9.714306200467869,0,1.5428612400935742,2,True
800,16,-7.827359223347643,0,1.5654718446695284,0,True
850,17,-7.721132452020108,0,1.5442264904040215,0,True
900,18,-9.710121529994298,0,1.5420243059988592,2,True
950,19,-10.72103695345995,0,1.5442073906919886,3,True
1000,20,-13.840196170796766,0,1.5680392341593534,6,True
1050,21,-12.70087319406784,0,1.540174638813569,5,True
1100,22,-7.804202415248635,0,1.5608404830497276,0,True
1150,23,-8.707007178649766,0,1.5414014357299533,1,True
1200,24,-9.72400327067131,0,1.5448006541342623,2,True
1250,25,-7.802737510544392,0,1.5605475021088788,0,True
1300,26,-12.720413238870785,0,1.5440826477741567,5,True
1350,27,-7.757839738848585,0,1.5515679477697162,0,True
1400,28,-7.77322318382733,0,1.5546446367654656,0,True
1450,29,-9.712550677418633,0,1.542510135483726,2,True
1500,30,-7.827005215823467,0,1.5654010431646936,0,True
1550,31,-7.797419999527821,0,1.5594839999055639,0,True
1600,32,-7.703673716542443,0,1.5407347433084886,0,True
1650,33,-8.720318882048133,0,1.5440637764096268,1,True
1700,34,-10.830174050733552,0,1.56603481014671,3,True
1750,35,-9.78771570437783,0,1.5575431408755651,2,True
1800,36,-8.74359073902116,0,1.5487181478042322,1,True
1850,37,-8.748225106283162,0,1.5496450212566324,1,True
1900,38,-9.868391031999261,0,1.573678206399852,2,True
1950,39,-22.775086473601657,0,1.5550172947203316,15,True
2000,40,-7.7328190573115645,0,1.546563811462313,0,True
2050,41,-8.724920402566704,0,1.544984080513341,1,True
2100,42,-9.80568193807576,0,1.5611363876151512,2,True
2150,43,-7.721177630487527,0,1.5442355260975054,0,True
2200,44,-7.7256430169069725,0,1.545128603381395,0,True
2250,45,-7.7371073406286985,0,1.5474214681257394,0,True
2300,46,-11.722963992148426,0,1.5445927984296848,4,True
2350,47,-7.826280841790505,0,1.5652561683581012,0,True
2400,48,-16.7640517012496,0,1.55281034024992,9,True
2450,49,-7.707835265765525,0,1.541567053153105,0,True
2500,50,-11.724409174845318,0,1.5448818349690632,4,True
2550,51,-9.72364531200102,0,1.544729062400204,2,True
2600,52,-8.827159051575318,0,1.5654318103150635,1,True
2650,53,-11.840072543886112,0,1.5680145087772226,4,True
2700,54,-8.69937812284974,0,1.5398756245699483,1,True
2750,55,-9.729575480591933,0,1.5459150961183863,2,True
2800,56,-7.721172021961705,0,1.5442344043923404,0,True
2850,57,-8.738570151532102,0,1.5477140303064194,1,True
2900,58,-8.737181633724024,0,1.5474363267448044,1,True
2950,59,-9.730494017460565,0,1.5460988034921117,2,True
3000,60,-7.7806632010379655,0,1.5561326402075932,0,True
3050,61,-9.774092147413665,0,1.554818429482732,2,True
3100,62,-7.735463342365964,0,1.547092668473192,0,True
3150,63,-7.86996888814703,0,1.5739937776294053,0,True
3200,64,-7.721031469046675,0,1.5442062938093346,0,True
3250,65,-7.826652977962184,0,1.565330595592437,0,True
3300,66,-8.750040666880263,0,1.5500081333760525,1,True
3350,67,-7.720339614017238,0,1.544067922803448,0,True
3400,68,-7.774168682988952,0,1.5548337365977902,0,True
3450,69,-8.694525058397142,0,1.5389050116794283,1,True
3500,70,-8.72450590722485,0,1.5449011814449696,1,True
3550,71,-7.721689413265445,0,1.544337882653089,0,True
3600,72,-11.754884854616614,0,1.5509769709233228,4,True
3650,73,-8.75691607473823,0,1.5513832149476467,1,True
3700,74,-7.699471277444106,0,1.5398942554888209,0,True
3750,75,-7.829257343847393,0,1.5658514687694782,0,True
3800,76,-8.704945322534067,0,1.5409890645068134,1,True
3850,77,-8.888501419082997,0,1.5777002838165992,1,True
3900,78,-7.7074805548247936,0,1.5414961109649579,0,True
3950,79,-12.774764270692838,0,1.554952854138567,5,True
4000,80,-11.732414531627699,0,1.5464829063255394,4,True
4050,81,-7.728891460139014,0,1.5457782920278023,0,True
4100,82,-7.7257131116529845,0,1.5451426223305966,0,True
4150,83,-17.781584023246953,0,1.5563168046493925,10,True
4200,84,-7.867725332805092,0,1.5735450665610182,0,True
4250,85,-7.720455514598447,0,1.5440911029196889,0,True
4300,86,-7.760020382546908,0,1.5520040765093819,0,True
4350,87,-10.699493908764559,0,1.5398987817529113,3,True
4400,88,-7.695674651859754,0,1.5391349303719515,0,True
4450,89,-11.799513166639441,0,1.559902633327889,4,True
