timesteps,episodes,total_reward,waypoints_completed,TimeLimit.truncated
300,1,0,0,True
600,2,3,3,True
900,3,2,2,True
1200,4,1,1,True
1500,5,3,3,True
1800,6,2,2,True
2005,7,5,5,False
2305,8,3,3,True
2605,9,2,2,True
2905,10,2,2,True
3205,11,2,2,True
3505,12,2,2,True
3805,13,2,2,True
4105,14,1,1,True
4405,15,2,2,True
4705,16,2,2,True
5005,17,2,2,True
5305,18,1,1,True
5605,19,2,2,True
5905,20,2,2,True
6205,21,2,2,True
6505,22,1,1,True
6805,23,1,1,True
7105,24,1,1,True
7405,25,1,1,True
7705,26,2,2,True
8005,27,1,1,True
8305,28,2,2,True
8605,29,1,1,True
8905,30,1,1,True
9205,31,2,2,True
9505,32,3,3,True
9805,33,3,3,True
10105,34,2,2,True
10405,35,1,1,True
10705,36,3,3,True
11005,37,2,2,True
11305,38,3,3,True
11605,39,2,2,True
11905,40,2,2,True
12205,41,3,3,True
12505,42,3,3,True
12805,43,2,2,True
13105,44,2,2,True
13405,45,4,4,True
13705,46,3,3,True
14005,47,2,2,True
14305,48,2,2,True
14605,49,0,0,True
14905,50,2,2,True
15205,51,1,1,True
15505,52,2,2,True
15805,53,3,3,True
16105,54,3,3,True
16405,55,2,2,True
16705,56,2,2,True
17005,57,2,2,True
17305,58,3,3,True
17605,59,1,1,True
17905,60,2,2,True
18205,61,2,2,True
18505,62,1,1,True
18805,63,4,4,True
19105,64,3,3,True
19405,65,2,2,True
19705,66,1,1,True
20005,67,4,4,True
20305,68,1,1,True
20605,69,2,2,True
20905,70,2,2,True
21205,71,0,0,True
21505,72,1,1,True
21805,73,3,3,True
21992,74,5,5,False
22292,75,1,1,True
22592,76,2,2,True
22892,77,0,0,True
23192,78,0,0,True
23492,79,1,1,True
23792,80,0,0,True
24092,81,1,1,True
24392,82,1,1,True
24692,83,2,2,True
24992,84,2,2,True
25292,85,1,1,True
25592,86,2,2,True
25892,87,0,0,True
26192,88,3,3,True
26492,89,3,3,True
26601,90,5,5,False
26901,91,3,3,True
27201,92,0,0,True
27501,93,4,4,True
27801,94,2,2,True
28101,95,3,3,True
28401,96,2,2,True
28701,97,4,4,True
29001,98,0,0,True
29301,99,2,2,True
29601,100,4,4,True
29901,101,4,4,True
30201,102,1,1,True
30501,103,1,1,True
30801,104,2,2,True
31101,105,1,1,True
31259,106,5,5,False
31559,107,1,1,True
31859,108,2,2,True
32159,109,3,3,True
32459,110,4,4,True
32759,111,2,2,True
33059,112,3,3,True
33359,113,1,1,True
33659,114,1,1,True
33959,115,3,3,True
34259,116,3,3,True
34559,117,3,3,True
34859,118,3,3,True
35159,119,3,3,True
35459,120,2,2,True
35759,121,1,1,True
36059,122,3,3,True
36359,123,2,2,True
36659,124,2,2,True
36959,125,3,3,True
37259,126,3,3,True
37559,127,1,1,True
37859,128,1,1,True
38159,129,2,2,True
38459,130,1,1,True
38759,131,2,2,True
39059,132,2,2,True
39359,133,1,1,True
39659,134,2,2,True
39959,135,2,2,True
40259,136,1,1,True
40559,137,1,1,True
40859,138,1,1,True
41159,139,2,2,True
41459,140,1,1,True
41759,141,2,2,True
42059,142,1,1,True
42359,143,2,2,True
42659,144,2,2,True
42794,145,5,5,False
43094,146,1,1,True
43394,147,1,1,True
43694,148,1,1,True
43994,149,2,2,True
44294,150,3,3,True
44594,151,1,1,True
44894,152,3,3,True
45194,153,2,2,True
45494,154,4,4,True
45794,155,2,2,True
46094,156,2,2,True
46394,157,0,0,True
46694,158,1,1,True
46994,159,0,0,True
47294,160,2,2,True
47594,161,2,2,True
