timesteps,episodes,total_reward,waypoints_completed,TimeLimit.truncated
300,1,0,0,True
600,2,2,2,True
900,3,0,0,True
1200,4,0,0,True
1500,5,0,0,True
1800,6,2,2,True
2100,7,0,0,True
2400,8,1,1,True
2700,9,1,1,True
3000,10,1,1,True
3300,11,0,0,True
3600,12,0,0,True
3900,13,0,0,True
4200,14,1,1,True
4500,15,2,2,True
4800,16,2,2,True
5100,17,2,2,True
5400,18,0,0,True
5700,19,1,1,True
6000,20,2,2,True
6300,21,2,2,True
6600,22,1,1,True
6900,23,1,1,True
7200,24,3,3,True
7500,25,2,2,True
7800,26,1,1,True
8100,27,1,1,True
8400,28,1,1,True
8700,29,1,1,True
9000,30,1,1,True
9300,31,2,2,True
9600,32,1,1,True
9900,33,1,1,True
10200,34,1,1,True
10500,35,4,4,True
10800,36,2,2,True
11100,37,1,1,True
11400,38,1,1,True
11700,39,2,2,True
12000,40,4,4,True
12300,41,0,0,True
12600,42,1,1,True
12900,43,3,3,True
13200,44,1,1,True
13500,45,0,0,True
13800,46,3,3,True
14100,47,3,3,True
14400,48,4,4,True
14700,49,1,1,True
14957,50,5,5,False
15257,51,2,2,True
15557,52,2,2,True
15857,53,1,1,True
16157,54,3,3,True
16450,55,5,5,False
16750,56,2,2,True
17050,57,0,0,True
17350,58,1,1,True
17650,59,2,2,True
17950,60,1,1,True
18250,61,2,2,True
18550,62,2,2,True
18850,63,2,2,True
19150,64,1,1,True
19450,65,2,2,True
19750,66,3,3,True
20050,67,2,2,True
20292,68,5,5,False
20588,69,5,5,False
20888,70,2,2,True
21188,71,3,3,True
21488,72,4,4,True
21788,73,0,0,True
22088,74,1,1,True
22388,75,4,4,True
22688,76,3,3,True
22988,77,4,4,True
23288,78,1,1,True
23588,79,1,1,True
23888,80,1,1,True
24188,81,2,2,True
24488,82,3,3,True
24788,83,3,3,True
25088,84,2,2,True
25388,85,2,2,True
25688,86,1,1,True
25988,87,3,3,True
26288,88,1,1,True
26588,89,3,3,True
26888,90,1,1,True
27188,91,3,3,True
27488,92,3,3,True
27788,93,1,1,True
28088,94,1,1,True
28388,95,1,1,True
28688,96,3,3,True
28988,97,2,2,True
29288,98,2,2,True
29588,99,2,2,True
29888,100,2,2,True
30188,101,3,3,True
30488,102,2,2,True
30788,103,3,3,True
31088,104,2,2,True
31388,105,2,2,True
31688,106,1,1,True
31988,107,3,3,True
32288,108,3,3,True
32588,109,1,1,True
32888,110,3,3,True
33188,111,1,1,True
33488,112,3,3,True
33788,113,1,1,True
34088,114,2,2,True
34388,115,2,2,True
34688,116,1,1,True
34988,117,4,4,True
35288,118,1,1,True
35588,119,1,1,True
35888,120,2,2,True
36049,121,5,5,False
36349,122,1,1,True
36649,123,2,2,True
36949,124,2,2,True
37249,125,0,0,True
37549,126,2,2,True
37849,127,2,2,True
38149,128,2,2,True
38449,129,2,2,True
38749,130,1,1,True
39049,131,3,3,True
39349,132,2,2,True
39649,133,2,2,True
39949,134,3,3,True
40249,135,1,1,True
40549,136,1,1,True
40849,137,2,2,True
41149,138,2,2,True
41449,139,0,0,True
41749,140,1,1,True
42049,141,2,2,True
42349,142,3,3,True
42649,143,2,2,True
42949,144,1,1,True
43249,145,2,2,True
43549,146,2,2,True
43849,147,2,2,True
44149,148,1,1,True
44449,149,2,2,True
44749,150,2,2,True
45049,151,2,2,True
45349,152,2,2,True
45649,153,2,2,True
45949,154,2,2,True
46249,155,3,3,True
46549,156,2,2,True
46849,157,2,2,True
47149,158,3,3,True
47449,159,2,2,True
47749,160,1,1,True
48049,161,1,1,True
48349,162,1,1,True
48649,163,1,1,True
48949,164,4,4,True
49249,165,2,2,True
49549,166,1,1,True
49849,167,3,3,True
50149,168,2,2,True
50449,169,1,1,True
50749,170,2,2,True
51049,171,2,2,True
51349,172,1,1,True
51649,173,3,3,True
51949,174,2,2,True
52249,175,2,2,True
52549,176,1,1,True
52849,177,1,1,True
53149,178,0,0,True
53449,179,2,2,True
53749,180,1,1,True
54049,181,2,2,True
54349,182,2,2,True
54649,183,2,2,True
54949,184,3,3,True
55249,185,2,2,True
55549,186,4,4,True
55849,187,2,2,True
56149,188,3,3,True
56449,189,3,3,True
56749,190,4,4,True
57049,191,3,3,True
57349,192,1,1,True
57649,193,3,3,True
57949,194,3,3,True
58249,195,2,2,True
58549,196,2,2,True
58849,197,2,2,True
59149,198,2,2,True
59449,199,3,3,True
59749,200,1,1,True
60049,201,2,2,True
60349,202,4,4,True
60649,203,4,4,True
60949,204,2,2,True
61249,205,3,3,True
61549,206,2,2,True
61849,207,2,2,True
62149,208,3,3,True
62449,209,2,2,True
62749,210,3,3,True
63049,211,3,3,True
63349,212,3,3,True
63649,213,1,1,True
63949,214,1,1,True
64249,215,1,1,True
64549,216,3,3,True
64849,217,2,2,True
65149,218,1,1,True
65449,219,3,3,True
65749,220,3,3,True
66049,221,1,1,True
66259,222,5,5,False
66559,223,3,3,True
66830,224,5,5,False
67130,225,4,4,True
67430,226,3,3,True
67730,227,2,2,True
68030,228,4,4,True
68330,229,2,2,True
68630,230,2,2,True
68930,231,4,4,True
69230,232,1,1,True
69530,233,1,1,True
69830,234,2,2,True
70130,235,3,3,True
70430,236,2,2,True
70730,237,2,2,True
71030,238,2,2,True
71330,239,3,3,True
71630,240,3,3,True
71930,241,1,1,True
72230,242,3,3,True
72530,243,4,4,True
72830,244,1,1,True
73130,245,1,1,True
73430,246,2,2,True
73730,247,4,4,True
74030,248,1,1,True
74330,249,1,1,True
74630,250,3,3,True
74930,251,3,3,True
75230,252,3,3,True
75530,253,3,3,True
75830,254,2,2,True
76130,255,1,1,True
76430,256,4,4,True
76730,257,1,1,True
76902,258,5,5,False
77202,259,3,3,True
77502,260,2,2,True
77802,261,1,1,True
78102,262,2,2,True
78402,263,2,2,True
78702,264,4,4,True
79002,265,3,3,True
79302,266,2,2,True
79602,267,1,1,True
79784,268,5,5,False
80084,269,3,3,True
80384,270,1,1,True
80684,271,1,1,True
80984,272,3,3,True
81284,273,1,1,True
81584,274,1,1,True
81884,275,1,1,True
82184,276,2,2,True
82451,277,5,5,False
82751,278,1,1,True
83051,279,4,4,True
83351,280,3,3,True
