timesteps,episodes,total_reward,total_intrusions,average_drift,TimeLimit.truncated
200,1,-102.87574820755582,80,1.143787410377795,True
235,2,-6.469033208216477,0,1.848295202347565,True
245,3,-1.4677226151749232,0,1.467722615174923,True
275,4,-23.733662371502373,18,1.911220790500789,True
291,5,-1.8338363454395845,0,1.1461477158997404,True
314,6,-4.448028038322614,0,1.9339252340533106,True
514,7,-33.49223666004774,0,1.674611833002387,True
714,8,-78.71068792867179,46,1.6355343964335884,True
914,9,-72.85686398928108,42,1.5428431994640501,True
1114,10,-32.45106811631409,0,1.622553405815705,True
1220,11,-123.67807536397555,107,1.5734033362241087,True
1420,12,-106.28516617371429,73,1.664258308685715,True
1532,13,-40.85735228942997,25,1.4158350258419625,True
1732,14,-114.96336407456967,84,1.5481682037284838,True
1932,15,-84.59770769417949,51,1.6798853847089747,True
2132,16,-88.73458873804229,57,1.5867294369021148,True
2332,17,-49.7407056477672,18,1.5870352823883607,True
2532,18,-114.96342087719744,83,1.5981710438598729,True
2732,19,-97.7728744816133,66,1.588643724080668,True
2932,20,-131.4948893741559,101,1.5247444687077973,True
3076,21,-58.19913015161325,38,1.4027173716398065,True
3154,22,-12.117348961708265,0,1.5535062771420856,True
3354,23,-130.22678564252794,99,1.5613392821263978,True
3554,24,-127.92540804045711,96,1.596270402022857,True
3754,25,-111.90723091033466,80,1.5953615455167296,True
3946,26,-99.60720059203551,68,1.646208364168514,True
4146,27,-94.12220662586252,65,1.4561103312931245,True
4250,28,-21.44553498328384,7,1.3889937483926775,True
4450,29,-66.83099157730051,36,1.5415495788650255,True
4650,30,-67.53055043296916,36,1.576527521648457,True
4663,31,-0.8787341787466826,0,0.6759493682666787,True
4830,32,-44.37937895621804,17,1.6394837698334155,True
5030,33,-95.84327024534053,66,1.4921635122670267,True
5230,34,-89.84759179925355,59,1.542379589962678,True
5243,35,-2.147886847312852,0,1.6522206517791165,True
5443,36,-42.713603493612,14,1.4356801746806007,True
5455,37,-1.5271034543830386,1,0.4392528786525321,True
5655,38,-38.029170129724825,6,1.601458506486242,True
5855,39,-30.62415925939242,1,1.481207962969621,True
6055,40,-147.16413107409502,115,1.6082065537047547,True
6255,41,-113.77563772035779,81,1.6387818860178875,True
6455,42,-81.74525304993801,51,1.5372626524969013,True
6655,43,-35.77706247155881,6,1.4888531235779405,True
6855,44,-172.47337132061293,141,1.573668566030648,True
7055,45,-31.534057248706166,0,1.576702862435309,True
7255,46,-37.82892462432059,6,1.5914462312160294,True
7455,47,-31.62395653771232,0,1.5811978268856164,True
7655,48,-45.85054149301246,13,1.642527074650623,True
7855,49,-178.80315069546862,147,1.5901575347734285,True
8055,50,-87.77010336356491,58,1.488505168178241,True
8255,51,-55.22460826417015,25,1.5112304132085093,True
8455,52,-139.9270655831583,109,1.5463532791579153,True
8655,53,-166.29521224287853,133,1.6647606121439242,True
8679,54,-3.8553668060510238,0,1.606402835854593,True
8879,55,-83.98630205710941,52,1.5993151028554684,True
9079,56,-103.5332653195293,73,1.526663265976466,True
9090,57,-0.42638806148872677,0,0.38762551044429705,True
9290,58,-32.17315211380694,0,1.608657605690347,True
9303,59,-0.6386477856938813,0,0.4912675274568317,True
9332,60,-5.264166223419427,0,1.8152297322135955,True
