timesteps,episodes,total_reward,total_intrusions,average_drift,TimeLimit.truncated
161,1,-171.73687926431916,147,1.5364521282185784,True
290,2,-68.9719361772607,54,1.1606152075395877,True
337,3,-8.673454024517968,0,1.84541574989744,True
395,4,-43.003992256813454,41,0.3455159063471473,True
499,5,-34.04171199694703,28,0.5809338458602914,True
579,6,-13.913425024543823,2,1.4891781280679783,True
692,7,-68.9694761533668,43,2.298183730386442,True
809,8,-109.52495533656311,103,0.5576884903045392,True
814,9,-5.701345583260596,5,1.4026911665211934,True
884,10,-22.04261641181381,18,0.5775166302591161,True
958,11,-12.615289862135846,8,0.6236878192075473,True
1009,12,-51.32250082318267,45,1.2397060437613066,True
1048,13,-1.37687206607421,0,0.35304411950620773,True
1143,14,-73.12704384691533,64,0.9607414575700357,True
1170,15,-6.605590340425518,6,0.2242927186761179,True
1226,16,-9.36464898589077,7,0.4222587474804946,True
1343,17,-7.821680297916557,0,0.6685196835826117,True
1543,18,-69.63151881061955,34,1.7815759405309768,True
1615,19,-42.594374073161234,39,0.49921862127239336,True
1635,20,-3.526799837091124,0,1.7633999185455616,True
1709,21,-57.58898516338545,44,1.8363493464034384,True
1802,22,-19.637666057391556,14,0.6062006513324252,True
1892,23,-16.701980711011938,13,0.411331190112438,True
1965,24,-25.02248706367688,20,0.6880119265310803,True
1995,25,-0.9415232626198383,0,0.31384108753994616,True
2132,26,-36.72923471316747,9,2.0240317308881353,True
2225,27,-49.02139515747925,46,0.324881199728953,True
2407,28,-97.22534368806679,62,1.935458444399271,True
2567,29,-133.7632686204093,127,0.42270428877558,True
2588,30,-1.6634301833502425,0,0.7921096111191632,True
2650,31,-3.01520984962682,0,0.4863241692946484,True
2722,32,-31.715130983776177,24,1.0715459699689136,True
2839,33,-58.47181172227277,53,0.467676215578868,True
2962,34,-24.49286084273013,18,0.5278748652626112,True
2981,35,-16.499832275774878,16,0.2630696188288832,True
3090,36,-62.662873634558515,58,0.4277865719778479,True
3145,37,-5.8204053152882524,4,0.3309827845978636,True
3158,38,-0.23876793560370538,0,0.18366764277208103,True
3266,39,-101.63366988412513,86,1.4475620263078808,True
3356,40,-26.74375261113979,21,0.6381947345710886,True
3371,41,-1.8530459495700262,0,1.2353639663800173,True
3463,42,-26.94471723758892,25,0.21138230843357855,True
3507,43,-17.317430013372174,14,0.7539613666754931,True
3574,44,-47.62150023052846,45,0.39126869112365414,True
3691,45,-14.52486115433414,12,0.21580009866103728,True
3765,46,-14.396086880583885,10,0.5940657946734984,True
3826,47,-5.357097525647758,1,0.7142782828930747,True
3863,48,-45.94926687931168,42,1.0673694268409943,True
4063,49,-79.54048854902264,57,1.127024427451136,True
4119,50,-15.985936073128855,11,0.8903457273444386,True
4141,51,-5.783053590412963,4,0.8104789047331651,True
4226,52,-45.43093312663708,38,0.8742274266631836,True
4250,53,-3.1162263921644535,0,1.2984276634018554,True
4293,54,-9.922351341991241,7,0.6796165911607539,True
4493,55,-112.43038729581959,75,1.8715193647909791,True
4602,56,-39.2156534113243,25,1.3041883863600285,True
4650,57,-25.523358834573546,24,0.3173664238694876,True
4738,58,-44.95154745413081,42,0.33540311978759046,True
4822,59,-19.505294828834998,14,0.6553922415279778,True
4922,60,-47.55513220193783,41,0.6555132201937818,True
4957,61,-1.9533324052745635,0,0.5580949729355895,True
5032,62,-3.009366414556218,0,0.4012488552741624,True
5053,63,-0.7222816735013751,0,0.34394365404827376,True
5130,64,-5.455159818929851,0,0.708462314146734,True
5153,65,-1.364261983278037,0,0.593157384033929,True
5286,66,-127.2272500758741,121,0.4682142914191034,True
5308,67,-12.576312905663755,11,0.716505866210797,True
5339,68,-1.08005417348858,0,0.3484045720930903,True
5412,69,-32.374803906989705,27,0.7362745078068073,True
5476,70,-3.440112394183628,0,0.5375175615911916,True
5644,71,-46.79105833225749,27,1.1780391864438973,True
5708,72,-4.8231717187003085,0,0.753620581046923,True
5788,73,-26.954914140547604,22,0.6193642675684506,True
5973,74,-75.18374048414184,59,0.8747967829265842,True
6086,75,-17.681632232737087,14,0.32580816218912256,True
6240,76,-37.73409761633124,23,0.9567595854760551,True
6303,77,-6.858877553417896,0,1.088710722764745,True
6394,78,-62.40730733704332,55,0.8139898172575065,True
6490,79,-21.469159136193568,17,0.46553741002016374,True
6574,80,-28.892555667372765,24,0.582447103258661,True
6610,81,-12.592166981246926,11,0.4422686059019242,True
6668,82,-22.241019775217836,13,1.593279271589283,True
6754,83,-57.61224083192286,54,0.42002800371196053,True
6907,84,-48.85129960499079,43,0.382437882679138,True
6969,85,-30.475154412457673,28,0.39921845362220626,True
7169,86,-78.93746549872314,54,1.2468732749361562,True
7311,87,-60.024677978714585,46,0.9876533787827165,True
7432,88,-46.44892201787892,34,1.028836530403217,True
7500,89,-55.90209788223163,49,1.015014394445828,True
7607,90,-44.12062560236713,38,0.5720210843333786,True
7681,91,-22.07567475912334,14,1.091307399881534,True
7744,92,-22.912022102772074,12,1.732067000440012,True
7821,93,-9.210209343850881,0,1.1961310836169974,True
7836,94,-2.8826552375821017,2,0.5884368250547342,True
7874,95,-6.380937430814679,5,0.36340458705649464,True
8014,96,-48.57290485749963,43,0.3980646326785454,True
8085,97,-14.271965377437821,8,0.8833754052729321,True
8210,98,-87.8679851323782,76,0.9494388105902534,True
8370,99,-41.58874985737481,31,0.6617968660859255,True
8392,100,-0.6404875819946043,0,0.2911307190884565,True
8440,101,-33.95326244642215,32,0.4069296763379493,True
8498,102,-3.628119220263947,0,0.6255377965972324,True
8558,103,-26.747158395473345,22,0.791193065912225,True
8642,104,-7.040199922976931,2,0.6000238003543966,True
8707,105,-21.392488098324694,18,0.5219212458961074,True
8753,106,-17.180930886340256,16,0.2567241057261443,True
8909,107,-63.5248556823375,50,0.8669779283549683,True
8980,108,-14.6714211505348,10,0.6579466409203941,True
9019,109,-4.579632051336197,0,1.1742646285477427,True
9112,110,-21.79026355327713,16,0.6226089842233474,True
9217,111,-36.83632247562749,25,1.1272688072026202,True
9347,112,-73.99602887864928,64,0.7689252983576359,True
