timesteps,episodes,total_reward,total_intrusions,average_drift,TimeLimit.truncated
107,1,-106.62521502504447,93,1.2733845817798572,True
307,2,-129.39117029380603,99,1.5195585146903028,True
507,3,-95.91188633149164,53,2.1455943165745834,True
653,4,-102.99710977697329,76,1.8491171080118651,True
853,5,-85.55293507279016,53,1.6276467536395085,True
1053,6,-150.55770526841465,119,1.5778852634207303,True
1059,7,-1.486737938189101,0,2.477896563648502,True
1259,8,-66.27022224521251,36,1.5135111122606246,True
1459,9,-101.06840282394228,72,1.453420141197113,True
1482,10,-1.8917754012445043,0,0.8225110440193496,True
1517,11,-36.037074031331706,34,0.5820211518090548,True
1592,12,-25.795807506994723,17,1.172774334265963,True
1621,13,-21.19757170309922,19,0.7577833458962829,True
1666,14,-2.151253640948623,0,0.4780563646552494,True
1676,15,-0.9387051769336978,0,0.9387051769336976,True
1700,16,-2.152005748947666,0,0.8966690620615276,True
1749,17,-24.229884792560068,22,0.45507852909389096,True
1839,18,-14.713257312224409,0,1.6348063680249343,True
1875,19,-27.91789899728667,24,1.088305277024074,True
1929,20,-1.598579724451645,0,0.2960332823058603,True
1973,21,-2.6450072885183453,0,0.6011380201178058,True
2017,22,-3.7894990563813367,0,0.861249785541213,True
2037,23,-12.160942384831658,11,0.5804711924158295,True
2054,24,-1.5927415281500756,0,0.9369067812647502,True
2073,25,-1.6790089949552494,0,0.8836889447132892,True
2235,26,-23.437407118802344,0,1.4467535258519972,True
2435,27,-58.96562979181578,34,1.2482814895907888,True
2447,28,-1.2265129977015483,0,1.0220941647512902,True
2497,29,-44.19951890100498,39,1.0399037802009987,True
2560,30,-23.731642723998192,17,1.0685147180949524,True
2608,31,-1.7013859592599556,0,0.3544554081791574,True
2711,32,-68.94248840234741,65,0.3827658643055714,True
2754,33,-11.35272688395153,9,0.5471457869654717,True
2774,34,-0.5476553449887861,0,0.273827672494393,True
2887,35,-18.018490695157936,0,1.5945566986865425,True
2975,36,-15.097065427222653,12,0.3519392530934838,True
3067,37,-2.972185639920587,0,0.32306365651310726,True
3129,38,-9.817111577688896,6,0.6156631576917566,True
3139,39,-1.0988590344492004,0,1.0988590344492004,True
3212,40,-18.90291859744501,16,0.3976600818417828,True
3260,41,-2.5871628793351706,0,0.5389922665281607,True
3460,42,-63.24273693605035,43,1.0121368468025167,True
3465,43,-6.073506231402825,5,2.147012462805649,True
3533,44,-80.84667578599212,79,0.2715699685282586,True
3594,45,-21.820806291862127,20,0.2984928347314942,True
3635,46,-42.405416257490494,41,0.3427844530464594,True
3718,47,-19.128932144672476,15,0.49746170417740654,True
3733,48,-13.26160113362081,11,1.5077340890805384,True
3744,49,-8.440488673423788,8,0.40044424856708116,True
3853,50,-18.01866300724776,13,0.46042779883006985,True
3997,51,-32.15156771951011,11,1.4688588694104254,True
4009,52,-9.16550329263879,8,0.9712527438656586,True
4034,53,-24.595796326590758,24,0.23831853063629865,True
4058,54,-12.55724052588734,11,0.6488502191197251,True
4107,55,-12.163843365909965,10,0.44160068692040144,True
4133,56,-17.31910671582528,17,0.12273335224049454,True
4170,57,-15.918585534292252,15,0.24826636061952753,True
4269,58,-19.33174319566477,15,0.4375498177439166,True
4306,59,-2.55083124287105,0,0.689413849424608,True
4368,60,-47.619459615366395,45,0.4224934863494188,True
4457,61,-44.51960383973279,39,0.6201802067115489,True
4485,62,-9.420014371851002,9,0.15000513280392938,True
4544,63,-1.945161125712512,0,0.3296883263919512,True
4677,64,-67.77022583346246,61,0.5090395363505602,True
4688,65,-0.3547474145743775,0,0.3224976496130704,True
4821,66,-57.19268163531197,50,0.5408031304745847,True
4855,67,-11.967174578651077,10,0.5785807584267868,True
4928,68,-9.7856353601061,6,0.5185801863159043,True
5024,69,-56.66849542003927,53,0.3821349395874258,True
5111,70,-23.75908691856506,20,0.4320789561569039,True
5311,71,-21.616266955612772,0,1.0808133477806388,True
5341,72,-46.71332158068864,45,0.5711071935628816,True
5417,73,-39.864401391287046,36,0.5084738672746124,True
5427,74,-0.4786056593435867,0,0.4786056593435865,True
5486,75,-4.039688895087418,0,0.6846930330656642,True
5491,76,-0.4137898842655477,0,0.8275797685310954,True
5608,77,-21.71739885023885,17,0.40319648292639787,True
5687,78,-35.53680438755061,33,0.3211144794367852,True
5708,79,-1.6061103724950019,0,0.7648144630928577,True
5857,80,-52.40566975721062,46,0.42991072196044317,True
5945,81,-35.33575638559563,32,0.37906322563586625,True
5986,82,-1.4744052194316701,0,0.3596110291296758,True
5997,83,-1.4798788786724901,0,1.3453444351568093,True
6021,84,-1.0425470887018105,0,0.43439462029242093,True
6072,85,-1.0357441403827377,0,0.20308708634955644,True
6163,86,-29.313787541113808,24,0.5839326968256927,True
6238,87,-20.47385389035604,16,0.5965138520474721,True
6358,88,-35.2818541407051,28,0.6068211783920907,True
6377,89,-16.756258061093764,16,0.39803055847040253,True
6410,90,-13.929647428322577,11,0.887771947976537,True
6427,91,-21.683154640620682,21,0.4018556709533381,True
6489,92,-9.200781440160382,6,0.5162550709936093,True
6582,93,-81.78898441317605,79,0.2998907971157064,True
6604,94,-0.5528890598449484,0,0.2513132090204312,True
6711,95,-29.808580648968135,25,0.449400060651226,True
6771,96,-3.373531183704006,0,0.562255197284001,True
6811,97,-1.8806054080240606,0,0.47015135200601527,True
6908,98,-28.34115004603121,22,0.6537268088691974,True
6967,99,-17.91051826908614,15,0.4933081812010398,True
6986,100,-1.114470271734194,0,0.5865633009127338,True
6996,101,-0.3182073809210319,0,0.3182073809210319,True
7035,102,-10.78813401859163,8,0.714906158613239,True
7133,103,-11.750135340179858,8,0.3826668714469247,True
7227,104,-47.20783555633318,39,0.873173995354594,True
7276,105,-2.2298422250194276,0,0.45506984184069965,True
7326,106,-9.175864096968759,7,0.43517281939375174,True
7394,107,-56.90108359147131,54,0.42662993992225134,True
7439,108,-24.69785627358773,23,0.3773013941306067,True
7472,109,-29.498934222881836,28,0.4542224917823739,True
7499,110,-0.7946022617951822,0,0.29429713399821555,True
7511,111,-1.1068330884890716,0,0.9223609070742264,True
7550,112,-3.045079704629795,0,0.7807896678537934,True
7671,113,-43.491197071457364,37,0.5364625678890379,True
7680,114,-0.47130383953439947,0,0.5236709328159993,True
7721,115,-1.192746549158368,0,0.2909137924776508,True
7827,116,-117.9598537850034,113,0.46791073443428044,True
7975,117,-47.65993871584955,36,0.7878336970168602,True
8004,118,-2.7198559901165655,0,0.9378813759022641,True
8077,119,-42.609675525181416,37,0.7684487020796427,True
8096,120,-0.9284039216470813,0,0.48863364297214806,True
8123,121,-12.865428084744146,12,0.32052892027560953,True
8163,122,-3.293615532252118,0,0.8234038830630297,True
8168,123,-0.7691202573352732,0,1.5382405146705465,True
8322,124,-18.07947861475478,6,0.78438172823083,True
8464,125,-160.09398151334128,155,0.3587310924888194,True
8535,126,-19.788181712651987,16,0.5335467200918318,True
8547,127,-2.2685721964801453,1,1.0571434970667881,True
8597,128,-5.908759165673888,3,0.5817518331347776,True
8670,129,-19.921401489857573,16,0.5371782862818584,True
8755,130,-48.40361957521719,45,0.40042583237849383,True
8799,131,-15.280651010319653,13,0.5183297750726484,True
8879,132,-16.7768035784945,14,0.34710044731181267,True
8930,133,-1.8427848469566173,0,0.36133036214835623,True
8975,134,-22.2655352119113,19,0.7256744915358453,True
9035,135,-43.465815396136705,41,0.4109692326894516,True
9095,136,-12.90282351082053,10,0.48380391847008747,True
9137,137,-7.915522222075183,7,0.21798148144647195,True
9175,138,-3.1256771094203053,0,0.8225466077421856,True
9246,139,-59.63081864550164,54,0.7930730486621997,True
9307,140,-3.56535590586375,0,0.5844845747317624,True
9325,141,-1.0047719165085969,0,0.5582066202825537,True
9415,142,-3.478627971841209,0,0.38651421909346784,True
9509,143,-6.962323756395419,1,0.6342897613186612,True
9540,144,-1.4145644817854344,0,0.4563111231565919,True
9550,145,-5.373470386959548,5,0.3734703869595479,True
9555,146,-0.24343563783063568,0,0.4868712756612713,True
9651,147,-116.56505805164466,107,0.9963602137129857,True
9683,148,-23.41892847160022,22,0.44341514737507104,True
9693,149,-4.819689743036164,4,0.8196897430361639,True
9699,150,-1.7348110824400065,0,2.891351804066677,True
9716,151,-0.4312750603051178,0,0.253691211944187,True
9739,152,-0.7784739274772535,0,0.3384669249901102,True
9760,153,-14.906450472775918,14,0.4316430822742454,True
9960,154,-26.43159944115399,0,1.3215799720576993,True
10023,155,-3.936262472682962,0,0.6248035670925335,True
10071,156,-1.5692002891768173,0,0.3269167269118369,True
10081,157,-0.3850667937716298,0,0.3850667937716298,True
10088,158,-0.21904764958393153,0,0.31292521369133075,True
10097,159,-0.6606772456087404,0,0.7340858284541558,True
10112,160,-10.486656571302692,9,0.9911043808684615,True
10157,161,-32.49469982667738,31,0.3321555170394174,True
10299,162,-6.303529663567648,0,0.44391053968786254,True
10348,163,-3.6640816728961254,2,0.3396085046726787,True
10415,164,-7.642240878611419,5,0.39436431024051044,True
10435,165,-1.179164798257542,0,0.5895823991287712,True
10476,166,-3.6723558016201254,0,0.8956965369805187,True
10566,167,-71.87067414177488,68,0.43007490464165793,True
10596,168,-27.489475403633914,26,0.4964918012113048,True
10640,169,-34.93304122336373,32,0.6666002780372113,True
10683,170,-1.3258465649497477,0,0.3083364104534297,True
10703,171,-0.8619141221657569,0,0.4309570610828783,True
10802,172,-2.732964561155485,0,0.2760570263793421,True
10855,173,-1.107439027995443,0,0.2089507599991402,True
11019,174,-92.06020842332426,82,0.6134273428856258,True
11050,175,-1.5569742152778594,0,0.5022497468638255,True
11103,176,-52.43117026642967,47,1.024749106873525,True
11129,177,-1.7526433282047438,0,0.6740935877710552,True
11233,178,-17.949723486895554,14,0.3797811045091884,True
11262,179,-1.3537900235455083,0,0.4668241460501753,True
11371,180,-32.38073775560457,25,0.6771319041839065,True
11379,181,-0.7943326146530888,0,0.992915768316361,True
11394,182,-0.5634210489719318,0,0.3756140326479545,True
11426,183,-0.996585753049575,0,0.3114330478279922,True
11495,184,-42.134974144152245,39,0.4543440788626427,True
11505,185,-0.68225063680519,0,0.68225063680519,True
11552,186,-2.506178135186749,0,0.5332293904652657,True
11635,187,-32.27519386901921,29,0.39460167096616855,True
11672,188,-0.8654606196061941,0,0.2339082755692416,True
11732,189,-1.669007605074254,0,0.27816793417904234,True
11739,190,-0.461691035474354,0,0.6595586221062198,True
11826,191,-41.68642022216891,38,0.4237264623182664,True
11924,192,-70.74696281288837,68,0.28030232784575065,True
11980,193,-6.35759153813164,4,0.4209984889520784,True
12061,194,-13.134773966026414,10,0.3870091316081991,True
12110,195,-3.6774008420797624,0,0.7504899677713802,True
12238,196,-93.1312910054167,88,0.4008821097981746,True
12358,197,-10.586627287948815,4,0.5488856073290678,True
12369,198,-7.460339829096126,6,1.32758166281466,True
12400,199,-1.7097673065936647,0,0.5515378408366659,True
12427,200,-0.623999806334171,0,0.23111103938302624,True
12486,201,-24.377980371121453,19,0.9115220968002452,True
12566,202,-23.3795828249247,19,0.5474478531155886,True
12601,203,-13.592034861303432,12,0.4548671032295521,True
12715,204,-37.33003533351235,31,0.5552662573256475,True
12741,205,-10.149734739739666,9,0.44220566913064047,True
12773,206,-3.440563467749252,0,1.0751760836716415,True
12854,207,-42.61126978403199,39,0.44583577580641803,True
12907,208,-5.881594308615367,0,1.1097347752104467,True
12953,209,-2.6364918989723605,0,0.5731504128200787,True
13085,210,-38.21013880434029,29,0.697737788207597,True
13203,211,-25.96806588970027,22,0.3362767703135822,True
13345,212,-35.24959345347673,29,0.4401122150335701,True
13382,213,-0.9529092813142523,0,0.25754304900385194,True
13576,214,-78.38273406818591,69,0.4836460859889601,True
13602,215,-1.2938720497835376,0,0.4976430960705915,True
13617,216,-0.23308571951726131,0,0.15539047967817415,True
13731,217,-53.57425160333301,50,0.31353084239763207,True
13805,218,-11.746888095237567,9,0.3712010939510234,True
13885,219,-18.46936392498057,15,0.43367049062256974,True
13912,220,-10.792457052272665,10,0.29350261195283706,True
14004,221,-19.677412607109137,17,0.2910231094683834,True
14030,222,-7.58841533043952,7,0.2263135886305849,True
14038,223,-0.22153030529827825,0,0.2769128816228478,True
14133,224,-58.65417121631291,52,0.700439075401362,True
14158,225,-15.60404372929439,15,0.24161749171775646,True
14175,226,-1.1846080753820127,0,0.6968282796364781,True
14262,227,-41.22199292207019,39,0.25540148529542817,True
14321,228,-19.50376974249598,17,0.4243677529654191,True
14366,229,-16.229299315161217,14,0.4953998478136021,True
14385,230,-22.98803385728045,22,0.5200178196212902,True
14394,231,-0.8543519719345212,0,0.9492799688161345,True
14443,232,-9.217758235269093,7,0.4526037214834883,True
14462,233,-0.5482691767076409,0,0.28856272458296883,True
14470,234,-0.30840738947058965,0,0.385509236838237,True
14502,235,-0.820424259466243,0,0.2563825810832009,True
14522,236,-0.8839863656278931,0,0.4419931828139466,True
14538,237,-0.8515649563195654,0,0.5322280976997283,True
14738,238,-33.35980591914344,16,0.8679902959571709,True
14750,239,-0.6814139006656369,0,0.5678449172213641,True
14810,240,-14.354758658249164,12,0.3924597763748602,True
14839,241,-1.9184792759762193,0,0.661544577922834,True
14883,242,-17.641555104131257,16,0.3730807054843759,True
