timesteps,episodes,total_reward,waypoint_reached,crashed,average_drift,TimeLimit.truncated
65,1,-5,0,1,nan,False
91,2,-5,0,1,nan,False
191,3,0,0,0,nan,True
215,4,-5,0,1,nan,False
236,5,-5,0,1,nan,False
336,6,0,0,0,nan,True
430,7,-5,0,1,nan,False
440,8,-5,0,1,nan,False
454,9,-5,0,1,nan,False
496,10,-5,0,1,nan,False
512,11,-5,0,1,nan,False
612,12,0,0,0,nan,True
614,13,-5,0,1,nan,False
651,14,-5,0,1,nan,False
751,15,0,0,0,nan,True
789,16,-5,0,1,nan,False
805,17,-5,0,1,nan,False
824,18,-5,0,1,nan,False
856,19,-5,0,1,nan,False
865,20,-5,0,1,nan,False
965,21,0,0,0,nan,True
1065,22,0,0,0,nan,True
1066,23,-5,0,1,nan,False
1086,24,-5,0,1,nan,False
1159,25,-5,0,1,nan,False
1188,26,-5,0,1,nan,False
1205,27,-5,0,1,nan,False
1206,28,-5,0,1,nan,False
1251,29,-5,0,1,nan,False
1351,30,0,0,0,nan,True
1451,31,0,0,0,nan,True
1493,32,-5,0,1,nan,False
1521,33,-5,0,1,nan,False
1621,34,0,0,0,nan,True
1623,35,-5,0,1,nan,False
1624,36,-5,0,1,nan,False
1713,37,-5,0,1,nan,False
1729,38,-5,0,1,nan,False
1829,39,0,0,0,nan,True
1868,40,-5,0,1,nan,False
1968,41,0,0,0,nan,True
1985,42,-5,0,1,nan,False
1991,43,-5,0,1,nan,False
2082,44,-5,0,1,nan,False
2147,45,-5,0,1,nan,False
2210,46,-5,0,1,nan,False
2229,47,-5,0,1,nan,False
2299,48,-5,0,1,nan,False
2306,49,-5,0,1,nan,False
2375,50,-5,0,1,nan,False
2475,51,0,0,0,nan,True
2575,52,0,0,0,nan,True
2576,53,-5,0,1,nan,False
2618,54,-5,0,1,nan,False
2637,55,-5,0,1,nan,False
2691,56,-5,0,1,nan,False
2714,57,-5,0,1,nan,False
2776,58,-5,0,1,nan,False
2806,59,-5,0,1,nan,False
2881,60,-5,0,1,nan,False
2930,61,-5,0,1,nan,False
2947,62,-5,0,1,nan,False
3007,63,-5,0,1,nan,False
3107,64,0,0,0,nan,True
3116,65,-5,0,1,nan,False
3155,66,-5,0,1,nan,False
3168,67,-5,0,1,nan,False
3177,68,-5,0,1,nan,False
3216,69,-5,0,1,nan,False
3297,70,-5,0,1,nan,False
3300,71,-5,0,1,nan,False
3359,72,-5,0,1,nan,False
3439,73,-5,0,1,nan,False
3450,74,-5,0,1,nan,False
3460,75,-5,0,1,nan,False
3560,76,0,0,0,nan,True
3660,77,0,0,0,nan,True
3696,78,-5,0,1,nan,False
3739,79,-5,0,1,nan,False
3839,80,0,0,0,nan,True
3939,81,0,0,0,nan,True
4039,82,0,0,0,nan,True
4139,83,0,0,0,nan,True
4143,84,-5,0,1,nan,False
4179,85,-5,0,1,nan,False
4279,86,0,0,1,nan,True
4294,87,-5,0,1,nan,False
4297,88,-5,0,1,nan,False
4314,89,-5,0,1,nan,False
4395,90,-5,0,1,nan,False
4426,91,-5,0,1,nan,False
4520,92,-5,0,1,nan,False
4528,93,-5,0,1,nan,False
4568,94,-5,0,1,nan,False
4617,95,-5,0,1,nan,False
4635,96,-5,0,1,nan,False
4680,97,-5,0,1,nan,False
4780,98,0,0,0,nan,True
4842,99,-5,0,1,nan,False
4857,100,-5,0,1,nan,False
4885,101,-5,0,1,nan,False
4985,102,0,0,0,nan,True
5024,103,-5,0,1,nan,False
5055,104,-5,0,1,nan,False
5087,105,-5,0,1,nan,False
5187,106,0,0,0,nan,True
5267,107,-5,0,1,nan,False
5364,108,-5,0,1,nan,False
5382,109,-5,0,1,nan,False
5404,110,-5,0,1,nan,False
5434,111,-5,0,1,nan,False
5534,112,0,0,0,nan,True
5543,113,-5,0,1,nan,False
5548,114,-5,0,1,nan,False
5581,115,-5,0,1,nan,False
5681,116,0,0,0,nan,True
5758,117,-5,0,1,nan,False
5790,118,-5,0,1,nan,False
5808,119,-5,0,1,nan,False
