timesteps,episodes,total_reward,total_intrusions,final_altitude,TimeLimit.truncated
39,1,-114.68422115999999,0,4812.81807,False
79,2,-185.73758641333333,2,3459.172643,False
118,3,-185.10500140333335,0,5876.21048,False
157,4,-117.69154026333334,0,4730.049129,False
198,5,-91.32809738,0,2446.096592,False
237,6,-150.81053837833332,0,4289.481899,False
278,7,-209.52006101333336,3,2051.473682,False
316,8,-195.19329209666665,1,4531.451397,False
357,9,-61.298951990000006,0,1703.873246,False
399,10,-97.23767139833335,0,1436.244911,False
437,11,-144.07108418333334,0,4861.429561,False
477,12,-144.46691575166665,0,3495.315973,False
517,13,-136.80233704333332,0,3665.245814,False
556,14,-165.75263748500004,0,4947.886488,False
596,15,-290.00452748166674,4,3529.685001,False
635,16,-178.61828092666667,0,5108.422887,False
678,17,-131.87432811166667,1,596.546782,False
697,18,-157.54697800833333,0,-100,False
737,19,-95.42393638499999,0,1660.648064,False
776,20,-149.36891400666667,0,4938.212973,False
816,21,-327.24777424666667,5,3244.070992,False
854,22,-180.52387909166669,1,4040.897793,False
894,23,-370.80349343499984,6,2756.316305,False
932,24,-199.91322487666667,0,7040.587714,False
973,25,-401.5725243533334,7,1734.263745,False
1014,26,-302.00731236666667,4,2705.614494,False
1054,27,-168.86301318833338,2,2309.935223,False
1074,28,-126.664722325,0,-100,False
1116,29,-165.76562089333333,0,-100,False
1156,30,-138.61058200999997,1,2796.864964,False
1196,31,-103.27614655333333,0,3995.097288,False
1236,32,-149.81442784333333,0,3736.752964,False
1278,33,-144.527328695,0,1896.176085,False
1319,34,-176.48263903833333,1,1546.970099,False
1358,35,-143.75756566166666,0,5969.595279,False
1398,36,-256.58906743999995,4,710.31412,False
1438,37,-129.415886785,0,3568.193601,False
1481,38,-149.51885779166673,1,392.381518,False
1520,39,-122.72978606333332,0,3613.895157,False
1560,40,-311.4723321783334,5,2217.658263,False
1602,41,-80.72852233333333,0,2150.343958,False
1643,42,-126.7033304,1,613.38554,False
1684,43,-356.16406114166665,5,1100.509836,False
1724,44,-146.383070455,0,2784.205333,False
1765,45,-303.11904507166673,5,1322.411025,False
1806,46,-326.9970487016666,5,2853.097565,False
1846,47,-89.91955060166666,0,2297.306372,False
1888,48,-134.2205443333333,0,662.658855,False
1928,49,-65.56126946333333,0,1816.337366,False
1968,50,-241.8328571933334,3,2838.718725,False
2006,51,-159.21489505666665,0,5805.588097,False
2046,52,-88.16799647500001,0,2375.036165,False
2085,53,-137.92586135500002,0,3621.093881,False
2124,54,-195.5623110216667,2,3968.83152,False
2166,55,-309.8260462950001,4,2895.930573,False
2207,56,-167.64604521333342,2,211.174772,False
2248,57,-180.515045885,2,2183.473599,False
2290,58,-194.41159813333337,2,1571.480452,False
2331,59,-140.14320192000002,1,3252.588857,False
2371,60,-279.64426701666673,3,3941.166817,False
2411,61,-192.45486899666668,2,3776.684779,False
2437,62,-148.89876592333334,0,-100,False
2474,63,-179.663492065,0,5933.03093,False
2515,64,-110.88753446333335,0,3430.749831,False
2555,65,-289.5851976933333,4,3226.239294,False
2577,66,-142.11732118499998,0,-100,False
2590,67,-133.47471973333333,0,-100,False
2628,68,-249.61298281333336,1,-100,False
2648,69,-131.92765297666668,0,-100,False
2690,70,-190.78963725500006,0,2173.558568,False
2729,71,-293.53242878333333,2,6202.901482,False
2767,72,-119.13301335833336,0,4400.989417,False
2804,73,-246.93447809499995,0,-100,False
2844,74,-219.51440114666661,2,4982.583028,False
2886,75,-95.62748800833334,0,1853.199305,False
2928,76,-151.91586732666667,0,1098.518888,False
2969,77,-126.01965155833336,0,2122.749997,False
3009,78,-145.07246620666666,1,3341.770393,False
3050,79,-261.9937618283333,4,1450.534142,False
3090,80,-177.81282034499998,1,3881.292555,False
3130,81,-364.3302848716668,6,2257.570783,False
3170,82,-240.18522956833345,3,2947.515095,False
3211,83,-72.00579366333332,0,2323.616837,False
3252,84,-305.8232745716667,5,1809.091832,False
3293,85,-208.10167951999998,2,3721.748035,False
3333,86,-143.1797945583333,1,2837.202469,False
3373,87,-123.38364118666667,0,4046.995237,False
3412,88,-215.4991524200001,2,4273.505399,False
3452,89,-163.1049442683333,2,2177.48857,False
3493,90,-298.6249183366666,5,1198.238078,False
3534,91,-260.735858235,4,1486.730952,False
3573,92,-116.19627584666668,0,2975.791871,False
3614,93,-317.8015427033334,5,1821.096785,False
3624,94,-112.96725374833333,0,-100,False
3665,95,-73.79904267500001,0,2831.121725,False
3707,96,-195.65704299500004,2,1223.486096,False
3749,97,-205.42982269166671,3,1669.816886,False
3788,98,-113.01153783999999,0,4427.873039,False
3829,99,-399.89582913666675,7,1523.456127,False
3871,100,-146.24655801333333,0,2078.674115,False
3912,101,-200.118240535,2,1791.642867,False
3952,102,-135.33310415999998,1,1185.615653,False
3992,103,-129.69476056333335,1,1503.132296,False
4030,104,-295.1739981633334,3,6024.754806,False
4070,105,-82.69606963666669,0,2375.686094,False
4112,106,-231.18466994333326,3,1058.791461,False
4151,107,-200.50857640833334,2,4515.953224,False
4187,108,-276.48987449333333,0,7728.287624,False
4225,109,-185.1979432066667,0,4943.927593,False
4264,110,-166.66988073333334,0,5171.962054,False
4303,111,-166.6410975733333,0,4138.438233,False
4346,112,-113.73410945333335,0,316.551828,False
4383,113,-203.1323406966667,0,5574.596527,False
4424,114,-112.01685959666666,0,2068.536358,False
4464,115,-213.9896488166667,2,3806.352376,False
4505,116,-106.24057479500001,1,1430.391781,False
4543,117,-391.0965711116667,4,6527.904306,False
4582,118,-147.51949654499998,0,5182.033366,False
4623,119,-128.22180105000004,1,2439.873181,False
4663,120,-233.17321095666665,2,4627.170636,False
4702,121,-111.51539751833334,0,4452.938154,False
4743,122,-90.35514616,0,2452.920554,False
4783,123,-164.18727709833337,2,2632.223736,False
4823,124,-254.21457173,3,3363.793821,False
4864,125,-163.43757176166667,1,1900.346436,False
4906,126,-108.54134010666667,0,1025.74053,False
4949,127,-324.63185815833333,4,1253.018827,False
4989,128,-85.21522731666667,0,2425.811441,False
5030,129,-88.73325335333334,0,1200.138685,False
5066,130,-265.05933516,0,7083.599624,False
5108,131,-301.28271568166673,5,562.312932,False
5126,132,-118.19052068833334,0,-100,False
5166,133,-78.57141439833333,0,2412.987422,False
5204,134,-170.18353213,0,4902.530807,False
5245,135,-239.3341005283334,3,1897.425835,False
5285,136,-82.69480333666667,0,3011.917536,False
5323,137,-179.12156328166665,1,5833.384776,False
5365,138,-185.96333099833333,2,648.868981,False
5405,139,-312.4387584299999,5,2015.87808,False
5444,140,-257.811722745,3,4890.733945,False
5483,141,-150.09600036166665,0,4286.246958,False
5523,142,-213.74849325500003,1,-100,False
5531,143,-112.31164037833334,0,-100,False
