timesteps,episodes,total_reward,total_intrusions,final_altitude,TimeLimit.truncated
41,1,-185.89053244166666,2,3265.475382,False
82,2,-250.10250703666665,3,3155.566498,False
121,3,-167.68069769500002,2,2976.957697,False
162,4,-328.1623131983333,5,3295.581095,False
201,5,-68.83724633833333,0,2518.353676,False
242,6,-157.68023732833336,2,1359.07965,False
272,7,-195.84471690166666,0,-100,False
304,8,-303.0393731800001,2,-100,False
333,9,-198.32139401333336,0,-100,False
354,10,-162.420819875,0,-100,False
375,11,-158.39627135666666,0,-100,False
398,12,-159.1338838,0,-100,False
414,13,-120.72715084666666,0,-100,False
441,14,-178.79883428333332,0,-100,False
482,15,-159.87567124333333,0,1709.803846,False
522,16,-190.83874973166667,0,-100,False
563,17,-108.29302707333333,0,2348.13151,False
604,18,-104.61164465833333,1,2027.115699,False
646,19,-343.9945724233333,5,1860.101981,False
688,20,-180.056574625,1,1218.366624,False
727,21,-74.30120326,0,3900.053025,False
767,22,-285.4523703383333,3,3711.067413,False
808,23,-209.78881757499997,2,2332.572142,False
848,24,-213.58083175000002,2,3956.939319,False
889,25,-261.1805523216667,3,1736.600478,False
906,26,-154.61069322333333,0,-100,False
947,27,-245.03608874999998,2,2805.298413,False
988,28,-148.21771177166664,0,3385.30993,False
1029,29,-112.82099680833332,0,1798.579743,False
1051,30,-182.95423448999998,0,-100,False
1092,31,-194.41844935833333,2,3618.33298,False
1116,32,-148.95617290833334,0,-100,False
1156,33,-247.60956642333338,2,4710.969059,False
1194,34,-135.18000820833333,0,5438.530492,False
1236,35,-167.82471312666667,0,2229.17501,False
1278,36,-162.97540524500002,2,2480.652355,False
1291,37,-115.76129696333334,0,-100,False
1310,38,-139.14371771833333,0,-100,False
1350,39,-86.38031752833332,0,4319.983184,False
1365,40,-135.109655215,0,-100,False
1405,41,-223.5723112066667,1,5047.7363,False
1442,42,-147.92167459833337,0,5418.991498,False
1482,43,-295.19614966,4,4160.274544,False
1500,44,-145.96146048166668,0,-100,False
1540,45,-118.32018407166665,0,3760.408411,False
1580,46,-111.70393333166666,0,4500.765603,False
1623,47,-152.728317915,0,504.676414,False
1663,48,-146.40626658666667,0,5158.235732,False
1704,49,-353.06536735000003,6,2564.790789,False
1744,50,-271.20773194500003,4,1953.98808,False
1764,51,-141.0518525566667,0,-100,False
1803,52,-146.57133536833334,1,4529.14847,False
1844,53,-138.269854305,0,3566.821406,False
1884,54,-471.5963827916667,7,4570.139058,False
1924,55,-251.65378648666672,3,4051.824054,False
1965,56,-206.35145554666667,2,3707.979519,False
2005,57,-86.47124603666666,0,2862.06893,False
2024,58,-150.20087179166666,0,-100,False
2064,59,-143.6607167183333,1,4398.864292,False
2105,60,-174.06983171666667,1,3560.362553,False
2146,61,-250.23352705500002,1,2655.355991,False
2173,62,-157.21772262333334,0,-100,False
2214,63,-68.19461322166667,0,2445.517312,False
2254,64,-404.206701435,6,2298.827547,False
2293,65,-122.96332543333332,0,5179.409509,False
2333,66,-277.21501723333336,3,4000.627985,False
2373,67,-277.1893296583333,4,3147.17224,False
2412,68,-185.68850659500004,1,5253.422647,False
2454,69,-111.45902451500002,0,1723.561963,False
2495,70,-119.20536905,0,2970.246143,False
2526,71,-193.77511156833333,1,-100,False
2566,72,-233.54352851166664,3,3075.00234,False
2607,73,-106.54394673833335,0,2393.146721,False
2646,74,-168.82965306166665,1,4609.547264,False
2686,75,-86.88324824166668,0,2641.102204,False
2727,76,-145.30544890666667,2,2226.928863,False
2769,77,-125.42630881999999,0,820.107506,False
2810,78,-130.41901554333333,0,3088.806816,False
2850,79,-384.11561256166664,6,3331.448983,False
2891,80,-130.85557074166664,0,3343.88145,False
2933,81,-208.25152156666664,1,933.735847,False
2974,82,-220.68290379500002,2,3574.174119,False
2996,83,-468.3658428516667,7,-100,False
3036,84,-239.37444634500002,3,4090.609448,False
3076,85,-224.7210197216667,3,3101.780873,False
3116,86,-80.23558297833334,0,3068.898496,False
3143,87,-139.09343772333335,0,-100,False
3182,88,-405.44239434500014,5,4049.397228,False
3222,89,-156.22044848833332,2,2910.405724,False
3264,90,-375.39512092166666,5,3419.1072,False
3290,91,-150.11613173833334,0,-100,False
3330,92,-133.57690200666667,0,4617.252893,False
3373,93,-206.44936344166672,1,1515.739218,False
