timesteps,episodes,total_reward,total_intrusions,final_altitude,TimeLimit.truncated
40,1,-364.5986507400001,6,2772.693576,False
79,2,-121.62662892333333,0,4186.200478,False
120,3,-171.684113515,2,2402.642474,False
152,4,-461.4999806016667,0,11060.0,False
183,5,-439.3121203433335,0,11060.0,False
217,6,-402.77863594999997,0,7809.33523,False
251,7,-451.4431626433334,2,9882.595186,False
283,8,-438.70597351,0,10740.157806,False
315,9,-486.08983729499994,0,10949.260691,False
346,10,-462.17683467333336,0,11060.0,False
377,11,-440.43529737333347,0,11060.0,False
409,12,-476.6818196800001,0,11060.0,False
440,13,-441.8442610666666,0,11060.0,False
471,14,-418.4392368333334,0,11060.0,False
502,15,-437.4287259333332,0,11060.0,False
534,16,-481.4678018133334,0,11060.0,False
565,17,-443.5820088800001,0,11060.0,False
596,18,-416.39778653,0,11060.0,False
627,19,-437.83855716333335,0,11060.0,False
658,20,-443.4951953333335,0,11060.0,False
690,21,-450.5602122800001,0,11060.0,False
721,22,-431.0993371633333,0,11060.0,False
752,23,-424.3259120800001,0,11060.0,False
783,24,-443.70569333333333,0,11060.0,False
814,25,-410.4613645333334,0,11060.0,False
845,26,-460.7399988133334,0,11060.0,False
876,27,-440.96856409333327,0,11060.0,False
907,28,-440.3454637333334,0,11060.0,False
938,29,-434.3970702666667,0,11060.0,False
969,30,-441.1185725633334,0,11060.0,False
1000,31,-438.71356640333346,0,11060.0,False
1031,32,-455.96902666666665,0,11060.0,False
1062,33,-448.6142533333335,0,11060.0,False
1094,34,-491.3395388800001,0,11060.0,False
1125,35,-458.86210913333343,0,11060.0,False
1156,36,-463.80857102333346,0,11060.0,False
1187,37,-429.6454402666668,0,11060.0,False
1218,38,-453.3990266666667,0,11060.0,False
1250,39,-454.6064457433333,0,11060.0,False
1281,40,-443.21212673333343,0,11060.0,False
1312,41,-432.13734328000004,0,11060.0,False
1343,42,-441.76356178333333,0,11060.0,False
1375,43,-456.6714356233333,0,11060.0,False
1407,44,-453.8318920366668,0,11060.0,False
1439,45,-474.93090370666664,0,11060.0,False
1471,46,-491.1261061066667,0,11060.0,False
1503,47,-475.74622666666653,0,11060.0,False
1534,48,-421.9792533333334,0,11060.0,False
1566,49,-450.76829262,0,11060.0,False
1597,50,-456.9756912433335,0,11060.0,False
1628,51,-446.6099939733334,0,11060.0,False
1659,52,-441.1934301133334,0,11060.0,False
1690,53,-461.9621113333334,0,11060.0,False
1722,54,-488.53311999999994,0,11060.0,False
1753,55,-439.2954666666665,0,11060.0,False
1784,56,-446.9788,0,11060.0,False
1815,57,-453.19857333333334,0,11060.0,False
1846,58,-458.3640245766668,0,11060.0,False
1877,59,-448.1866799999999,0,11060.0,False
1908,60,-464.67857102333335,0,11060.0,False
1939,61,-431.7954666666667,0,11060.0,False
1971,62,-473.7631200000001,0,11060.0,False
2002,63,-436.9535710233333,0,11060.0,False
2033,64,-474.5400133333334,0,11060.0,False
2064,65,-462.31857333333346,0,11060.0,False
2095,66,-439.8223600000001,0,11060.0,False
2127,67,-479.2631191566667,0,11060.0,False
2158,68,-425.67592,0,11060.0,False
2190,69,-447.4388000000001,0,11060.0,False
2222,70,-463.78834182666674,0,11060.0,False
2253,71,-438.3990266666667,0,11060.0,False
2284,72,-466.2285710233333,0,11060.0,False
2315,73,-427.2490266666666,0,11060.0,False
2347,74,-458.73145333333343,0,11060.0,False
2378,75,-436.045386,0,11060.0,False
2409,76,-465.7035679433334,0,11060.0,False
2441,77,-459.34312,0,11060.0,False
2472,78,-423.0992454133334,0,11060.0,False
2503,79,-440.7635733333334,0,11060.0,False
2535,80,-464.6614305633334,0,11060.0,False
2566,81,-453.0454659333335,0,11060.0,False
2597,82,-475.14667999999995,0,11060.0,False
2629,83,-493.5800101066667,0,11060.0,False
2660,84,-465.74857256333337,0,11060.0,False
2691,85,-432.5906842766667,0,11060.0,False
2722,86,-456.6621333333334,0,11060.0,False
2753,87,-443.06001333333336,0,11060.0,False
2784,88,-446.49667999999997,0,11060.0,False
2815,89,-459.81357333333347,0,11060.0,False
2847,90,-488.2047866666668,0,11060.0,False
2878,91,-443.45001333333323,0,11060.0,False
2910,92,-472.1383466666666,0,11060.0,False
2941,93,-418.7177615966666,0,11060.0,False
2972,94,-467.3499939733333,0,11060.0,False
3003,95,-446.8985733333333,0,11060.0,False
3034,96,-421.91569124333336,0,11060.0,False
3065,97,-426.6954666666667,0,11060.0,False
3097,98,-500.75455472,0,11060.0,False
3128,99,-444.59569263666674,0,11060.0,False
3160,100,-461.01834182666664,0,11060.0,False
