total_int,total_rew
4,-42.3805103462375
2,-28.36271763598384
0,-23.508265306880347
0,-8.74982719502303
2,-29.876415839157346
0,-34.015447279737046
0,-28.769339113469723
0,-17.38339611400339
0,-33.11111679368253
2,-44.715288042900355
0,-18.51318857606877
1,-29.737873327854345
0,-32.715489885295
0,-26.058878483128257
1,-14.336445575555818
0,-22.95635357810772
2,-9.09156654377301
1,-27.82931995201596
1,-40.876744091864765
1,-43.14582770730839
0,-18.84569027308168
2,-20.619286571632614
1,-31.384161868226393
1,-18.638027905518
0,-20.357176761493477
3,-31.30021577876599
0,-18.043316734224106
2,-22.270215687546163
0,-20.098502852779653
0,-22.62963616764318
2,-31.378011773324964
0,-23.54572458337987
0,-21.461118049813813
0,-15.934619248270264
0,-34.159697705054164
2,-20.28885644095205
1,-29.253619968247435
2,-35.241797776573804
0,-17.304694013947433
0,-15.565781255781882
0,-31.23401693632213
0,-22.1418728165652
1,-22.791029375613455
1,-36.508461099238964
2,-24.460752126227923
1,-21.544203387423995
1,-29.57366439575301
0,-41.74995374623237
0,-16.90405939663922
0,-20.465416564508732
1,-54.00399380671324
1,-24.409239472692096
0,-21.079555824328825
1,-17.300993451262315
1,-19.68389759494709
1,-35.634367847171546
1,-26.471730484714854
0,-16.56519112988192
1,-19.44362734220666
0,-17.147105872825055
5,-18.42686437001376
1,-31.03033067601435
1,-34.90433946770518
0,-22.490192926491087
0,-34.85955653620951
3,-34.2588294050077
2,-27.42436542715575
0,-23.3821924031879
1,-38.71524628977216
3,-25.67963464385295
0,-26.47559750002092
1,-31.517074939131387
0,-20.786953290373425
1,-37.472312222723254
1,-28.781278484893303
1,-32.32511702818682
1,-29.58588296543492
0,-29.956881219787704
0,-25.16714441225914
0,-74.45266398501823
0,-17.090835382339435
1,-27.638494237779845
1,-37.92130428781289
2,-23.02741243499273
1,-21.402605278431533
2,-34.55023496693628
1,-28.587612897078834
1,-27.536660176965608
0,-18.54634982651163
2,-36.13226239064337
0,-51.272958258398305
2,-26.430205605083625
1,-38.41166931491223
0,-28.973804997620068
2,-21.465033608777603
2,-35.27245439427415
2,-20.038940117030393
0,-30.64536775260346
1,-19.751188674665755
0,-15.178583500723223
5,-22.27497155108414
0,-17.129230234967675
1,-39.10062059558312
0,-20.884319331786457
0,-24.633689710822466
1,-23.848147970602398
1,-15.751611544919113
1,-36.6922708056316
1,-45.37066582077705
0,-28.66539005559798
1,-27.506949330733065
0,-20.761505179224166
1,-17.36944954224411
0,-33.34880650914532
1,-17.442968232580434
1,-19.17864420299892
1,-28.77315935208836
0,-23.77910950066635
1,-29.611398333641166
0,-21.413212006642993
1,-46.235093479140744
0,-24.40042706537189
4,-33.7339844303825
0,-30.684415306939915
1,-46.58332827331216
0,-48.256186011722946
0,-32.40134974351624
1,-47.551742264097555
0,-21.8560010927021
1,-28.64909815972525
0,-23.83669330413385
0,-18.420818287786325
1,-14.981149395251613
3,-27.025998685234118
1,-23.368237124965127
2,-31.579373568618568
0,-32.77370101165211
0,-43.611636724874764
1,-40.240404682091
1,-14.01255913148968
2,-27.89873165396386
0,-35.312006477521564
0,-26.011786110915104
1,-20.50538623964233
3,-23.754456959684457
0,-25.979052328368997
1,-37.120510322773725
2,-22.56328737043835
2,-26.73694522095518
0,-14.41976268313125
1,-18.82876098095663
1,-5.531973893723562
2,-24.42504848981258
0,-31.778560105247074
1,-24.634665834129624
3,-38.579456475553194
0,-27.693960743001536
0,-21.62536430078841
2,-22.000955184868523
1,-28.691905681786498
0,-25.56784890801421
1,-28.392945546327002
3,-19.01502842626092
4,-30.704328632973038
1,-29.902773315711197
1,-30.458089694557355
3,-11.13325244478699
1,-28.405321746558794
2,-24.865336961418
1,-39.840923680080834
3,-14.628597322407305
0,-20.154574210345647
0,-15.394144995573205
0,-28.514181750974533
1,-16.570385260554488
1,-20.839235013367013
1,-29.462127978286137
1,-28.048160515904932
2,-28.343984160972557
0,-23.8250189213539
1,-28.41073724888038
1,-23.000483647011393
1,-25.289817455533317
1,-45.54353171789007
1,-17.723927097624486
0,-21.74333568282836
0,-17.99249890689306
2,-20.934565746095856
2,-11.102773891059762
0,-26.396121928150826
0,-19.134597414977463
1,-33.55664525616271
1,-33.16918484661046
0,-32.32401850024961
0,-17.57695622148663
1,-24.7641965835714
1,-18.788754567825684
1,-19.152749483617637
2,-24.57154426681743
1,-23.8266646687617
1,-24.966458300189842
0,-13.29712348482093
1,-22.82416611835093
5,-33.92979679451043
0,-26.546876020308243
1,-36.690504418773585
1,-24.31609627873605
1,-21.727413768506825
5,-39.76012693642803
1,-15.507048806174456
0,-23.846724986034204
0,-17.772990069702768
0,-19.129406547610557
2,-15.36545642723247
0,-19.285728463987493
0,-29.769835917896028
2,-23.72472003820159
0,-29.554945797568426
0,-25.009401919679885
0,-16.819753342248873
2,-30.886234041115845
1,-33.69222629991082
1,-21.31923247124665
1,-24.230990261845463
0,-20.507924372897378
1,-26.62345345696415
0,-22.481056762971036
2,-25.72714632668168
0,-30.739249817609114
0,-26.1217623268317
0,-33.59863644078372
1,-24.07364075904654
0,-19.67452965072125
2,-13.388793174365485
1,-25.37994924101255
0,-11.657422616445707
3,-16.54587091292968
0,-27.08163984080795
0,-13.26235711859811
1,-20.378714627348426
1,-27.70756716937877
3,-19.477025922508346
1,-25.14191039490756
3,-24.69219689887939
1,-27.489558980944093
0,-31.188746217595497
0,-27.40476243172416
0,-17.9300028406707
0,-18.39612226130505
1,-23.03033235407383
0,-21.879407766950166
0,-30.014025301349115
0,-21.764331451443528
0,-46.46061616336763
0,-36.41257064896665
2,-28.849604311122324
1,-18.270473018609753
0,-24.134247611818743
0,-45.642137284710266
2,-16.12223321612844
0,-23.942005827897827
3,-19.518551758754683
1,-24.869899039172687
1,-42.48205174636981
1,-26.330772216507633
0,-41.603598280653074
11,-23.79613639540459
0,-33.4152959904073
1,-32.11540424845369
0,-12.783142942058163
0,-24.491850000922632
3,-25.73446806955596
0,-11.301031066106447
1,-23.88722437548901
0,-15.565384054128224
1,-26.59254337283207
0,-22.847192614057253
2,-28.1259145413938
0,-32.11456492947504
2,-33.42253798480922
2,-22.16780481936553
1,-31.89504408596142
1,-19.1893541223972
0,-23.693158098020774
1,-18.02937044349381
2,-15.721254660717726
1,-19.356070894189976
0,-32.82201438007962
0,-29.70634606421901
3,-36.6901151428452
1,-18.16029072212849
1,-18.072207253414167
1,-26.125135281409303
2,-32.08947154827183
1,-22.72016368072756
0,-29.92204542349716
0,-39.91106826195867
0,-19.809673575819023
0,-22.084863017404697
0,-23.6469153560686
1,-31.62979314587725
0,-29.779898421712222
1,-18.401720703033547
1,-37.914464559711526
2,-13.470096631294998
0,-27.353098878096468
1,-48.457450971907804
0,-27.095919926472348
1,-47.98177452875928
0,-20.125624236826507
0,-27.572253481358285
0,-22.6229766170042
0,-18.970034657159943
1,-30.33913128623239
0,-22.887586863444653
0,-39.26152774213231
0,-18.662615614823288
1,-21.884556388685812
1,-14.34713179754708
0,-39.82764586061548
1,-37.79812531328551
0,-23.646195724805708
1,-27.60913854747068
1,-34.096164441777844
2,-16.623797110849402
1,-20.342906387617838
0,-27.824840964276646
0,-28.912556328247984
2,-28.715694435011354
1,-16.28519692007108
1,-18.981972568166057
0,-26.81208625458249
0,-18.411696470053936
2,-49.97446106739951
0,-14.823940783961767
1,-26.2917352060431
0,-17.98769258531779
0,-12.961071182950814
2,-63.57944830950196
0,-14.840774601432956
3,-65.13499091257488
3,-35.68610883967446
4,-26.684023018357113
1,-17.37937608731098
1,-39.46117397365109
0,-23.708375649688136
0,-29.227590008005055
2,-20.47494696992913
0,-21.09157782247837
0,-25.351268460696534
4,-24.439591653316405
1,-31.594748415715905
0,-16.334179299216032
1,-20.03419496001653
1,-41.14908626563976
0,-32.0754529249748
0,-15.089252657443792
1,-25.617810022995826
0,-24.20648839613182
1,-33.05581452325607
6,-40.16817827516589
4,-28.53319283089838
0,-18.854298838564553
0,-25.327304618845144
0,-36.004499775795836
0,-20.426592460837263
1,-18.53477034310599
1,-22.500776752809585
0,-18.60787315763165
1,-26.0695423403188
0,-22.17519619558579
0,-18.58083244096641
0,-35.43313767076489
2,-29.954737419163983
0,-56.79214563326688
0,-31.355335544778463
2,-30.497680109724637
2,-19.420912343387545
0,-35.49194010289171
1,-31.112385708174436
0,-20.31832214092368
0,-15.212025296986846
0,-18.604855720682433
1,-34.60686427932994
2,-29.869616895494822
1,-36.339408788672735
0,-7.9679410714590695
2,-43.646714373300235
1,-40.7856356376691
0,-26.6560278889755
1,-20.179904990925824
0,-25.63925683128287
0,-24.042252231023223
0,-27.843652909247904
1,-37.01001856884948
0,-14.694594865599445
2,-26.75529566122611
0,-22.697875756821148
0,-15.828306130445334
0,-22.649080091996943
1,-16.966227399421825
0,-31.858941829935468
1,-26.314364020588567
0,-33.62811999852421
0,-21.49379469225594
0,-23.04588227551329
0,-32.35166520737023
1,-24.175708382890473
1,-15.980187946149789
1,-45.14450777026867
0,-31.24308884658023
0,-36.84660398566965
1,-19.097058473385843
0,-42.861396718368674
0,-33.66286297494183
